ok,external_id,type,name,winery_name,area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,,SPARKLING,FRANCIACORTA BRUT SATEN D.O.C.G. BIO,BARONE PIZZINI,2-2,BOTTLE,2018,65,,,,Satén Franciacorta,Barone Pizzini,wine_01gzr4ksct8de7tv33rh98x28c,1150697,47.62373,,
TRUE,,SPARKLING,FRANCIACORTA EXTRA BRUT GOLF,BARONE PIZZINI,2-2,BOTTLE,,50,,,,Golf 1927 Franciacorta,Barone Pizzini,wine_01gzr4ksctpg7xgfcd5g3n4mew,5563383,46.08034,,
TRUE,,SPARKLING,FRANCIACORTA BRUT D.O.C.G. CUVÉE ALMA,BELLAVISTA,2-5,BOTTLE,,60,,,,Franciacorta Grande Cuvée Alma Brut,Bellavista,wine_01gzr4ktfz8rdfpgmgkvghev9h,,39.60987,,
TRUE,,SPARKLING,CUVÉE PRESTIGE D.O.C.G. EXTRA BRUT 44ma EDIZIONE,CA' DEL BOSCO,2-5,BOTTLE,,75,,,,Franciacorta 44a Edizione Cuvée Prestige,Ca' del Bosco,wine_01gzr4ksccqqnpgqa87nn43n5r,10158345,42.350376,,
TRUE,,SPARKLING,TRENTODOC BRUT ROSE' D.O.C.,CASATA MONFORT,2-3,BOTTLE,,50,,,,Rosé Brut,Casata Monfort,wine_01h0my5vwkgq14ns0bcz2kzcj6,,47.27006,,
TRUE,,SPARKLING,FRANCIACORTA PAS DOSE' DOSAGGIO ZERO BIO,CAVALLERI,3-4,BOTTLE,2018,70,,,,Franciacorta Pas Dosé,Cavalleri,wine_01h0f3cmbtkwmev0q8m5tqm8n3,,42.920673,,
TRUE,,SPARKLING,FRANCIACORTA SATEN D.O.C.G. BIO,CAVALLERI,3-4,BOTTLE,2019,60,,,,Satèn Franciacorta Brut,Cavalleri,wine_01h0qsxmzd11cmyk9ec4pz7f7v,,37.2272,,
TRUE,,SPARKLING,TRENTODOC 708 EXTRA BRUTD.O.C.,CEMBRANI,2-3,BOTTLE,,65,,,,708km Extra Brut,Cembrani,wine_01h4pmmfewe9mz61wrmb7yzp76,,37.526863,,
TRUE,,SPARKLING,BRUT,D'ARAPRI',2-4,BOTTLE,,45,,,,Brut,d'Arapri,wine_01gzr4ksgtxvt4z7fj6xbj67p4,2045719,32.510307,,
TRUE,,SPARKLING,ROSE' BRUT,D'ARAPRI',2-4,BOTTLE,,55,,,,Brut Rosè,d'Arapri,wine_01gzr4ksgtrrx315rpkp508g1p,2284053,34.743786,,
TRUE,,SPARKLING,ALTA LANGA D.O.C.G. PARCELLAIRE EXTRABRUT,ENRICO SERAFINO,3-4,BOTTLE,2018,65,,,,Alta Langa Parcellaire Extra Brut,Enrico Serafino,wine_01h0qzm08r4cd4qjw3mctgfyds,,55.65848,,
TRUE,,SPARKLING,ALTA LANGA D.O.C.G. RISERVA PAS DOSE' MILLESIMATO BRUT 'ZERO',ENRICO SERAFINO,3-4,BOTTLE,2017,85,,,,Zero Riserva Pas Dosé,Enrico Serafino,wine_01h0f3cmbt3hh86k2p7cg6yy81,,56.139294,,
TRUE,,SPARKLING,ALTA LANGA OUDEIS BRUTD.O.C.G. Millesimato,ENRICO SERAFINO,3-4,BOTTLE,2018,50,,,,Alta Langa Oudeis Brut,Enrico Serafino,wine_01h0my5t4j292kfk4zp4gbm4jh,,59.52454,,
TRUE,,SPARKLING,ALTA LANGA OUDEIS BRUTD.O.C.G. Millesimato,ENRICO SERAFINO,3-5,MAGNUM,2018,50,,,,Alta Langa Oudeis Brut,Enrico Serafino,wine_01h0my5t4j292kfk4zp4gbm4jh,,59.52454,,
