external_id,name_one,name_two,winery_name,size,vintage,price,quantity,country
1,,Demi: 375 ml,,,,,,
2,Rosé,Champagne,Ruinart,375 ml,,"€ 85,00",23,FRA
3,Blanc de Blanc,Champagne ,Ruinart,375 ml,,"€ 80,00",19,FRA
4,,Venegazzù della Casa ,Loredan e Gasperin,375 ml,17,"€ 25,00",,ITA
5,,Santa Maddalena ,Cantina di Bolzano,375 ml,21,"€ 15,00",,ITA
6,,Lagrein ,Cantina di Bolzano,375 ml,’21 ‘22,"€ 15,00",,ITA
7,,Terlaner ,Cantina di Terlano,375 ml,‘21,"€ 24,00",,ITA
8,,Blauburgunder Meczan ,Tenuta J. Hofstätter,375 ml,21,"€ 18,00",,ITA
9,,Cabernet sauvignon ,Lis Neris,375 ml,’19 '20,"€ 18,00",,ITA
10,,Valpolicella ripasso Campofiorin ,Masi,375 ml,20,"€ 23,00",,ITA
11,,Barbaresco Dop ,Gaja,375 ml,‘19,"€ 130,00",10,ITA
12,,Ripassa,Zenato,375 ml,19,"€ 27,00",,ITA
13,Classico,Amarone classico,Zenato,375 ml,17,"€ 42,00",,ITA
14,,Gewurztraminer Ceslar,Cantina di Bolzano,375 ml,‘21,"€ 16,00",4,ITA
15,,,,,,,,
16,,Champagne & ...,,,,,,
17,Cuvée Brut,Champagne ,Laurent Perrier,,,"€ 80,00",2,FRA
18,Millesimato,Champagne ,Laurent Perrier,,‘04,"€ 95,00","1 ‘04, 2 ‘08",FRA
19,Millesimato,Champagne ,Laurent Perrier,Magnum,8,,2,Fra
20,Cuvée Rosé,Champagne ,Laurent Perrier,,,"€ 110,00",3,FRA
21,Cuvée Rosé,Champagne ,Laurent Perrier,Magnum,,"€ 230,00",2,FRA
22,Rosé ,Champagne ,J.M. Gobillard et Fils,,,,13,FRA
23,Rosé Millesimé,Champagne,J.M. Gobillard et Fils,Magnum,‘14,,2,FRA
24,Blanc de Blanc,Champagne,J.M. Gobillard et Fils,,,"€ 80,00",83,FRA
25,Blanc de Blanc Brut,Champagne,J.M. Gobillard et Fils,Magnum,,"€ 160,00",14,FRA
26,Privilege Des Moines,Champagne,J.M. Gobillard et Fils,,,"€ 80,00",10,FRA
27,Blanc de Noirs Brut,Champagne,J.M. Gobillard et Fils,,,"€ 80,00",3,FRA
28,Brut,Champagne ,Gimonnet & Fils,,,"€ 80,00",,FRA
29,,Champagne ,Dom Perignon,Magnum,10,"€ 850,00",1,FRA
30,,Champagne,Dom Perignon ,,2008,,1,Fra
31,,Champagne,Dom Perignon,,‘10,"€ 400,00",1,FRA
32,,Champagne ,Dom Perignon,,12,"€ 380,00",2,FRA
33,,Champagne ,Dom Perignon,,‘13,"€ 380,00",12,FRA
34,Brut Royale Reserve,Champagne ,Philipponnat,,,"€ 85,00",2,FRA
35,Brut,Champagne ,Petrois Moriset,,,"€ 80,00",2,FRA
36,Assemblage,Champagne ,Petrois Moriset,,,"€ 90,00",1,FRA
37,,Champagne 168 edition,Krug,,,"€ 450,00",,FRA
38,Grande Cuvée,Champagne,Krug,,‘17,"€ 450,00",,FRA
39,,Champagne ,Krug,Magnum,,"€ 900,00","2 166 ed, 2 Grande cuvee pre 08",FRA
40,Reserve Imperiale,Champagne ,Moet & Chandon,Magnum,,"€ 210,00",4,FRA
41,Collection 244,Champagne ,Roederer,,,"€ 110,00","10 244, 3 242, 2 243",FRA
42,Collection 243,Champagne ,Roederer,Magnum,,"€ 220,00",5,FRA
43,,Champagne Cristal,Roederer,,13,"€ 420,00",1,FRA
44,,Champagne Collection 242,Roederer,,,"€ 95,00",,FRA
45,,Champagne Collection 242 ,Roederer,Magnum,‘17,"€ 160,00",,FRA
46,Vintage Rosé,Champagne ,Veuve Cliquot,,‘12,"€ 140,00",6,FRA
47,Cuvée Saint Petersbourg,Champagne,Veuve Cliquot,,,"€ 90,00",6,FRA
48,Blanc de Blanc,Champagne ,Ruinart,,,"€ 140,00",1,FRA
49,Blanc de Blanc,Champagne ,Ruinart,Magnum,,"€ 320,00",5,FRA
50,Rosé,Champagne ,Ruinart,,,"€ 140,00",13,FRA
51,Rosé,Champagne ,Ruinart,Magnum,,"€ 320,00",9,FRA
52,Special Cuvée ,Champagne ,Bollinger,,,"€ 110,00",27,FRA
53,Special Cuvée ,Champagne ,Bollinger,Magnum,,"€ 240,00",6,FRA
54,La Grande Annéé,Champagne ,Bollinger,,,"€ 190,00",13 ‘14,FRA
55,Rosé,Champagne ,Bollinger,,,"€ 110,00",4,FRA
56,B13,Champagne ,Bollinger,,,"€ 240,00",,FRA
57,Special cuvee 007,Champagne ,Bollinger,,,"€ 130,00",9,FRA
58,,Champagne ,Bollinger,Magnum,,"€ 230,00",,FRA
59,Extra brut,Champagne ,Gosset,,,"€ 90,00",1,FRA
60,Brut Nature,Champagne ,Dechannes,,,"€ 85,00",19,FRA
61,N.7 ,Champagne,Ayala,,,,2,Fra
62,Grand Brut,Champagne,Perrier et Jouet,Magnum,,,1,Fra
63,Rare,Champagne Millesime ,Rare,,,,1,FRA
64,,Metodo Classico,,,,,,
65,Grande Cuvée Alma Brut,Franciacorta ,Bellavista,,,"€ 80,00",12,ITA
66,Grande Cuvée Alma Brut,Franciacorta ,Bellavista,Magnum,,"€ 150,00",1,ITA
67,Cuvee,Franciacorta,Bellavista,Magnum,2005,,1,ITA
68,Cuvée Prestige,Franciacorta ,Ca' del Bosco,,,"€ 80,00",6,ITA
69,Cuvée Prestige,Franciacorta,Ca' del Bosco,Magnum,,"€ 160,00",,ITA
70,Brut,Franciacorta,Enrico Gatti,,,"€ 50,00",173,ITA
71,Brut,Franciacorta ,Enrico Gatti,Magnum,,"€ 100,00",2,ITA
72,Prima Cuvée Brut,Franciacorta ,Monte Rossa,,,"€ 54,00",,ITA
73,Prima Cuvée Brut,Franciacorta ,Monte Rossa,Magnum,,"€ 100,00",,ITA
74,Brut P.R. Blanc de Blancs,Franciacorta,Monte Rossa,,,,,ITA
75,Satèn,Franciacorta ,Monte Rossa,Magnum,,"€ 80,00",,ITA
76,Cabochon Fuoriserie ,Franciacorta,Monte Rossa,,,"€ 100,00","7 n. 023, 5 n. 024",ITA
77,Animante Extra Brut,Franciacorta,Barone Pizzini,,,"€ 60,00",8,ITA
78,Golf 1927 Brut,Franciacorta ,Barone Pizzini,,,"€ 65,00",4,ITA
79,Satèn,Franciacorta,Barone Pizzini,,19,,1,ITA
80,Brut,Spumante ,Maso Martis,,,"€ 60,00",16,ITA
81,Brut Millesimato,Spumante ,Maso Martis,Magnum,16,"€ 105,00",1,ITA
82,Perlé,Spumante Ferrari ,Ferrari,,18,"€ 65,00",6,ITA
83,Perlé,Spumante Ferrari ,Ferrari,Magnum,12,"€ 160,00",6,ITA
84,,Spumante riserva del fondatore ,Giulio Ferrari,Magnum,8,"€ 420,00",1,ITA
85,,Spumante riserva del fondatore,Giulio Ferrari,,8,"€ 210,00","1 ‘08, 1 ‘10",ITA
86,,Spumante riserva Lunelli,Giulio Ferrari,,6,"€ 250,00",,ITA
