external_id,name,winery_name,type,storage_area,size,vintage,price,info,quantity,internal_notes
1,demi: 375 ml,,,,BOTTLE,,,,0.0,
2,champagne rosé,Ruinart,,,HALF_BOTTLE,,85.0,,23.0,
3,champagne blanc de blanc,Ruinart,,,HALF_BOTTLE,,80.0,,19.0,
4,venegazzù della casa,Loredan e Gasperin,,,HALF_BOTTLE,17,25.0,,0.0,
5,santa maddalena,Cantina di Bolzano,,,HALF_BOTTLE,21,15.0,,0.0,
6,lagrein,Cantina di Bolzano,,,HALF_BOTTLE,2021,15.0,,0.0,
6,lagrein,Cantina di Bolzano,,,HALF_BOTTLE,2022,15.0,,0.0,
7,terlaner,Cantina di Terlano,,,HALF_BOTTLE,21,24.0,,0.0,
8,blauburgunder meczan,Tenuta J. Hofstätter,,,HALF_BOTTLE,21,18.0,,0.0,
9,cabernet sauvignon,Lis Neris,,,HALF_BOTTLE,19,18.0,,0.0,
9,cabernet sauvignon,Lis Neris,,,HALF_BOTTLE,20,18.0,,0.0,
10,valpolicella ripasso campofiorin,Masi,,,HALF_BOTTLE,20,23.0,,0.0,
11,barbaresco dop,Gaja,,,HALF_BOTTLE,19,130.0,,10.0,
12,ripassa,Zenato,,,HALF_BOTTLE,19,27.0,,0.0,
13,amarone classico classico,Zenato,,,HALF_BOTTLE,17,42.0,,0.0,
14,gewurztraminer ceslar,Cantina di Bolzano,,,HALF_BOTTLE,21,16.0,,4.0,
16,champagne & ...,,,,BOTTLE,,,,0.0,
17,champagne cuvée brut,Laurent Perrier,,,BOTTLE,,80.0,,2.0,
19,champagne millesimato,Laurent Perrier,,,MAGNUM,8,,,2.0,
20,champagne cuvée rosé,Laurent Perrier,,,BOTTLE,,110.0,,3.0,
21,champagne cuvée rosé,Laurent Perrier,,,MAGNUM,,230.0,,2.0,
22,champagne rosé,J.M. Gobillard et Fils,,,BOTTLE,,,,13.0,
23,champagne rosé millesimé,J.M. Gobillard et Fils,,,MAGNUM,14,,,2.0,
