external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
2,SPARKLING,champagne rosé,Ruinart,,HALF_BOTTLE,,85.0,,23.0,,Brut Rosé Champagne,Ruinart,wine_01h0f3cmbmtvmkd6m243g38m9r,,35.16826
3,SPARKLING,champagne blanc de blanc,Ruinart,,HALF_BOTTLE,,80.0,,19.0,,Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd2c8ryrf1nbh9jb83z,,42.043827
4,RED,venegazzù della casa,Loredan e Gasperin,,HALF_BOTTLE,17.0,25.0,,0.0,,Venegazzù Della Casa,Loredan Gasparini,wine_01gzr4kt325ke5a89bn0htwnth,,44.021877
5,RED,santa maddalena,Cantina di Bolzano,,HALF_BOTTLE,21.0,15.0,,0.0,,Stieler St. Maddalena Classico,Cantina Bolzano / Kellerei Bozen,wine_01h0my5tb9sb2bcpqx8b4jv48j,,28.332169
6,RED,lagrein,Cantina di Bolzano,,HALF_BOTTLE,2021.0,15.0,,0.0,,Lagrein,Cantina Bolzano / Kellerei Bozen,wine_01h0my5rkfn2n674ha22pp9c5t,,28.67239
6,RED,lagrein,Cantina di Bolzano,,HALF_BOTTLE,2022.0,15.0,,0.0,,Lagrein,Cantina Bolzano / Kellerei Bozen,wine_01h0my5rkfn2n674ha22pp9c5t,,28.67239
7,WHITE,terlaner,Cantina di Terlano,,HALF_BOTTLE,21.0,24.0,,0.0,,Terlaner,Terlan (Terlano),wine_01gzr4ksn5hrrj46e95x5nft46,,50.26354
8,RED,blauburgunder meczan,Tenuta J. Hofstätter,,HALF_BOTTLE,21.0,18.0,,0.0,,Joseph Meczan Pinot Nero - Blauburgunder Alto Adige,J. Hofstätter,wine_01gzr4kskmqsygy5twfbkqscmt,,41.70811
9,RED,cabernet sauvignon,Lis Neris,,HALF_BOTTLE,19.0,18.0,,0.0,,Cabernet Sauvignon,Lis Neris,wine_01h0qzm1m0jdc2sp5dgy3mp5mn,,33.560932
9,RED,cabernet sauvignon,Lis Neris,,HALF_BOTTLE,20.0,18.0,,0.0,,Cabernet Sauvignon,Lis Neris,wine_01h0qzm1m0jdc2sp5dgy3mp5mn,,33.560932
