external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
1,,demi: 375 ml,,,BOTTLE,,,,0.0,,,,,,
16,,champagne & ...,,,BOTTLE,,,,0.0,,,,,,
64,,metodo classico,,,BOTTLE,,,,0.0,,,,,,
91,,prosecco,,,BOTTLE,,,,0.0,,,,,,
104,,vini bianchi,,,BOTTLE,,,,0.0,,,,,,
105,,trentino alto adige,,,BOTTLE,,,,0.0,,,,,,
112,,gewurztraminer praepositus,,,BOTTLE,,,,0.0,,,,,,
140,,friuli venezia giulia,,,BOTTLE,,,,0.0,,,,,,
178,,veneto,,,BOTTLE,19.0,,,0.0,,,,,,
192,,ribolla gialla,Loredan Gasparini,,BOTTLE,22.0,35.0,,0.0,,,,,,
197,,umbria,,,BOTTLE,,,,0.0,,,,,,
201,,puglia,,,BOTTLE,,,,0.0,,,,,,
205,,sardegna,,,BOTTLE,,,,0.0,,,,,,
206,,capichera bianco igt,Capichera,,BOTTLE,5.0,52.0,,2.0,,,,,,
210,,piemonte,,,BOTTLE,,,,0.0,,,,,,
215,,marche,,,BOTTLE,,,,0.0,,,,,,
217,,pecorino santa maria,Vinicentanni,,BOTTLE,21.0,,,5.0,,,,,,
219,,campania,,,BOTTLE,,,,0.0,,,,,,
224,,toscana,,,BOTTLE,,,,0.0,,,,,,
227,,vini bianchi esteri,,,BOTTLE,,,,0.0,,,,,,
261,,"altri vini biodinamici, biologici e naturali",,,BOTTLE,,,,0.0,,,,,,
264,,vini rosati,,,BOTTLE,,,,0.0,,,,,,
266,,rumor cotes de provence,,,BOTTLE,,,,0.0,,,,,,
268,,vini rossi,,,BOTTLE,,,,0.0,,,,,,
269,,veneto,,,BOTTLE,,,,0.0,,,,,,
270,,azienda agricola quintarelli,,,BOTTLE,,,,0.0,,,,,,
279,,monteversa,,,BOTTLE,,,,0.0,,,,,,
283,,bonotto delle tezze,,,BOTTLE,,,,0.0,,,,,,
289,,loredan e gasparini,,,BOTTLE,,,,0.0,,,,,,
299,,serafini vidotto,,,BOTTLE,,,,0.0,,,,,,
303,,brigaldara,,,BOTTLE,,,,0.0,,,,,,
312,,mosole,,,BOTTLE,,,,0.0,,,,,,
315,,lorenzo begali,,,BOTTLE,,,,0.0,,,,,,
318,,zenato,,,BOTTLE,,,,0.0,,,,,,
323,,allegrini,,,BOTTLE,,,,0.0,,,,,,
332,,le salette,,,BOTTLE,,,,0.0,,,,,,
337,,marco mosconi,,,BOTTLE,,,,0.0,,,,,,
339,,paolo cottini,,,BOTTLE,,,,0.0,,,,,,
344,,masi,,,BOTTLE,,,,0.0,,,,,,
351,,corte giara,,,BOTTLE,,,,0.0,,,,,,
353,,speri,,,BOTTLE,,,,0.0,,,,,,
358,,villa spinosa,,,BOTTLE,,,,0.0,,,,,,
361,,la montecchia,,,BOTTLE,,,,0.0,,,,,,
365,,azienda agricola puntozero,,,BOTTLE,,,,0.0,,,,,,
369,,azienda agricola nicolis,,,BOTTLE,,,,0.0,,,,,,
371,,azienda agricola inama,,,BOTTLE,,,,0.0,,,,,,
384,,bertani,,,BOTTLE,,,,0.0,,,,,,
389,,pian della vette,,,BOTTLE,,,,0.0,,,,,,
391,,le guaite di noemi,,,BOTTLE,,,,0.0,,,,,,
398,,val de pol,,,BOTTLE,,,,0.0,,,,,,
402,,azienda agricola montebrecale,,,BOTTLE,,,,0.0,,,,,,
404,,a & g de martin,,,BOTTLE,,,,0.0,,,,,,
406,,trentino alto adige,,,BOTTLE,,,,0.0,,,,,,
407,,cantina di bolzano gries / santa maddalena,,,BOTTLE,,,,0.0,,,,,,
418,,gumphof,,,BOTTLE,,,,0.0,,,,,,
419,,blauburgunder,Gumphof,,MAGNUM,17.0,105.0,,0.0,,,,,,
420,,tenuta j. hofstätter,,,BOTTLE,,,,0.0,,,,,,
426,,sant’urbano,Tenuta J. Hofstätter ,,JEROBOAM,7.0,360.0,,1.0,,,,,,
427,,alois lageder,,,BOTTLE,,,,0.0,,,,,,
435,,carlotto ferruccio,,,BOTTLE,,,,0.0,,,,,,
439,,cantina di termeno,,,BOTTLE,,,,0.0,,,,,,
442,,gottardi,,,BOTTLE,,,,0.0,,,,,,
446,,girlan,,,BOTTLE,,,,0.0,,,,,,
449,,barone de cles,,,BOTTLE,,,,0.0,,,,,,
451,,cantina rotaliana,,,BOTTLE,,,,0.0,,,,,,
453,,waldgries,,,BOTTLE,,,,0.0,,,,,,
456,,schreckbichl/colterenzio,,,BOTTLE,,,,0.0,,,,,,
463,,elena walch,,,BOTTLE,,,,0.0,,,,,,
470,,franz haas,,,BOTTLE,,,,0.0,,,,,,
475,,abbazia di novacella,,,BOTTLE,,,,0.0,,,,,,
481,,marcus prackwierser,,,BOTTLE,,,,0.0,,,,,,
483,,tenuta klosterhof,,,BOTTLE,,,,0.0,,,,,,
485,,friuli venezia giulia,,,BOTTLE,,,,0.0,,,,,,
486,,silvio jermann,,,BOTTLE,,,,0.0,,,,,,
488,,miani,,,BOTTLE,,,,0.0,,,,,,
493,,castelvecchio,,,BOTTLE,,,,0.0,,,,,,
499,,borgo conventi,,,BOTTLE,,,,0.0,,,,,,
503,,schioppetto,,,BOTTLE,,,,0.0,,,,,,
509,,antico broilo,,,BOTTLE,,,,0.0,,,,,,
511,,meroi,,,BOTTLE,,,,0.0,,,,,,
514,,cantina produttori di cormons,,,BOTTLE,,,,0.0,,,,,,
516,,livio felluga,,,BOTTLE,,,,0.0,,,,,,
518,,russiz superiore marco felluga,,,BOTTLE,,,,0.0,,,,,,
523,,azienda agricola la viarte,,,BOTTLE,,,,0.0,,,,,,
530,,alexis paraschos,,,BOTTLE,,,,0.0,,,,,,
532,,castello di buttrio,,,BOTTLE,,,,0.0,,,,,,
537,,conte d’attimis maniago,,,BOTTLE,,,,0.0,,,,,,
539,,lis neris,,,BOTTLE,,,,0.0,,,,,,
542,,piemonte,,,BOTTLE,,,,0.0,,,,,,
543,,ceretto,Ceretto,,BOTTLE,,,,0.0,,,,,,
550,,gaja,,,BOTTLE,,,,0.0,,,,,,
562,,travaglini,,,BOTTLE,,,,0.0,,,,,,
567,,azienza agricola negro,,,BOTTLE,,,,0.0,,,,,,
571,,ciabot roero riserva,,,BOTTLE,,,,0.0,,,,,,
573,,vietti,,,BOTTLE,,,,0.0,,,,,,
576,,azienda vinicola reva,,,BOTTLE,,,,0.0,,,,,,
578,,g.d.vajra,,,BOTTLE,,,,0.0,,,,,,
583,,paolo scavino,,,BOTTLE,,,,0.0,,,,,,
589,,toscana,,,BOTTLE,,,,0.0,,,,,,
