ok,matched_id,external_id,type,name,winery_name,area,size,vintage,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,wine_01gzr4ksmx97aa52e6ey6y937h,,RED,santa maddalena,Cantina di Bolzano,,HALF_BOTTLE,2021,1500,0,,,,,,,
FALSE,,,SPARKLING,champagne cuvée brut,Laurent Perrier,,BOTTLE,,8000,2,,,,,,,
TRUE,wine_01gzr4ks5h7z6yfdmcpd6fmyrq,,SPARKLING,champagne millesimato,Laurent Perrier,,BOTTLE,2004,9500,1,,,,,,,
TRUE,wine_01gzr4ks5h7z6yfdmcpd6fmyrq,,SPARKLING,champagne millesimato,Laurent Perrier,,BOTTLE,2008,9500,2,,,,,,,
TRUE,wine_01gzr4ks5h7z6yfdmcpd6fmyrq,,SPARKLING,champagne millesimato,Laurent Perrier,,MAGNUM,2008,0,2,,,,,,,
TRUE,wine_01gzr4ks5hfqf9jmzma14b516x,,SPARKLING,champagne cuvée rosé,Laurent Perrier,,BOTTLE,,11000,3,,,,,,,
TRUE,wine_01gzr4ks5hfqf9jmzma14b516x,,SPARKLING,champagne cuvée rosé,Laurent Perrier,,MAGNUM,,23000,2,,,,,,,
TRUE,wine_01gzr4ksd1q5hvwrcr5dxtbzer,,SPARKLING,champagne,Dom Perignon,,MAGNUM,2010,85000,1,,,,,,,
TRUE,wine_01gzr4ksd1q5hvwrcr5dxtbzer,,SPARKLING,champagne,Dom Perignon,,BOTTLE,2008,0,1,,,,,,,
TRUE,wine_01gzr4ksd1q5hvwrcr5dxtbzer,,SPARKLING,champagne,Dom Perignon,,BOTTLE,2010,40000,1,,,,,,,
TRUE,wine_01gzr4ksd1q5hvwrcr5dxtbzer,,SPARKLING,champagne,Dom Perignon,,BOTTLE,2012,38000,2,,,,,,,
TRUE,wine_01gzr4ksd1q5hvwrcr5dxtbzer,,SPARKLING,champagne,Dom Perignon,,BOTTLE,2013,38000,12,,,,,,,
TRUE,wine_01h4pmmgjk9c8jwnwh37ef11er,,SPARKLING,champagne brut,Petrois Moriset,,BOTTLE,,8000,2,,,,,,,
TRUE,wine_01gzr4ks7h5x1nhhc1jnbgbg29,,RED,champagne 168 edition,Krug,,BOTTLE,,45000,0,EDITION 168,,,,,,
FALSE,,,SPARKLING,champagne,Bollinger,,MAGNUM,,23000,0,,,,,,,
FALSE,,,SPARKLING,champagne brut nature,Dechannes,,BOTTLE,,8500,19,,,,,,,
TRUE,wine_01h0f3cmbqnvdq5kscwabbx3c1,,SPARKLING,franciacorta satèn,Monte Rossa,,MAGNUM,,8000,0,,,,,,,
TRUE,wine_01gzr4ksygzz5y5ekqgag8qk60,,SPARKLING,spumante riesling brut,P. J. Kuhn,,BOTTLE,2019,5000,15,,,,,,,
FALSE,,,SPARKLING,spumante extra brut,Loredan Gasparini,,BOTTLE,1979,4500,0,,,,,,,
FALSE,,,SPARKLING,spumante extra brut,Loredan Gasparini,,BOTTLE,2019,4500,0,,,,,,,
TRUE,wine_01j0zt8v6k9xptvzh6ncy2qykh,,SPARKLING,valdobbiadene docg prosecco superiore extra dry,Agostinetto,,BOTTLE,,2500,82,,,,,,,
TRUE,wine_01j0ztcp4mfns09y2hhv64k767,,SPARKLING,cartizze valdobbiadene docg prosecco superiore dry,Agostinetto,,BOTTLE,2021,4800,9,,,,,,,
TRUE,wine_01j0ztcp4mfns09y2hhv64k767,,SPARKLING,cartizze valdobbiadene docg prosecco superiore dry,Agostinetto,,BOTTLE,2020,4800,11,,,,,,,
TRUE,wine_01j0ztcp4mfns09y2hhv64k767,,SPARKLING,cartizze valdobbiadene docg prosecco superiore dry,Agostinetto,,BOTTLE,2022,4800,27,,,,,,,
FALSE,,,SPARKLING,valdobbiadene docg brut,Ra Spondes de Edy,,BOTTLE,,0,44,,,,,,,
TRUE,wine_01gzr4kt16tdk7jjzebza8w21c,,WHITE,pinot bianco,Elena Walch,,BOTTLE,2021,2400,2,,,,,,,
TRUE,wine_01gzr4kt16tdk7jjzebza8w21c,,WHITE,pinot bianco,Elena Walch,,BOTTLE,2022,2400,32,,,,,,,
TRUE,wine_01j0zv8h3b7j0pnq7pz2sjjr94,,WHITE,sylvaner stiftsgarten,Abbazia di Novacella,,BOTTLE,2019,9800,6,,,,,,,
TRUE,wine_01gzr4kskx095ns4s3qs8j5kpb,,WHITE,friulano,Az. Agricola Toros,,BOTTLE,2022,4500,10,,,,,,,
TRUE,wine_01gzr4ksedz1vcfmrdc48yft05,,WHITE,pinot grigio,Marco Levis,,BOTTLE,2020,0,5,,,,,,,
FALSE,,,ROSE,prenhite verdeca salento igp,Vespa Vignaioli,,BOTTLE,,0,0,,,,,,,
FALSE,,,SPARKLING,vernaccia extra,Produttori riuniti,,BOTTLE,1968,0,1,,,,,,,
FALSE,,,WHITE,riesling smaragd wachau,Nikolaihof,,BOTTLE,2016,7200,3,,,,,,,
TRUE,wine_01havwefgv1nbsm9d3f2xmhpvt,,WHITE,grüner veltliner,Stift Kloster Neuburg,,BOTTLE,2021,3500,3,,,,,,,
TRUE,wine_01hcwsykgnqzb4603sngfh3265,,WHITE,weißburgunder,Stift Kloster Neuburg,,BOTTLE,2021,3500,5,,,,,,,
TRUE,wine_01j0zvk0fcg27hk14bjcrj6y8e,,WHITE,chardonnay,Stift Kloster Neuburg,,BOTTLE,2021,6600,0,,,,,,,
TRUE,wine_01j0zvp8s2ddt5kegj1nwbw7s9,,WHITE,chablis mise tardive bio,Domaine Pattes Loup,,BOTTLE,2020,7500,0,,,,,,,
FALSE,,,WHITE,équinoxe viognier sauvignon,Domaine Daniel-Etienne Defaix,,BOTTLE,2022,3300,0,,,,,,,
TRUE,wine_01harvcm2kpcnj8jqq74yr0azj,,WHITE,riesling réserve,Domaine Weinbach,,BOTTLE,2017,5400,1,,,,,,,
TRUE,wine_01j0zvyyszz3mcjjvhesfzv8yx,,RED,muscat réserve,Domaine Weinbach,,BOTTLE,2011,5400,3,,,,,,,
FALSE,,,WHITE,chardonnay saint aubin,Domaine Morey Coffinet,,BOTTLE,2020,8800,2,,,,,,,
TRUE,wine_01h0qsxnwz70q6w0v4cqqjx95m,,WHITE,chablis,Thomas Pico,,BOTTLE,2020,0,0,,,,,,,
FALSE,,,WHITE,chardonnay,Weingut Martin Wassmer,,BOTTLE,2021,0,6,,,,,,,
TRUE,wine_01h0my5vcz375gy7awwx0mypkq,,RED,espirit grassier,ed limitata,,BOTTLE,,0,2,,,,,,,
TRUE,wine_01gzr4ksjs12mrknne9jkvw99q,,WHITE,rosso phigaia,Serafini Vidotto,,BOTTLE,2020,4500,1,,,,,,,
TRUE,wine_01gzr4ksjs12mrknne9jkvw99q,,WHITE,rosso phigaia,Serafini Vidotto,,BOTTLE,2021,4500,12,,,,,,,
TRUE,wine_01gzr4ksjs12mrknne9jkvw99q,,WHITE,rosso phigaia magnum,Serafini Vidotto,,MAGNUM,2020,9000,1,,,,,,,
TRUE,wine_01gzr4kt1vn9r93hj39fqz2w46,,RED,valpolicella superiore il vegro (ripassa),Brigaldara,,BOTTLE,2020,3600,10,,,,,,,
TRUE,wine_01gzr4kt1vn9r93hj39fqz2w46,,RED,valpolicella superiore il vegro (ripassa),Brigaldara,,MAGNUM,2019,8000,2,,,,,,,
TRUE,wine_01gzr4kt31h001j97ye508b9pf,,RED,merlot ad nonam,Mosole,,BOTTLE,2016,5200,7,,,,,,,
TRUE,wine_01h0my5sa34h23fs9v85bm5gda,,RED,amarone,Allegrini,,BOTTLE,2017,10000,0,,,,,,,
TRUE,wine_01h0my5sa34h23fs9v85bm5gda,,RED,amarone,Allegrini,,BOTTLE,2018,10000,0,,,,,,,
TRUE,wine_01h0my5ttrjwftna2cyk0pvf2g,,RED,amarone corte giara,Allegrini,,BOTTLE,2017,6600,0,,,,,,,
TRUE,wine_01h0my5ttrjwftna2cyk0pvf2g,,RED,amarone corte giara,Allegrini,,BOTTLE,2019,6600,0,,,,,,,
TRUE,wine_01h0my5ttrjwftna2cyk0pvf2g,,RED,amarone corte giara,Allegrini,,BOTTLE,2020,6600,0,,,,,,,
TRUE,wine_01gzr4kt1x9cwbkfx2k4s0ybdz,,DESSERT,amarone campolongo,Masi,,BOTTLE,2013,14500,2,,,,,,,
TRUE,wine_01h0my5rn7c83fxcdd6pzs6pst,,DESSERT,amarone s. urbano,Speri,,BOTTLE,2017,9000,4,,,,,,,
TRUE,wine_01h0my5rn7c83fxcdd6pzs6pst,,DESSERT,amarone s. urbano,Speri,,BOTTLE,2013,9000,3,,,,,,,
TRUE,wine_01h0my5rn7c83fxcdd6pzs6pst,,DESSERT,amarone s.urbano,Speri,,BOTTLE,2013,7800,1,,,,,,,
TRUE,wine_01h0my5rn7c83fxcdd6pzs6pst,,DESSERT,amarone s.urbano,Speri,,BOTTLE,2018,7800,6,,,,,,,
TRUE,wine_01h0my5rn7c83fxcdd6pzs6pst,,DESSERT,amarone s.urbano,Speri,,BOTTLE,2019,7800,6,,,,,,,
TRUE,wine_01h0qzm02r1t20fvyzh3c7y1pt,,RED,valpolicella s.urbano,Speri,,BOTTLE,2015,3700,7,,,,,,,
TRUE,wine_01h0qzm02r1t20fvyzh3c7y1pt,,RED,valpolicella s.urbano,Speri,,BOTTLE,2019,3700,6,,,,,,,
TRUE,wine_01h0qzm02r1t20fvyzh3c7y1pt,,RED,valpolicella s.urbano,Speri,,BOTTLE,2020,3700,6,,,,,,,
TRUE,wine_01gzr4ktr2apqd5gey0ack69g2,,RED,merlot cabernet,La Montecchia,,BOTTLE,2019,2800,4,,,,,,,
TRUE,wine_01gzr4ktr2apqd5gey0ack69g2,,RED,merlot cabernet,La Montecchia,,BOTTLE,2020,2800,3,,,,,,,
TRUE,wine_01gzr4ktr2tczayanqgfpdnxhc,,RED,carmenere progetto recupero,La Montecchia,,BOTTLE,2020,3200,2,,,,,,,
TRUE,wine_01gzr4ktr2tczayanqgfpdnxhc,,RED,carmenere progetto recupero,La Montecchia,,BOTTLE,2021,3200,25,,,,,,,
TRUE,wine_01hcwvb3jp1e7p4swv330665sj,,RED,carmenere rosso,Az. Agr. Puntozero,,BOTTLE,2016,4800,4,,,,,,,
TRUE,wine_01hawwd02gnr9hfw2tgxhsh33e,,RED,tai rosso,Az. Agr. Puntozero,,BOTTLE,2018,4800,1,,,,,,,
