wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
wine_01h0f3cmbmtvmkd6m243g38m9r,2,HALF_BOTTLE,0,8500,,,23,
wine_01gzr4ksd2c8ryrf1nbh9jb83z,3,HALF_BOTTLE,0,8000,,,19,
wine_01gzr4kt325ke5a89bn0htwnth,4,HALF_BOTTLE,2017,2500,,,0,
wine_01h0my5rkfn2n674ha22pp9c5t,6,HALF_BOTTLE,2021,1500,,,0,
wine_01h0my5rkfn2n674ha22pp9c5t,6,HALF_BOTTLE,2022,1500,,,0,
wine_01gzr4ksn5hrrj46e95x5nft46,7,HALF_BOTTLE,2021,2400,,,0,
wine_01gzr4kskmqsygy5twfbkqscmt,8,HALF_BOTTLE,2021,1800,,,0,
wine_01h0qzm1m0jdc2sp5dgy3mp5mn,9,HALF_BOTTLE,2019,1800,,,0,
wine_01h0qzm1m0jdc2sp5dgy3mp5mn,9,HALF_BOTTLE,2020,1800,,,0,
wine_01gzr4kt1xkn9a0dhjgrp1qk93,10,HALF_BOTTLE,2020,2300,,,0,
wine_01gzr4ksd3m8y62ggabzd1kdmg,11,HALF_BOTTLE,2019,13000,,,10,
wine_01gzr4ksd1fnr67jf8jfan1y6x,12,HALF_BOTTLE,2019,2700,,,0,
wine_01gzr4ksd2ry507c65jp5spd8w,13,HALF_BOTTLE,2017,4200,,,0,
wine_01h0my5rkqbb3j0f3arg0mf2m2,14,HALF_BOTTLE,2021,1600,,,4,
wine_01gzr4ks5k4qtn5npr60e2rt4j,22,BOTTLE,0,0,,,13,
wine_01gzr4ks5kmab15rpdg1a2qmh0,23,MAGNUM,2014,0,,,2,
wine_01gzr4ks5k6ak3y9g7ejccn89n,24,BOTTLE,0,8000,,,83,
wine_01gzr4ks5k6ak3y9g7ejccn89n,25,MAGNUM,0,16000,,,14,
wine_01gzr4ks5k1kgj587bjxt5bmxj,26,BOTTLE,0,8000,,,10,
wine_01gzr4ks5k1n7gs6yac49487z1,27,BOTTLE,0,8000,,,3,
wine_01gzr4ksvfgrc285c6yxqxf23v,28,BOTTLE,0,8000,,,0,
wine_01gzr4ks63nx7n95vw12dcynhy,34,BOTTLE,0,8500,,,2,
wine_01h4pmmghf450gmej3xcj6c3vs,36,BOTTLE,0,9000,,,1,
wine_01gzr4ks7h5x1nhhc1jnbgbg29,38,BOTTLE,2017,45000,,,0,
wine_01gzr4ks6axf9040f937x9p6wx,40,MAGNUM,0,21000,,,4,
wine_01gzr4ks5tefbv8mz37yrb2ndk,42,MAGNUM,0,22000,,,5,
wine_01gzr4ks5tqthh4jv8natgmek8,43,BOTTLE,2013,42000,,,1,
wine_01gzr4ks5tkz3teyz5d7mgv3q3,44,BOTTLE,0,9500,,,0,
wine_01gzr4ks5tkz3teyz5d7mgv3q3,45,MAGNUM,2017,16000,,,0,
wine_01gzr4ks5vqd44r3ahjcpe303m,46,BOTTLE,2012,14000,,,6,
