external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
87675645678.0,WHITE,ANJOU EFFUSION,DOMAINE PATRICK BAUDOUIN,,,2021.0,55,,3.0,Purchase Price: 25.5,Effusion Anjou,Domaine Patrick Baudouin,wine_01gzr4ksv6vxdj40bkm2gr757v,1170915.0,53.551094
87964368979.0,WHITE,ANJOU LE CORNILLARD,DOMAINE PATRICK BAUDOUIN,,,2020.0,90,,3.0,Purchase Price: 39.5,Le Cornillard Anjou,Domaine Patrick Baudouin,wine_01hfxnej6sxrdzn4zwk84kw12k,,57.664772
76778687575764.0,WHITE,ARNEIS ROERO ARNEIS,GIACOMO FENOCCHIO,,,2022.0,28,,16.0,Purchase Price: 11.0,Roero Arneis,Giacomo Fenocchio,wine_01gzr4kshavpmebgy4jytzz579,1240927.0,57.417046
,RED,BARBARESCO ASILI,AZ FALLETTO DI BRUNO GIACOSA,,,2015.0,200,,1.0,Purchase Price: 135.0,Falletto Barbaresco Asili,Bruno Giacosa,wine_01h0my5sc8vd986x3ce79gtejz,,50.58529
8033254938449.0,RED,BARBARESCO ASILI,CERETTO,,,2018.0,190,,2.0,Purchase Price: 98.0,Barbaresco Asili,Ceretto,wine_01gzr4kt6enqzcxbj3s8h0xebm,,46.458588
,RED,BARBARESCO BARBARESCO,FRANCESCO RINALDI E FIGLI,,,2019.0,65,,3.0,Purchase Price: 26.15,Barbaresco,Francesco Rinaldi & Figli,wine_01gzr4kt3bpmpa3tdjc874h6fz,,58.604416
98767546.0,RED,BARBARESCO BARBARESCO,FRANCESCO RINALDI E FIGLI,,,2019.0,70,,3.0,Purchase Price: 26.15,Barbaresco,Francesco Rinaldi & Figli,wine_01gzr4kt3bpmpa3tdjc874h6fz,,58.604416
,RED,BARBARESCO BARBARESCO,GAJA,,,2019.0,250,,2.0,Purchase Price: 0.0,Barbaresco,Gaja,wine_01gzr4ksd3m8y62ggabzd1kdmg,66104.0,40.829628
,RED,BARBARESCO BARBARESCO,LUIGI ODDERO,,,2020.0,55,,6.0,Purchase Price: 22.5,Barbaresco,Luigi Oddero,wine_01h0my5scee8xhmrwne6tzt3wr,,51.1756
8025022000014.0,RED,BARBARESCO BARBARESCO,PRODUTTORI BARBARESCO,,,2019.0,55,,2.0,Purchase Price: 20.0,Barbaresco,Produttori del Barbaresco,wine_01gzr4ksd2q77fb88zxfbzs90f,19265.0,50.447025
,RED,BARBARESCO BASARIN,ANGELO NEGRO,,,2019.0,75,,6.0,Purchase Price: 30.0,Barbaresco Basarin,Negro Angelo,wine_01gzr4kts27p4kajygc89h1rdr,,53.42534
8033254938463.0,RED,BARBARESCO GALLINA,CERETTO,,,2018.0,125,,1.0,Purchase Price: 58.0,Gallina Barbaresco,Ceretto,wine_01gzr4kt6erktcrbpfre4gvckk,,43.163574
8033254939729.0,RED,BARBARESCO GALLINA,CERETTO,,,2019.0,140,,6.0,Purchase Price: 63.0,Gallina Barbaresco,Ceretto,wine_01gzr4kt6erktcrbpfre4gvckk,,43.163574
89798686668.0,RED,BARBARESCO RONGALIO,AZ AGR ORLANDO ABRIGO,,,2012.0,80,,2.0,Purchase Price: 28.0,Rongalio Barbaresco,Orlando Abrigo,wine_01gzr4kt6f2mskhn6m8j5ak12m,,59.401947
,RED,BARBARESCO SERRABOELLA,F.LLI CIGLIUTI,,,2018.0,85,,1.0,Purchase Price: 39.0,Serraboella Barbaresco,Cigliuti,wine_01h0my5sc9j46dpzyz50v153mv,,49.5612
876545567.0,RED,BARBARESCO TTETTINEIVE,SCARPA,,,2018.0,70,,5.0,Purchase Price: 30.0,Tettineive Barbaresco,Scarpa,wine_01h0my5sc9esmqz0vncjj9qv3g,,45.854855
,RED,BARBERA BARBERA,BRUNO GIACOSA,,,2020.0,45,,2.0,Purchase Price: 20.0,Barbera d’Alba,Bruno Giacosa,wine_01h0my5sd413jaef1wska2pker,,43.9661
98078786756.0,RED,BARBERA BARBERA D'ALBA,ROAGNA,,,2018.0,95,,3.0,Purchase Price: 36.5,Barbera d’Alba,Roagna,wine_01h0my5sdbzr5ygk4fjsyqbwx2,,40.986477
8000160602405.0,RED,BARBERA BARBERA D'ASTI SUP,CÀ BIANCA,,,2014.0,35,,2.0,Purchase Price: 14.0,Barbera,Villa Bianca,wine_01hfxnej76rqdqkjztx35wrts4,,30.43366
