wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
wine_01gzr4ksv6vxdj40bkm2gr757v,87675645678,BOTTLE,2021,5500,,,3,Purchase Price: 25.5
wine_01hfxnej6sxrdzn4zwk84kw12k,87964368979,BOTTLE,2020,9000,,,3,Purchase Price: 39.5
wine_01gzr4kshavpmebgy4jytzz579,76778687575764,BOTTLE,2022,2800,,,16,Purchase Price: 11.0
wine_01h0my5sc8vd986x3ce79gtejz,,BOTTLE,2015,20000,,,1,Purchase Price: 135.0
wine_01gzr4kt6enqzcxbj3s8h0xebm,8033254938449,MAGNUM,2018,19000,,,2,Purchase Price: 98.0
wine_01gzr4kt3bpmpa3tdjc874h6fz,98767546,BOTTLE,2019,7000,,,3,Purchase Price: 26.15
wine_01gzr4ksd3m8y62ggabzd1kdmg,,BOTTLE,2019,25000,,,2,Purchase Price: 0.0
wine_01h0my5scee8xhmrwne6tzt3wr,,BOTTLE,2020,5500,,,6,Purchase Price: 22.5
wine_01gzr4ksd2q77fb88zxfbzs90f,8025022000014,BOTTLE,2019,5500,,,2,Purchase Price: 20.0
wine_01gzr4kts27p4kajygc89h1rdr,,BOTTLE,2019,7500,,,6,Purchase Price: 30.0
wine_01gzr4kt6erktcrbpfre4gvckk,8033254938463,BOTTLE,2018,12500,,,1,Purchase Price: 58.0
wine_01gzr4kt6erktcrbpfre4gvckk,8033254939729,BOTTLE,2019,14000,,,6,Purchase Price: 63.0
wine_01gzr4kt6f2mskhn6m8j5ak12m,89798686668,BOTTLE,2012,8000,,,2,Purchase Price: 28.0
wine_01h0my5sc9j46dpzyz50v153mv,,BOTTLE,2018,8500,,,1,Purchase Price: 39.0
wine_01h0my5sc9esmqz0vncjj9qv3g,876545567,BOTTLE,2018,7000,,,5,Purchase Price: 30.0
wine_01h0my5sd413jaef1wska2pker,,BOTTLE,2020,4500,,,2,Purchase Price: 20.0
wine_01h0my5sdbzr5ygk4fjsyqbwx2,98078786756,BOTTLE,2018,9500,,,3,Purchase Price: 36.5
wine_01gzr4ksd7nkzvrd352xa1jetm,878777897987,MAGNUM,2018,18000,,,1,Purchase Price: 50.0
wine_01gzr4ksd7nkzvrd352xa1jetm,79867576889,MAGNUM,2019,18000,,,2,Purchase Price: 55.0
wine_01h0my5sf1cy39hqm8vw3m5kt5,,BOTTLE,2019,7000,,,18,Purchase Price: 26.0
wine_01h0my5sy3y1kqf6tebnn50gnt,77659786767,BOTTLE,2018,7500,,,6,Purchase Price: 30.0
