wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
wine_01h4pmmgfy08yerfdpw3e1nn87,76985786798656.0,BOTTLE,0,7500,,,5,Purchase Price: 28.0
wine_01h0qsxnwxxyn6gw9x9emernrx,8030202000012.0,BOTTLE,2019,2800,,,6,Purchase Price: 9.5
wine_01hfxrdztwzmqbyqa5j1cpxjxm,8000160602405.0,BOTTLE,2014,3500,,,2,Purchase Price: 14.0
wine_01hfxrpqw1d4re9846pkfws77h,8032535710101.0,BOTTLE,2019,18000,,,6,Purchase Price: 72.0
wine_01h0my5svs7adt53p5t6dv3xpr,879678567543.0,BOTTLE,2021,3800,,,4,Purchase Price: 12.9
wine_01hfxs4veehzsq6yq7pfxsdjhz,,BOTTLE,2022,2800,,,3,Purchase Price: 9.8
wine_01hfxs7gw6yyxjew800p0xadm6,7896753424.0,BOTTLE,2020,5000,,,6,Purchase Price: 20.5
wine_01hfxsdc5gtv9hgzwy2zwxj6pp,3418760000654.0,BOTTLE,0,7500,,,2,Purchase Price: 35.0
wine_01h4pmmfqcyysghv0mek0j6s6g,9807867364.0,BOTTLE,2018,4500,,,6,Purchase Price: 19.95
wine_01h0my5sg59te3j654ybsjgtch,,BOTTLE,2020,2800,,,11,Purchase Price: 10.5
wine_01gzr4kskvm3nhww98d0j0yak0,8004312257000.0,BOTTLE,2020,3800,,,6,Purchase Price: 15.0
wine_01gzr4ksd4xdbyp498dk50r5wm,78657647578697.0,BOTTLE,2020,9500,,,3,Purchase Price: 36.9
wine_01hfxst37yy388e347hdw5te0e,8032568161086.0,BOTTLE,2020,3500,,,6,Purchase Price: 14.9
wine_01gzr4ksmx8j7wf932qwg4zj25,800431276004.0,BOTTLE,2020,3200,,,6,Purchase Price: 13.2
wine_01h0qzm1bkj0f9phkdc1jyez50,,BOTTLE,2012,5500,,,1,Purchase Price: 0.0
wine_01h0my5vv5gyb4p1qe0mn2s0yg,8010788010094.0,BOTTLE,2022,2500,,,33,Purchase Price: 7.8
wine_01h0my5svskw2k2ftxtdbkez5k,8796755667.0,BOTTLE,2021,8500,,,6,Purchase Price: 35.0
