name,size,vintage,price
Prosecco Brut DOCG Adami,,,2500
Cartizze DRY docg Adami,,,5500
Altemasi Trento Millesimato Cavit,,2018,4500
"Trento DOC Brut 51,151 Moser",,,5900
Ferrari Perlè F.lli Lunelli,,2017,7000
Ferrari Rose' F.lli Lunelli,,2016,9000
Giulio Ferrrari F.lli Lunelli,,2010,33000
Giulio Ferrrari Rose' F.lli Lunelli,,2009,39000
Riserva Bruno Lunelli F.lli Lunelli,,2006,120000
Franciacorta Brut Il Mosnel,,,4400
Franciacorta Cuvèe Prestige Cà del Bosco,,,6500
Franciacorta Cuvèe Prestige Rose' Cà del Bosco,,,10000
Franciacorta Sàten Cà del Bosco,,2018,9600
Franciacorta Dosage Zéro Cà del Bosco,,2018,9600
Annamaria Clementi Cuvee' Brut Cà del Bosco,,2014,21000
Vranken Diamant Brut Pommery,,,9600
Vranken Diamant Rose' Pommery,,,12000
Philipponnat Royale Reserve Brut ,,,12000
Philipponnat Royale Reserve Non Dose' ,,,12000
Bollinger Special Cuvee' ,,,13000
Veuve Clicquot Cuvee Saint-Petersbourg ,,,11000
Pol Roger Brut Reserve ,,,12000
Perrier-Jouet Grand Brut ,,,15000
Veuve Clicquot Extra Brut Extra Old ,,,14000
Ruinart Blanc de Blancs ,,,18000
Ruinart Rosé ,,,18000
Delamotte Blanc de Blancs ,,,15000
Delamotte Blanc de Blancs ,,2014,23000
"Pertois-Moriset ""Special Club"" ",,2015,24000
Perrier-Jouet Belle Epoque ,,2013,34000
Comtes De Champagne Grands Crus Blanc de Blancs ,,2007,30000
Krug Gran Cuvee' ,,2006,64000
Dom Perignon Vintage ,,2012,45000
Dom Perignon Rose' ,,2006,74000
Dom Perignon P2 ,,2003,86000
Cristal Louis Roederer ,,2013,40000
Jacques Selosse Initial ,,,45000
Jacques Selosse Substance ,,,64000
Taittinger Collection Sebastiao Salgado ,,2008,51000
"Salon Cuvee ""S"" Le Mesnil ",,2012,155000
Laurent-Perrier Brut,HALF_BOTTLE,,4100
Laurent-Perrier La Cuvèe Brut ,,,8500
Laurent-Perrier La Cuvèe Brut (Magnum),MAGNUM,,21000
Laurent-Perrier La Cuvèe Brut (Mathusalem),MATHUSALEM,,88000
Laurent-Perrier Ultra Brut ,,,12500
Laurent-Perrier Millesimè ,,2008,10500
