external_id,name,winery_name,type,storage_area,size,vintage,price,info,quantity,internal_notes
,Prosecco Brut DOCG Adami,Prosecco Brut DOCG Adami,,,BOTTLE,,2500.0,,50,
,Cartizze DRY docg Adami,Cartizze DRY docg Adami,,,BOTTLE,,5500.0,,50,
,Altemasi Trento Millesimato Cavit,Altemasi Trento Millesimato Cavit,,,BOTTLE,2018.0,4500.0,,50,
,"Trento DOC Brut 51,151 Moser","Trento DOC Brut 51,151 Moser",,,BOTTLE,,5900.0,,50,
,Ferrari Perlè F.lli Lunelli,Ferrari Perlè F.lli Lunelli,,,BOTTLE,2017.0,7000.0,,50,
,Ferrari Rose' F.lli Lunelli,Ferrari Rose' F.lli Lunelli,,,BOTTLE,2016.0,9000.0,,50,
,Giulio Ferrrari F.lli Lunelli,Giulio Ferrrari F.lli Lunelli,,,BOTTLE,2010.0,33000.0,,50,
,Giulio Ferrrari Rose' F.lli Lunelli,Giulio Ferrrari Rose' F.lli Lunelli,,,BOTTLE,2009.0,39000.0,,50,
,Riserva Bruno Lunelli F.lli Lunelli,Riserva Bruno Lunelli F.lli Lunelli,,,BOTTLE,2006.0,120000.0,,50,
,Franciacorta Brut Il Mosnel,Franciacorta Brut Il Mosnel,,,BOTTLE,,4400.0,,50,
,Franciacorta Cuvèe Prestige Cà del Bosco,Franciacorta Cuvèe Prestige Cà del Bosco,,,BOTTLE,,6500.0,,50,
,Franciacorta Cuvèe Prestige Rose' Cà del Bosco,Franciacorta Cuvèe Prestige Rose' Cà del Bosco,,,BOTTLE,,10000.0,,50,
,Franciacorta Sàten Cà del Bosco,Franciacorta Sàten Cà del Bosco,,,BOTTLE,2018.0,9600.0,,50,
,Franciacorta Dosage Zéro Cà del Bosco,Franciacorta Dosage Zéro Cà del Bosco,,,BOTTLE,2018.0,9600.0,,50,
,Annamaria Clementi Cuvee' Brut Cà del Bosco,Annamaria Clementi Cuvee' Brut Cà del Bosco,,,BOTTLE,2014.0,21000.0,,50,
,Vranken Diamant Brut Pommery,Vranken Diamant Brut Pommery,,,BOTTLE,,9600.0,,50,
,Vranken Diamant Rose' Pommery,Vranken Diamant Rose' Pommery,,,BOTTLE,,12000.0,,50,
,Philipponnat Royale Reserve Brut ,Philipponnat Royale Reserve Brut ,,,BOTTLE,,12000.0,,50,
,Philipponnat Royale Reserve Non Dose' ,Philipponnat Royale Reserve Non Dose' ,,,BOTTLE,,12000.0,,50,
,Bollinger Special Cuvee' ,Bollinger Special Cuvee' ,,,BOTTLE,,13000.0,,50,
,Veuve Clicquot Cuvee Saint-Petersbourg ,Veuve Clicquot Cuvee Saint-Petersbourg ,,,BOTTLE,,11000.0,,50,
,Pol Roger Brut Reserve ,Pol Roger Brut Reserve ,,,BOTTLE,,12000.0,,50,
,Perrier-Jouet Grand Brut ,Perrier-Jouet Grand Brut ,,,BOTTLE,,15000.0,,50,
,Veuve Clicquot Extra Brut Extra Old ,Veuve Clicquot Extra Brut Extra Old ,,,BOTTLE,,14000.0,,50,
,Ruinart Blanc de Blancs ,Ruinart Blanc de Blancs ,,,BOTTLE,,18000.0,,50,
,Ruinart Rosé ,Ruinart Rosé ,,,BOTTLE,,18000.0,,50,
,Delamotte Blanc de Blancs ,Delamotte Blanc de Blancs ,,,BOTTLE,,15000.0,,50,
,Delamotte Blanc de Blancs ,Delamotte Blanc de Blancs ,,,BOTTLE,2014.0,23000.0,,50,
,"Pertois-Moriset ""Special Club"" ","Pertois-Moriset ""Special Club"" ",,,BOTTLE,2015.0,24000.0,,50,
,Perrier-Jouet Belle Epoque ,Perrier-Jouet Belle Epoque ,,,BOTTLE,2013.0,34000.0,,50,
,Comtes De Champagne Grands Crus Blanc de Blancs ,Comtes De Champagne Grands Crus Blanc de Blancs ,,,BOTTLE,2007.0,30000.0,,50,
,Krug Gran Cuvee' ,Krug Gran Cuvee' ,,,BOTTLE,2006.0,64000.0,,50,
,Dom Perignon Vintage ,Dom Perignon Vintage ,,,BOTTLE,2012.0,45000.0,,50,
,Dom Perignon Rose' ,Dom Perignon Rose' ,,,BOTTLE,2006.0,74000.0,,50,
,Dom Perignon P2 ,Dom Perignon P2 ,,,BOTTLE,2003.0,86000.0,,50,
,Cristal Louis Roederer ,Cristal Louis Roederer ,,,BOTTLE,2013.0,40000.0,,50,
,Jacques Selosse Initial ,Jacques Selosse Initial ,,,BOTTLE,,45000.0,,50,
,Jacques Selosse Substance ,Jacques Selosse Substance ,,,BOTTLE,,64000.0,,50,
,Taittinger Collection Sebastiao Salgado ,Taittinger Collection Sebastiao Salgado ,,,BOTTLE,2008.0,51000.0,,50,
,"Salon Cuvee ""S"" Le Mesnil ","Salon Cuvee ""S"" Le Mesnil ",,,BOTTLE,2012.0,155000.0,,50,
,Laurent-Perrier Brut,Laurent-Perrier Brut,,,HALF_BOTTLE,,4100.0,,50,
,Laurent-Perrier La Cuvèe Brut ,Laurent-Perrier La Cuvèe Brut ,,,BOTTLE,,8500.0,,50,
,Laurent-Perrier La Cuvèe Brut (Magnum),Laurent-Perrier La Cuvèe Brut (Magnum),,,MAGNUM,,21000.0,,50,
,Laurent-Perrier La Cuvèe Brut (Mathusalem),Laurent-Perrier La Cuvèe Brut (Mathusalem),,,MATHUSALEM,,88000.0,,50,
,Laurent-Perrier Ultra Brut ,Laurent-Perrier Ultra Brut ,,,BOTTLE,,12500.0,,50,
,Laurent-Perrier Millesimè ,Laurent-Perrier Millesimè ,,,BOTTLE,2008.0,10500.0,,50,
,Laurent-Perrier Millesimè (Magnum),Laurent-Perrier Millesimè (Magnum),,,MAGNUM,2008.0,26000.0,,50,
,Laurent-Perrier Millesimè Riserva (Magnum),Laurent-Perrier Millesimè Riserva (Magnum),,,MAGNUM,1997.0,42000.0,,50,
,Laurent-Perrier Cuvèe Rosè ,Laurent-Perrier Cuvèe Rosè ,,,BOTTLE,,16500.0,,50,
,Laurent-Perrier Grand Siècle ,Laurent-Perrier Grand Siècle ,,,BOTTLE,,22000.0,,50,
,Laurent-Perrier Alexandra Grand Cuvèe Rosè ,Laurent-Perrier Alexandra Grand Cuvèe Rosè ,,,BOTTLE,2004.0,48000.0,,50,
,Franciacorta Cuvèe Prestige Cà del Bosco,Franciacorta Cuvèe Prestige Cà del Bosco,,,BOTTLE,,15000.0,,50,
,Franciacorta Cuvèe Prestige Rose' Cà del Bosco,Franciacorta Cuvèe Prestige Rose' Cà del Bosco,,,BOTTLE,,20000.0,,50,
,Ferrari Perlè F.lli Lunelli (Magnum),Ferrari Perlè F.lli Lunelli (Magnum),,,BOTTLE,,15000.0,,50,
,Veuve Clicquot Cuvèe Saint-Pètersbourg (Magnum),Veuve Clicquot Cuvèe Saint-Pètersbourg (Magnum),,,MAGNUM,,24500.0,,50,
,Bollinger Special Cuvée (Magnum),Bollinger Special Cuvée (Magnum),,,MAGNUM,,31000.0,,50,
,Ruinart Blanc de Blancs (Magnum),Ruinart Blanc de Blancs (Magnum),,,MAGNUM,,41000.0,,50,
,Ruinart Brut Rosè (Magnum),Ruinart Brut Rosè (Magnum),,,MAGNUM,,41000.0,,50,
,Cristal Louis Roederer (Magnum),Cristal Louis Roederer (Magnum),,,MAGNUM,2007.0,81000.0,,50,
,Krug (Magnum),Krug (Magnum),,,MAGNUM,2003.0,95000.0,,50,
,Les Clos Pompadour Millesime' (Magnum),Les Clos Pompadour Millesime' (Magnum),,,MAGNUM,2004.0,140000.0,,50,
,Dom Perignon Vintage (Magnum),Dom Perignon Vintage (Magnum),,,MAGNUM,2010.0,135000.0,,50,
,Taittinger Cuvèe Prestige Brut (Jeroboam),Taittinger Cuvèe Prestige Brut (Jeroboam),,,JEROBOAM,,41000.0,,50,
,Vranken Diamant Brut Pommery (Jeroboam),Vranken Diamant Brut Pommery (Jeroboam),,,JEROBOAM,,60000.0,,50,
,Bollinger Special Cuvée (Jeroboam),Bollinger Special Cuvée (Jeroboam),,,JEROBOAM,,94000.0,,50,
,Taittinger Cuvèe Prestige Brut (Mathusalem),Taittinger Cuvèe Prestige Brut (Mathusalem),,,MATHUSALEM,,70000.0,,50,
,Ruinart Blanc de Blancs (Jeroboam),Ruinart Blanc de Blancs (Jeroboam),,,JEROBOAM,,112000.0,,50,
,Comtes De Champagne Grands Crus Blanc de Blancs (Mathusalem),Comtes De Champagne Grands Crus Blanc de Blancs (Mathusalem),,,MATHUSALEM,2007.0,490000.0,,50,
,Rosè Cotes de Provence Minuty,Rosè Cotes de Provence Minuty,,,HALF_LITER,2021.0,3500.0,,50,
,"Rosè Cotes de Provence Limited Edition ""BY HANNA KL"" Minuty","Rosè Cotes de Provence Limited Edition ""BY HANNA KL"" Minuty",,,BOTTLE,2022.0,4600.0,,50,
,Rock Angel Caves D'Esclans,Rock Angel Caves D'Esclans,,,BOTTLE,2021.0,8200.0,,50,
,Soave classico Pieropan,Soave classico Pieropan,,,BOTTLE,2022.0,3500.0,,50,
,Lugana Cà dei Frati,Lugana Cà dei Frati,,,BOTTLE,2021.0,3900.0,,50,
,Friulano Borgo conventi,Friulano Borgo conventi,,,BOTTLE,2021.0,3500.0,,50,
,Friulano Primarùl Venica,Friulano Primarùl Venica,,,BOTTLE,2021.0,3800.0,,50,
,Pinot Grigio Lis Neris,Pinot Grigio Lis Neris,,,BOTTLE,2021.0,3800.0,,50,
,Vinnae Ribolla Gialla Jermann,Vinnae Ribolla Gialla Jermann,,,BOTTLE,2021.0,4300.0,,50,
,Sauvignon Jermann,Sauvignon Jermann,,,BOTTLE,2022.0,4100.0,,50,
,"Sauvignon ""Ronco delle Mele"" Venica","Sauvignon ""Ronco delle Mele"" Venica",,,BOTTLE,2021.0,7500.0,,50,
,Chardonnay Jermann,Chardonnay Jermann,,,BOTTLE,2021.0,4100.0,,50,
,Terre Alte (Sauvignon-P. Bianco-Friulano) Livio Felluga,Terre Alte (Sauvignon-P. Bianco-Friulano) Livio Felluga,,,BOTTLE,2019.0,9800.0,,50,
,Vintage Tunina Jermann,Vintage Tunina Jermann,,,BOTTLE,2020.0,8500.0,,50,
,Gewürztraminer Hofstätter,Gewürztraminer Hofstätter,,,BOTTLE,2021.0,3800.0,,50,
,Gewürztraminer Sanct Valentin St. Michele Appiano,Gewürztraminer Sanct Valentin St. Michele Appiano,,,BOTTLE,2021.0,5100.0,,50,
,Terlaner (Pinot Bianco–Chard.–Sauv. Blanc) Cantina Terlano,Terlaner (Pinot Bianco–Chard.–Sauv. Blanc) Cantina Terlano,,,BOTTLE,2022.0,4200.0,,50,
,Vorberg (Pinot Bianco) Cantina Terlano,Vorberg (Pinot Bianco) Cantina Terlano,,,BOTTLE,2018.0,5800.0,,50,
,Nova Domus (Pinot Bianco–Chard.–Sauv. Blanc) Cantina Terlano,Nova Domus (Pinot Bianco–Chard.–Sauv. Blanc) Cantina Terlano,,,BOTTLE,2017.0,8500.0,,50,
,Müller Thurgau Kurtatsch,Müller Thurgau Kurtatsch,,,BOTTLE,2021.0,3500.0,,50,
,Pinot Grigio Castel Ringberg Elena Walch,Pinot Grigio Castel Ringberg Elena Walch,,,BOTTLE,2022.0,5200.0,,50,
,Kerner Köfererhof,Kerner Köfererhof,,,BOTTLE,2021.0,3500.0,,50,
,Chardonnay Sanct Valentin St. Michele Appiano,Chardonnay Sanct Valentin St. Michele Appiano,,,BOTTLE,2020.0,5500.0,,50,
,Sauvignon Sanct Valentin St. Michele Appiano,Sauvignon Sanct Valentin St. Michele Appiano,,,BOTTLE,2021.0,5500.0,,50,
,Arneis Blange' Ceretto,Arneis Blange' Ceretto,,,BOTTLE,2021.0,3900.0,,50,
,Colli Torinesi Timorasso Vietti,Colli Torinesi Timorasso Vietti,,,BOTTLE,2020.0,5000.0,,50,
,Alteni di Brassica (Sauvignon) Gaja,Alteni di Brassica (Sauvignon) Gaja,,,BOTTLE,2020.0,21000.0,,50,
,Gaia & Rey (Chardonnay) Gaja,Gaia & Rey (Chardonnay) Gaja,,,BOTTLE,2020.0,40500.0,,50,
,Pomino Bianco Benefizio Frescobaldi,Pomino Bianco Benefizio Frescobaldi,,,BOTTLE,2017.0,4900.0,,50,
,"Gorgona ""Vermentino"" Frescobaldi","Gorgona ""Vermentino"" Frescobaldi",,,BOTTLE,2021.0,15500.0,,50,
,Ornellaia Bianco Tente Dell'Ornellaia,Ornellaia Bianco Tente Dell'Ornellaia,,,BOTTLE,2019.0,35000.0,,50,
,Cervaro Della Sala Antinori,Cervaro Della Sala Antinori,,,BOTTLE,2020.0,10000.0,,50,
,Cerdeña (Vermentino) Argiolas,Cerdeña (Vermentino) Argiolas,,,BOTTLE,2015.0,7600.0,,50,
,Riesling Trinbach,Riesling Trinbach,,,BOTTLE,2021.0,4000.0,,50,
,Riesling Grand Cru Neumeyer,Riesling Grand Cru Neumeyer,,,BOTTLE,2018.0,6000.0,,50,
,Gewürztraminer Grand Cru Pierre Frick,Gewürztraminer Grand Cru Pierre Frick,,,BOTTLE,2013.0,8500.0,,50,
,Riesling Grand Cru Brand Trinbach,Riesling Grand Cru Brand Trinbach,,,BOTTLE,2018.0,12000.0,,50,
,Riesling Clos Ste Hune Trinbach,Riesling Clos Ste Hune Trinbach,,,BOTTLE,2017.0,60000.0,,50,
,Sancerre Cuvee' Satellite Alphonse Mellot,Sancerre Cuvee' Satellite Alphonse Mellot,,,BOTTLE,2022.0,18000.0,,50,
,Pur Sang Poully Fume' (Sauvignon) Didier Dagueneau,Pur Sang Poully Fume' (Sauvignon) Didier Dagueneau,,,BOTTLE,2019.0,27000.0,,50,
,Bourgogne Aligote' Reyane & Pascal Bouley,Bourgogne Aligote' Reyane & Pascal Bouley,,,BOTTLE,2019.0,4900.0,,50,
,Bourgogne Hautes- Cotes de Nuits Guy & Yvan Dufouleur,Bourgogne Hautes- Cotes de Nuits Guy & Yvan Dufouleur,,,BOTTLE,2019.0,5200.0,,50,
,Chardonnay Terres de Famille Domaine de la Vougeraie,Chardonnay Terres de Famille Domaine de la Vougeraie,,,BOTTLE,2018.0,5700.0,,50,
,Bourgogne Cote d'Or Patrick Javillier,Bourgogne Cote d'Or Patrick Javillier,,,BOTTLE,2019.0,6000.0,,50,
,Bourgogne Chardonnay Pierre Labet,Bourgogne Chardonnay Pierre Labet,,,BOTTLE,2019.0,9000.0,,50,
,Puligny-Montrachet Domaine de la Vougeraie,Puligny-Montrachet Domaine de la Vougeraie,,,BOTTLE,2019.0,12500.0,,50,
,Berthet-Bondet Chateau Chalon,Berthet-Bondet Chateau Chalon,,,BOTTLE,2014.0,18000.0,,50,
,Chassagne Montrachet 1er Cru Lucien le Moine,Chassagne Montrachet 1er Cru Lucien le Moine,,,BOTTLE,2018.0,24900.0,,50,
,Charlemagne Grand Cru Domaine de la Vougeraie,Charlemagne Grand Cru Domaine de la Vougeraie,,,BOTTLE,2019.0,34000.0,,50,
,Batard Montrachet Grand Cru Fontaine Gagnard,Batard Montrachet Grand Cru Fontaine Gagnard,,,BOTTLE,2019.0,63000.0,,50,
,Chablis Premier Cru Vosgros Magnum Gilbert Picq,Chablis Premier Cru Vosgros Magnum Gilbert Picq,,,BOTTLE,2020.0,19000.0,,50,
,Meursault Charmes 1er Cru Magnum Domaine Jean Marie Bouzerau,Meursault Charmes 1er Cru Magnum Domaine Jean Marie Bouzerau,,,BOTTLE,2014.0,35000.0,,50,
,Grüner Veltliner Federspiel Nikolaihof,Grüner Veltliner Federspiel Nikolaihof,,,BOTTLE,2020.0,4500.0,,50,
,Riesling Federspiel Nikolaihof,Riesling Federspiel Nikolaihof,,,BOTTLE,2020.0,5000.0,,50,
,Riesling Vom Schiefer Ansgar Clusserath,Riesling Vom Schiefer Ansgar Clusserath,,,BOTTLE,2017.0,3500.0,,50,
,Riesling Quarzit Peter Jacob Kühn,Riesling Quarzit Peter Jacob Kühn,,,BOTTLE,2020.0,7400.0,,50,
,Chardonnay Beringer,Chardonnay Beringer,,,BOTTLE,2020.0,3300.0,,50,
,Valpolicella Le Salette,Valpolicella Le Salette,,,BOTTLE,2021.0,3300.0,,50,
,Valpolicella Classico Superiore Zymè,Valpolicella Classico Superiore Zymè,,,BOTTLE,2018.0,5700.0,,50,
,Valpolicella Ripasso Sartori,Valpolicella Ripasso Sartori,,,BOTTLE,2020.0,3800.0,,50,
,Valpolicella “Ripasso” Campofiorin Masi,Valpolicella “Ripasso” Campofiorin Masi,,,BOTTLE,2019.0,4000.0,,50,
,Valpolicella “Ripasso” Palazzo della Torre Allegrini,Valpolicella “Ripasso” Palazzo della Torre Allegrini,,,BOTTLE,2019.0,4400.0,,50,
,Valpolicella Ripassa Zenato,Valpolicella Ripassa Zenato,,,BOTTLE,2019.0,4700.0,,50,
,Valpolicella “Ripasso” Secco Bertani Bertani,Valpolicella “Ripasso” Secco Bertani Bertani,,,BOTTLE,2019.0,4500.0,,50,
,Cabernet Az. Agricola Sutto,Cabernet Az. Agricola Sutto,,,BOTTLE,2021.0,3200.0,,50,
,"Merlot ""Ad Nonam"" Tenuta Mosole","Merlot ""Ad Nonam"" Tenuta Mosole",,,BOTTLE,2018.0,5700.0,,50,
