external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
,SPARKLING,Prosecco Brut DOCG Adami,Prosecco Brut DOCG Adami,,BOTTLE,,2500.0,,50,,Valdobbiadene Cuvée Brut,So Prosecco,wine_01hcw4dfjv46mdyd16gf2rpp95,,30.358204
,FORTIFIED,Cartizze DRY docg Adami,Cartizze DRY docg Adami,,BOTTLE,,5500.0,,50,,Doc''s Old Tawny Port,Doc Adams,wine_01gzr4kstm7b6gh18ke3xra1cw,7017980.0,29.808752
,SPARKLING,Altemasi Trento Millesimato Cavit,Altemasi Trento Millesimato Cavit,,BOTTLE,2018.0,4500.0,,50,,Millesimato Método Classico Brut,Altemasi,wine_01gzr4ksdbd1v51sr2rzax4f4z,1202244.0,33.14479
,SPARKLING,"Trento DOC Brut 51,151 Moser","Trento DOC Brut 51,151 Moser",,BOTTLE,,5900.0,,50,,"51,151 Brut",Moser,wine_01h0r2pqcxrjnkrkzhn09mp5d0,,36.232468
,SPARKLING,Ferrari Perlè F.lli Lunelli,Ferrari Perlè F.lli Lunelli,,BOTTLE,2017.0,7000.0,,50,,Riserva Lunelli,Ferrari,wine_01gzr4ksccy7w7sgfv1g5hhygr,89737.0,28.532295
,SPARKLING,Ferrari Rose' F.lli Lunelli,Ferrari Rose' F.lli Lunelli,,BOTTLE,2016.0,9000.0,,50,,Riserva Lunelli,Ferrari,wine_01gzr4ksccy7w7sgfv1g5hhygr,89737.0,28.532295
,SPARKLING,Giulio Ferrrari F.lli Lunelli,Giulio Ferrrari F.lli Lunelli,,BOTTLE,2010.0,33000.0,,50,,''Giulio Ferrari'' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,1256452.0,29.931715
,SPARKLING,Giulio Ferrrari Rose' F.lli Lunelli,Giulio Ferrrari Rose' F.lli Lunelli,,BOTTLE,2009.0,39000.0,,50,,''Giulio Ferrari'' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,1256452.0,29.931715
,WHITE,Riserva Bruno Lunelli F.lli Lunelli,Riserva Bruno Lunelli F.lli Lunelli,,BOTTLE,2006.0,120000.0,,50,,La Réserve de Bruno,Bruno Cormerais,wine_01h0qsxnt4g774f21j7v0asnmk,,23.213013
,SPARKLING,Franciacorta Brut Il Mosnel,Franciacorta Brut Il Mosnel,,BOTTLE,,4400.0,,50,,Franciacorta Brut,Mosnel,wine_01h0f3cmbs8fbbastjd1d0scyd,,37.725986
,SPARKLING,Franciacorta Cuvèe Prestige Cà del Bosco,Franciacorta Cuvèe Prestige Cà del Bosco,,BOTTLE,,6500.0,,50,,Franciacorta Cuvée Prestige,Ca' del Bosco,wine_01gzr4kscc5tkafqr60hga5xms,1191278.0,36.839508
,SPARKLING,Franciacorta Cuvèe Prestige Rose' Cà del Bosco,Franciacorta Cuvèe Prestige Rose' Cà del Bosco,,BOTTLE,,10000.0,,50,,Franciacorta Cuvée Prestige,Ca' del Bosco,wine_01gzr4kscc5tkafqr60hga5xms,1191278.0,36.839508
,SPARKLING,Franciacorta Sàten Cà del Bosco,Franciacorta Sàten Cà del Bosco,,BOTTLE,2018.0,9600.0,,50,,Franciacorta Selezione Saten,Villa Franciacorta,wine_01h0sq48aw4gzbhje05nvrmzgp,,33.40924
,SPARKLING,Franciacorta Dosage Zéro Cà del Bosco,Franciacorta Dosage Zéro Cà del Bosco,,BOTTLE,2018.0,9600.0,,50,,Dosage Zéro Franciacorta (Vintage Collection),Ca' del Bosco,wine_01gzr4ksccg1swcb7yb701kdpe,1961980.0,39.579414
,SPARKLING,Annamaria Clementi Cuvee' Brut Cà del Bosco,Annamaria Clementi Cuvee' Brut Cà del Bosco,,BOTTLE,2014.0,21000.0,,50,,Cuvée Annamaria Clementi (Extra Brut),Ca' del Bosco,wine_01gzr4ksccr3vp26k7752yh5yp,23130.0,43.977493
,SPARKLING,Vranken Diamant Brut Pommery,Vranken Diamant Brut Pommery,,BOTTLE,,9600.0,,50,,Diamant Brut Champagne,Vranken,wine_01h4pmmfg1d1yhyy3fvvbqe71h,,37.016346
,SPARKLING,Vranken Diamant Rose' Pommery,Vranken Diamant Rose' Pommery,,BOTTLE,,12000.0,,50,,Diamant Brut Champagne,Vranken,wine_01h4pmmfg1d1yhyy3fvvbqe71h,,33.909985
,SPARKLING,Philipponnat Royale Reserve Brut ,Philipponnat Royale Reserve Brut ,,BOTTLE,,12000.0,,50,,Royale Réserve Brut Champagne,Philipponnat,wine_01gzr4ks63nx7n95vw12dcynhy,83817.0,35.939327
,SPARKLING,Philipponnat Royale Reserve Non Dose' ,Philipponnat Royale Reserve Non Dose' ,,BOTTLE,,12000.0,,50,,Royale Réserve Non Dosé Champagne,Philipponnat,wine_01gzr4ks63dw1mz9w5ezwc97av,1252845.0,41.67675
,SPARKLING,Bollinger Special Cuvee' ,Bollinger Special Cuvee' ,,BOTTLE,,13000.0,,50,,Special Cuvée Brut Aÿ Champagne,Bollinger,wine_01gzr4ks77wsdabt6vnn27vs4y,18929.0,31.669508
,SPARKLING,Veuve Clicquot Cuvee Saint-Petersbourg ,Veuve Clicquot Cuvee Saint-Petersbourg ,,BOTTLE,,11000.0,,50,,Cuvée Saint-Pétersbourg Brut Champagne,Veuve Clicquot,wine_01gzr4ks5vtmcbtxja8zx2ax6e,1146393.0,46.231625
,SPARKLING,Pol Roger Brut Reserve ,Pol Roger Brut Reserve ,,BOTTLE,,12000.0,,50,,Réserve Brut Champagne,Pol Roger,wine_01gzr4kscbtrxfra499jsfa2z0,1884610.0,35.63067
,SPARKLING,Perrier-Jouet Grand Brut ,Perrier-Jouet Grand Brut ,,BOTTLE,,15000.0,,50,,Grand Brut Champagne,Perrier-Jouët,wine_01h0f3cmbmghj9f4c14wg390vb,,41.856342
,SPARKLING,Veuve Clicquot Extra Brut Extra Old ,Veuve Clicquot Extra Brut Extra Old ,,BOTTLE,,14000.0,,50,,Extra Brut Extra Old Champagne,Veuve Clicquot,wine_01gzr4ks5va1rwn1wfaa2wmftn,5445749.0,50.799927
,SPARKLING,Ruinart Blanc de Blancs ,Ruinart Blanc de Blancs ,,BOTTLE,,18000.0,,50,,Dom Ruinart Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd4nsbgy7pt1nwzq7k8,1192720.0,45.06498
,SPARKLING,Ruinart Rosé ,Ruinart Rosé ,,BOTTLE,,18000.0,,50,,Dom Ruinart Rosé Brut Champagne,Ruinart,wine_01h4pmmfdrsyc3d30fzdm74bn4,,40.14516
,SPARKLING,Delamotte Blanc de Blancs ,Delamotte Blanc de Blancs ,,BOTTLE,,15000.0,,50,,Blanc de Blancs Brut,Georges Blanc,wine_01hcwsykr2mt9e5p2139jnngky,,40.61535
,SPARKLING,Delamotte Blanc de Blancs ,Delamotte Blanc de Blancs ,,BOTTLE,2014.0,23000.0,,50,,Blanc de Blancs Brut,Georges Blanc,wine_01hcwsykr2mt9e5p2139jnngky,,40.61535
,SPARKLING,"Pertois-Moriset ""Special Club"" ","Pertois-Moriset ""Special Club"" ",,BOTTLE,2015.0,24000.0,,50,,Special Club Champagne Grand Cru ''Le Mesnil-sur-Oger'',Pertois-Moriset,wine_01h4pmmgrpw4pxh40pq5jg10br,,48.163383
,SPARKLING,Perrier-Jouet Belle Epoque ,Perrier-Jouet Belle Epoque ,,BOTTLE,2013.0,34000.0,,50,,Belle Epoque Brut Champagne,Perrier-Jouët,wine_01gzr4ksd4ahar44dg95zgrg4g,79162.0,49.70676
,SPARKLING,Comtes De Champagne Grands Crus Blanc de Blancs ,Comtes De Champagne Grands Crus Blanc de Blancs ,,BOTTLE,2007.0,30000.0,,50,,Crémant de Bourgogne Brut,Cave des Grands Crus Blancs,wine_01h4pmmgfn7zvdpz0tg1rc57jp,,44.7537
,SPARKLING,Krug Gran Cuvee' ,Krug Gran Cuvee' ,,BOTTLE,2006.0,64000.0,,50,,Private Cuvée,Krug,wine_01gzr4ks7heq0e6dbxnc9p0ttn,1798244.0,23.003265
,FORTIFIED,Dom Perignon Vintage ,Dom Perignon Vintage ,,BOTTLE,2012.0,45000.0,,50,,Vintage Porto,Dom Joaquim,wine_01h0qzm23dsnhp77dnwe752xeb,,20.196583
,ROSE,Dom Perignon Rose' ,Dom Perignon Rose' ,,BOTTLE,2006.0,74000.0,,50,,Rose in Fior,Vigne delle Rose,wine_01gzr4ktj11mbsmvcjys0trjcb,,19.48384
,SPARKLING,Dom Perignon P2 ,Dom Perignon P2 ,,BOTTLE,2003.0,86000.0,,50,,P2 Plénitude Brut Champagne,Dom Pérignon,wine_01gzr4ksd7kxm1ztzqza3vfezb,3102815.0,42.45594
,SPARKLING,Cristal Louis Roederer ,Cristal Louis Roederer ,,BOTTLE,2013.0,40000.0,,50,,Cristal Vinothèque,Louis Roederer,wine_01gzr4ks5t1m4jw7wrm83pbwtn,7219675.0,41.176796
,SPARKLING,Jacques Selosse Initial ,Jacques Selosse Initial ,,BOTTLE,,45000.0,,50,,Anselme Selosse Lubie,Jacques Selosse,wine_01gzr4ksjbajebxe3zgp6pv21f,1505959.0,45.900093
,SPARKLING,Jacques Selosse Substance ,Jacques Selosse Substance ,,BOTTLE,,64000.0,,50,,Anselme Selosse Lubie,Jacques Selosse,wine_01gzr4ksjbajebxe3zgp6pv21f,1505959.0,45.900093
,SPARKLING,Taittinger Collection Sebastiao Salgado ,Taittinger Collection Sebastiao Salgado ,,BOTTLE,2008.0,51000.0,,50,,Collection Sebastião Salgado Brut Champagne,Taittinger,wine_01havwedth7n8ejcheked44xkn,,46.591156
,SPARKLING,"Salon Cuvee ""S"" Le Mesnil ","Salon Cuvee ""S"" Le Mesnil ",,BOTTLE,2012.0,155000.0,,50,,Sublime Rosé Brut Champagne Grand Cru ''Le Mesnil-sur-Oger'',Le Mesnil,wine_01h4pmmgjn5d8exme7b5yphw8j,,33.904106
,SPARKLING,Laurent-Perrier Brut,Laurent-Perrier Brut,,HALF_BOTTLE,,4100.0,,50,,Ultra Brut Champagne (Brut Nature),Laurent-Perrier,wine_01gzr4ks5hppdh0jyxzez21y5r,1179551.0,34.04918
,SPARKLING,Laurent-Perrier La Cuvèe Brut ,Laurent-Perrier La Cuvèe Brut ,,BOTTLE,,8500.0,,50,,La Cuvée Brut Champagne,Laurent-Perrier,wine_01gzr4ks5hsmde1f5vkm7fzt85,5552281.0,38.88099
,SPARKLING,Laurent-Perrier La Cuvèe Brut (Magnum),Laurent-Perrier La Cuvèe Brut (Magnum),,MAGNUM,,21000.0,,50,,La Cuvée Brut Champagne,Laurent-Perrier,wine_01gzr4ks5hsmde1f5vkm7fzt85,5552281.0,38.88099
