wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
wine_01gzr4ksdbd1v51sr2rzax4f4z,,BOTTLE,2018,4500,,,50,
wine_01h0r2pqcxrjnkrkzhn09mp5d0,,BOTTLE,0,5900,,,50,
wine_01gzr4kscc3eq3g9mgs0f5ns3f,,BOTTLE,2010,33000,,,50,
wine_01gzr4kscc5tkafqr60hga5xms,,BOTTLE,0,6500,,,50,
wine_01gzr4ksccg1swcb7yb701kdpe,,BOTTLE,2018,9600,,,50,
wine_01gzr4ksccr3vp26k7752yh5yp,,BOTTLE,2014,21000,,,50,
wine_01h4pmmfg1d1yhyy3fvvbqe71h,,BOTTLE,0,9600,,,50,
wine_01gzr4ks63nx7n95vw12dcynhy,,BOTTLE,0,12000,,,50,
wine_01gzr4ks63dw1mz9w5ezwc97av,,BOTTLE,0,12000,,,50,
wine_01gzr4ks77wsdabt6vnn27vs4y,,BOTTLE,0,13000,,,50,
wine_01gzr4ks5vtmcbtxja8zx2ax6e,,BOTTLE,0,11000,,,50,
wine_01gzr4kscbtrxfra499jsfa2z0,,BOTTLE,0,12000,,,50,
wine_01h0f3cmbmghj9f4c14wg390vb,,BOTTLE,0,15000,,,50,
wine_01gzr4ks5va1rwn1wfaa2wmftn,,BOTTLE,0,14000,,,50,
wine_01gzr4ksd2c8ryrf1nbh9jb83z,,BOTTLE,0,18000,,,50,
wine_01h0f3cmbmtvmkd6m243g38m9r,,BOTTLE,0,18000,,,50,
wine_01h4pmmgrpw4pxh40pq5jg10br,,BOTTLE,2015,24000,,,50,
wine_01gzr4ksd4ahar44dg95zgrg4g,,BOTTLE,2013,34000,,,50,
wine_01gzr4ksd7kxm1ztzqza3vfezb,,BOTTLE,2003,86000,,,50,
wine_01havwedth7n8ejcheked44xkn,,BOTTLE,2008,51000,,,50,
wine_01gzr4ks5hsmde1f5vkm7fzt85,,BOTTLE,0,8500,,,50,
wine_01gzr4ks5hsmde1f5vkm7fzt85,,MAGNUM,0,21000,,,50,
wine_01gzr4ks5hsmde1f5vkm7fzt85,,MATHUSALEM,0,88000,,,50,
wine_01gzr4ks5hppdh0jyxzez21y5r,,BOTTLE,0,12500,,,50,
wine_01gzr4ks5h7z6yfdmcpd6fmyrq,,BOTTLE,2008,10500,,,50,
wine_01gzr4ks5h7z6yfdmcpd6fmyrq,,MAGNUM,2008,26000,,,50,
wine_01gzr4ks5hfqf9jmzma14b516x,,BOTTLE,0,16500,,,50,
wine_01gzr4ks5hkcz2qxsp47h8v1jr,,BOTTLE,0,22000,,,50,
wine_01gzr4ks5h2j3msa7p18neys12,,BOTTLE,2004,48000,,,50,
wine_01gzr4kscc5tkafqr60hga5xms,,BOTTLE,0,15000,,,50,
wine_01gzr4ks5vtmcbtxja8zx2ax6e,,MAGNUM,0,24500,,,50,
wine_01gzr4ks77wsdabt6vnn27vs4y,,MAGNUM,0,31000,,,50,
wine_01gzr4ksd2c8ryrf1nbh9jb83z,,MAGNUM,0,41000,,,50,
wine_01h0f3cmbmtvmkd6m243g38m9r,,MAGNUM,0,41000,,,50,
wine_01h0f3cmbm11rs6z6r4yhqx5x1,,JEROBOAM,0,41000,,,50,
wine_01h4pmmfg1d1yhyy3fvvbqe71h,,JEROBOAM,0,60000,,,50,
wine_01gzr4ks77wsdabt6vnn27vs4y,,JEROBOAM,0,94000,,,50,
wine_01h0f3cmbm11rs6z6r4yhqx5x1,,MATHUSALEM,0,70000,,,50,
wine_01gzr4ksd2c8ryrf1nbh9jb83z,,JEROBOAM,0,112000,,,50,
wine_01gzr4ksj4ahty016zbqf90zeg,,BOTTLE,2022,3500,,,50,
wine_01gzr4ksd21816c7pdatn9v5fq,,BOTTLE,2021,3900,,,50,
wine_01gzr4ksm6n616a3td318x0160,,BOTTLE,2021,3800,,,50,
wine_01gzr4ksm64xrr18y47rpcfxx0,,BOTTLE,2021,7500,,,50,
wine_01h0qzm233prkg8gewmdrc384y,,BOTTLE,2021,4100,,,50,
wine_01gzr4kskvxsct8qy4tzyt5p7v,,BOTTLE,2019,9800,,,50,
wine_01h0qzm2337vfbvx938w74edx3,,BOTTLE,2020,8500,,,50,
wine_01h0qzm1vg3y386agp77mh76qw,,BOTTLE,2021,3800,,,50,
wine_01gzr4ksmv77d19k37hn5xh7nh,,BOTTLE,2021,5100,,,50,
wine_01gzr4ksn5hrrj46e95x5nft46,,BOTTLE,2022,4200,,,50,
wine_01gzr4kskpz3t6pte1cfyvzpzv,,BOTTLE,2018,5800,,,50,
wine_01gzr4ksn59np0cz4842jxkmp5,,BOTTLE,2017,8500,,,50,
wine_01h0my5rkkvv5nqtjrch7676wf,,BOTTLE,2021,3500,,,50,
wine_01gzr4kt16sm52a0mjjy0q62v0,,BOTTLE,2022,5200,,,50,
wine_01h0qzm2436ek6qyh1x0vdg86k,,BOTTLE,2021,3500,,,50,
wine_01gzr4kt6dcssjtppy7fmpq0c5,,BOTTLE,2021,3900,,,50,
wine_01gzr4kt7r41fhecz2qq927mr3,,BOTTLE,2020,5000,,,50,
wine_01gzr4kspp1wft0m7a4hmjh53e,,BOTTLE,2020,21000,,,50,
wine_01gzr4ksppmrbs9bck881h9qrt,,BOTTLE,2020,40500,,,50,
wine_01gzr4kss348s7ywj3zfqbtkz4,,BOTTLE,2017,4900,,,50,
wine_01gzr4ksd3b397szz15dat7s7b,,BOTTLE,2020,10000,,,50,
wine_01gzr4ksrxxsxmvm7ddkhjpdts,,BOTTLE,2015,7600,,,50,
wine_01h0qzm1j0ypx8hz2brm4x85bc,,BOTTLE,2018,6000,,,50,
wine_01hczek24vaphscsyhe36ynv3j,,BOTTLE,2013,8500,,,50,
wine_01hczek2g2kkf3sar1cg2qf71n,,BOTTLE,2018,12000,,,50,
wine_01h0qzm1tg9wgaykqm4n6r9d32,,BOTTLE,2017,60000,,,50,
wine_01gzr4ksvxg164eq4nys0kw473,,BOTTLE,2022,18000,,,50,
wine_01h4pmmh1bwcw6dwe1yxmpy21b,,BOTTLE,2019,27000,,,50,
wine_01h4pmmh1404n4y1mv00acyx3g,,BOTTLE,2019,4900,,,50,
wine_01h0qzm2hsqakz4egw9tcf8x0m,,BOTTLE,2018,5700,,,50,
wine_01hawwcxb17qdnr5ksn0281hhb,,BOTTLE,2019,9000,,,50,
wine_01h0my5sv32v9rj5recnhd4kmw,,BOTTLE,2014,18000,,,50,
wine_01hcw4dfx2fq0q1bqndj33pjy0,,BOTTLE,2019,34000,,,50,
wine_01h0my5shdn0bat5gvg2xpv6dt,,BOTTLE,2019,63000,,,50,
wine_01h0my5svejf4dhpv74t2nvxyj,,MAGNUM,2020,19000,,,50,
wine_01gzr4kswrzx2q5abyjx6qhw42,,MAGNUM,2014,35000,,,50,
wine_01gzr4ksxr56zjma2e4tbw369d,,BOTTLE,2020,4500,,,50,
wine_01gzr4ksxrn0y668kcb0xg986w,,BOTTLE,2020,5000,,,50,
wine_01gzr4ksyt7a93yk5xn74mzwrc,,BOTTLE,2017,3500,,,50,
