external_id,full_details,type,quantity,internal_notes,price
v.10389.0.c,"Benoît Beaufort, Blanc de Blancs Brut Grand Cru, 1500 ml",SPARKLING,1,40,180
v.61401.0.b,"Bernard Lonclas, Blanc de Blancs Brut, 750 ml",SPARKLING,4,24,80
v.31055.0.b,"Bouquin-Dupont, Blanc de Blancs Brut Grand Cru, 750 ml",SPARKLING,2,26,90
v.48127.0.c,"Bruno Paillard, Blanc de Blancs Brut Grand Cru, 1500 ml",SPARKLING,1,60,300
v.82256.1999.b,"Claude Cazals, Blanc de Blancs Brut Grand Cru, 1999, 750 ml",SPARKLING,2,20,140
v.3854.2004.b,"Diebolt-Vallois, Fleur de Passion Blanc de Blancs Brut, 2004, 750 ml",SPARKLING,1,35,160
v.34056.0.b,"Encry - Veuve Blanche Estelle, Grande Cuvée Brut Grand Cru, 750 ml",SPARKLING,1,40,140
v.3487.2002.b,"Georges Laval, Les Chênes Blanc de Blancs Brut nature, 2002, 750 ml",SPARKLING,1,60,260
v.3487.2004.b,"Georges Laval, Les Chênes Blanc de Blancs Brut nature, 2004, 750 ml",SPARKLING,1,55,240
v.60017.2015.b,"Guiborat, De Caurés à Mont Aigu Extra brut Grand Cru (dég. 12/2021), 2015, 750 ml",SPARKLING,2,45,220
v.63580.0.b,"JM Gobillard, Blanc de Blancs Brut, 750 ml",SPARKLING,3,24,80
v.16297.2007.b,"Lassalle, Blanc de Blancs Brut 1er Cru, 2007, 750 ml",SPARKLING,2,22,135
v.7886.2008.b,"Mandois, Cuvée Victor Mandois Blanc de Blancs Brut, 2008, 750 ml",SPARKLING,1,38,130
v.5612.0.b,"R. et L. Legras, Blanc de Blancs Brut Grand Cru, 750 ml",SPARKLING,2,32,120
v.4006.1998.b,"R. et L. Legras, Cuvée Présidence Vieilles Vignes Grand Cru, 1998, 750 ml",SPARKLING,1,35,170
v.33307.0.b,"Ruinart, Blanc de Blancs Brut, 750 ml",SPARKLING,6,70,200
v.3013.1983.b,"Salon, Cuvée S Le Mesnil Blanc de Blancs Brut, 1983, 750 ml",SPARKLING,1,500,2500
v.82116.0.b,"Varnier Fannière, Brut Zéro Grand Cru, 750 ml",SPARKLING,3,17,90
v.57464.2015.b,"Veuve Fourny & Fils, Mont de Vertus Millésime Blanc de Blancs Extra brut 1er Cru (dég. 07/2021), 2015, 750 ml",SPARKLING,2,35,150
v.8869.0.b,"Drappier, Zéro Dosage Brut nature, 750 ml",SPARKLING,2,20,80
v.37043.0.b,"Francis Orban, L'Orbane Extra brut, 750 ml",SPARKLING,2,53,130
v.7885.0.b,"Gonet-Médeville, Blanc de Noirs Brut 1er Cru, 750 ml",SPARKLING,1,18,85
v.59612.2018.b,"R. Pouillon, Le Montgruguet Extra brut 1er Cru (dég. 1er trim./2022), 2018, 750 ml",SPARKLING,2,55,220
v.82727.0.b,"Allouchery-Bailly, Diapason Brut 1er Cru, 750 ml",SPARKLING,2,20,90
v.7224.2014.b,"Aubry, Le Nombre d'Or Campaniae Veteres Vites Brut, 2014, 750 ml",SPARKLING,1,25,120
v.13065.2002.b,"Belin, Millésimé Brut, 2002, 750 ml",SPARKLING,1,25,100
v.14164.0.d,"Belin, Sélection Brut, 3000 ml",SPARKLING,1,28,250
v.10420.2006.b,"Bertrand-Delespierre, Millésimé Brut 1er Cru, 2006, 750 ml",SPARKLING,1,35,140
v.82739.2001.b,"Charlier & Fils, Millésime Bacchus Brut, 2001, 750 ml",SPARKLING,1,30,160
v.82134.0.b,"Claude Cazals, Carte Blanche Brut, 750 ml",SPARKLING,1,20,100
v.3403.1962.b,"Dom Pérignon, Œnothèque, 1962, 750 ml",SPARKLING,2,600,3500
v.3403.1980.b,"Dom Pérignon, Œnothèque, 1980, 750 ml",SPARKLING,1,500,3000
v.3403.1990.b,"Dom Pérignon, Œnothèque, 1990, 750 ml",SPARKLING,2,380,1700
v.1642.1982.b,"Dom Pérignon, Vintage Brut, 1982, 750 ml",SPARKLING,1,120,500
