external_id,type,quantity,internal_notes,price,info,winery_name,name,vintage,size,storage_area
v.10389.0.c,SPARKLING,1,Purchase Price: 40,180.0,,Benoît Beaufort, Blanc de Blancs Brut Grand Cru,,MAGNUM,
v.61401.0.b,SPARKLING,4,Purchase Price: 24,80.0,,Bernard Lonclas, Blanc de Blancs Brut,,BOTTLE,
v.31055.0.b,SPARKLING,2,Purchase Price: 26,90.0,,Bouquin-Dupont, Blanc de Blancs Brut Grand Cru,,BOTTLE,
v.48127.0.c,SPARKLING,1,Purchase Price: 60,300.0,,Bruno Paillard, Blanc de Blancs Brut Grand Cru,,MAGNUM,
v.82256.1999.b,SPARKLING,2,Purchase Price: 20,140.0,,Claude Cazals, Blanc de Blancs Brut Grand Cru,1999,BOTTLE,
v.3854.2004.b,SPARKLING,1,Purchase Price: 35,160.0,,Diebolt-Vallois, Fleur de Passion Blanc de Blancs Brut,2004,BOTTLE,
v.34056.0.b,SPARKLING,1,Purchase Price: 40,140.0,,Encry - Veuve Blanche Estelle, Grande Cuvée Brut Grand Cru,,BOTTLE,
v.3487.2002.b,SPARKLING,1,Purchase Price: 60,260.0,,Georges Laval, Les Chênes Blanc de Blancs Brut nature,2002,BOTTLE,
v.3487.2004.b,SPARKLING,1,Purchase Price: 55,240.0,,Georges Laval, Les Chênes Blanc de Blancs Brut nature,2004,BOTTLE,
v.60017.2015.b,SPARKLING,2,Purchase Price: 45,220.0,dég. 12/2021,Guiborat, De Caurés à Mont Aigu Extra brut Grand Cru ,2015,BOTTLE,
v.63580.0.b,SPARKLING,3,Purchase Price: 24,80.0,,JM Gobillard, Blanc de Blancs Brut,,BOTTLE,
v.16297.2007.b,SPARKLING,2,Purchase Price: 22,135.0,,Lassalle, Blanc de Blancs Brut 1er Cru,2007,BOTTLE,
v.7886.2008.b,SPARKLING,1,Purchase Price: 38,130.0,,Mandois, Cuvée Victor Mandois Blanc de Blancs Brut,2008,BOTTLE,
v.5612.0.b,SPARKLING,2,Purchase Price: 32,120.0,,R. et L. Legras, Blanc de Blancs Brut Grand Cru,,BOTTLE,
v.4006.1998.b,SPARKLING,1,Purchase Price: 35,170.0,,R. et L. Legras, Cuvée Présidence Vieilles Vignes Grand Cru,1998,BOTTLE,
v.33307.0.b,SPARKLING,6,Purchase Price: 70,200.0,,Ruinart, Blanc de Blancs Brut,,BOTTLE,
v.3013.1983.b,SPARKLING,1,Purchase Price: 500,2500.0,,Salon, Cuvée S Le Mesnil Blanc de Blancs Brut,1983,BOTTLE,
v.82116.0.b,SPARKLING,3,Purchase Price: 17,90.0,,Varnier Fannière, Brut Zéro Grand Cru,,BOTTLE,
v.57464.2015.b,SPARKLING,2,Purchase Price: 35,150.0,dég. 07/2021,Veuve Fourny & Fils, Mont de Vertus Millésime Blanc de Blancs Extra brut 1er Cru ,2015,BOTTLE,
v.8869.0.b,SPARKLING,2,Purchase Price: 20,80.0,,Drappier, Zéro Dosage Brut nature,,BOTTLE,
v.37043.0.b,SPARKLING,2,Purchase Price: 53,130.0,,Francis Orban, L'Orbane Extra brut,,BOTTLE,
v.7885.0.b,SPARKLING,1,Purchase Price: 18,85.0,,Gonet-Médeville, Blanc de Noirs Brut 1er Cru,,BOTTLE,
v.59612.2018.b,SPARKLING,2,Purchase Price: 55,220.0,dég. 1er trim./2022,R. Pouillon, Le Montgruguet Extra brut 1er Cru ,2018,BOTTLE,
v.82727.0.b,SPARKLING,2,Purchase Price: 20,90.0,,Allouchery-Bailly, Diapason Brut 1er Cru,,BOTTLE,
v.7224.2014.b,SPARKLING,1,Purchase Price: 25,120.0,,Aubry, Le Nombre d'Or Campaniae Veteres Vites Brut,2014,BOTTLE,
v.13065.2002.b,SPARKLING,1,Purchase Price: 25,100.0,,Belin, Millésimé Brut,2002,BOTTLE,
v.14164.0.d,SPARKLING,1,Purchase Price: 28,250.0,,Belin, Sélection Brut,,JEROBOAM,
v.10420.2006.b,SPARKLING,1,Purchase Price: 35,140.0,,Bertrand-Delespierre, Millésimé Brut 1er Cru,2006,BOTTLE,
v.82739.2001.b,SPARKLING,1,Purchase Price: 30,160.0,,Charlier & Fils, Millésime Bacchus Brut,2001,BOTTLE,
v.82134.0.b,SPARKLING,1,Purchase Price: 20,100.0,,Claude Cazals, Carte Blanche Brut,,BOTTLE,
v.3403.1962.b,SPARKLING,2,Purchase Price: 600,3500.0,,Dom Pérignon, Œnothèque,1962,BOTTLE,
v.3403.1980.b,SPARKLING,1,Purchase Price: 500,3000.0,,Dom Pérignon, Œnothèque,1980,BOTTLE,
v.3403.1990.b,SPARKLING,2,Purchase Price: 380,1700.0,,Dom Pérignon, Œnothèque,1990,BOTTLE,
v.1642.1982.b,SPARKLING,1,Purchase Price: 120,500.0,,Dom Pérignon, Vintage Brut,1982,BOTTLE,
v.1642.2013.b,SPARKLING,4,Purchase Price: 165,350.0,,Dom Pérignon, Vintage Brut,2013,BOTTLE,
v.51837.2010.b,SPARKLING,3,Purchase Price: 35,115.0,,Dourdon-Vieillard, Prestige Millésime Brut,2010,BOTTLE,
v.7925.0.b,SPARKLING,3,Purchase Price: 28,80.0,,François Secondé, Brut Grand Cru,,BOTTLE,
v.77532.0.b,SPARKLING,7,Purchase Price: 28,85.0,,François Secondé, Intégral Zéro Dosage Grand Cru,,BOTTLE,
v.3486.2012.c,SPARKLING,1,Purchase Price: 70,300.0,,Georges Laval, Cumières Brut nature 1er Cru,2012,MAGNUM,
v.59053.2006.b,SPARKLING,2,Purchase Price: 30,120.0,,Jean Michel, Cuvée Spéciale Brut,2006,BOTTLE,
v.59032.0.b,SPARKLING,2,Purchase Price: 17,85.0,,Jeeper, Grand Assemblage Brut,,BOTTLE,
v.74413.2007.b,SPARKLING,2,Purchase Price: 20,110.0,,Jeeper, La Grande Cuvée Millésime Brut,2007,BOTTLE,
v.3639.0.b,SPARKLING,2,Purchase Price: 18,80.0,,Lassalle, Cuvée Preference,,BOTTLE,
v.82129.0.b,SPARKLING,50,Purchase Price: 15,80.0,,Laurent Godard, Mannaz Brut,,BOTTLE,
v.33847.0.b,SPARKLING,1,Purchase Price: 20,80.0,,Laurent-Perrier, Brut,,BOTTLE,
v.82128.0.b,SPARKLING,3,Purchase Price: 18,90.0,,Lucien Lemaire, Emerik Brut,,BOTTLE,
v.9620.0.b,SPARKLING,1,Purchase Price: 22,80.0,,Mandois, Origine Brut,,BOTTLE,
v.10002.0.b,SPARKLING,1,Purchase Price: 30,120.0,,Palmer, Extra Réserve,,BOTTLE,
v.33308.2007.b,SPARKLING,1,Purchase Price: 30,130.0,,R. Pouillon, Les Blanchiens Brut nature 1er Cru,2007,BOTTLE,
v.7411.0.b,SPARKLING,1,Purchase Price: 22,80.0,,Rémi Leroy, Extra brut,,BOTTLE,
v.64012.0.b,SPARKLING,1,Purchase Price: 28,90.0,,René Geoffroy, Pureté Brut nature 1er Cru,,BOTTLE,
v.10910.0.b,SPARKLING,6,Purchase Price: 50,170.0,,Ruinart, Brut,,BOTTLE,
v.3914.0.d,SPARKLING,1,Purchase Price: 140,450.0,,Thiénot, Brut,,JEROBOAM,
v.36041.2000.b,SPARKLING,2,Purchase Price: 75,300.0,,Thiénot, Grande Cuvée Alain Thiénot,2000,BOTTLE,
