ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,v.10389.0.c,SPARKLING,Blanc de Blancs Brut Grand Cru,Benoît Beaufort,,MAGNUM,,180,,1,Purchase Price: 40,Blanc de Blancs Brut Champagne Grand Cru ''Ambonnay'',Benoit Beaufort,wine_01h4pmmgjppyjkw0mpd84tmq3t,,48.52962
TRUE,v.61401.0.b,SPARKLING,Blanc de Blancs Brut,Bernard Lonclas,,BOTTLE,,80,,4,Purchase Price: 24,Blanc de Blancs Brut Champagne,Bernard Lonclas,wine_01h4pmmfe7fmdh5e8zk2s7jg3x,,51.512768
TRUE,v.31055.0.b,SPARKLING,Blanc de Blancs Brut Grand Cru,Bouquin-Dupont,,BOTTLE,,90,,2,Purchase Price: 26,Blanc de Blancs Brut Champagne Grand Cru ''Avize'',Bouquin Dupont,wine_01h0my5rrsh5769vd433ej87yf,,56.89598
TRUE,v.48127.0.c,SPARKLING,Blanc de Blancs Brut Grand Cru,Bruno Paillard,,MAGNUM,,300,,1,Purchase Price: 60,Blanc de Blancs Champagne Grand Cru,Bruno Paillard,wine_01gzr4ks5hvrwywht48ktm381b,4057061,45.20037
TRUE,v.82256.1999.b,SPARKLING,Blanc de Blancs Brut Grand Cru,Claude Cazals,,BOTTLE,1999,140,,2,Purchase Price: 20,Blanc de Blancs Brut Champagne Grand Cru ''Oger'',Cazals,wine_01h4pmmgqw4heke985bqh0qpc5,,41.11456
TRUE,v.3854.2004.b,SPARKLING,Fleur de Passion Blanc de Blancs Brut,Diebolt-Vallois,,BOTTLE,2004,160,,1,Purchase Price: 35,Fleur de Passion Brut Champagne Grand Cru ''Cramant'',Diebolt - Vallois,wine_01h0sq4839qgd8m01nh84k8xa0,,54.78779
FALSE,v.34056.0.b,SPARKLING,Grande Cuvée Brut Grand Cru,Encry - Veuve Blanche Estelle,,BOTTLE,,140,,1,Purchase Price: 40,Brut Champagne,Veuve Blanche Estelle,wine_01gzr4ks5yc78fd8vkjx877k9z,5496466,47.775272
TRUE,v.3487.2002.b,SPARKLING,Les Chênes Blanc de Blancs Brut nature,Georges Laval,,BOTTLE,2002,260,,1,Purchase Price: 60,Cumières Cuvée Les Chênes Brut Nature Millesimé Champagne Premier Cru,Georges Laval,wine_01h4pmmfdmcyp929xjhy80yasq,,46.96083
TRUE,v.3487.2004.b,SPARKLING,Les Chênes Blanc de Blancs Brut nature,Georges Laval,,BOTTLE,2004,240,,1,Purchase Price: 55,Cumières Cuvée Les Chênes Brut Nature Millesimé Champagne Premier Cru,Georges Laval,wine_01h4pmmfdmcyp929xjhy80yasq,,46.96083
FALSE,v.60017.2015.b,SPARKLING,De Caurés à Mont Aigu Extra brut Grand Cru,Guiborat,,BOTTLE,2015,220,dég. 12/2021,2,Purchase Price: 45,Les Caurés 46 Champagne Grand Cru ''Cramant'',Guiborat,wine_01h4pmmgfet27ddb3pj2qz3dph,,43.727856
TRUE,v.63580.0.b,SPARKLING,Blanc de Blancs Brut,JM Gobillard,,BOTTLE,,80,,3,Purchase Price: 24,Blanc de Blancs Chardonnay Brut Champagne,J.M. Gobillard & Fils,wine_01gzr4ks5k6ak3y9g7ejccn89n,3151025,34.354744
TRUE,v.16297.2007.b,SPARKLING,Blanc de Blancs Brut 1er Cru,Lassalle,,BOTTLE,2007,135,,2,Purchase Price: 22,Blanc de Blancs Brut Champagne Premier Cru,J. Lassalle,wine_01h4pmmfe9xpabnmke6g1eqrbe,,35.747246
TRUE,v.7886.2008.b,SPARKLING,Cuvée Victor Mandois Blanc de Blancs Brut,Mandois,,BOTTLE,2008,130,,1,Purchase Price: 38,Victor Mandois Brut Champagne,Mandois,wine_01h4pmmgnp2hq2etqw5bwe4zwy,,46.33116
TRUE,v.5612.0.b,SPARKLING,Blanc de Blancs Brut Grand Cru,R. et L. Legras,,BOTTLE,,120,,2,Purchase Price: 32,Blanc de Blancs Brut Champagne Grand Cru,R&L Legras,wine_01gzr4ktsex2yqnthj8zdxzxaa,,49.04267
TRUE,v.4006.1998.b,SPARKLING,Cuvée Présidence Vieilles Vignes Grand Cru,R. et L. Legras,,BOTTLE,1998,170,,1,Purchase Price: 35,Vieilles Vignes Présidence Blanc de Blancs Brut Champagne Grand Cru,R&L Legras,wine_01h4pmmfe8rzecsg1btqe8rx9p,,47.465286
TRUE,v.33307.0.b,SPARKLING,Blanc de Blancs Brut,Ruinart,,BOTTLE,,200,,6,Purchase Price: 70,Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd2c8ryrf1nbh9jb83z,1857637,43.2903
TRUE,v.3013.1983.b,SPARKLING,Cuvée S Le Mesnil Blanc de Blancs Brut,Salon,,BOTTLE,1983,2500,,1,Purchase Price: 500,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Salon,wine_01gzr4ksd7vexbj0rhdtag7bxq,1127349,45.79698
TRUE,v.82116.0.b,SPARKLING,Brut Zéro Grand Cru,Varnier Fannière,,BOTTLE,,90,,3,Purchase Price: 17,Brut Zéro Champagne Grand Cru ''Avize'',Varnier Fannière,wine_01h0my5rrt43bhwsxbja6feke6,,56.106026
TRUE,v.57464.2015.b,SPARKLING,Mont de Vertus Millésime Blanc de Blancs Extra brut 1er Cru,Veuve Fourny & Fils,,BOTTLE,2015,150,dég. 07/2021,2,Purchase Price: 35,Monts de Vertus Blanc de Blancs Champagne,Vve Fourny & Fils,wine_01gzr4kt02yjfq3wztmzcc6wa4,,50.511703
TRUE,v.8869.0.b,SPARKLING,Zéro Dosage Brut nature,Drappier,,BOTTLE,,80,,2,Purchase Price: 20,Pinot Noir Brut Nature Champagne,Drappier,wine_01gzr4ks5rjgv2sq8xrabxr8wp,11951,31.34359
TRUE,v.37043.0.b,SPARKLING,L'Orbane Extra brut,Francis Orban,,BOTTLE,,130,,2,Purchase Price: 53,L''Orbane Champagne,Francis Orban,wine_01hawwcxa27jj9y0ggrvyd2kte,,42.1469
TRUE,v.7885.0.b,SPARKLING,Blanc de Noirs Brut 1er Cru,Gonet-Médeville,,BOTTLE,,85,,1,Purchase Price: 18,Blanc de Noirs Brut Champagne Premier Cru,Gonet-Médeville,wine_01h4pmmfdrwnngwv6qk4nr555b,,51.748344
TRUE,v.59612.2018.b,SPARKLING,Le Montgruguet Extra brut 1er Cru,R. Pouillon,,BOTTLE,2018,220,dég. 1er trim./2022,2,Purchase Price: 55,Le Montgruguet Pinot Noir Extra-Brut Champagne Premier Cru,Roger Pouillon & Fils,wine_01h4pmmgga3vbxb894snpph8v5,,36.183792
TRUE,v.82727.0.b,SPARKLING,Diapason Brut 1er Cru,Allouchery-Bailly,,BOTTLE,,90,,2,Purchase Price: 20,Diapason Brut Champagne Premier Cru,Allouchery Bailly,wine_01h4pmmggaxrdgr8zppscnwg54,,57.002197
TRUE,v.7224.2014.b,SPARKLING,Le Nombre d'Or Campaniae Veteres Vites Brut,Aubry,,BOTTLE,2014,120,,1,Purchase Price: 25,Le Nombre d''Or Champagne Brut,Aubry,wine_01h4pmmgfxvjpfmmr1edkxtrx7,,37.470936
FALSE,v.13065.2002.b,SPARKLING,Millésimé Brut,Belin,,BOTTLE,2002,100,,1,Purchase Price: 25,Millésimé Brut Champagne,H. Blin,wine_01h0r2pq4pc47gecbm8w9yfjzn,,25.984037
FALSE,v.14164.0.d,SPARKLING,Sélection Brut,Belin,,JEROBOAM,,250,,1,Purchase Price: 28,Prosecco Treviso Brut,Bedin,wine_01hawwcv8x57x30tdfa2wppavg,,23.127598
TRUE,v.10420.2006.b,SPARKLING,Millésimé Brut 1er Cru,Bertrand-Delespierre,,BOTTLE,2006,140,,1,Purchase Price: 35,Millésimé Brut Champagne Premier Cru,Bertrand-Delespierre,wine_01h4pmmgg9k14f0gnzh514bdh5,,50.185776
FALSE,v.82739.2001.b,SPARKLING,Millésime Bacchus Brut,Charlier & Fils,,BOTTLE,2001,160,,1,Purchase Price: 30,Meunier Addict Millésime Blanc de Noirs Champagne,Charlier & Fils,wine_01h4pmmgpp988jc877b2t9049g,,34.94391
FALSE,v.82134.0.b,SPARKLING,Carte Blanche Brut,Claude Cazals,,BOTTLE,,100,,1,Purchase Price: 20,Carte Blanche Brut Champagne Grand Cru ''Le Mesnil-sur-Oger'',Cazals,wine_01h4pmmgjqzgryga3bhstqhnpz,,34.247337
TRUE,v.3403.1962.b,SPARKLING,Œnothèque,Dom Pérignon,,BOTTLE,1962,3500,,2,Purchase Price: 600,Oenothèque Brut Champagne,Dom Pérignon,wine_01gzr4ksd86zp7p57wrwa5y92d,1127808,44.997322
TRUE,v.3403.1980.b,SPARKLING,Œnothèque,Dom Pérignon,,BOTTLE,1980,3000,,1,Purchase Price: 500,Oenothèque Brut Champagne,Dom Pérignon,wine_01gzr4ksd86zp7p57wrwa5y92d,1127808,44.997322
TRUE,v.3403.1990.b,SPARKLING,Œnothèque,Dom Pérignon,,BOTTLE,1990,1700,,2,Purchase Price: 380,Oenothèque Brut Champagne,Dom Pérignon,wine_01gzr4ksd86zp7p57wrwa5y92d,1127808,44.997322
TRUE,v.1642.1982.b,SPARKLING,Vintage Brut,Dom Pérignon,,BOTTLE,1982,500,,1,Purchase Price: 120,Brut Champagne,Dom Pérignon,wine_01gzr4ksd1q5hvwrcr5dxtbzer,86684,39.519917
TRUE,v.1642.2013.b,SPARKLING,Vintage Brut,Dom Pérignon,,BOTTLE,2013,350,,4,Purchase Price: 165,Brut Champagne,Dom Pérignon,wine_01gzr4ksd1q5hvwrcr5dxtbzer,86684,39.519917
TRUE,v.51837.2010.b,SPARKLING,Prestige Millésime Brut,Dourdon-Vieillard,,BOTTLE,2010,115,,3,Purchase Price: 35,Prestige Brut Champagne,Dourdon Vieillard,wine_01gzr4ks6b2k540e2ka1nyb25q,3126849,51.779144
TRUE,v.7925.0.b,SPARKLING,Brut Grand Cru,François Secondé,,BOTTLE,,80,,3,Purchase Price: 28,Brut Champagne Grand Cru ''Sillery'',François Secondé,wine_01h4pmmgjm3mteh0qq7cmvs93a,,44.262146
TRUE,v.77532.0.b,SPARKLING,Intégral Zéro Dosage Grand Cru,François Secondé,,BOTTLE,,85,,7,Purchase Price: 28,Intégral Zéro Dosage Brut Champagne Grand Cru ''Sillery'',François Secondé,wine_01h0qzm1bsnb19j22jfj73jm8p,,56.189922
TRUE,v.3486.2012.c,SPARKLING,Cumières Brut nature 1er Cru,Georges Laval,,MAGNUM,2012,300,,1,Purchase Price: 70,Cumières Brut Nature Champagne Premier Cru,Georges Laval,wine_01h4pmmgg5x3xh4ee8x4m2w9kk,,52.33502
TRUE,v.59053.2006.b,SPARKLING,Cuvée Spéciale Brut,Jean Michel,,BOTTLE,2006,120,,2,Purchase Price: 30,Cuvée Spéciale Brut Champagne,Jean Michel,wine_01h4pmmghb9qp8rn7nh3magpc6,,34.55127
TRUE,v.59032.0.b,SPARKLING,Grand Assemblage Brut,Jeeper,,BOTTLE,,85,,2,Purchase Price: 17,Grand Assemblage Brut Champagne,Jeeper,wine_01h4pmmghfeje50rw34f5qktgw,,43.72492
TRUE,v.74413.2007.b,SPARKLING,La Grande Cuvée Millésime Brut,Jeeper,,BOTTLE,2007,110,,2,Purchase Price: 20,La Grande Cuvée Millesime Brut Champagne,Jeeper,wine_01gzr4ks70smrqk779zqx1bafp,1692207,45.407074
TRUE,v.3639.0.b,SPARKLING,Cuvée Preference,Lassalle,,BOTTLE,,80,,2,Purchase Price: 18,Preference Brut Champagne Premier Cru,J. Lassalle,wine_01h0f3cmbq1sxygq6w6sphdzfj,,30.896036
TRUE,v.82129.0.b,SPARKLING,Mannaz Brut,Laurent Godard,,BOTTLE,,80,,50,Purchase Price: 15,Mannaz Brut Champagne,Laurent Godard,wine_01harvcmbnns09ne00g5hxjmcz,,45.846596
FALSE,v.33847.0.b,SPARKLING,Brut,Laurent-Perrier,,BOTTLE,,80,,1,Purchase Price: 20,Ultra Brut Champagne (Brut Nature),Laurent-Perrier,wine_01gzr4ks5hppdh0jyxzez21y5r,1179551,36.021385
FALSE,v.82128.0.b,SPARKLING,Emerik Brut,Lucien Lemaire,,BOTTLE,,90,,3,Purchase Price: 18,Fantaisic Brut Champagne,Caillez Lemaire,wine_01h0qzm0bqxxtkt68kjnwexgme,,25.823322
