wine_id,external_id,size,vintage,price,info,storage_area,quantity,internal_notes
wine_01gzr4ks5yc78fd8vkjx877k9z,v.34056.0.b,BOTTLE,0,14000,,,1,Purchase Price: 40
wine_01h4pmmgfet27ddb3pj2qz3dph,v.60017.2015.b,BOTTLE,2015,22000,dég. 12/2021,,2,Purchase Price: 45
wine_01h0r2pq4pc47gecbm8w9yfjzn,v.13065.2002.b,BOTTLE,2002,10000,,,1,Purchase Price: 25
wine_01hawwcv8x57x30tdfa2wppavg,v.14164.0.d,JEROBOAM,0,25000,,,1,Purchase Price: 28
wine_01h4pmmgpp988jc877b2t9049g,v.82739.2001.b,BOTTLE,2001,16000,,,1,Purchase Price: 30
wine_01h4pmmgjqzgryga3bhstqhnpz,v.82134.0.b,BOTTLE,0,10000,,,1,Purchase Price: 20
wine_01gzr4ks5hppdh0jyxzez21y5r,v.33847.0.b,BOTTLE,0,8000,,,1,Purchase Price: 20
wine_01h0qzm0bqxxtkt68kjnwexgme,v.82128.0.b,BOTTLE,0,9000,,,3,Purchase Price: 18
wine_01h0f3cmbmtvmkd6m243g38m9r,v.10910.0.b,BOTTLE,0,17000,,,6,Purchase Price: 50
wine_01hawwcx8m7ys9tj1wrz051zc5,v.34818.2004.a,HALF_BOTTLE,2004,4000,,,2,Purchase Price: 10
wine_01h0my5rdjqhgspa94x5272rdp,v.79452.2014.m,HALF_LITER,2014,4000,,,2,Purchase Price: 10
wine_01gzr4kskwqt7awvbqg0fm0jhj,v.12429.2008.m,HALF_LITER,2008,9000,,,1,Purchase Price: 18
wine_01gzr4kskwqt7awvbqg0fm0jhj,v.12429.2013.m,HALF_LITER,2013,7000,,,1,Purchase Price: 12
wine_01harvckxesgdgdb48ngafdn01,v.74286.2006.b,BOTTLE,2006,12000,,,1,Purchase Price: 32
wine_01h0sq47yk6719smarwzaffa4s,v.10605.2012.a,HALF_BOTTLE,2012,7500,,,3,Purchase Price: 18
wine_01h0my5sm7e8v5kpr4k3pqr5tr,v.30656.2008.b,BOTTLE,2008,6000,,,4,Purchase Price: 12
wine_01h0my5sm7e8v5kpr4k3pqr5tr,v.56085.2009.b,BOTTLE,2009,6000,dég. anno/2020,,1,Purchase Price: 12
wine_01gzr4ksccr3vp26k7752yh5yp,v.67555.2008.b,BOTTLE,2008,16000,dég. primavera/2018,,2,Purchase Price: 36
wine_01h0qzm0xr7brz4evbgqa6hq5k,v.928.1998.b,BOTTLE,1998,18000,,,1,Purchase Price: 50
wine_01h0qzm0xr7brz4evbgqa6hq5k,v.928.2009.b,BOTTLE,2009,14000,,,1,Purchase Price: 40
wine_01h0qzm0xr7brz4evbgqa6hq5k,v.928.2011.b,BOTTLE,2011,11000,,,1,Purchase Price: 28
wine_01h0r2pqbnrdy34z29ytnr6nea,v.71990.2007.b,BOTTLE,2007,5500,,,2,Purchase Price: 10
wine_01gzr4ksct2bt33qjd807q6vnw,v.6740.2009.b,BOTTLE,2009,5000,,,3,Purchase Price: 10
wine_01h0my5sy5q8qm58n9wh0f9n46,v.66829.2018.b,BOTTLE,2018,3500,,,5,Purchase Price: 10
