type,size,price,internal_notes,vintage,name,winery_name,info,area
SPARKLING,BOTTLE, 25.00,https://www.shop-cantinevedova.com/it/rive-millesimato-docg-15,2022,VEDOVA Extra Dry Superiore Millesimato ,VEDOVA Extra Dry Superiore Millesimato ,,
SPARKLING,BOTTLE, 56.00,https://www.bellavistawine.it/Public/images/167/bellavista_almabrut_scheda_tecnica.pdf,,BELLAVISTA Grand Cuvèe ALMA Brut,BELLAVISTA Grand Cuvèe ALMA Brut,,
SPARKLING,BOTTLE, 129.00,https://www.bellavistawine.it/Public/images/132/bellavista_vittoriomoretti_scheda_tecnica.pdf,2013,BELLAVISTA “RISERVA MORETTI” Extra Brut  ,BELLAVISTA “RISERVA MORETTI” Extra Brut  ,2 - 2004,
SPARKLING,BOTTLE, 79.00,https://www.bellavistawine.it/Public/images/118/terra_moretti_bellavista_sate-n_senza_annata_ita.pdf,2015,BELLAVISTA Saten ,BELLAVISTA Saten ,,
SPARKLING,BOTTLE, 49.00,https://www.berlucchi.it/wp-content/uploads/2022/04/Berlucchi-61-Franciacorta-Nature-2015.pdf,2015,BERLUCCHI “61 NATURE” Brut ,BERLUCCHI “61 NATURE” Brut ,,
SPARKLING,BOTTLE, 69.00,https://www.berlucchi.it/wp-content/uploads/2021/10/Palazzo-Lana-EXTREME-RGB-ita-1.pdf,2007,BERLUCCHI “PALAZZO LANA RISERVA” Extra Brut  ,BERLUCCHI “PALAZZO LANA RISERVA” Extra Brut  ,,
SPARKLING,BOTTLE, 170.00,https://www.cadelbosco.com/wp-content/files_mf/1650869062AnnamariaClementi2013_ITA.pdf,2014,CA DEL BOSCO “ANNA MARIA CLEMENTI” Cuvèe   ,CA DEL BOSCO “ANNA MARIA CLEMENTI” Cuvèe   ,? - 2013 | 4 - 2006,
SPARKLING,BOTTLE, 54.00,https://www.cadelbosco.com/wp-content/files_mf/1637188306Cuv%C3%A9ePrestigeEdizione44_ITA.pdf,,"CA DEL BOSCO “CUVÉE PRESTIGE"" 45a edizione Extra Brut","CA DEL BOSCO “CUVÉE PRESTIGE"" 45a edizione Extra Brut",,
SPARKLING,BOTTLE, 79.00,https://www.cadelbosco.com/wp-content/files_mf/1607100716BrutMill2016_VintageCollection_ITA.pdf,2018,CA DEL BOSCO “VINTAGE COLLECTION” Extra Brut ,CA DEL BOSCO “VINTAGE COLLECTION” Extra Brut ,,
SPARKLING,BOTTLE, 86.00,https://www.cadelbosco.com/wp-content/files_mf/1650555758DosageZ%C3%A9ro2017_VintageCollection_ITA.pdf,2018,CA DEL BOSCO “VINTAGE COLLECTION” Dosage Zero  ,CA DEL BOSCO “VINTAGE COLLECTION” Dosage Zero  ,,
SPARKLING,BOTTLE, 120.00,https://www.cadelbosco.com/wp-content/files_mf/1650945175DosageZ%C3%A9roNoir2013_VintageCollection_ITA.pdf,2010,CA DEL BOSCO “VINTAGE COLLECTION” Dosage Zero Noir ,CA DEL BOSCO “VINTAGE COLLECTION” Dosage Zero Noir ,,
SPARKLING,BOTTLE, 79.00,https://www.cadelbosco.com/wp-content/files_mf/1650965135Sat%C3%A8n2017_VintageCollection_ITA.pdf,2018,CA DEL BOSCO “VINTAGE COLLECTION” Saten ,CA DEL BOSCO “VINTAGE COLLECTION” Saten ,,
SPARKLING,BOTTLE, 39.00,https://www.vivino.com/IT/it/camilucci-franciacorta-brut/w/6266186?bottle_count=1&gclid=CjwKCAjw_b6WBhAQEiwAp4HyINa-OOM6fwZ3PRYmmEZSfKS16DJ6dpKVbzvhwkEj7WqOqnrcMlxy-xoCpC4QAvD_BwE&istBid=t&istCompanyId=1f45d186-ba46-4ea2-9835-5874342b279a&istFeedId=49622936-1088-4832-99c0-030a939ffe0d&istItemId=pawlpqmiq&utm_campaign=PM_02_466&utm_content=IT&utm_medium=paid_search&utm_source=google,,CAMILLUCCI FRANCIACORTA Brut ,CAMILLUCCI FRANCIACORTA Brut ,,
SPARKLING,BOTTLE, 52.00,https://www.camilucci.it/st/,,CAMILLUCCI FRANCIACORTA ST.13 RISERVA Brut Nature,CAMILLUCCI FRANCIACORTA ST.13 RISERVA Brut Nature,,
SPARKLING,BOTTLE, 69.00,https://www.ubertivini.it/documents/catalogo2022Uberti.pdf,,"UBERTI ""COMARÍ DEL SALEM"" Extra Brut","UBERTI ""COMARÍ DEL SALEM"" Extra Brut",,
SPARKLING,BOTTLE, 39.00,https://www.ubertivini.it/documents/catalogo2022Uberti.pdf,,"UBERTI ""FRANCESCO I"" Extra Brut","UBERTI ""FRANCESCO I"" Extra Brut",,
SPARKLING,BOTTLE, 39.00,https://www.tannico.it/trento-brut-doc-millesimato-2017-altemasi.html,2019,ALTEMASI Brut ,ALTEMASI Brut ,,
SPARKLING,BOTTLE, 42.00,https://www.shop-cesconi.it/it/blauwal-cevee-extra-brut-trentino-doc-metodo-classico-cesconi-71,,BLAUWAL CUVEÉ Extra Brut ,BLAUWAL CUVEÉ Extra Brut ,,
SPARKLING,BOTTLE, 79.00,https://www.shop-cesconi.it/it/blauwal-riserva-extra-brut-trento-doc-metodo-classico-cesconi-71,2013,DER BLAUWAL Riserva Extra Brut ,DER BLAUWAL Riserva Extra Brut ,,
SPARKLING,BOTTLE, 45.00,https://www.wineilvino.it/negozio/spumanti/trento-extra-brut-cuvee-numero-5-etyssa/,2016,ETYSSA N.5 Extra Brut ,ETYSSA N.5 Extra Brut ,,
SPARKLING,BOTTLE, 54.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Trentodoc-4.pdf,2016,FERRARI “PERLÉ” Brut   ,FERRARI “PERLÉ” Brut   ,?- 2015,
SPARKLING,BOTTLE, 99.00,https://www.ferraritrento.com/wp-content/uploads/2017/09/Ferrari-Perle-Zero-Cuvee-Zero14-Trentodoc.pdf,2014,FERRARI “PERLÉ ZERO” Cuvèe  ,FERRARI “PERLÉ ZERO” Cuvèe  ,? - 2010,
SPARKLING,BOTTLE, 89.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Bianco-Riserva-Trentodoc-1.pdf,2015,FERRARI “PERLÉ BIANCO RISERVA” Brut  ,FERRARI “PERLÉ BIANCO RISERVA” Brut  ,5 - 2014,
SPARKLING,BOTTLE, 125.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Nero-Riserva-Trentodoc-1.pdf,2013,FERRARI “PERLÉ NERO” Brut  ,FERRARI “PERLÉ NERO” Brut  ,6 - 2011,
SPARKLING,BOTTLE, 139.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Riserva-Lunelli-Trentodoc-6.pdf,2015,FERRARI “RISERVA LUNELLI” Brut  ,FERRARI “RISERVA LUNELLI” Brut  ,2 - 2012,
SPARKLING,BOTTLE, 220.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Giulio-Ferrari-Riserva-del-Fondatore-Trentodoc-7.pdf,2009,FERRARI “GIULIO FERRARI RISERVA DEL FONDATORE” Brut    ,FERRARI “GIULIO FERRARI RISERVA DEL FONDATORE” Brut    ,2 - 2008 | 3 - 2006,
SPARKLING,BOTTLE, 38.00,https://mosertrento.com/wp-content/uploads/2021/03/Scheda-Trentodoc-51151.pdf,,MOSER “51151” Brut ,MOSER “51151” Brut ,,
SPARKLING,BOTTLE, 68.00,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Rose-Riserva-Trentodoc-2.pdf,2015,FERRARI “PERLÉ ROSE” Brut  ,FERRARI “PERLÉ ROSE” Brut  ,,
SPARKLING,BOTTLE, 65.00,https://www.kettmeir.com/images/pdf/schede-ita/KT_MC_1919_Extra_Brut_ITA.pdf,1919,"KETTMEIR """" Riserva Extra Brut 2015","KETTMEIR """" Riserva Extra Brut 2015",,
SPARKLING,BOTTLE, 39.00,https://www.kettmeir.com/images/pdf/schede-ita/KT_MC_Brut_Athesis_ITA.pdf,2017,"KETTMEIR ""ATHESIS"" Brut ","KETTMEIR ""ATHESIS"" Brut ",,
SPARKLING,BOTTLE, 39.00,https://www.sanleonardo.it/vini/spumante/spumante.pdf,2017,SAN LEONARDO BLANC DE BLANC G. Gonzaga Vigneti delle Dolomiti IGT ,SAN LEONARDO BLANC DE BLANC G. Gonzaga Vigneti delle Dolomiti IGT ,,
SPARKLING,BOTTLE, 46.00,https://enotecaterruli.it/prodotto/blanc-de-rouge-extra-brut-hartmann-dona/,,HARTMANN DONÀ Blanc de Rouge Extra brut,HARTMANN DONÀ Blanc de Rouge Extra brut,,
SPARKLING,BOTTLE, 49.00,https://shop.piandellevette.it/shop/prod/mat-55-0-75cl-millesimato-2012-328,2012,MAT'55 Extra Brut Pian delle Vette Vigneti Delle Dolomiti IGT ,MAT'55 Extra Brut Pian delle Vette Vigneti Delle Dolomiti IGT ,,
SPARKLING,BOTTLE, 45.00,https://www.pojeresandri.com/wp-content/uploads/2019/09/Brut-Rose.pdf?x45718,,POJER & SANDRI Brut Rosè,POJER & SANDRI Brut Rosè,,
SPARKLING,BOTTLE, 55.00,https://www.pojeresandri.com/wp-content/uploads/2019/09/Cuvee-Extra-Brut.pdf?x45718,,POJER & SANDRI Extra Brut Cuvee 17-18,POJER & SANDRI Extra Brut Cuvee 17-18,,
SPARKLING,BOTTLE, 35.00,https://www.pojeresandri.com/wp-content/uploads/2019/09/Zero-Infinito.pdf?x45718,,POJER & SANDRI “ZERO INFINITO” ,POJER & SANDRI “ZERO INFINITO” ,,
SPARKLING,BOTTLE, 42.00,https://shop.lisneris.it/it/home/30-dom-jurosa-brut,,"LIS NERIS ""DOM JUROSA"" Brut","LIS NERIS ""DOM JUROSA"" Brut",,
SPARKLING,BOTTLE, 45.00,https://depuppi.it/wp-content/uploads/2020/06/005-SchedeVino-ITA-GIU20-RosaBosco-BlancDeBlanc.pdf,,ROSA BOSCO Brut Blanc de Blanc ,ROSA BOSCO Brut Blanc de Blanc ,,
SPARKLING,BOTTLE, 35.00,https://www.cucinaevini.it/sparkle/blanc-de-blancs-extra-brut/,,VILLA PARENS Extra Brut Blanc de Blanc ,VILLA PARENS Extra Brut Blanc de Blanc ,,
SPARKLING,BOTTLE, 39.00,https://www.decugnanodeibarbi.com/wp-content/uploads/METODO-CLASSICO-SCHEDA.pdf,2017,DECUGNANO DEI BARBI Dosaggio Zero Millesimato  ,DECUGNANO DEI BARBI Dosaggio Zero Millesimato  ,"50% Chardonnay, 50% Pinot Nero",
SPARKLING,BOTTLE, 36.00,https://www.scalo17.it/prodotto/schloss-reinhartshausen-rheingau-riesling-brut-metodo-classico/,,SCHLOSS REINHARTSHAUSEN Rheingau Riesling Brut ,SCHLOSS REINHARTSHAUSEN Rheingau Riesling Brut ,,
