ok,type,name,winery_name,area,size,vintage,price,details,tech_sheet,internal_notes,info,matched_name,matched_winery_name,matched_id,matched_original_id,score
FALSE,SPARKLING,VEDOVA Extra Dry Superiore Millesimato,VEDOVA Extra Dry Superiore Millesimato,,BOTTLE,2022,25,,https://www.shop-cantinevedova.com/it/rive-millesimato-docg-15, https://www.shop-cantinevedova.com/it/rive-millesimato-docg-15,,Col de Pavei Millesimato Extra Dry,Vedova Tarcisio,wine_01havwedm5mc61095aft4jqad3,,33.674744
TRUE,SPARKLING,BELLAVISTA Grand Cuvèe ALMA Brut,BELLAVISTA Grand Cuvèe ALMA Brut,,BOTTLE,,56,,https://www.bellavistawine.it/Public/images/167/bellavista_almabrut_scheda_tecnica.pdf, https://www.bellavistawine.it/Public/images/167/bellavista_almabrut_scheda_tecnica.pdf,,Alma Gran Cuvée Brut,Bellavista,wine_01gzr4ktfzzysgtwyv6g5c66c4,,38.258278
TRUE,SPARKLING,BELLAVISTA “RISERVA MORETTI” Extra Brut,BELLAVISTA “RISERVA MORETTI” Extra Brut,,BOTTLE,2013,129,2 - 2004,https://www.bellavistawine.it/Public/images/132/bellavista_vittoriomoretti_scheda_tecnica.pdf,2 - 2004 https://www.bellavistawine.it/Public/images/132/bellavista_vittoriomoretti_scheda_tecnica.pdf,,Riserva Vittorio Moretti,Bellavista,wine_01gzr4ktfz37ac5e83ps4t15kn,,40.178204
TRUE,SPARKLING,BELLAVISTA Saten,BELLAVISTA Saten,,BOTTLE,2015,79,,https://www.bellavistawine.it/Public/images/118/terra_moretti_bellavista_sate-n_senza_annata_ita.pdf, https://www.bellavistawine.it/Public/images/118/terra_moretti_bellavista_sate-n_senza_annata_ita.pdf,,Franciacorta Satèn,Bellavista,wine_01gzr4ktfzevznqx93s31tmnkz,,33.368015
TRUE,SPARKLING,BERLUCCHI “61 NATURE” Brut,BERLUCCHI “61 NATURE” Brut,,BOTTLE,2015,49,,https://www.berlucchi.it/wp-content/uploads/2022/04/Berlucchi-61-Franciacorta-Nature-2015.pdf, https://www.berlucchi.it/wp-content/uploads/2022/04/Berlucchi-61-Franciacorta-Nature-2015.pdf,,'61 Franciacorta Nature,Guido Berlucchi,wine_01h0my5sm6mb90gtsg43yayyxw,,37.682648
TRUE,SPARKLING,BERLUCCHI “PALAZZO LANA RISERVA” Extra Brut,BERLUCCHI “PALAZZO LANA RISERVA” Extra Brut,,BOTTLE,2007,69,,https://www.berlucchi.it/wp-content/uploads/2021/10/Palazzo-Lana-EXTREME-RGB-ita-1.pdf, https://www.berlucchi.it/wp-content/uploads/2021/10/Palazzo-Lana-EXTREME-RGB-ita-1.pdf,,Franciacorta Riserva Extrême Palazzo Lana,Guido Berlucchi,wine_01h0my5sm6j04yenb8y8k2bbsh,,37.42826
TRUE,SPARKLING,CA DEL BOSCO “ANNA MARIA CLEMENTI” Cuvèe,CA DEL BOSCO “ANNA MARIA CLEMENTI” Cuvèe,,BOTTLE,2014,170,? - 2013 | 4 - 2006,https://www.cadelbosco.com/wp-content/files_mf/1650869062AnnamariaClementi2013_ITA.pdf,? - 2013 | 4 - 2006 https://www.cadelbosco.com/wp-content/files_mf/1650869062AnnamariaClementi2013_ITA.pdf,,Cuvée Annamaria Clementi (Extra Brut),Ca' del Bosco,wine_01gzr4ksccr3vp26k7752yh5yp,23130,33.93879
TRUE,SPARKLING,"CA DEL BOSCO “CUVÉE PRESTIGE"" 45a edizione Extra Brut","CA DEL BOSCO “CUVÉE PRESTIGE"" 45a edizione Extra Brut",,BOTTLE,,54,,https://www.cadelbosco.com/wp-content/files_mf/1637188306Cuv%C3%A9ePrestigeEdizione44_ITA.pdf, https://www.cadelbosco.com/wp-content/files_mf/1637188306Cuv%C3%A9ePrestigeEdizione44_ITA.pdf,,Franciacorta 45a Edizione Cuvée Prestige,Ca' del Bosco,wine_01gzr4ksccjdzyhhd282hpn8v7,11143100,43.98522
TRUE,SPARKLING,CA DEL BOSCO “VINTAGE COLLECTION” Extra Brut,CA DEL BOSCO “VINTAGE COLLECTION” Extra Brut,,BOTTLE,2018,79,,https://www.cadelbosco.com/wp-content/files_mf/1607100716BrutMill2016_VintageCollection_ITA.pdf, https://www.cadelbosco.com/wp-content/files_mf/1607100716BrutMill2016_VintageCollection_ITA.pdf,,Vintage Collection Franciacorta Extra Brut,Ca' del Bosco,wine_01gzr4ksccfqm845b136zrjegw,10623909,40.06018
TRUE,SPARKLING,CA DEL BOSCO “VINTAGE COLLECTION” Dosage Zero,CA DEL BOSCO “VINTAGE COLLECTION” Dosage Zero,,BOTTLE,2018,86,,https://www.cadelbosco.com/wp-content/files_mf/1650555758DosageZ%C3%A9ro2017_VintageCollection_ITA.pdf, https://www.cadelbosco.com/wp-content/files_mf/1650555758DosageZ%C3%A9ro2017_VintageCollection_ITA.pdf,,Dosage Zéro Franciacorta (Vintage Collection),Ca' del Bosco,wine_01gzr4ksccg1swcb7yb701kdpe,1961980,43.471066
