wine_id,size,vintage,price,info,storage_area,internal_notes
wine_01gzr4ktfzzysgtwyv6g5c66c4,BOTTLE,0,5600,,, https://www.bellavistawine.it/Public/images/167/bellavista_almabrut_scheda_tecnica.pdf
wine_01gzr4ktfz37ac5e83ps4t15kn,BOTTLE,2013,12900,,,2 - 2004 https://www.bellavistawine.it/Public/images/132/bellavista_vittoriomoretti_scheda_tecnica.pdf
wine_01gzr4ktfzevznqx93s31tmnkz,BOTTLE,2015,7900,,, https://www.bellavistawine.it/Public/images/118/terra_moretti_bellavista_sate-n_senza_annata_ita.pdf
wine_01h0my5sm6mb90gtsg43yayyxw,BOTTLE,2015,4900,,, https://www.berlucchi.it/wp-content/uploads/2022/04/Berlucchi-61-Franciacorta-Nature-2015.pdf
wine_01h0my5sm6j04yenb8y8k2bbsh,BOTTLE,2007,6900,,, https://www.berlucchi.it/wp-content/uploads/2021/10/Palazzo-Lana-EXTREME-RGB-ita-1.pdf
wine_01gzr4ksccr3vp26k7752yh5yp,BOTTLE,2014,17000,,,? - 2013 | 4 - 2006 https://www.cadelbosco.com/wp-content/files_mf/1650869062AnnamariaClementi2013_ITA.pdf
wine_01gzr4ksccjdzyhhd282hpn8v7,BOTTLE,0,5400,,, https://www.cadelbosco.com/wp-content/files_mf/1637188306Cuv%C3%A9ePrestigeEdizione44_ITA.pdf
wine_01gzr4ksccfqm845b136zrjegw,BOTTLE,2018,7900,,, https://www.cadelbosco.com/wp-content/files_mf/1607100716BrutMill2016_VintageCollection_ITA.pdf
wine_01gzr4ksccg1swcb7yb701kdpe,BOTTLE,2018,8600,,, https://www.cadelbosco.com/wp-content/files_mf/1650555758DosageZ%C3%A9ro2017_VintageCollection_ITA.pdf
wine_01gzr4kscchayks0qd3z6vrvj3,BOTTLE,2010,12000,,, https://www.cadelbosco.com/wp-content/files_mf/1650945175DosageZ%C3%A9roNoir2013_VintageCollection_ITA.pdf
