external_id,name,name_2,name_3,internal_notes,vintage,info,bottle_qty,magnum_qty,demi_qty,bottle_price,magnum_price,demi_price,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Passito ,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Passito ,Cashmere Gewürztraminer,Weingut Elena Walch, PASSITO ,2020,,0,,, 19.00 € ,,,,
,Passito ,Ornus dell Ornelaia , Petit Manseng , PASSITO ,2016,,26,,, 19.00 € , 110.00 € ,,,
,,Ornus dell Ornelaia , Petit Manseng ,,2015,,4,,,,,,,
,,Ornus dell Ornelaia , Petit Manseng ,,2011,,6,,,,,,,
,,Ornus dell Ornelaia , Petit Manseng ,,2010,,3,,,,,,,
,,Ornus dell Ornelaia , Petit Manseng ,,2009,,1,,,, 140.00 € ,,,
,,Rosenmuskateller,Weingut Alois Lageder, PASSITO ,2008,,7,,, 19.00 € ,,,,
,,,,,,,,,,,,,,
,,Prosecco,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,Prosecco,Corvezzo BIO,PROSECCO,,,,,,, 41.00 € ,,,,
114,Prosecco,Corvezzo BIO,PROSECCO, Millesimato ROSÉ ,,,,,, 43.00 € ,,,,
112,Prosecco,Le Colture,PROSECCO CARTIZZE, Superiore DOCG ,,,5,,, 50.00 € ,,,,
,Prosecco,Bepin De Eto,PROSECCO VALDOBBIADENE , Superiore BrutDOCG ,,,60,,,,,,,
,,,,,,,,,,,,,,
,,Moscato d´Asti,,,,,,,,,,,,
,,,,,,,,,,,,,,
119,Moscato d´Asti,Giacomo Bologna - Braida,MOSCATO D´ASTI,,2022,,3,,, 45.00 € ,,,,
,,,,,,,,,,,,,,
,,Lambrusco Reggiano,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Lambrusco Reggiano,Medici Ermete,CONCERTO ,,2021,,1,,, 41.00 € ,,,,
,,,,,,,,,,,,,,
,,Sekt,,,,,,,,,,,,
,,,,,,,,,,,,,,
100,Sekt,Sektmanufaktur Winkler,LAMM N.12,,,,3,,, 50.00 € ,,,,
,,,,,,,,,,,,,,
,,Ferrari ,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Ferrari ,Cuvée Zero ,,2015,,13,,,,,,,
,,Ferrari ,Millesime ,,2005,,1,,,,,,,
,,Ferrari ,Millesime ,,2004,,1,,,,,,,
,,Ferrari ,Millesime ,,2003,,1,,,,,,,
101,,Ferrari,PERLE,,2018,,145,,, 69.00 € ,,,,
,,Ferrari,PERLE, MAGNUM  ,2011,,,2,,, 150.00 € ,,,
102,,Ferrari,RISERVA LUNELLI,,2022,,6,,,,,,,
,,Ferrari,RISERVA LUNELLI, MAGNUM  ,2015,,43,1,,, 180.00 € ,,,
,,Ferrari,RISERVA LUNELLI,,2012,,2,,, 85.00 € ,,,,
,,Ferrari,RISERVA LUNELLI,,2010,,3,,,,,,,
104,,Ferrari,GIULIO FERRARI RISERVA, MAGNUM  ,2009,,,1,, 185.00 € ,,,,
,,Ferrari,GIULIO FERRARI RISERVA, MAGNUM  ,2008,,33,3,,,,,,
,,Ferrari,GIULIO FERRARI RISERVA,,2007,,4,,, 300.00 € ,,,,
