external_id,name,vintage,info,internal_notes,size,price,quantity
,Passito  Ornus dell Ornelaia   Petit Manseng,2016,, PASSITO ,BOTTLE, 19.00 € ,26
,Ornus dell Ornelaia   Petit Manseng,2015,,,BOTTLE,,4
,Ornus dell Ornelaia   Petit Manseng,2011,,,BOTTLE,,6
,Ornus dell Ornelaia   Petit Manseng,2010,,,BOTTLE,,3
,Ornus dell Ornelaia   Petit Manseng,2009,,,BOTTLE,,1
,Rosenmuskateller Weingut Alois Lageder,2008,, PASSITO ,BOTTLE, 19.00 € ,7
112,Prosecco Le Colture PROSECCO CARTIZZE,,, Superiore DOCG ,BOTTLE, 50.00 € ,5
,Prosecco Bepin De Eto PROSECCO VALDOBBIADENE,,, Superiore BrutDOCG ,BOTTLE,,60
119,Moscato d´Asti Giacomo Bologna - Braida MOSCATO D´ASTI,2022,,,BOTTLE, 45.00 € ,3
,Lambrusco Reggiano Medici Ermete CONCERTO,2021,,,BOTTLE, 41.00 € ,1
100,Sekt Sektmanufaktur Winkler LAMM N.12,,,,BOTTLE, 50.00 € ,3
,Ferrari  Cuvée Zero,2015,,,BOTTLE,,13
,Ferrari  Millesime,2005,,,BOTTLE,,1
,Ferrari  Millesime,2004,,,BOTTLE,,1
,Ferrari  Millesime,2003,,,BOTTLE,,1
101,Ferrari PERLE,2018,,,BOTTLE, 69.00 € ,145
,Ferrari PERLE,2011,, MAGNUM  ,MAGNUM, 150.00 € ,2
102,Ferrari RISERVA LUNELLI,2022,,,BOTTLE,,6
,Ferrari RISERVA LUNELLI,2015,, MAGNUM  ,BOTTLE,,43
,Ferrari RISERVA LUNELLI,2015,, MAGNUM  ,MAGNUM, 180.00 € ,1
,Ferrari RISERVA LUNELLI,2012,,,BOTTLE, 85.00 € ,2
,Ferrari RISERVA LUNELLI,2010,,,BOTTLE,,3
104,Ferrari GIULIO FERRARI RISERVA,2009,, MAGNUM  ,MAGNUM,,1
,Ferrari GIULIO FERRARI RISERVA,2008,, MAGNUM  ,BOTTLE,,33
,Ferrari GIULIO FERRARI RISERVA,2008,, MAGNUM  ,MAGNUM,,3
,Ferrari GIULIO FERRARI RISERVA,2007,,,BOTTLE, 300.00 € ,4
,Ferrari GIULIO FERRARI RISERVA,2006,, MAGNUM  ,MAGNUM, 390.00 € ,6
,Ferrari GIULIO FERRARI RISERVA,2005,,,BOTTLE,,5
105,Ferrari GIULIO FERRARI COLLEZIONE,2001,,,BOTTLE, 750.00 € ,4
,Ferrari Bruno Lunelli,2006,,,BOTTLE,,3
115,Ferrari ROSÉ RISERVA,2017,,,BOTTLE, 85.00 € ,22
,Ferrari ROSÉ RISERVA,2015,, MAGNUM  ,MAGNUM,,1
116,Ferrari GIULIO FERRARI RISERVA ROSÉ,2008,,,BOTTLE, 270.00 € ,6
,Ferrari GIULIO FERRARI RISERVA ROSÉ,2007,,,BOTTLE,,5
120,Ferrari DEMI SEC,,,,BOTTLE, 39.00 € ,3
,Ferrari Formula 1,2022,, MAGNUM  ,MAGNUM,,10
,Ferrari Formula 1,2021,, MAGNUM  ,MAGNUM,,3
124,Champagne Legras & Haas GRAND CRU,2023,, BLANC DE BLANCS ,BOTTLE, 85.00 € ,132
125,Champagne Legras & Haas MILLÉSIME GRAND C.,2012,, BLANC DE BLANCS ,BOTTLE, 120.00 € ,10
,Champagne Legras & Haas MILLÉSIME GRAND C.,2011,,,BOTTLE,,4
,Champagne Legras & Haas MILLÉSIME GRAND C.,2008,, MAGNUM  ,MAGNUM,,1
135,Champagne Legras & Haas ROSÉ,,,,BOTTLE, 115.00 € ,33
,Champagne Pierree-Jouet,,, BLANC DE BLANCS ,BOTTLE, 85.00 € ,42
,Champagne Pierree-Jouet  ROSÉ,,,,BOTTLE, 115.00 € ,6
,Champagne Pierree-Jouet  BELLE EPOCH,2015,,,BOTTLE, 195.00 € ,5
,Champagne Pierree-Jouet  BELLE EPOCH,1999,,,BOTTLE, 350.00 € ,1
126,Champagne Billecart-Salmon  RISERVA,,,,BOTTLE, 120.00 € ,3
,Champagne BLANC DE BLANC,,, (EK 75€) ,BOTTLE,,6
136,Champagne Billecard-Salmon  ROSÉ,,,,BOTTLE, 145.00 € ,8
126,Champagne Veuve Clicquot Ponsardin LA GRANDE DAME,2006,,,BOTTLE, 260.00 € ,9
126,Champagne Dom Perignon VINTAGE,2015,,,BOTTLE,,12
,Champagne,2012,,,BOTTLE,,30
,Champagne,2010,, MAGNUM ,BOTTLE, 295.00 € ,1
,Champagne,2010,, MAGNUM ,MAGNUM,,4
,Champagne,2008,,,HALF_BOTTLE,,1
126,Champagne Dom Perignon Plénitude 2,2004,,,BOTTLE,,11
,Champagne Dom Perignon Plénitude 2,2003,,,BOTTLE,,9
,Champagne Dom Perignon Plénitude 2,2002,,,BOTTLE, 650.00 € ,4
,Champagne Don Perignon  GREEN ILUSIONIST  BRUT ,2010,,,BOTTLE,,2
136,Champagne Don Perignon  ROSÉ,2008,,,BOTTLE, 560.00 € ,12
,Champagne Don Perignon  ROSÉ ILUSIONIST  BRUT ,2006,, BRUT ,BOTTLE,,3
,Champagne Don Perignon  LADY GAGA EDITION,2008,,,BOTTLE,,3
126,Champagne Louis Roederer CRISTAL,2014,,,BOTTLE,,4
,Champagne Louis Roederer CRISTAL,2012,,,BOTTLE, 350.00 € ,2
,Champagne Louis Roederer CRISTAL,2000,,,BOTTLE,,2
,Champagne Louis Roederer COLLEETION 242,,,,BOTTLE,,6
126,Champagne Krug GRANDE CUVÉE,, 170th EDITION ,,BOTTLE, 450.00 € ,12
136,Champagne Krug BRUT ROSÉ,, 25 éme  ,,BOTTLE, 450.00 € ,8
126,Champagne Salon LE MESNIL  BRUT  ,1997,,,BOTTLE," 1,500.00 € ",2
136,Champagne Bollinger  SPECIAL CUVÉE ROSÉ,,,,BOTTLE, 145.00 € ,16
,Champagne Le Mesnil   GRAN CRU BRUT,,, BLANC DE BLANCS ,BOTTLE,,1
,Champagne Laurent-Perrier BRUT,2008,,,BOTTLE,,3
,Champagne  Andre Beaufort a Ambonnay GRAN CRU  ROSÉ BRUT  ,1990,,,BOTTLE,,3
,Champagne Armande De Brignac GOLD BRUT,,,,BOTTLE,,3
,Champagne Pol Roger  BRUT RESERVE,,,,BOTTLE,,2
,Champagne Pol Roger  SIR WINSTON CHURCHILL,1999,,,BOTTLE,,3
,Champagne Pol Roger  ROSÉ,2004,,,BOTTLE,,1
,Champagne H. Billiot Fils GRAN CRU RISERVA  BRUT  ,,,,BOTTLE,,1
,Champagne Jacques Selosse LIEUX DITS  EXTRA BRUT  ,2021,, EXTRA BRUT  ,BOTTLE,,2
,Champagne Guillaume Selosse LARGILLIER  EXTRA BRUT  ,2018,, EXTRA BRUT  ,BOTTLE,,2
,Champagne Guillaume Selosse LARGILLIER  EXTRA BRUT  ,2017,, EXTRA BRUT  ,BOTTLE,,1
,Champagne Au dessus du Gros Mont,2018,,,BOTTLE,,1
141,Hof Gandberg Sonnrain T.N. 99 Gandberg,2019,BIO, PIWI ,BOTTLE, 55.00 € ,7
142,Hof Gandberg Bronner T.N. 04 Gandberg,2017,BIO, PIWI ,BOTTLE, 50.00 € ,10
143,Hof Gandberg Abendrot T.N. 06 Gandberg,2018,BIO, PIWI ,BOTTLE, 55.00 € ,8
144,Hof Gandberg Solaris T.N. 14 Gandberg,2019,BIO, PIWI ,BOTTLE, 45.00 € ,25
145,Hof Gandberg Souvignier Gris T.N. 16 Gandberg,2021,BIO, PIWI ,BOTTLE, 45.00 € ,2
146,Hof Gandberg Gandfels Cab. Cantor+Cortis T.N. 06 Gandberg,2016,BIO, PIWI ,BOTTLE, 55.00 € ,31
180,Kellerei Kurtatsch LIBELL,2024,,(5x 23),BOTTLE, 45.00 € ,126
172,Kellerei Kurtatsch AMOS,2022,, PB+CH+PG+SB+KE ,BOTTLE, 59.00 € ,15
,Kellerei Kurtatsch AMOS,2018,,,MAGNUM,,1
179,Weingut Franz Haas MANNA,2023,, RI+CH+GT+SB ,BOTTLE, 69.00 € ,18
,Weingut Franz Haas MANNA,2007,,,MAGNUM, 125.00 € ,2
173,Kellerei Tramin STOAN,2022,, CH+SB+PB+GT ,BOTTLE, 75.00 € ,31
175,Weingut Kornell AICHBERG,2020,, PB+CH+SB ,BOTTLE, 75.00 € ,18
174,Kellerei Eisacktal ADAMANTIS,2020,, SY+GV+PG+KE ,BOTTLE, 120.00 € ,13
,Weingut Elena Walch BEYOND THE CLOUDS,2022,, CH+GV+SB ,BOTTLE,,59
177,Weingut Elena Walch BEYOND THE CLOUDS,2021,,,BOTTLE, 120.00 € ,3
,Weingut Elena Walch BEYOND THE CLOUDS,2020,,,BOTTLE,,2
171,Kellerei Nals-Margreid NAMA,2018,, CH+PB+SB ,BOTTLE, 145.00 € ,3
176,Kellerei St. Michael-Eppan APPIUS,2019,, CH+PB+PG+SB ,BOTTLE, 155.00 € ,12
,Kellerei St. Michael-Eppan APPIUS,2012,,,BOTTLE,,1
170,Weingut Franz Haas MANNA,2007,,,BOTTLE, 95.00 € ,11
,Weingut Franz Haas MANNA,2006,,,BOTTLE,,5
,Weingut Elena Walch BEYOND THE CLOUDS ARGENTUM B.,2016,,,BOTTLE,,15
170,Weingut Elena Walch BEYOND THE CLOUDS ARGENTUM B.,2014,,,BOTTLE, 155.00 € ,24
,Weingut Schreckbichl  CORNELIUS,1997,,,BOTTLE,,2
,Alois Lageder  CONTEST KLEIN,1999,,,BOTTLE,,2
,Alois Lageder  CONTEST KLEIN,1969,,,BOTTLE,,1
,Kellerei Grilan  RISERVA BIANCA,2008,,,BOTTLE,,4
