external_id,type,name,name_2,name_3, internal_notes ,vintage, info ,bottle_price,magnum_price,demi_price,bottle_qty,magnum_qty,demi_qty,purchase_price,to_archive
,RED,,Insoglio ,Capo di sasso , 12L ,2010,1,,,,,,,,
7060,,Sauvignon,SAPHIR,Laimburg,0.5,2004,,,, 55.00 € ,,,10,24.00 €,
5420,,Lagrein Dunkel,SEGEN,Kellerei Meran,3 lt,2000,,, 230.00 € ,,,1,,53.00 €,
5682,,Cabernet,TÓR LÖWENGANG,Alois Lageder,3 lt,2000,,, 380.00 € ,,,2,,86.35 €,
5810,,Corolle,,Cason Hirschprunn,3 lt,1997,,, 365.00 € ,,,1,,51.00 €,
6076,,Il Pino di Biserno,,Campo di Sasso,3 l,2007,,, 350.00 € ,,,1,,95.00 €,
6078,,Biserno,,Campo di Sasso,3 l,2007,,, 480.00 € ,,,1,,240.00 €,
6200,,Amarone ,,Dal Forno Romano,3 l ,2001,,," 2,222.00 € ",,,1,,"1,200.00 €",
6210,,Amarone ,,Dal Forno Romano,3 l ,2000,,," 2,222.00 € ",,,3,,"1,200.00 €",
,RED,Cabernet,Sassicaia,Tenuta San Guido,,2013,,," 1,200.00 € "," 8,000.00 € ",,9,6L1X,,
