external_id,type,name_1,name_2,name_3,internal_notes,vintage,info,bottle_price,magnum_price,demi_price,bottle_qty,magnum_qty,demi_qty,purchase_price,to_archive
,,Passito ,Château d´Yquem,,Sauternes,2004,,,,,2,,,,
,,Passito ,Château d´Yquem,,Sauternes,2001,,,,,4,,,,
,,Passito ,Cashmere Gewürztraminer,Weingut Elena Walch, PASSITO ,2020,, 19.00 € ,,,0,,,,1
,,Passito ,Ornus dell Ornelaia , Petit Manseng , PASSITO ,2016,,, 110.00 € ,,26,,,,
,,Passito ,Ornus dell Ornelaia , Petit Manseng , PASSITO ,2015,,,,,4,,,,
,,Passito ,Ornus dell Ornelaia , Petit Manseng , PASSITO ,2011,, 19.00 € , 120.00 € ,,4,,,,
,,Passito ,Ornus dell Ornelaia , Petit Manseng , PASSITO ,2010,,,,,3,,,,
,,Passito ,Ornus dell Ornelaia , Petit Manseng , PASSITO ,2009,,, 140.00 € ,,1,,,,
,,Passito ,Rosenmuskateller,Weingut Alois Lageder, PASSITO ,2008,, 19.00 € ,,,7,,,,
111,,Prosecco,Bepin De Eto,PROSECCO, Superiore Brut DOCG ,,, 41.00 € ,,,60,,, 8.30 € ,
114,,Prosecco,Bepin De Eto Rosato ,SPUMANTE ROSATO, Millesimato ROSÉ ,,, 43.00 € ,,,60,,, 8.30 € ,
112,,Prosecco,Le Colture,PROSECCO CARTIZZE, Superiore DOCG ,,, 50.00 € ,,,5,,,,
,,Moscato d´Asti,Giacomo Bologna - Braida,MOSCATO D´ASTI,,2024,,,,,18,,,,
119,,Moscato d´Asti,Giacomo Bologna - Braida,MOSCATO D´ASTI,,2022,, 45.00 € ,,,2,,,,
,,Lambrusco Reggiano,Medici Ermete,CONCERTO ,,2021,, 41.00 € ,,,1,,,,
100,,,Sektmanufaktur Winkler,LAMM N.12,,,, 50.00 € ,,,3,,,,
,,,Ferrari ,Cuvée Zero ,,2015,,,,,13,,,,
,,,Ferrari ,Millesime ,,2005,,,,,1,,,,
,,,Ferrari ,Millesime ,,2004,,,,,1,,,,
,,,Ferrari ,Millesime ,,2003,,,,,1,,,,
101,,,Ferrari,PERLE, MAGNUM  ,2018,, 69.00 € ,,,145,12,,,
,,,Ferrari,PERLE, MAGNUM  ,2013,,,,,,1,,,
,,,Ferrari,PERLE, MAGNUM  ,2011,,, 150.00 € ,,,1,,,
102,,,Ferrari,RISERVA LUNELLI, MAGNUM  ,2016,,,,,18,12,,,
,,,Ferrari,RISERVA LUNELLI, MAGNUM  ,2015,,, 180.00 € ,,43,1,,,
,,,Ferrari,RISERVA LUNELLI,,2012,, 85.00 € ,,,2,,,,
,,,Ferrari,RISERVA LUNELLI,,2010,,,,,3,,,,
,,,Ferrari,GIULIO FERRARI RISERVA, MAGNUM  ,2015,,,,,18,6,,,
104,,,Ferrari,GIULIO FERRARI RISERVA, MAGNUM  ,2009,, 185.00 € ,,,,1,,,
,,,Ferrari,GIULIO FERRARI RISERVA, MAGNUM  ,2008,,,,,33,3,,,
,,,Ferrari,GIULIO FERRARI RISERVA,,2007,, 300.00 € ,,,4,,,,
,,,Ferrari,GIULIO FERRARI RISERVA, MAGNUM  ,2006,,, 390.00 € ,,,5,,,
,,,Ferrari,GIULIO FERRARI RISERVA,,2005,,,,,5,,,,
105,,,Ferrari,GIULIO FERRARI COLLEZIONE,,2001,, 750.00 € ,,,4,,,,
,,,Ferrari,Bruno Lunelli ,,2006,,,,,3,,,,
,,,Ferrari,ROSÉ RISERVA,,2018,,,,,18,,,,
115,,,Ferrari,ROSÉ RISERVA,,2017,, 85.00 € ,,,6,,,,
,,,Ferrari,ROSÉ RISERVA, MAGNUM  ,2016,,,,,,6,,,
,,,Ferrari,ROSÉ RISERVA, MAGNUM  ,2015,,,,,,1,,,
116,,,Ferrari,GIULIO FERRARI RISERVA ROSÉ,,2008,, 270.00 € ,,,6,,,,
