external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,,Passito  Château d´Yquem ,,,BOTTLE,2004,0,0,2,,Sauternes,True
,,Passito  Château d´Yquem ,,,BOTTLE,2001,0,0,4,,Sauternes,True
,,Passito  Cashmere Gewürztraminer Weingut Elena Walch,,,BOTTLE,2020,1900,0,0,, PASSITO ,True
,,Passito  Cashmere Gewürztraminer Weingut Elena Walch,,,MAGNUM,2020,0,0,0,, PASSITO ,True
,,Passito  Cashmere Gewürztraminer Weingut Elena Walch,,,HALF_BOTTLE,2020,0,0,0,, PASSITO ,True
,,Passito  Ornus dell Ornelaia   Petit Manseng ,,,BOTTLE,2016,0,0,26,, PASSITO ,True
,,Passito  Ornus dell Ornelaia   Petit Manseng ,,,BOTTLE,2015,0,0,4,, PASSITO ,True
,,Passito  Ornus dell Ornelaia   Petit Manseng ,,,BOTTLE,2011,1900,0,4,, PASSITO ,True
,,Passito  Ornus dell Ornelaia   Petit Manseng ,,,BOTTLE,2010,0,0,3,, PASSITO ,True
,,Passito  Ornus dell Ornelaia   Petit Manseng ,,,BOTTLE,2009,0,0,1,, PASSITO ,True
,,Passito  Rosenmuskateller Weingut Alois Lageder,,,BOTTLE,2008,1900,0,7,, PASSITO ,True
,,Prosecco Bepin De Eto PROSECCO,,,BOTTLE,0,4100,830,60,, Superiore Brut DOCG ,True
,,Prosecco Bepin De Eto Rosato  SPUMANTE ROSATO,,,BOTTLE,0,4300,830,60,, Millesimato ROSÉ ,True
,,Prosecco Le Colture PROSECCO CARTIZZE,,,BOTTLE,0,5000,0,5,, Superiore DOCG ,True
,,Moscato d´Asti Giacomo Bologna - Braida MOSCATO D´ASTI,,,BOTTLE,2024,0,0,18,,,True
,,Moscato d´Asti Giacomo Bologna - Braida MOSCATO D´ASTI,,,BOTTLE,2022,4500,0,2,,,True
,,Lambrusco Reggiano Medici Ermete CONCERTO ,,,BOTTLE,2021,4100,0,1,,,True
,, Sektmanufaktur Winkler LAMM N.12,,,BOTTLE,0,5000,0,3,,,True
,, Ferrari  Cuvée Zero ,,,BOTTLE,2015,0,0,13,,,True
,, Ferrari  Millesime ,,,BOTTLE,2005,0,0,1,,,True
,, Ferrari  Millesime ,,,BOTTLE,2004,0,0,1,,,True
,, Ferrari  Millesime ,,,BOTTLE,2003,0,0,1,,,True
,, Ferrari PERLE,,,BOTTLE,2018,6900,0,145,, MAGNUM  ,True
,, Ferrari PERLE,,,MAGNUM,2018,0,0,12,, MAGNUM  ,True
,, Ferrari PERLE,,,MAGNUM,2013,0,0,1,, MAGNUM  ,True
,, Ferrari PERLE,,,MAGNUM,2011,15000,0,1,, MAGNUM  ,True
,, Ferrari RISERVA LUNELLI,,,BOTTLE,2016,0,0,18,, MAGNUM  ,True
,, Ferrari RISERVA LUNELLI,,,MAGNUM,2016,0,0,12,, MAGNUM  ,True
,, Ferrari RISERVA LUNELLI,,,BOTTLE,2015,0,0,43,, MAGNUM  ,True
