wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01h0f3cmcryt4378rdjjxnvwks,v.54031.2019.b,BOTTLE,2019,8000,2400,,,2,,True
wine_01h4pmmfk4r4b0zw20w3bs508g,v.9395.2021.b,BOTTLE,2021,6000,2000,,,8,,True
wine_01gzr4ksjg2aydd3xcgwzjv24q,v.79013.2023.b,BOTTLE,2023,2900,865,,,21,,True
wine_01h0f3cmb3kdn8xhtpbvng3mbs,v.73695.2019.b,BOTTLE,2019,12000,3000,,,3,,True
wine_01gzr4ksk5pm90nznnqsrj1261,v.33414.2022.b,BOTTLE,2022,3000,880,,,4,,True
wine_01gzr4ksnys8fgvsbw2vjzvg9z,v.33241.2022.b,BOTTLE,2022,4100,1450,,,12,,True
wine_01hczek28dawq2yxn253kjxhf8,v.69606.2020.b,BOTTLE,2020,3300,990,,,4,,True
wine_01gzr4kte8m02p84bz251s0b43,v.3148.2023.b,BOTTLE,2023,3900,1350,,,12,,True
wine_01gzr4kte9rp2hazva5brtt860,v.40430.2020.b,BOTTLE,2020,6500,2500,,,4,,True
wine_01h0f3cmcrrsej2dts0wkfe6bn,v.32710.2019.b,BOTTLE,2019,10000,2900,,,4,,True
wine_01gzr4ktrggwtrst20gvrddbxh,v.47861.2022.b,BOTTLE,2022,2900,865,,,6,,True
wine_01h4pmmg33x11ewhd3qh0j5as5,v.47859.2022.b,BOTTLE,2022,3800,1175,,,12,,True
wine_01h0my5sexgaxxcfsxzswq3qa7,v.47858.2020.b,BOTTLE,2020,5900,2395,,,6,,True
wine_01gzr4ktj54mn23yzqbqb8karc,v.19257.2021.b,BOTTLE,2021,3800,1195,,,12,,True
wine_01gzr4kt6376t2k9aavvyna6dc,v.16114.2023.b,BOTTLE,2023,2500,710,,,6,,True
wine_01h0qzm1803vyrqeh21gz4aknr,v.13876.2023.b,BOTTLE,2023,2800,760,,,5,,True
wine_01gzr4ksspeypw822x85nyaeng,v.91375.2021.b,BOTTLE,2021,3200,960,,,8,,True
wine_01harvcmga34j6xtskkgecyjj4,v.96743.2023.b,BOTTLE,2023,0,660,,,1,,True
wine_01gzr4ktf7ftemzzj4cev6ghy5,v.764.2022.a,HALF_BOTTLE,2022,2600,720,,,3,,True
wine_01gzr4ktff1pne0qgmg647nd8y,v.30701.2019.b,BOTTLE,2019,4800,1780,,,6,,True
wine_01h0my5rnfpfayk63vrxb97drn,v.57547.2022.b,BOTTLE,2022,2200,650,,,32,,True
wine_01h0my5vq1qgg9arrtwrhp01hm,v.37273.2022.b,BOTTLE,2022,4100,1335,,,6,,True
wine_01h0my5rndvgnwcf85p8x82psk,v.9319.2018.b,BOTTLE,2018,3400,0,,,12,,True
wine_01h0my5t9n1r5kzsac7gd5qjq4,v.11280.2016.b,BOTTLE,2016,4000,1320,,,6,,True
wine_01h0my5t9njc3zp8cd454jpd61,v.9318.2022.b,BOTTLE,2022,2500,690,,,35,,True
wine_01h0my5t9n3k8pwsmwj026f96h,v.11281.2020.b,BOTTLE,2020,5100,1950,,,3,,True
wine_01h0my5t9nqtn5zpjrznzt3zgr,v.97515.2022.b,BOTTLE,2022,2800,790,,,2,,True
wine_01h4pmmfh6ykavgqfmt3gs73av,v.35327.2023.b,BOTTLE,2023,3500,1100,,,2,,True
