"winery","name","vintage","internal_notes_1",,"internal_notes_2","info","price"
,,,,,,,
,,,,,,,
"Edouard Duval","BRUT D´EUALIE - MAGNUM - 48 mesi","s.a","1,50 x 3 / S",12.00%,Apr-24,,€ 89.90
"Edouard Duval","BRUT D´EULALIE - DOPPIOMAG. - 48 mesi","s.a","3,00 x 1 / S",12.00%,Sep-24,,€ 210.00
"Edouard Duval","BRUT D´EULALIE - MATHUSALEM - 48 mesi","s.a","6,00 x 1 / S",12.00%,Jul-23,,€ 530.00
"Edouard Duval","NOIR D`EULALIE BRUT NATURE - 72 mesi","s.a.","0,75 x 6 / S",12.00%,Mar-23,,"€ 49,90"
"Edouard Duval","NOIR D`EULALIE EXTRA BRUT - 72 mesi","s.a.","0,75 x 6 / S",12.00%,May-23,,€ 47.90
"Edouard Duval","NOIR D`EULALIE EXTRA BRUT - MG","s.a.","1,50 x 3 / S",12.00%,Mar-22,,€ 109.90
"Edouard Duval","BLANC D`EULALIE EXTRA BRUT- 55 mesi","s.a.","0,75 x 6 / S",12.00%,May-23,,€ 52.90
"Edouard Duval","BLANC D`EULALIE EXTRA BRUT - MG","s.a.","1,50 x 3 / S",12.00%,Sep-23,,€ 116.00
"Edouard Duval","SAIGNÉE D`EULALIE ROSÉ BRUT- 36 mesi","s.a","0,75 x 6 / S",12.00%,Mar-23,,€ 63.50
"Edouard Duval","SAIGNÉE D`EULALIE ROSÉ BRUT - MG","s.a","1,50 x 3 / S",12.00%,Mar-23,,€ 129.00
"Edouard Duval","MILLÉSIMÉ BRUT NATURE MMXV","2015","1,5l x 3 / S",12.50%,Oct-22,,€ 320.00
"Barrat-Masson","LA JANCÉLIE BRUT NATURE ",2022,"0,75 x 6 / S",12.50%,Aug-24,,€ 34.50
"Barrat-Masson","GRAIN D`ARGILE BRUT NATURE","s.a.","0,75 x 6 / S",12.50%,Oct-24,"Limitato",€ 38.50
"Barrat-Masson","FLEUR DE CRAIE BLANC DE BLANCS",2020,"0,75 x 6 / S",12.50%,Oct-24,,€ 37.50
"Barrat-Masson","LES MARGANNES BLANC DE BLANCS",2019,"0,75 x 6 / S",12.50%,Nov-23,,€ 46.50
"Barrat-Masson","NUANCES DE CORNOIE BLANC DE NOIRS ",2018,"0,75 x 6 / S",12.50%,Jun-23,,€ 65.00
"Schinterhof","METODO CLASSICO EXTRA BRUT",2020,"0,75 x 6 / S",12.50%,Aug-24,,€ 21.90
"Schinterhof","METODO CLASSICO BLANC DE BLANC BRUT",2021,"0,75 x 6 / S",12.50%,,,€ 21.90
"Schinterhof","PINOT BIANCO",2022,"0,75 x 6 / S",14.00%,,,€ 12.50
"Schinterhof","BIANCO ",2021,"0,75 x 6 / S",14.00%,,,€ 12.50
"Schinterhof","BIANCO",2021,"1,5 x 3 / S",14.00%,,,€ 37.50
"Schinterhof","PINOT GRIGIO",2023,"0,75 x 6 / S",14.00%,,,€ 15.90
"Schinterhof","PINOT GRIGIO",2021,"1,5 x 3 / S",14.00%,,,€ 39.50
"Schinterhof","SAUVIGNON BLANC",2021,"0,75 x 6 / S",14.50%,,,€ 29.90
