external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,,BRUT D´EUALIE - MAGNUM - 48 mesi,Edouard Duval,,MAGNUM,0,8990,5993,50,,"1,50 x 3 / S | Apr-24",True
,,BRUT D´EULALIE - DOPPIOMAG. - 48 mesi,Edouard Duval,,MATHUSALEM,0,21000,14000,50,,"3,00 x 1 / S | Sep-24",True
,,BRUT D´EULALIE - MATHUSALEM - 48 mesi,Edouard Duval,,IMPERIAL,0,53000,35333,50,,"6,00 x 1 / S | Jul-23",True
,,NOIR D`EULALIE BRUT NATURE - 72 mesi,Edouard Duval,,BOTTLE,0,499000,332666,50,,"0,75 x 6 / S | Mar-23",True
,,NOIR D`EULALIE EXTRA BRUT - 72 mesi,Edouard Duval,,BOTTLE,0,4790,3193,50,,"0,75 x 6 / S | May-23",True
,,NOIR D`EULALIE EXTRA BRUT - MG,Edouard Duval,,MAGNUM,0,10990,7326,50,,"1,50 x 3 / S | Mar-22",True
,,BLANC D`EULALIE EXTRA BRUT- 55 mesi,Edouard Duval,,BOTTLE,0,5290,3526,50,,"0,75 x 6 / S | May-23",True
,,BLANC D`EULALIE EXTRA BRUT - MG,Edouard Duval,,MAGNUM,0,11600,7733,50,,"1,50 x 3 / S | Sep-23",True
,,SAIGNÉE D`EULALIE ROSÉ BRUT- 36 mesi,Edouard Duval,,BOTTLE,0,6350,4233,50,,"0,75 x 6 / S | Mar-23",True
,,SAIGNÉE D`EULALIE ROSÉ BRUT - MG,Edouard Duval,,MAGNUM,0,12900,8600,50,,"1,50 x 3 / S | Mar-23",True
,,MILLÉSIMÉ BRUT NATURE MMXV,Edouard Duval,,MAGNUM,2015,32000,21333,50,,"1,5l x 3 / S | Oct-22",True
,,LA JANCÉLIE BRUT NATURE ,Barrat-Masson,,BOTTLE,2022,3450,2300,50,,"0,75 x 6 / S | Aug-24",True
,,GRAIN D`ARGILE BRUT NATURE,Barrat-Masson,Limitato,BOTTLE,0,3850,2566,50,,"0,75 x 6 / S | Oct-24",True
,,FLEUR DE CRAIE BLANC DE BLANCS,Barrat-Masson,,BOTTLE,2020,3750,2500,50,,"0,75 x 6 / S | Oct-24",True
,,LES MARGANNES BLANC DE BLANCS,Barrat-Masson,,BOTTLE,2019,4650,3100,50,,"0,75 x 6 / S | Nov-23",True
