type,winery,name,size,vintage,supplier,price_eur,qty,Storage_1,Storage_2,Storage_3,purchase_price_inclvat
RED,Agricoltori del Chianti Geografico,Chianti Classico,,1971,,,1,Collezione,,, 1 € 
RED,Allegrini,Amarone della Valpolicella Classico docg,,2017,,150 €,4,s2 - legno,,, 76 € 
RED,Allegrini,Amarone della Valpolicella Classico docg ,,2019,,120 €,5,s2 - legno,,, 53 € 
RED,Allegrini,La Grola igt Rosso Veronese,,2018,,,,,,,
RED,Allegrini,La Grola igt Rosso Veronese,,2019,,45 €,17,s4,bar005,, 18 € 
RED,Allegrini,La Poja - Corvina Veronese igt V.S Cassa Luxury,,2017,,140 €,5,s3 - legno,,, 76 € 
RED,Allegrini,Palazzo della Torre igt - Corvina e Rond. Met. Alleg,,2016,,45 €,4,bar005,,, 13 € 
RED,Allegrini,Valpolicella doc Corte Giara,,2022,,25 €,2,bar005,,, 7 € 
RED,Angelo Negro,Barolo docg Comune Serralunga C.Legno,,2017,,60 €,1,bar003,,, 31 € 
RED,Angelo Negro,Basarin - Barbaresco docg Ris.C.Legno,,2016,,70 €,1,s3 - legno,,, 34 € 
RED,Angelo Negro,Prachiosso Roero docg (Omaggio),,2018,,25 €,1,bar003,,, 10 € 
RED,Angelo Negro,Sudisfa' - Roero docg Riserva,,2017,,60 €,1,bar003,,, 27 € 
RED,Antinori,Badia a Passignano - Chianti G.S.,,2020,,70 €,2,S4,,, 34 € 
RED,Antinori,Guado al Tasso- Bolgheri Sup,,2021,,180 €,6,s4 - legno,,, 88 € 
RED,Antinori,Peppoli Chianti Classico,,2022,Friends,30 €,8,s4,,, 8 € 
RED,Antinori,Tignanello Sang.C.S +C.F.Barrique,,2021,,150 €,4,tav10,,, 71 € 
RED,Antinori,Villa Antinori Riserva Chianti Cl.,,2021,,45 €,5,s3,,, 15 € 
RED,Antinori,Villa Antinori Ryder Cup,,2020,,30 €,1,bar010,,, 11 € 
RED,Antinori ,Il Bruciato - Tenuta Guado al Tasso,,2022,Friends,40 €,9,s4,bar010,, 14 € 
RED,Arnaldo Caprai,Grecante - Grechetto,,2023,,26 €,7,Frigo Sala sx,Frigo bianchi,, 9 € 
RED,Arnaldo Caprai,Merlot 2 Anni Barrique,,2018,,55 €,2,s4,,, 23 € 
RED,Arnaldo Caprai,Montefalco Rosso Riserva doc,,2019,,50 €,8,s4,bar009,, 16 € 
RED,Arnaldo Caprai,Montefalco Rosso Riserva doc,,2021,,50 €,17,s4,,, 17 € 
RED,Arnaldo Caprai,Montefalco Sagrantino  - 25 Anni docg ,,2018,,100 €,3,cheba-top,,, 40 € 
RED,Arnaldo Caprai,Montefalco Sagrantino  - 25 Anni docg ,,2019,,100 €,6,s4 - legno,,, 40 € 
RED,Arnaldo Caprai,Montefalco Sagrantino Val di Maggio docg,,2019,,60 €,6,s4,bar009,, 22 € 
RED,Arnaldo Caprai,Vigna Flaminia Maremmana (Montefalco Rosso doc),,2021,,30 €,,,,, 10 € 
RED,Atlantic Brand,Caelum Malbech,,2018,,50 €,1,bar010,,, 18 € 
RED,Atlantic Brandcae,Caelum Cabernet sauvignon,,2019,,60 €,1,bar010,,, 23 € 
RED,Bagnarol,Terra Sancti Viti,,2021,,,1,snack,,, 1 € 
RED,Bandinelli,Il Macinatoio di Panzano,,1975,,,1,Collezione,,, 1 € 
RED,Baron De Ley,Club Privado Tempranillo - Rioja,,2020,Bolis,25 €,15,s4,bar008,, 8 € 
RED,Baron De Ley ,Finca Monasterio Baron De Ley,,2017,Bolis,55 €,2,bar008,,, 21 € 
RED,Baron De Ley ,Rioja Reserva Tempranillo - Rioja Reserv,,2020,Bolis,36 €,12,s4,bar008,, 12 € 
RED,Bellia,De Promisso,,2019,,,1,tav11,,, 1 € 
RED,Bertani,Amarone Valpolicella Classico docg  ,,2008,,150 €,6,s2 - legno,tav10,, 67 € 
RED,Bertani,Rosso di Verona,,2016,,,5,bar004,s2 - legno,,
RED,Borgo San Daniele,Arbis Ros Pignolo,,2016,,60 €,3,s2,,, 22 € 
RED,Borgo San Daniele,Arbis ROS Pignolo,,2019,,80 €,13,s2,,, 29 € 
RED,Borgo San Daniele,Jiasik Rosso Cabernet Sauvignon,,2022,,25 €,23,bar007,carni,, 10 € 
RED,Braida,Bricco Dell'uccellone,,2020,TOLM,100 €,3,tav10,,, 34 € 
RED,Brandolini,Brando ,,2017,,50 €,12,s2,bar006,, 23 € 
RED,Brandolini,Refosco,,2017,,20 €,1,bar005,,, 5 € 
RED,Brandolini,Stomo,,2019,,25 €,1,bar005,,, 6 € 
RED,Brandolini,Stomo,,2020,,25 €,11,s2,bar005,, 6 € 
RED,Brandolini,Vistorta Merlot igt ,,2018,,50 €,9,s2,bar006,, 22 € 
RED,Bressani,Merlot,,2021,,30 €,12,s2,bar006,, 12 € 
RED,Bressani,Refosco Dal Peduncolo Rosso,,2021,,30 €,2,bar006,,, 13 € 
RED,Ca Bianca,Assesel Barbera  Omaggio,,2023,GIV,,1,s3,,, 1 € 
RED,Ca Bianca,Barbera d'Asti Superiore,,2022,GIV,25 €,19,s3,bar002,, 8 € 
RED,Ca Bianca,Nebbiolo Langhe,,2022,GIV,25 €,13,s3,bar002,, 7 € 
RED,Ca Bianca,Nebbiolo Langhe,,2023,GIV,25 €,24,s4,abbattitore,, 7 € 
RED,Calatroni,Fioravanti - Pinot Nero dell'Oltrepò Pavese doc ,,2014,,25 €,2,bar003,,, 7 € 
RED,Calatroni,Pinot Nero (Oltrepo Pavese),,2012,,36 €,2,bar003,,, 16 € 
RED,Calatroni,Riesling,,2013,,36 €,3,Frigo Sala sx,,, 16 € 
RED,Campe Dhei,Sior ,,2018,,,12,tav10-top,MAG,, 10 € 
RED,Carolina Gatti,El Gat Ros,,,,,5,tav10-top,MAG,,
RED,Carolina Gatti,Raboso,,2019,,21 €,1,tav10-top,,, 8 € 
RED,Castellare di Castellina,I Sodi di S. Nicolò,,2019,,,1,cheba-top,,, 40 € 
RED,Castello di Ama,Chianti Classico docg,,2021,,40 €,14,s3,bar010,, 17 € 
RED,Castello di Ama,San Lorenzo,,2019,,80 €,4,Frigo Sala sx,,, 37 € 
RED,Castello Monaci,Artas Primitivo del Salento,,2020,GIV,52 €,6,s4,,, 20 € 
RED,Castello Monaci,Maru Negroamaro Salento igt,,2020,GIV,25 €,1,bar008,,, 6 € 
RED,Castello Monaci,Piluna Primitivo Salento,,2021,GIV,25 €,2,bar008,,, 7 € 
RED,Castello Monaci,Sciu,,2020,GIV,25 €,2,bar008,,, 7 € 
RED,Ceretto,Barbaresco,,2020,,,2,s3,,, 1 € 
RED,Ceretto,Barbaresco docg Bio,,2021,,72 €,5,s3,,, 36 € 
RED,Ceretto,Barolo docg Bio,,2020,,90 €,2,bar002,,, 45 € 
RED,Ceretto,Brunat,,2020,,,1,snack,,, 1 € 
RED,Ceretto,Dolcetto Rossana,,2018,,,1,bar002,,, 11 € 
RED,Ceretto,Dolcetto Rossana,,2020,,30 €,1,bar002,,, 11 € 
RED,Ceretto,Monsordo Langhe Bio doc,,2020,,45 €,3,s3,,, 16 € 
RED,Ceretto,Monsordo Langhe Bio doc,,2021,Om,45 €,6,s3,,, 18 € 
RED,Ceretto,Nebbiolo d'Alba Bernardina,,2021,,45 €,1,bar002,,, 18 € 
RED,Ceretto,Nebbiolo d'Alba Bernardina,,2022,,45 €,5,s3,,, 18 € 
RED,Ceretto,Prapo',,2020,,,1,snack,,, 1 € 
RED,Cesconi,Moratel Vigneti delle Dolomiti ,,2020,,30 €,1,bar001,,, 10 € 
RED,Chateau Mont Redon,Chateaunef - Du - Pape (Cote Du Rohn),,2020,Ceretto,95 €,6,s4,,, 45 € 
RED,Colle Duga di Damian Princic,Colle Duga - Collio - Merlot ,,2022,TOLM,39 €,2,bar006,,, 14 € 
RED,Comte de Dauzac,Bordeaux Rouge,,2020,,29 €,1,bar009,,, 13 € 
RED,Coronica Moreno,Gran Terran -Terrano 100% Umago,,2013,,60 €,2,Collezione,,, 27 € 
RED,Coronica Moreno,Teran - Terrano (Umago),,2015,,55 €,7,s4,,, 24 € 
RED,Dorigo,Monsclapade Taglio Bordolese,,2020,TOLM,50 €,3,Frigo Sala sx,,, 16 € 
RED,Doro Princic,Merlot,,2021,,40 €,1,bar006,,, 18 € 
RED,Elio Perrone,Mongovone Barbera d'Asti (da Litro),LITER,2021,TOLM,50 €,1,tav10,,, 18 € 
RED,Fattoria del Teso,Montecarlo Bianco,,,,25 €,1,Frigo bianchi,magazzino,, 7 € 
RED,Fattoria del Teso,Montecarlo Riserva,,2020,,35 €,4,bar010,,, 15 € 
RED,Fiegl,Cabernet Franc,,2022,,,15,tav10,s1,bar007,
RED,Fiegl,Cabernet Sauvignon,,2024,,20 €,42,tav10,,, 7 € 
RED,Fiegl,Leopold Merlot,,2018,,35 €,6,s1,bar007,,
RED,Fiegl,Merlot ,,2023,,20 €,4,tav10,,,
RED,Fiegl,Pinot Nero,,2022,,,1,snack,,,
RED,Fiegl,Refosco (raduno DS 2024),,2023,,,5,tav10,,,
RED,Fontanafredda,Barolo docg Serralunga d'Alba,,2014,,72 €,1,Collezione,,, 30 € 
RED,Fontanafredda,Barolo docg Serralunga d'Alba,,2019,,69 €,16,s3,ingresso,bar002, 23 € 
RED,Formentini,Merlot,,2021,GIV,25 €,8,bar007,sarpi,, 8 € 
RED,Formentini,Merlot,,2022,,25 €,6,s2,bar007,,
RED,Francesco Clerico,Bussia - Barolo,,2020,,60 €,34,s3,bar001,, 26 € 
RED,Francesco Clerico,Nebbiolo Langhe,,2022,,30 €,3,bar001,,, 13 € 
RED,Francois Lurton,Mas Janeil - Le Petit Pas,,2022,,30 €,13,s4,bar008,, 11 € 
