external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,purchase_price_inclvat
,RED,Chianti Classico,Agricoltori del Chianti Geografico,,BOTTLE,1971,0,81,1,Collezione,,True, 1 € 
,RED,Amarone della Valpolicella Classico docg,Allegrini,,BOTTLE,2017,15000,6229,4,s2 - legno,,True, 76 € 
,RED,Amarone della Valpolicella Classico docg ,Allegrini,,BOTTLE,2019,12000,4344,5,s2 - legno,,True, 53 € 
,RED,La Grola igt Rosso Veronese,Allegrini,,BOTTLE,2018,0,0,0,nan,,True,0
,RED,La Grola igt Rosso Veronese,Allegrini,,BOTTLE,2019,4500,1475,17,s4+bar005,,True, 18 € 
,RED,La Poja - Corvina Veronese igt V.S Cassa Luxury,Allegrini,,BOTTLE,2017,14000,6229,5,s3 - legno,,True, 76 € 
,RED,Palazzo della Torre igt - Corvina e Rond. Met. Alleg,Allegrini,,BOTTLE,2016,4500,1065,4,bar005,,True, 13 € 
,RED,Valpolicella doc Corte Giara,Allegrini,,BOTTLE,2022,2500,573,2,bar005,,True, 7 € 
,RED,Barolo docg Comune Serralunga C.Legno,Angelo Negro,,BOTTLE,2017,6000,2540,1,bar003,,True, 31 € 
,RED,Basarin - Barbaresco docg Ris.C.Legno,Angelo Negro,,BOTTLE,2016,7000,2786,1,s3 - legno,,True, 34 € 
,RED,Prachiosso Roero docg (Omaggio),Angelo Negro,,BOTTLE,2018,2500,819,1,bar003,,True, 10 € 
,RED,Sudisfa' - Roero docg Riserva,Angelo Negro,,BOTTLE,2017,6000,2213,1,bar003,,True, 27 € 
,RED,Badia a Passignano - Chianti G.S.,Antinori,,BOTTLE,2020,7000,2786,2,S4,,True, 34 € 
,RED,Guado al Tasso- Bolgheri Sup,Antinori,,BOTTLE,2021,18000,7213,6,s4 - legno,,True, 88 € 
,RED,Peppoli Chianti Classico,Antinori,,BOTTLE,2022,3000,655,8,s4,Fornitore: Friends,True, 8 € 
,RED,Tignanello Sang.C.S +C.F.Barrique,Antinori,,BOTTLE,2021,15000,5819,4,tav10,,True, 71 € 
,RED,Villa Antinori Riserva Chianti Cl.,Antinori,,BOTTLE,2021,4500,1229,5,s3,,True, 15 € 
,RED,Villa Antinori Ryder Cup,Antinori,,BOTTLE,2020,3000,901,1,bar010,,True, 11 € 
,RED,Il Bruciato - Tenuta Guado al Tasso,Antinori ,,BOTTLE,2022,4000,1147,9,s4+bar010,Fornitore: Friends,True, 14 € 
,RED,Grecante - Grechetto,Arnaldo Caprai,,BOTTLE,2023,2600,737,7,Frigo Sala sx+Frigo bianchi,,True, 9 € 
,RED,Merlot 2 Anni Barrique,Arnaldo Caprai,,BOTTLE,2018,5500,1885,2,s4,,True, 23 € 
,RED,Montefalco Rosso Riserva doc,Arnaldo Caprai,,BOTTLE,2019,5000,1311,8,s4+bar009,,True, 16 € 
,RED,Montefalco Rosso Riserva doc,Arnaldo Caprai,,BOTTLE,2021,5000,1393,17,s4,,True, 17 € 
,RED,Montefalco Sagrantino  - 25 Anni docg ,Arnaldo Caprai,,BOTTLE,2018,10000,3278,3,cheba-top,,True, 40 € 
,RED,Montefalco Sagrantino  - 25 Anni docg ,Arnaldo Caprai,,BOTTLE,2019,10000,3278,6,s4 - legno,,True, 40 € 
,RED,Montefalco Sagrantino Val di Maggio docg,Arnaldo Caprai,,BOTTLE,2019,6000,1803,6,s4+bar009,,True, 22 € 
,RED,Vigna Flaminia Maremmana (Montefalco Rosso doc),Arnaldo Caprai,,BOTTLE,2021,3000,819,0,nan,,True, 10 € 
,RED,Caelum Malbech,Atlantic Brand,,BOTTLE,2018,5000,1475,1,bar010,,True, 18 € 
,RED,Caelum Cabernet sauvignon,Atlantic Brandcae,,BOTTLE,2019,6000,1885,1,bar010,,True, 23 € 
,RED,Terra Sancti Viti,Bagnarol,,BOTTLE,2021,0,81,1,snack,,True, 1 € 
,RED,Il Macinatoio di Panzano,Bandinelli,,BOTTLE,1975,0,81,1,Collezione,,True, 1 € 
,RED,Club Privado Tempranillo - Rioja,Baron De Ley,,BOTTLE,2020,2500,655,15,s4+bar008,Fornitore: Bolis,True, 8 € 
,RED,Finca Monasterio Baron De Ley,Baron De Ley ,,BOTTLE,2017,5500,1721,2,bar008,Fornitore: Bolis,True, 21 € 
,RED,Rioja Reserva Tempranillo - Rioja Reserv,Baron De Ley ,,BOTTLE,2020,3600,983,12,s4+bar008,Fornitore: Bolis,True, 12 € 
,RED,De Promisso,Bellia,,BOTTLE,2019,0,81,1,tav11,,True, 1 € 
,RED,Amarone Valpolicella Classico docg  ,Bertani,,BOTTLE,2008,15000,5491,6,s2 - legno+tav10,,True, 67 € 
,RED,Rosso di Verona,Bertani,,BOTTLE,2016,0,0,5,bar004+s2 - legno,,True,0
,RED,Arbis Ros Pignolo,Borgo San Daniele,,BOTTLE,2016,6000,1803,3,s2,,True, 22 € 
