wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01gzr4ksd1qj0jje38pjazzgjz,,BOTTLE,2022,3000,655,,s4,8,Fornitore: Friends,True
wine_01hcwsykjf3y90hjc2qekxk4a2,,BOTTLE,2019,0,81,,tav11,1,,True
wine_01gzr4kt3908a0efbnzj576vc7,,BOTTLE,2022,2000,0,,tav10+Frigo bianchi,8,,True
wine_01h0qzm0t1fv9hy7mdbs5q5na0,,BOTTLE,2017,3000,901,,Frigo bianchi,2,,True
wine_01h0qzm23hcm2x4xhdhxsq1zxg,,BOTTLE,2021,3500,1147,,Frigo bianchi,2,,True
wine_01h0qzm23hjxgfhda4ex1gp6fh,,BOTTLE,2021,3500,1147,,Frigo bianchi,1,,True
wine_01h0qsxmvf8k7vy5ffxx34j9kt,,BOTTLE,2017,5500,1803,,Frigo Sala sx+Frigo friulani,2,,True
wine_01h0qzm2mcc77j7xxs545j5g1p,,BOTTLE,2022,2500,737,,Frigo Sala sx+Frigo friulani,8,,True
wine_01h0qzm19t2y4wyvn506nah9jw,,BOTTLE,2024,2500,655,,s1+Frigo friulani,12,,True
wine_01h0my5re6p0empb8e8tky0mbn,,BOTTLE,2024,2500,491,,s1+Frigo bianchi,10,,True
wine_01gzr4kt16zvn63tak4qvz1d71,,BOTTLE,2022,3400,983,,Collezione,1,Fornitore: TOLM,True
wine_01gzr4kt16my30v7ht02gf3jta,,BOTTLE,2021,3400,983,,Frigo bianchi,1,Fornitore: TOLM,True
wine_01gzr4kskw9f9wt2tmgyg2xznx,,BOTTLE,2021,0,2459,,Frigo Sala sx,1,Fornitore: regalo Paolo,True
wine_01gzr4kskw3dxfswyhynw8e7e1,,BOTTLE,2023,3000,983,,s1+Frigo friulani,9,,True
wine_01gzr4ksszdmaty1zt92kbvgd4,,BOTTLE,2020,3300,983,,Frigo Sala dx,2,,True
wine_01gzr4kseha5rxdrym6cc56j1y,,BOTTLE,2021,3800,1393,,Frigo bianchi,1,,True
wine_01gzr4kskfs3q9v7kynnr2c26d,,BOTTLE,2020,5000,1393,,Frigo Sala sx,4,Fornitore: TOLM,True
wine_01hcw4dfc1ej2zgs212qab8vya,,BOTTLE,2019,0,81,,tav10-top,1,,True
wine_01h0r2pphvh1waeaszvx5ssz87,,BOTTLE,2022,2500,819,,Frigo bianchi,2,,True
wine_01h4pmmfqewvawppfkq8fqqb7j,,BOTTLE,2023,2500,573,,Frigo friulani,2,,True
wine_01h0my5sg4xghzhfhqczrp2k2q,,BOTTLE,2022,3000,819,,Frigo friulani,4,,True
wine_01gzr4kts27p4kajygc89h1rdr,,MAGNUM,2020,14000,81,,tav10-top,1,Fornitore: friends???,True
wine_01gzr4kt39zdn46ebzqq723adb,,MAGNUM,2013,0,0,,s2,1,,True
wine_01gzr4kt39zdn46ebzqq723adb,,MAGNUM,2015,7000,0,,Collezione,2,,True
wine_01gzr4kt39zdn46ebzqq723adb,,MAGNUM,2016,0,0,,s2,1,,True
wine_01gzr4kt39zdn46ebzqq723adb,,MAGNUM,2017,5600,1967,,s2,3,,True
wine_01h0r2pq52td2bbpqmbja71b11,,MAGNUM,2020,6000,1721,,s3,12,,True
wine_01h0qsxmvgctt8akt0s1yea669,,MAGNUM,2018,10000,0,,tav10-top,1,Fornitore: zio,True
wine_01h0qzm03xa1e98z3bfbvkkrbh,,BOTTLE,2022,4000,1393,,Frigo bianchi,1,,True
wine_01h0qzm03xgbf59yrnks5vwjaf,,BOTTLE,2022,4000,1393,,Frigo bianchi,2,Fornitore: TOLM,True
wine_01h0qsxn5k8198k3bx7wp4hkft,,BOTTLE,2023,3000,819,,Frigo Sala sx,4,,True
wine_01h0my5sg2v9vexazchvnnjkk7,,BOTTLE,2018,6000,1803,,Frigo bianchi,1,Fornitore: TOLM,True
wine_01h0my5sw25v6jb7e77rwje2t8,,BOTTLE,2016,6000,1803,,s2,3,,True
wine_01h0my5sw25v6jb7e77rwje2t8,,BOTTLE,2019,8000,2377,,s2,13,,True
wine_01gzr4kss36badsv9jpbfkc4h3,,BOTTLE,2021,2500,573,,bar008,2,Fornitore: GIV,True
wine_01gzr4kt6e8t3kr0338y8df3ry,,BOTTLE,2020,0,81,,s3,2,,True
wine_01gzr4kt6e57qeprbbe7k7g6rg,,BOTTLE,2021,4500,1475,,bar002,1,,True
wine_01gzr4kt6e57qeprbbe7k7g6rg,,BOTTLE,2022,4500,1475,,s3,5,,True
wine_01h0qzm0exntz9mz108jpsx0dd,,BOTTLE,2020,3500,1229,,bar010,4,,True
wine_01gzr4kt39zdn46ebzqq723adb,,BOTTLE,2018,3500,0,,s1+bar007,6,,True
wine_01gzr4kt395142gkhja8j29qa8,,BOTTLE,2023,2000,0,,tav10,4,,True
wine_01gzr4ksd3h1yg01e98qnrzvhg,,BOTTLE,2020,0,81,,Frigo Sala sx,1,,True
wine_01h0qzm1t6m08zdq2c5s93mw0s,,BOTTLE,2019,8000,81,,Collezione,1,Fornitore: Friends,True
wine_01h0qzm259pkq80ppx53c4nvx5,,BOTTLE,2014,8000,2540,,s2+Frigo Sala sx,10,,True
wine_01h0qzm2mn3g6ecvtth470bxtd,,BOTTLE,2020,3000,983,,s2+bar007,7,,True
wine_01h0qzm19qr1wdjn8dk1rj61em,,BOTTLE,2022,2700,655,,s2,5,,True
wine_01h0my5sw231h0r91yvwtme6rf,,BOTTLE,2021,4000,0,,s1,5,,True
wine_01gzr4kskw53xk5s2tff6nqw82,,BOTTLE,2020,4000,1475,,s2+Frigo Sala sx+bar007,12,,True
wine_01gzr4kskwpk96y45xa8mdmadx,,BOTTLE,2020,4000,1475,,s2+Frigo Sala sx+bar007,6,,True
wine_01gzr4ksfwaj53g2kkswa7fr05,,BOTTLE,2022,2700,737,,s1+bar008,30,,True
wine_01h0qzm19tan6xtn3xzc6ct6yw,,BOTTLE,2021,4000,1147,,Frigo Sala sx,1,,True
wine_01hcwsykxqwdwkkmst6wp85989,,BOTTLE,2022,4200,1475,,bar001,5,,True
wine_01gzr4ksfwfhjssaqbjqgfd3j2,,BOTTLE,2018,3500,1229,,bar006,1,,True
wine_01havwef1zm91bwxeqnrt7c86w,,BOTTLE,2021,2600,81,,s2+bar008,6,,True
wine_01havwef1zm91bwxeqnrt7c86w,,BOTTLE,2022,0,737,,,0,,True
wine_01h4pmmge5vve7vqe8t0h8d3en,,BOTTLE,2017,5000,1393,,s2,6,,True
wine_01gzr4ksrq6j2g61bp99jgzzr6,,BOTTLE,2016,0,81,,bar010,1,,True
wine_01gzr4kse554gs5v0h51dt1ezv,,BOTTLE,2018,0,81,,Collezione,1,,True
wine_01h0my5rf5wxcvkyp8gx0gjxhx,,BOTTLE,1971,0,81,,Collezione,1,,True
wine_01h0my5sa34h23fs9v85bm5gda,,BOTTLE,2017,15000,6229,,s2 - legno,4,,True
wine_01h0my5sa34h23fs9v85bm5gda,,BOTTLE,2019,12000,4344,,s2 - legno,5,,True
wine_01gzr4kt1jzz1a8gwy6nhwq2y1,,BOTTLE,2018,0,0,,,0,,True
wine_01gzr4kt1jzz1a8gwy6nhwq2y1,,BOTTLE,2019,4500,1475,,s4+bar005,17,,True
wine_01gzr4kt1k9nn59ds3pr5ma5en,,BOTTLE,2017,14000,6229,,s3 - legno,5,,True
wine_01h0my5sa02ad24d2x408hzb0v,,BOTTLE,2016,4500,1065,,bar005,4,,True
wine_01h0my5sy3y1kqf6tebnn50gnt,,BOTTLE,2017,6000,2540,,bar003,1,,True
wine_01gzr4ktrfe6yv841ms5t057ee,,BOTTLE,2018,2500,819,,bar003,1,,True
wine_01gzr4ktrf6jmyd1egy7bpg47n,,BOTTLE,2017,6000,2213,,bar003,1,,True
wine_01gzr4ksswn8cnrh7jb8qff1wy,,BOTTLE,2021,15000,5819,,tav10,4,,True
wine_01gzr4ktggtdj3xcbecw69tg5d,,BOTTLE,2019,5000,1311,,s4+bar009,8,,True
wine_01gzr4ktggtdj3xcbecw69tg5d,,BOTTLE,2021,5000,1393,,s4,17,,True
wine_01gzr4ktggtgq4pa2w8y1fjxhc,,BOTTLE,2018,10000,3278,,cheba-top,3,,True
wine_01gzr4ktggtgq4pa2w8y1fjxhc,,BOTTLE,2019,10000,3278,,s4 - legno,6,,True
wine_01gzr4ktggrp9abymnq375z6r3,,BOTTLE,2021,3000,819,,,0,,True
wine_01gzr4ksd1yt1swkrtcvd3k873,,BOTTLE,2017,5500,1721,,bar008,2,Fornitore: Bolis,True
wine_01gzr4ksd304mne6hz94hhd71x,,BOTTLE,2008,15000,5491,,s2 - legno+tav10,6,,True
wine_01h0my5sw21agn19vzr4h1zdhz,,BOTTLE,2022,2500,819,,bar007+carni,23,,True
wine_01gzr4ksd40fyqcc0945rr0se7,,BOTTLE,2020,10000,2786,,tav10,3,Fornitore: TOLM,True
wine_01gzr4ktqw0pna4n405bgzyw1a,,BOTTLE,2017,2000,409,,bar005,1,,True
wine_01gzr4ktqwvgngb3qncn7dgr2d,,BOTTLE,2019,2500,491,,bar005,1,,True
wine_01gzr4ktqwvgngb3qncn7dgr2d,,BOTTLE,2020,2500,491,,s2+bar005,11,,True
wine_01h0f3cmc6zq8z5b7mnbbj38pq,,BOTTLE,2022,2500,655,,s3+bar002,19,Fornitore: GIV,True
wine_01h0my5t5ebarpxr0m8fyf85wv,,BOTTLE,2022,2500,573,,s3+bar002,13,Fornitore: GIV,True
wine_01h0my5t5ebarpxr0m8fyf85wv,,BOTTLE,2023,2500,573,,s4+abbattitore,24,Fornitore: GIV,True
wine_01gzr4ksdncphwjw90tsebxe6t,,BOTTLE,2014,2500,573,,bar003,2,,True
wine_01gzr4kse7x7aptpf2s9b3s6eh,,BOTTLE,2019,2100,655,,tav10-top,1,,True
wine_01gzr4ksny2hxt8mx9sfhqn7vs,,BOTTLE,2019,0,3278,,cheba-top,1,,True
wine_01gzr4ksd458e1b3jk0y3k9tsm,,BOTTLE,2021,4000,1393,,s3+bar010,14,,True
wine_01gzr4kss4qsdj9vggv33c33rh,,BOTTLE,2020,5200,1639,,s4,6,Fornitore: GIV,True
wine_01gzr4kss3atthgzhq3znk125v,,BOTTLE,2020,2500,491,,bar008,1,Fornitore: GIV,True
wine_01gzr4kt6eyea97wmmagbfda3y,,BOTTLE,2020,0,81,,snack,1,,True
wine_01gzr4kt6epdnjf9qax3c3x132,,BOTTLE,2018,0,901,,bar002,1,,True
wine_01gzr4kt6epdnjf9qax3c3x132,,BOTTLE,2020,3000,901,,bar002,1,,True
wine_01gzr4kt6e4ng9xz5qjspjhnze,,BOTTLE,2020,4500,1311,,s3,3,,True
wine_01gzr4kt6e4ng9xz5qjspjhnze,,BOTTLE,2021,4500,1475,,s3,6,Fornitore: Om,True
wine_01gzr4kt6ehmbxr0sw4wbs86bm,,BOTTLE,2020,0,81,,snack,1,,True
wine_01gzr4ksd4xdbyp498dk50r5wm,,BOTTLE,2020,9500,3688,,s4,6,Fornitore: Ceretto,True
wine_01gzr4ksn6qc9qvxpnyrqq4af8,,BOTTLE,2013,6000,2213,,Collezione,2,,True
wine_01gzr4ksn7m7x8zvzv1z92r6as,,BOTTLE,2015,5500,1967,,s4,7,,True
wine_01gzr4kt39z4r9wn1re1t61jy6,,BOTTLE,2022,0,0,,tav10+s1+bar007,15,,True
wine_01gzr4kt395qpwbxfa9psjyz6h,,BOTTLE,2024,2000,573,,tav10,42,,True
wine_01h0my5sa32n43s6yw85t7x813,,BOTTLE,2014,7200,2459,,Collezione,1,,True
wine_01h0my5sa32n43s6yw85t7x813,,BOTTLE,2019,6900,1885,,s3+ingresso+bar002,16,,True
wine_01h0qsxnj6qvefdb8500c71kcs,,BOTTLE,2021,2500,655,,bar007+sarpi,8,Fornitore: GIV,True
wine_01h0qsxnj6qvefdb8500c71kcs,,BOTTLE,2022,2500,0,,s2+bar007,6,,True
wine_01h0my5sgz5050cq3dyk0sj8pj,,BOTTLE,2022,3000,1065,,bar001,3,,True
