"type","size","storage_area","name1","name2","winery","vintage","qty","purchase_price_eur","sales_price_eur",,,
"WHITE","BOTTLE","D1","Bianco","Kaplja"," Damijan Podversic",2018,12,28.50 €,64.00 €,,,
"WHITE","BOTTLE","D1","Bianco","Kaplja"," Damijan Podversic",2017,4,25.00 €,64.00 €,,,
"WHITE","BOTTLE","B5","Bianco","Pulsar","Roberto Ferrari",2018,7,26.50 €,68.00 €,,,
"WHITE","BOTTLE",,"Bianco","Pulsar","Roberto Ferrari",2017,2,26.50 €,68.00 €,,,
"WHITE","BOTTLE",,"Bianco","Pulsar","Roberto Ferrari",2016,2,26.50 €,72.00 €,,,
"WHITE","BOTTLE",,"Bianco","Pulsar","Roberto Ferrari",2019,12,29.50 €,72.00 €,,,
"WHITE","BOTTLE",,"Bianco","Bla","A. Lageder",,2,15.00 €,48.00 €,,,
"WHITE","BOTTLE",,"Blatterle","Bla Bla 2","Alois Lageder",,2,15.00 €,48.00 €,,,
"WHITE","BOTTLE","D4","Carricante","SciareVive Bianco ","Vigneti Vecchi",2020,8,17.50 €,48.00 €,,,
"WHITE","BOTTLE","C2","Chardonnay","Sol","Ronco del Gnemiz",2019,4,21.00 €,56.00 €,,,
"WHITE","BOTTLE","MAG","Chardonnay","Altkirch","K. Schreckbichl",2023,6,7.80 €,29.50 €,,,
"WHITE","BOTTLE","C1","Chardonnay","Sophie","Manincor",2022,2,24.90 €,58.00 €,,,
"WHITE","BOTTLE","C1","Chardonnay","Sophie","Manincor",2017,2,24.90 €,58.00 €,,,
"WHITE","BOTTLE","C1","Chardonnay","Sophie","Manincor",2023,30,26.80 €,58.00 €,,,
"WHITE","BOTTLE","A5","Chardonnay","Pouilly- Sur la Roche","Saumaize",2022,7,26.00 €,63.00 €,,,
"WHITE","BOTTLE","B5","Chardonnay ","Costa Toscana","Terre del Silabo",2015,6,19.50 €,53.00 €,,,
"WHITE","BOTTLE","MAG","Chardonnay","First Lady Bio ","Papstlhof",2023,25,15.00 €,44.00 €,,,
"WHITE","BOTTLE","C1","Chardonnay Bio","Löwengang","Lageder",2019,9,29.90 €,86.00 €,,,
"WHITE","BOTTLE","C1","Chardonnay Bio","Löwengang","Lageder",2016,3,29.90 €,86.00 €,,,
"WHITE","BOTTLE","C1","Chardonnay Bio","Löwengang","Lageder",2015,2,29.90 €,86.00 €,,,
"WHITE","BOTTLE","B4","Chardonnay ","Beyond the Clouds","Elena Walch",2022,1,39.40 €,88.00 €,,,
"WHITE","BOTTLE","OUT","Chardonnay","Chablis V.V.","Thierry Laffay",2019,0,21.90 €,58.00 €,,,
"WHITE","BOTTLE","A5","Chardonnay","Chablis Cote de Ledhet 1er Cru","Daniel Dampt",2021,0,26.50 €,68.00 €,,,
"WHITE","BOTTLE","A4","Chardonnay","Bourgogne Blanc Cote d'Or","Jean Michael Gaunoux",2022,14,27.50 €,68.00 €,,,
"WHITE","BOTTLE","A5","Chenin Blanc","Les Perrieres Saumur Blanc","Arnaud Lambert",2020,0,15.20 €,44.00 €,,,
"WHITE","BOTTLE","E1","Cuvee","Pet Nat vol 4","Fuchs und Hase",,24,19.00 €,52.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Pet Nat vol 2","Fuchs und Hase",,12,17.00 €,52.00 €,,,
"WHITE","BOTTLE","D2","Cuvee GrünVel, Riesl, bacche rosse","Kalkspitz Pet Nat Bio","Christoph Hoch",,3,13.50 €,42.00 €,,,
"WHITE","BOTTLE","B5","Cuvee","Anisos","Eugenio Rosi",2020,4,13.40 €,38.00 €,,,
"WHITE","BOTTLE","B5","Cuvee","Anisos","Eugenio Rosi",2021,11,14.80 €,38.00 €,,,
"WHITE","BOTTLE","Mag","Cuvee","Anisos","Eugenio Rosi",2016,6,22.00 €,48.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Dolomytos","Ansitz Dolomytos",2014,10,28.00 €,63.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Dolomytos"," Ansitz Dolomytos",2005,20,28.00 €,63.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Dolomytos"," Ansitz Dolomytos",2007,5,28.00 €,63.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Dolomytos"," Ansitz Dolomytos",2019,15,28.00 €,63.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Stoan","Tramin",2022,25,20.80 €,52.00 €,,,
"WHITE","BOTTLE","C4","Cuvee","VRH Bianco","Riserva La Castellada",2011,4,33.00 €,98.00 €,,,
"WHITE","BOTTLE","B2","Cuvee","LR Bianco Riserva","Schreckbichl",2019,2,50.30 €,132.00 €,,,
"WHITE","BOTTLE","B2","Cuvee","Appius","St. Michael",2017,5,78.00 €,166.00 €,,,
"WHITE","BOTTLE","C3","Cuvee","Nova Domus Riserva","K. Terlan",2021,8,31.10 €,72.00 €,,,
"WHITE","BOTTLE",,"Cuvee ","Mus -XIX","A. Lageder",2019,4,15.00 €,48.00 €,,,
"WHITE","BOTTLE",,"Cuvee ","Zie XVIII Dolomiti","A. Lageder",2018,2,15.00 €,48.00 €,,,
"WHITE","BOTTLE",,"Cuvee ","SEM","A. Lageder",2019,2,15.00 €,48.00 €,,,
"WHITE","BOTTLE","B3","Cuvee Weiss","Timotheus","Gut Oggau",2023,5,39.00 €,92.00 €,,,
"WHITE","BOTTLE","B3","Cuvee Weiss","Theodora","Gut Oggau",2023,9,24.50 €,64.00 €,,,
"WHITE","BOTTLE",3,"Cuvee Bio","Muscat","Heinrich Freyheit",2020,3,22.00 €,56.00 €,,,
"WHITE","BOTTLE","D3","Cuvee Bio","Graue Freiheit","Heinrich Freyheit",2021,1,22.00 €,56.00 €,,,
"WHITE","BOTTLE","C2","Cuvee","Solera ""Revolution""","Johannes Zillinger ",,7,12.00 €,39.00 €,,,
"WHITE","BOTTLE","D3","Cuvee","Materia Prima Bio ","Fritsch",2021,8,24.00 €,59.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee bianco Piwi ","Petit Boutique Bio","Boutique Winery",2020,24,17.50 €,48.00 €,,,
"WHITE","BOTTLE","B1","Fiano","Ognostro","Az. Agri Tinessa",2022,3,21.50 €,58.00 €,,,
"WHITE","BOTTLE","MAG","Gewürztraminer","Castelfeder","Von Lehm",2023,35,12.50 €,38.00 €,,,
"WHITE","BOTTLE","MAG","Gewürztraminer","Mitterberg IGT/Doc","In der Eben ",2021,18,16.60 €,48.00 €,,,
"WHITE","BOTTLE","B3","Gewürztraminer","Emmeramm","Gut Oggau",2023,5,39.00 €,92.00 €,,,
"WHITE","BOTTLE","MAG","Gewürztraminer","Praesulis","Gumpfhof",2022,0,13.80 €,42.00 €,,,
