external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,purchase_price_eur
,WHITE,Bianco Kaplja, Damijan Podversic,,BOTTLE,2018,6400,2850,12,D1,,True,28.50 €
,WHITE,Bianco Kaplja, Damijan Podversic,,BOTTLE,2017,6400,2500,4,D1,,True,25.00 €
,WHITE,Bianco Pulsar,Roberto Ferrari,,BOTTLE,2018,6800,2650,7,B5,,True,26.50 €
,WHITE,Bianco Pulsar,Roberto Ferrari,,BOTTLE,2017,6800,2650,2,,,True,26.50 €
,WHITE,Bianco Pulsar,Roberto Ferrari,,BOTTLE,2016,7200,2650,2,,,True,26.50 €
,WHITE,Bianco Pulsar,Roberto Ferrari,,BOTTLE,2019,7200,2950,12,,,True,29.50 €
,WHITE,Bianco Bla,A. Lageder,,BOTTLE,0,4800,1500,2,,,True,15.00 €
,WHITE,Blatterle Bla Bla 2,Alois Lageder,,BOTTLE,0,4800,1500,2,,,True,15.00 €
,WHITE,Carricante SciareVive Bianco ,Vigneti Vecchi,,BOTTLE,2020,4800,1750,8,D4,,True,17.50 €
,WHITE,Chardonnay Sol,Ronco del Gnemiz,,BOTTLE,2019,5600,2100,4,C2,,True,21.00 €
,WHITE,Chardonnay Altkirch,K. Schreckbichl,,BOTTLE,2023,2950,780,6,MAG,,True,7.80 €
,WHITE,Chardonnay Sophie,Manincor,,BOTTLE,2022,5800,2490,2,C1,,True,24.90 €
,WHITE,Chardonnay Sophie,Manincor,,BOTTLE,2017,5800,2490,2,C1,,True,24.90 €
,WHITE,Chardonnay Sophie,Manincor,,BOTTLE,2023,5800,2680,30,C1,,True,26.80 €
,WHITE,Chardonnay Pouilly- Sur la Roche,Saumaize,,BOTTLE,2022,6300,2600,7,A5,,True,26.00 €
,WHITE,Chardonnay  Costa Toscana,Terre del Silabo,,BOTTLE,2015,5300,1950,6,B5,,True,19.50 €
,WHITE,Chardonnay First Lady Bio ,Papstlhof,,BOTTLE,2023,4400,1500,25,MAG,,True,15.00 €
,WHITE,Chardonnay Bio Löwengang,Lageder,,BOTTLE,2019,8600,2990,9,C1,,True,29.90 €
,WHITE,Chardonnay Bio Löwengang,Lageder,,BOTTLE,2016,8600,2990,3,C1,,True,29.90 €
