wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01h0sq492mjaaj8b2trztae5pz,,BOTTLE,2019,5600,2100,,C2,4,,True
wine_01h0my5t4f6mn1tbtvkd2yzm79,,BOTTLE,2021,3050,900,,G4,20,,True
wine_01h0f3cmbrxh0cd0f1hzs7ah41,,MAGNUM,2008,13200,6556,,,1,,True
wine_01gzr4kt15w0c2eem5t6ga8jtp,,MAGNUM,2020,13200,3700,,,3,,True
wine_01h0f3cmcttx6b6fv8g1tr4j02,,MAGNUM,2019,32000,18000,,MAG,3,,True
wine_01h0my5rf2ddmxeft7phsrsx20,,MAGNUM,2018,23000,12000,,MAG,8,,True
wine_01gzr4kscqj6h9w9rp9gsh81v1,,MAGNUM,2018,13800,5800,,MAG,1,,True
wine_01h0qzm23td27tjz7dt25a6wpm,,BOTTLE,2022,5800,2590,,,4,,True
wine_01gzr4ktr8ecbeyt9ep2qhd9py,,BOTTLE,2020,5800,2650,,,8,,True
wine_01gzr4ksqhkmny2g5h2ttf5nen,,BOTTLE,2016,5400,1980,,MAG,18,,True
wine_01jeqzyb5sq0jq6cj8gje3ee73,,BOTTLE,2023,4400,1500,,MAG,25,,True
wine_01h0f3cmcttx6b6fv8g1tr4j02,,BOTTLE,2019,15400,7500,,I4,22,,True
wine_01gzr4kt5y2hr954cemgymcadg,,BOTTLE,2020,11200,5400,,H5,8,,True
wine_01j52tf5e4vawhrfzj1r6w10fw,,BOTTLE,2023,3600,1230,,MAG,6,,True
wine_01gzr4kt15w0c2eem5t6ga8jtp,,BOTTLE,2021,6800,2550,,MAG,15,,True
wine_01gzr4kt16v66kq1z82cawagzd,,BOTTLE,2022,5600,1920,,C4,10,,True
wine_01gzr4ksnca96bwk4ndvb716sr,,BOTTLE,2022,5100,1900,,MAG,20,,True
wine_01h0f3cmbrxh0cd0f1hzs7ah41,,MAGNUM,2009,13200,5738,,,1,,True
wine_01hgxa6w80qcv5yfx9dvmbmkzm,,BOTTLE,2018,6400,2850,,D1,12,,True
