external_id,name_one,name_two,size,winery_name,country,vintage,currency,price,quantity,
1,Demi: 375 ml,,,,,,,,,
2,Champagne,Rosé,375 ml,Ruinart,FRA,,€,"€ 85,00",23,
3,Champagne ,Blanc de Blanc,375 ml,Ruinart,FRA,,€,"€ 80,00",19,
4,Venegazzù della Casa ,,375 ml,Loredan e Gasperin,ITA,17,€,"€ 25,00",,
5,Santa Maddalena ,,375 ml,Cantina di Bolzano,ITA,21,€,"€ 15,00",,
6,Lagrein ,,375 ml,Cantina di Bolzano,ITA,’21 ‘22,€,"€ 15,00",,
7,Terlaner ,,375 ml,Cantina di Terlano,ITA,‘21,€,"€ 24,00",,
8,Blauburgunder Meczan ,,375 ml,Tenuta J. Hofstätter,ITA,21,€,"€ 18,00",,
9,Cabernet sauvignon ,,375 ml,Lis Neris,ITA,’19 '20,€,"€ 18,00",,
10,Valpolicella ripasso Campofiorin ,,375 ml,Masi,ITA,20,€,"€ 23,00",,
11,Barbaresco Dop ,,375 ml,Gaja,ITA,‘19,€,"€ 130,00",10,
12,Ripassa,,375 ml,Zenato,ITA,19,€,"€ 27,00",,
13,Amarone classico,Classico,375 ml,Zenato,ITA,17,€,"€ 42,00",,
14,Gewurztraminer Ceslar,,375 ml,Cantina di Bolzano,ITA,‘21,€,"€ 16,00",4,
15,,,,,,,,,,
16,Champagne & ...,,,,,,,,,
17,Champagne ,Cuvée Brut,,Laurent Perrier,FRA,,€,"€ 80,00",2,
18,Champagne ,Millesimato,,Laurent Perrier,FRA,‘04,€,"€ 95,00","1 ‘04, 2 ‘08",
19,Champagne ,Millesimato,Magnum,Laurent Perrier,Fra,8,,,2,
20,Champagne ,Cuvée Rosé,,Laurent Perrier,FRA,,€,"€ 110,00",3,
21,Champagne ,Cuvée Rosé,Magnum,Laurent Perrier,FRA,,€,"€ 230,00",2,
22,Champagne ,Rosé ,,J.M. Gobillard et Fils,FRA,,€,,13,
23,Champagne,Rosé Millesimé,Magnum,J.M. Gobillard et Fils,FRA,‘14,€,,2,
24,Champagne,Blanc de Blanc,,J.M. Gobillard et Fils,FRA,,€,"€ 80,00",83,
25,Champagne,Blanc de Blanc Brut,Magnum,J.M. Gobillard et Fils,FRA,,€,"€ 160,00",14,
