ok,matched_id,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,score
FALSE,,,,ribolla gialla,Loredan Gasparini,,BOTTLE,2022,3500,,0,,,,,,,
TRUE,wine_01h0my5te6x0v5bww7ce2p4khe,,,capichera bianco igt,Capichera,,BOTTLE,2005,5200,,2,,,,,,,
TRUE,wine_01h0my5twmep5nbb7v800y3ctw,,,pecorino santa maria,Vinicentanni,,BOTTLE,2021,0,,5,,,,,,,
TRUE,wine_01h0qzm1tgghd1j07c7ek815h3,,,blauburgunder,Gumphof,,MAGNUM,2017,10500,,0,,,,,,,
TRUE,wine_01h0b4rjgpder3smhfakv2fcdv,,,sant’urbano,Tenuta J. Hofstätter,,JEROBOAM,2007,36000,,1,,,,,,,
TRUE,wine_01gzr4ksmyhrh14qm0158s8pxx,,,st.magdalener,Abbazia di Novacella,,BOTTLE,2021,2200,,6,,,,,,,
TRUE,wine_01gzr4ksmyhrh14qm0158s8pxx,,,st.magdalener,Abbazia di Novacella,,BOTTLE,2022,2200,,18,,,,,,,
FALSE,,,,ceretto,Ceretto,,BOTTLE,,0,,0,,,,,,,
TRUE,wine_01hfvgk1q39g2jv68bzta79nbe,,,ornellaia,Tenuta dell'Ornellaia,,BOTTLE,2020,25000,,4,,,,,,,
TRUE,wine_01hfvgk1q39g2jv68bzta79nbe,,,ornellaia,Tenuta dell'Ornellaia,,BOTTLE,2019,25000,,1,,,,,,,
TRUE,wine_01hfvgk1q39g2jv68bzta79nbe,,,ornellaia,Tenuta dell'Ornellaia,,MAGNUM,2020,58000,,0,,,,,,,
TRUE,wine_01h0r2ppb57s84y1rafwpam0sv,,,bolgheri superiore,Fratini,,BOTTLE,2017,26000,,4,,,,,,,
TRUE,wine_01j0zvmsb439qg392b793x0mhk,,,mormoreto,Marchesi Frescobaldi,,BOTTLE,2020,7400,,5,,,,,,,
TRUE,wine_01gzr4ksp0ppcqzxp5f1hkvdnj,,,chianti classico riserva docg,Mosenese,,BOTTLE,2017,3100,,0,,,,,,,
TRUE,wine_01h0qsxn3t0b64qn2tp9ewthhk,,,rosso primodelia bio,Vinicentanni,,BOTTLE,2019,0,,5,,,,,,,
TRUE,wine_01h0qsxn3t6j1jwhre3acdmbjd,,,rosso piceno renarie bio,Vinicentanni,,BOTTLE,2021,0,,4,,,,,,,
TRUE,wine_01h0qsxn3t01kfxgxgw51hk6pb,,,puro centanni marche rosso,Vinicentanni,,BOTTLE,2022,0,,12,,,,,,,
TRUE,wine_01gzr4kt6htfarft6873xv2d75,,,les meysonniers crozes- hermitage,M.Chapuotier,,BOTTLE,2019,4500,,5,,,,,,,
TRUE,wine_01gzr4kteyhg6tajtagv5ep0rh,,,chateauneuf du pape collection bio,M.Chapuotier,,BOTTLE,2016,8000,,3,,,,,,,
TRUE,wine_01gzr4ktncg2dzkm4tnmf908qx,,,facelie chateauneuf du pape,M.Chapuotier,,BOTTLE,2019,6500,,6,,,,,,,
FALSE,,,,trockenbeerenauslese,Michlits,,BOTTLE,2013,6500,,0,,,,,,,
TRUE,wine_01gzr4ksne828xs3kcd1n0wgv1,,,"recioto valpolicella “le salette""",Traversagne,,BOTTLE,2016,4800,,2,,,,,,,
