ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,score
TRUE,2,SPARKLING,champagne rosé,Ruinart,,HALF_BOTTLE,,8500,,23,,Brut Rosé Champagne,Ruinart,wine_01h0f3cmbmtvmkd6m243g38m9r,,"3,516,826",45.08156
TRUE,3,SPARKLING,champagne blanc de blanc,Ruinart,,HALF_BOTTLE,,8000,,19,,Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd2c8ryrf1nbh9jb83z,,"42,043,827",
TRUE,4,RED,venegazzù della casa,Loredan e Gasperin,,HALF_BOTTLE,2017,2500,,0,,Venegazzù Della Casa,Loredan Gasparini,wine_01gzr4kt325ke5a89bn0htwnth,,"44,021,877",
FALSE,5,RED,santa maddalena,Cantina di Bolzano,,HALF_BOTTLE,2021,1500,,0,,Stieler St. Maddalena Classico,Cantina Bolzano / Kellerei Bozen,wine_01h0my5tb9sb2bcpqx8b4jv48j,,"28,332,169",
TRUE,6,RED,lagrein,Cantina di Bolzano,,HALF_BOTTLE,2021,1500,,0,,Lagrein,Cantina Bolzano / Kellerei Bozen,wine_01h0my5rkfn2n674ha22pp9c5t,,"2,867,239",
TRUE,6,RED,lagrein,Cantina di Bolzano,,HALF_BOTTLE,2022,1500,,0,,Lagrein,Cantina Bolzano / Kellerei Bozen,wine_01h0my5rkfn2n674ha22pp9c5t,,"2,867,239",
TRUE,7,WHITE,terlaner,Cantina di Terlano,,HALF_BOTTLE,2021,2400,,0,,Terlaner,Terlan (Terlano),wine_01gzr4ksn5hrrj46e95x5nft46,,"5,026,354",
TRUE,8,RED,blauburgunder meczan,Tenuta J. Hofstätter,,HALF_BOTTLE,2021,1800,,0,,Joseph Meczan Pinot Nero - Blauburgunder Alto Adige,J. Hofstätter,wine_01gzr4kskmqsygy5twfbkqscmt,,"4,170,811",
TRUE,9,RED,cabernet sauvignon,Lis Neris,,HALF_BOTTLE,2019,1800,,0,,Cabernet Sauvignon,Lis Neris,wine_01h0qzm1m0jdc2sp5dgy3mp5mn,,"33,560,932",
TRUE,9,RED,cabernet sauvignon,Lis Neris,,HALF_BOTTLE,2020,1800,,0,,Cabernet Sauvignon,Lis Neris,wine_01h0qzm1m0jdc2sp5dgy3mp5mn,,"33,560,932",
