external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity
87675645678,,ANJOU,EFFUSION,FRANCIA,LOIRA,DOMAINE PATRICK BAUDOUIN,2021,"0,75",55,25.5,3
87964368979,,ANJOU,LE CORNILLARD,FRANCIA,LOIRA,DOMAINE PATRICK BAUDOUIN,2020,"0,75",90,39.5,3
76778687575764,,ARNEIS,ROERO ARNEIS,PIEMONTE,ROERO,GIACOMO FENOCCHIO,2022,"0,75",28,11,16
,RED,BARBARESCO,ASILI,PIEMONTE,BARBARESCO,AZ FALLETTO DI BRUNO GIACOSA,2015,"0,75",200,135,1
8033254938449,RED,BARBARESCO,ASILI,PIEMONTE,BARBARESCO,CERETTO,2018,MG,190,98,2
,RED,BARBARESCO,BARBARESCO,PIEMONTE,BARBARESCO,FRANCESCO RINALDI E FIGLI,2019,"0,75",65,26.15,3
98767546,RED,BARBARESCO,BARBARESCO,PIEMONTE,BARBARESCO,FRANCESCO RINALDI E FIGLI,2019,"0,75",70,26.15,3
,RED,BARBARESCO,BARBARESCO,PIEMONTE,BARBARESCO,GAJA,2019,"0,75",250,0,2
,RED,BARBARESCO,BARBARESCO,PIEMONTE,BARBARESCO,LUIGI ODDERO,2020,"0,75",55,22.5,6
8025022000014,RED,BARBARESCO,BARBARESCO,PIEMONTE,BARBARESCO,PRODUTTORI BARBARESCO,2019,"0,75",55,20,2
9876567,RED,BARBARESCO,BARBARESCO,PIEMONTE,LANGHE,E.GERMANO,2020,"0,75",55,22.5,6
,RED,BARBARESCO,BASARIN,PIEMONTE,BARBARESCO,ANGELO NEGRO,2019,"0,75",75,30,6
8033254938463,RED,BARBARESCO,GALLINA,PIEMONTE,BARBARESCO,CERETTO,2018,"0,75",125,58,1
8033254939729,RED,BARBARESCO,GALLINA,PIEMONTE,LANGHE,CERETTO,2019,"0,75",140,63,6
89798686668,RED,BARBARESCO,RONGALIO,PIEMONTE,BARBARESCO,AZ AGR ORLANDO ABRIGO,2012,"0,75",80,28,2
,RED,BARBARESCO,SERRABOELLA,PIEMONTE,BARBARESCO,F.LLI CIGLIUTI,2018,"0,75",85,39,1
876545567,RED,BARBARESCO,TTETTINEIVE,PIEMONTE,BARBARESCO,SCARPA,2018,"0,75",70,30,5
,RED,BARBERA,BARBERA,PIEMONTE,LANGHE,BRUNO GIACOSA,2020,"0,75",45,20,2
98078786756,RED,BARBERA,BARBERA D'ALBA,PIEMONTE,LANGHE,ROAGNA,2018,"0,75",95,36.5,3
8000160602405,RED,BARBERA,BARBERA D'ASTI SUP,PIEMONTE,ASTI,CÀ BIANCA,2014,"0,75",35,14,2
878777897987,RED,BARBERA,VIGNA FRANCIA,PIEMONTE,LANGHE,GIACOMO CONTERNO,2018,MG,180,50,1
79867576889,RED,BARBERA,VIGNA FRANCIA,PIEMONTE,LANGHE,GIACOMO CONTERNO,2019,MG,180,55,2
8032535710101,RED,BAROLO,AEROPLANSERVAJ,PIEMONTE,BAROLO,DOMENICO CLERICO,2019,"0,75",180,72,6
