external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity,name,storage_area,info,internal_notes
87675645678.0,,ANJOU,EFFUSION,FRANCIA,LOIRA,DOMAINE PATRICK BAUDOUIN,2021.0,BOTTLE,55,25.5,3.0,ANJOU EFFUSION,,,Purchase Price: 25.5
87964368979.0,,ANJOU,LE CORNILLARD,FRANCIA,LOIRA,DOMAINE PATRICK BAUDOUIN,2020.0,BOTTLE,90,39.5,3.0,ANJOU LE CORNILLARD,,,Purchase Price: 39.5
76778687575764.0,,ARNEIS,ROERO ARNEIS,PIEMONTE,ROERO,GIACOMO FENOCCHIO,2022.0,BOTTLE,28,11.0,16.0,ARNEIS ROERO ARNEIS,,,Purchase Price: 11.0
,RED,BARBARESCO,ASILI,PIEMONTE,BARBARESCO,AZ FALLETTO DI BRUNO GIACOSA,2015.0,BOTTLE,200,135.0,1.0,BARBARESCO ASILI,,,Purchase Price: 135.0
8033254938449.0,RED,BARBARESCO,ASILI,PIEMONTE,BARBARESCO,CERETTO,2018.0,MAGNUM,190,98.0,2.0,BARBARESCO ASILI,,,Purchase Price: 98.0
,RED,BARBARESCO,BARBARESCO,PIEMONTE,BARBARESCO,FRANCESCO RINALDI E FIGLI,2019.0,BOTTLE,65,26.15,3.0,BARBARESCO BARBARESCO,,,Purchase Price: 26.15
98767546.0,RED,BARBARESCO,BARBARESCO,PIEMONTE,BARBARESCO,FRANCESCO RINALDI E FIGLI,2019.0,BOTTLE,70,26.15,3.0,BARBARESCO BARBARESCO,,,Purchase Price: 26.15
,RED,BARBARESCO,BARBARESCO,PIEMONTE,BARBARESCO,GAJA,2019.0,BOTTLE,250,0.0,2.0,BARBARESCO BARBARESCO,,,Purchase Price: 0.0
,RED,BARBARESCO,BARBARESCO,PIEMONTE,BARBARESCO,LUIGI ODDERO,2020.0,BOTTLE,55,22.5,6.0,BARBARESCO BARBARESCO,,,Purchase Price: 22.5
8025022000014.0,RED,BARBARESCO,BARBARESCO,PIEMONTE,BARBARESCO,PRODUTTORI BARBARESCO,2019.0,BOTTLE,55,20.0,2.0,BARBARESCO BARBARESCO,,,Purchase Price: 20.0
9876567.0,RED,BARBARESCO,BARBARESCO,PIEMONTE,LANGHE,E.GERMANO,2020.0,BOTTLE,55,22.5,6.0,BARBARESCO BARBARESCO,,,Purchase Price: 22.5
,RED,BARBARESCO,BASARIN,PIEMONTE,BARBARESCO,ANGELO NEGRO,2019.0,BOTTLE,75,30.0,6.0,BARBARESCO BASARIN,,,Purchase Price: 30.0
8033254938463.0,RED,BARBARESCO,GALLINA,PIEMONTE,BARBARESCO,CERETTO,2018.0,BOTTLE,125,58.0,1.0,BARBARESCO GALLINA,,,Purchase Price: 58.0
8033254939729.0,RED,BARBARESCO,GALLINA,PIEMONTE,LANGHE,CERETTO,2019.0,BOTTLE,140,63.0,6.0,BARBARESCO GALLINA,,,Purchase Price: 63.0
89798686668.0,RED,BARBARESCO,RONGALIO,PIEMONTE,BARBARESCO,AZ AGR ORLANDO ABRIGO,2012.0,BOTTLE,80,28.0,2.0,BARBARESCO RONGALIO,,,Purchase Price: 28.0
,RED,BARBARESCO,SERRABOELLA,PIEMONTE,BARBARESCO,F.LLI CIGLIUTI,2018.0,BOTTLE,85,39.0,1.0,BARBARESCO SERRABOELLA,,,Purchase Price: 39.0
876545567.0,RED,BARBARESCO,TTETTINEIVE,PIEMONTE,BARBARESCO,SCARPA,2018.0,BOTTLE,70,30.0,5.0,BARBARESCO TTETTINEIVE,,,Purchase Price: 30.0
,RED,BARBERA,BARBERA,PIEMONTE,LANGHE,BRUNO GIACOSA,2020.0,BOTTLE,45,20.0,2.0,BARBERA BARBERA,,,Purchase Price: 20.0
98078786756.0,RED,BARBERA,BARBERA D'ALBA,PIEMONTE,LANGHE,ROAGNA,2018.0,BOTTLE,95,36.5,3.0,BARBERA BARBERA D'ALBA,,,Purchase Price: 36.5
8000160602405.0,RED,BARBERA,BARBERA D'ASTI SUP,PIEMONTE,ASTI,CÀ BIANCA,2014.0,BOTTLE,35,14.0,2.0,BARBERA BARBERA D'ASTI SUP,,,Purchase Price: 14.0
878777897987.0,RED,BARBERA,VIGNA FRANCIA,PIEMONTE,LANGHE,GIACOMO CONTERNO,2018.0,MAGNUM,180,50.0,1.0,BARBERA VIGNA FRANCIA,,,Purchase Price: 50.0
79867576889.0,RED,BARBERA,VIGNA FRANCIA,PIEMONTE,LANGHE,GIACOMO CONTERNO,2019.0,MAGNUM,180,55.0,2.0,BARBERA VIGNA FRANCIA,,,Purchase Price: 55.0
8032535710101.0,RED,BAROLO,AEROPLANSERVAJ,PIEMONTE,BAROLO,DOMENICO CLERICO,2019.0,BOTTLE,180,72.0,6.0,BAROLO AEROPLANSERVAJ,,,Purchase Price: 72.0
,RED,BAROLO,BADARINA,PIEMONTE,BAROLO,BRUNA GRIMALDI,2019.0,BOTTLE,70,26.0,18.0,BAROLO BADARINA,,,Purchase Price: 26.0
77659786767.0,RED,BAROLO,BAROLO,PIEMONTE,BAROLO,ANGELO NEGRO,2018.0,BOTTLE,75,30.0,6.0,BAROLO BAROLO,,,Purchase Price: 30.0
8030077005228.0,RED,BAROLO,BAROLO,PIEMONTE,BAROLO,MASSOLINO,2018.0,BOTTLE,60,22.0,1.0,BAROLO BAROLO,,,Purchase Price: 22.0
7777896875.0,RED,BAROLO,BAROLO,PIEMONTE,BAROLO,ROCCHE DEI MANZONI,2016.0,BOTTLE,65,25.0,1.0,BAROLO BAROLO,,,Purchase Price: 25.0
,RED,BAROLO,BRICCO AMBROGIO,PIEMONTE,BAROLO,PAOLO SCAVINO,2017.0,BOTTLE,120,58.0,1.0,BAROLO BRICCO AMBROGIO,,,Purchase Price: 58.0
9807896586.0,RED,BAROLO,BRICCO AMBROGIO,PIEMONTE,BAROLO,PAOLO SCAVINO,2017.0,BOTTLE,120,0.0,1.0,BAROLO BRICCO AMBROGIO,,,Purchase Price: 0.0
,RED,BAROLO,BRUNATE,PIEMONTE,BAROLO,FRANCESCO RINALDI E FIGLI,2018.0,BOTTLE,85,39.0,4.0,BAROLO BRUNATE,,,Purchase Price: 39.0
8033254937716.0,RED,BAROLO,BUSSIA,PIEMONTE,LANGHE,CERETTO,2016.0,MAGNUM,420,230.0,1.0,BAROLO BUSSIA,,,Purchase Price: 230.0
,RED,BAROLO,CAMILLA,PIEMONTE,BAROLO,BRUNA GRIMALDI,2019.0,BOTTLE,50,18.5,18.0,BAROLO CAMILLA,,,Purchase Price: 18.5
,RED,BAROLO,CANNUBI,PIEMONTE,BAROLO,CHIARA BOSCHIS,2000.0,BOTTLE,160,0.0,1.0,BAROLO CANNUBI,,,Purchase Price: 0.0
,RED,BAROLO,CANNUBI,PIEMONTE,BAROLO,FRANCESCO RINALDI E FIGLI,2017.0,BOTTLE,90,38.0,2.0,BAROLO CANNUBI,,,Purchase Price: 38.0
98096785546.0,RED,BAROLO,CAPALOT,PIEMONTE,BAROLO,CRISSANTE,2017.0,BOTTLE,80,28.0,5.0,BAROLO CAPALOT,,,Purchase Price: 28.0
