ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id
FALSE,9876567,RED,BARBARESCO BARBARESCO,E.GERMANO,,BOTTLE,2020,55,,6,Purchase Price: 22.5,,,
TRUE,76985786798656,SPARKLING,CHAMPAGNE BLANC DE BLANCS GRAN CRU EB,LEMESNIL,,BOTTLE,,75,,5,Purchase Price: 28.0,,,wine_01h4pmmgfy08yerfdpw3e1nn87
FALSE,97856467567567,SPARKLING,CHAMPAGNE LES PARCELLES GRAN CRU EB,LEMESNIL,,BOTTLE,,90,,2,Purchase Price: 40.0,,,
TRUE,8030202000012,,MARZEMINO MARZEMINO DI ISERA,DETARCZAL,,BOTTLE,2019,28,,6,Purchase Price: 9.5,,,wine_01h0qsxnwxxyn6gw9x9emernrx
FALSE,89786755,SPARKLING,SPUMANTE BLANCS DE BLANCS EXTRA BRUT RIS,CAMARANI,,BOTTLE,2018,40,,2,Purchase Price: 15.5,,,
FALSE,701197961753,,VITOVSKA VITOVSKA,RUJ,,BOTTLE,2021,25,,24,Purchase Price: 7.0,,,
TRUE,8000160602405,RED,BARBERA BARBERA D'ASTI SUP,CÀ BIANCA,,BOTTLE,2014,35,,2,Purchase Price: 14.0,Barbera,Villa Bianca,wine_01hfxrdztwzmqbyqa5j1cpxjxm
TRUE,8032535710101,RED,BAROLO AEROPLANSERVAJ,DOMENICO CLERICO,,BOTTLE,2019,180,,6,Purchase Price: 72.0,Barolo,Domenico Clerico,wine_01hfxrpqw1d4re9846pkfws77h
TRUE,879678567543,WHITE,BIANCO BIANCO,BORGO DEL TIGLIO,,BOTTLE,2021,38,,4,Purchase Price: 12.9,Milleponche Bianco,Borgo del Tiglio,wine_01h0my5svs7adt53p5t6dv3xpr
TRUE,,WHITE,BIANCO LALLA,AZ AGR VIGNA SAN GIORGIO,,BOTTLE,2022,28,,3,Purchase Price: 9.8,MIto 10 Il Bianco,Az. Agr. Lagaria,wine_01hfxs4veehzsq6yq7pfxsdjhz
TRUE,7896753424,WHITE,BIANCO SAN GIORGIO,AZ AGR VIGNA SAN GIORGIO,,BOTTLE,2020,50,,6,Purchase Price: 20.5,MIto 10 Il Bianco,Az. Agr. Lagaria,wine_01hfxs7gw6yyxjew800p0xadm6
FALSE,666677788,WHITE,BIANCO VIGNAI DELL ABBATE,VIGNAI DELL ABBATE,,BOTTLE,2005,55,,2,Purchase Price: 15.0,Bianco,Roberto Abbate,
TRUE,3418760000654,SPARKLING,CHAMPAGNE BRUT,DELAMOTTE,,BOTTLE,,75,,2,Purchase Price: 35.0,Sélectionné Pour Hiramatsu Brut Champagne,Delamotte,wine_01hfxsdc5gtv9hgzwy2zwxj6pp
FALSE,3114080701454,SPARKLING,CHAMPAGNE CRISTAL,VEUVE CLICQUOT,,BOTTLE,2014,350,,2,Purchase Price: 145.0,Rich Champagne,Veuve Clicquot,
FALSE,897896546,WHITE,FRIULANO FRIULANO,I CLIVI,,BOTTLE,2022,28,,36,Purchase Price: 10.0,San Pietro Friulano,I Clivi,
TRUE,9807867364,WHITE,FRIULANO SUBISA23,DUE DEL MONTE,,BOTTLE,2018,45,,6,Purchase Price: 19.95,Friulano,Due del Monte,wine_01h4pmmfqcyysghv0mek0j6s6g
FALSE,701197961739,WHITE,MALVASIA MALVASIA,RUJ,,BOTTLE,2021,25,,10,Purchase Price: 7.0,Malvazija Istarska,Cuj,
TRUE,,WHITE,MERLOT ROSSO DEL FAET,TERRE DEL FAET,,BOTTLE,2020,28,,11,Purchase Price: 10.5,Decimo del Faet,Terre del Faet,wine_01h0my5sg59te3j654ybsjgtch
FALSE,,RED,PINOT NERO COTES DE NUITS-JULIEN,DOMAINE JULIEN,,BOTTLE,2019,55,,1,Purchase Price: 0.0,Nuits-Saint-Georges ''Aux Saints-Juliens'',Domaine Julien,
TRUE,8004312257000,RED,PINOT NERO RISERVA,ST MICHAEL-EPPAN,,BOTTLE,2020,38,,6,Purchase Price: 15.0,Blauburgunder (Pinot Nero),St. Michael-Eppan,wine_01gzr4kskvm3nhww98d0j0yak0
TRUE,78657647578697,RED,ROSSO CHATEAUNEUF-DU-PAPE MONT-REDON,FAMILLE ABEILLE-FABRE,,BOTTLE,2020,95,,3,Purchase Price: 36.9,Font de Joubert Châteauneuf-du-Pape,Famille Charrier,wine_01gzr4ksd4xdbyp498dk50r5wm
FALSE,141414,RED,ROSSO ELLITTICO,MANUEL DI VECCHI STARAZ,,BOTTLE,2014,60,,1,Purchase Price: 0.0,Rosso,Cecchi,
TRUE,8032568161086,RED,ROSSO LA MASSA,TENUTA LA MASSA,,BOTTLE,2020,35,,6,Purchase Price: 14.9,Rosso,Massa Vecchia,wine_01hfxst37yy388e347hdw5te0e
FALSE,8437008512341,RED,ROSSO LAS QUADRAS,MOLI DE TAFALLA,,BOTTLE,2020,28,,36,Purchase Price: 11.0,Rosso,Mola,
TRUE,800431276004,RED,ROSSO MERLOT\CABERNET RIS,ST MICHAEL-EPPAN,,BOTTLE,2020,32,,6,Purchase Price: 13.2,Fallwind Cabernet - Merlot Riserva,St. Michael-Eppan,wine_01gzr4ksmx8j7wf932qwg4zj25
TRUE,,RED,ROSSO PASSO PISCIARO,FRANCHETTI,,BOTTLE,2012,55,,1,Purchase Price: 0.0,Rosso,Tenuta Fraschetti,wine_01h0qzm1bkj0f9phkdc1jyez50
TRUE,8010788010094,RED,SAUVIGNON SAUVIGNON,RONCO CASALI,,BOTTLE,2022,25,,33,Purchase Price: 7.8,Feligeto Cabernet Sauvignon,Casali,wine_01h0my5vv5gyb4p1qe0mn2s0yg
