ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,87675645678,WHITE,ANJOU EFFUSION,DOMAINE PATRICK BAUDOUIN,,BOTTLE,2021,55,,3,Purchase Price: 25.5,Effusion Anjou,Domaine Patrick Baudouin,wine_01gzr4ksv6vxdj40bkm2gr757v,1170915,53.551094
TRUE,87964368979,WHITE,ANJOU LE CORNILLARD,DOMAINE PATRICK BAUDOUIN,,BOTTLE,2020,90,,3,Purchase Price: 39.5,Le Cornillard Anjou,Domaine Patrick Baudouin,wine_01hfxnej6sxrdzn4zwk84kw12k,,57.664772
TRUE,76778687575764,WHITE,ARNEIS ROERO ARNEIS,GIACOMO FENOCCHIO,,BOTTLE,2022,28,,16,Purchase Price: 11.0,Roero Arneis,Giacomo Fenocchio,wine_01gzr4kshavpmebgy4jytzz579,1240927,57.417046
TRUE,,RED,BARBARESCO ASILI,AZ FALLETTO DI BRUNO GIACOSA,,BOTTLE,2015,200,,1,Purchase Price: 135.0,Falletto Barbaresco Asili,Bruno Giacosa,wine_01h0my5sc8vd986x3ce79gtejz,,50.58529
TRUE,8033254938449,RED,BARBARESCO ASILI,CERETTO,,MAGNUM,2018,190,,2,Purchase Price: 98.0,Barbaresco Asili,Ceretto,wine_01gzr4kt6enqzcxbj3s8h0xebm,,46.458588
TRUE,98767546,RED,BARBARESCO BARBARESCO,FRANCESCO RINALDI E FIGLI,,BOTTLE,2019,70,,3,Purchase Price: 26.15,Barbaresco,Francesco Rinaldi & Figli,wine_01gzr4kt3bpmpa3tdjc874h6fz,,58.604416
TRUE,,RED,BARBARESCO BARBARESCO,GAJA,,BOTTLE,2019,250,,2,Purchase Price: 0.0,Barbaresco,Gaja,wine_01gzr4ksd3m8y62ggabzd1kdmg,66104,40.829628
TRUE,,RED,BARBARESCO BARBARESCO,LUIGI ODDERO,,BOTTLE,2020,55,,6,Purchase Price: 22.5,Barbaresco,Luigi Oddero,wine_01h0my5scee8xhmrwne6tzt3wr,,51.1756
TRUE,8025022000014,RED,BARBARESCO BARBARESCO,PRODUTTORI BARBARESCO,,BOTTLE,2019,55,,2,Purchase Price: 20.0,Barbaresco,Produttori del Barbaresco,wine_01gzr4ksd2q77fb88zxfbzs90f,19265,50.447025
TRUE,,RED,BARBARESCO BASARIN,ANGELO NEGRO,,BOTTLE,2019,75,,6,Purchase Price: 30.0,Barbaresco Basarin,Negro Angelo,wine_01gzr4kts27p4kajygc89h1rdr,,53.42534
TRUE,8033254938463,RED,BARBARESCO GALLINA,CERETTO,,BOTTLE,2018,125,,1,Purchase Price: 58.0,Gallina Barbaresco,Ceretto,wine_01gzr4kt6erktcrbpfre4gvckk,,43.163574
TRUE,8033254939729,RED,BARBARESCO GALLINA,CERETTO,,BOTTLE,2019,140,,6,Purchase Price: 63.0,Gallina Barbaresco,Ceretto,wine_01gzr4kt6erktcrbpfre4gvckk,,43.163574
TRUE,89798686668,RED,BARBARESCO RONGALIO,AZ AGR ORLANDO ABRIGO,,BOTTLE,2012,80,,2,Purchase Price: 28.0,Rongalio Barbaresco,Orlando Abrigo,wine_01gzr4kt6f2mskhn6m8j5ak12m,,59.401947
TRUE,,RED,BARBARESCO SERRABOELLA,F.LLI CIGLIUTI,,BOTTLE,2018,85,,1,Purchase Price: 39.0,Serraboella Barbaresco,Cigliuti,wine_01h0my5sc9j46dpzyz50v153mv,,49.5612
TRUE,876545567,RED,BARBARESCO TTETTINEIVE,SCARPA,,BOTTLE,2018,70,,5,Purchase Price: 30.0,Tettineive Barbaresco,Scarpa,wine_01h0my5sc9esmqz0vncjj9qv3g,,45.854855
TRUE,,RED,BARBERA BARBERA,BRUNO GIACOSA,,BOTTLE,2020,45,,2,Purchase Price: 20.0,Barbera d’Alba,Bruno Giacosa,wine_01h0my5sd413jaef1wska2pker,,43.9661
TRUE,98078786756,RED,BARBERA BARBERA D'ALBA,ROAGNA,,BOTTLE,2018,95,,3,Purchase Price: 36.5,Barbera d’Alba,Roagna,wine_01h0my5sdbzr5ygk4fjsyqbwx2,,40.986477
FALSE,8000160602405,RED,BARBERA BARBERA D'ASTI SUP,CÀ BIANCA,,BOTTLE,2014,35,,2,Purchase Price: 14.0,Barbera,Villa Bianca,wine_01hfxnej76rqdqkjztx35wrts4,,30.43366
TRUE,878777897987,RED,BARBERA VIGNA FRANCIA,GIACOMO CONTERNO,,MAGNUM,2018,180,,1,Purchase Price: 50.0,Barbera d''Alba Vigna Francia,Giacomo Conterno,wine_01gzr4ksd7nkzvrd352xa1jetm,82201,49.20621
TRUE,79867576889,RED,BARBERA VIGNA FRANCIA,GIACOMO CONTERNO,,MAGNUM,2019,180,,2,Purchase Price: 55.0,Barbera d''Alba Vigna Francia,Giacomo Conterno,wine_01gzr4ksd7nkzvrd352xa1jetm,82201,49.20621
FALSE,8032535710101,RED,BAROLO AEROPLANSERVAJ,DOMENICO CLERICO,,BOTTLE,2019,180,,6,Purchase Price: 72.0,Barolo,Domenico Clerico,wine_01gzr4kt7m7j3frgd2dzkt7crh,,45.885548
TRUE,,RED,BAROLO BADARINA,BRUNA GRIMALDI,,BOTTLE,2019,70,,18,Purchase Price: 26.0,Badarina Barolo,Bruna Grimaldi,wine_01h0my5sf1cy39hqm8vw3m5kt5,,52.36115
TRUE,77659786767,RED,BAROLO BAROLO,ANGELO NEGRO,,BOTTLE,2018,75,,6,Purchase Price: 30.0,Barolo,Negro Angelo,wine_01h0my5sy3y1kqf6tebnn50gnt,,49.06997
TRUE,8030077005228,RED,BAROLO BAROLO,MASSOLINO,,BOTTLE,2018,60,,1,Purchase Price: 22.0,Barolo,Massolino,wine_01gzr4ksg1y065j77e42zysr9d,79970,41.774883
TRUE,7777896875,RED,BAROLO BAROLO,ROCCHE DEI MANZONI,,BOTTLE,2016,65,,1,Purchase Price: 25.0,Barolo (Rocche),Rocche dei Manzoni,wine_01h0my5sexmwsha8fgg7n6159b,,46.12155
