ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,,SPARKLING,Altemasi Trento Millesimato Cavit,Altemasi Trento Millesimato Cavit,,BOTTLE,2018,4500,,50,,Millesimato Método Classico Brut,Altemasi,wine_01gzr4ksdbd1v51sr2rzax4f4z,1202244,33.14479
TRUE,,SPARKLING,"Trento DOC Brut 51,151 Moser","Trento DOC Brut 51,151 Moser",,BOTTLE,,5900,,50,,"51,151 Brut",Moser,wine_01h0r2pqcxrjnkrkzhn09mp5d0,,36.232468
TRUE,,SPARKLING,Giulio Ferrrari F.lli Lunelli,Giulio Ferrrari F.lli Lunelli,,BOTTLE,2010,33000,,50,,'Giulio Ferrari'' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,1256452,29.931715
TRUE,,SPARKLING,Franciacorta Cuvèe Prestige Cà del Bosco,Franciacorta Cuvèe Prestige Cà del Bosco,,BOTTLE,,6500,,50,,Franciacorta Cuvée Prestige,Ca' del Bosco,wine_01gzr4kscc5tkafqr60hga5xms,1191278,36.839508
TRUE,,SPARKLING,Franciacorta Dosage Zéro Cà del Bosco,Franciacorta Dosage Zéro Cà del Bosco,,BOTTLE,2018,9600,,50,,Dosage Zéro Franciacorta (Vintage Collection),Ca' del Bosco,wine_01gzr4ksccg1swcb7yb701kdpe,1961980,39.579414
TRUE,,SPARKLING,Annamaria Clementi Cuvee' Brut Cà del Bosco,Annamaria Clementi Cuvee' Brut Cà del Bosco,,BOTTLE,2014,21000,,50,,Cuvée Annamaria Clementi (Extra Brut),Ca' del Bosco,wine_01gzr4ksccr3vp26k7752yh5yp,23130,43.977493
TRUE,,SPARKLING,Vranken Diamant Brut Pommery,Vranken Diamant Brut Pommery,,BOTTLE,,9600,,50,,Diamant Brut Champagne,Vranken,wine_01h4pmmfg1d1yhyy3fvvbqe71h,,37.016346
TRUE,,SPARKLING,Philipponnat Royale Reserve Brut,Philipponnat Royale Reserve Brut,,BOTTLE,,12000,,50,,Royale Réserve Brut Champagne,Philipponnat,wine_01gzr4ks63nx7n95vw12dcynhy,83817,35.939327
TRUE,,SPARKLING,Philipponnat Royale Reserve Non Dose',Philipponnat Royale Reserve Non Dose',,BOTTLE,,12000,,50,,Royale Réserve Non Dosé Champagne,Philipponnat,wine_01gzr4ks63dw1mz9w5ezwc97av,1252845,41.67675
TRUE,,SPARKLING,Bollinger Special Cuvee',Bollinger Special Cuvee',,BOTTLE,,13000,,50,,Special Cuvée Brut Aÿ Champagne,Bollinger,wine_01gzr4ks77wsdabt6vnn27vs4y,18929,31.669508
TRUE,,SPARKLING,Veuve Clicquot Cuvee Saint-Petersbourg,Veuve Clicquot Cuvee Saint-Petersbourg,,BOTTLE,,11000,,50,,Cuvée Saint-Pétersbourg Brut Champagne,Veuve Clicquot,wine_01gzr4ks5vtmcbtxja8zx2ax6e,1146393,46.231625
TRUE,,SPARKLING,Pol Roger Brut Reserve,Pol Roger Brut Reserve,,BOTTLE,,12000,,50,,Réserve Brut Champagne,Pol Roger,wine_01gzr4kscbtrxfra499jsfa2z0,1884610,35.63067
TRUE,,SPARKLING,Perrier-Jouet Grand Brut,Perrier-Jouet Grand Brut,,BOTTLE,,15000,,50,,Grand Brut Champagne,Perrier-Jouët,wine_01h0f3cmbmghj9f4c14wg390vb,,41.856342
TRUE,,SPARKLING,Veuve Clicquot Extra Brut Extra Old,Veuve Clicquot Extra Brut Extra Old,,BOTTLE,,14000,,50,,Extra Brut Extra Old Champagne,Veuve Clicquot,wine_01gzr4ks5va1rwn1wfaa2wmftn,5445749,50.799927
TRUE,,SPARKLING,Ruinart Blanc de Blancs,Ruinart Blanc de Blancs,,BOTTLE,,18000,,50,,Dom Ruinart Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd2c8ryrf1nbh9jb83z,1192720,45.06498
TRUE,,SPARKLING,Ruinart Rosé,Ruinart Rosé,,BOTTLE,,18000,,50,,Dom Ruinart Rosé Brut Champagne,Ruinart,wine_01h0f3cmbmtvmkd6m243g38m9r,,40.14516
