external_id,full_details,type,purchase_price_eur,sales_price_eur
v.69999.2020.c,"Abbazia di Novacella, Cor unum et anima una, 2020, 1500 ml",WHITE,,114.00
v.13842.2022.b,"Abbazia di Novacella, Grüner Veltliner Praepositus, 2022, 750 ml",WHITE,,35.00
v.13841.2023.b,"Abbazia di Novacella, Kerner Praepositus, 2023, 750 ml",WHITE,,35.00
v.6142.2022.b,"Abbazia di Novacella, Riesling Praepositus, 2022, 750 ml",WHITE,,37.00
v.100767.2019.b,"Acham-Magin, Riesling Ungeheuer, 2019, 750 ml",WHITE,,91.00
v.10282.2020.b,"Albino Rocca, Barbaresco Ronchi, 2020, 750 ml",RED,,74.00
v.35838.2020.b,"Albino Rocca, Barbera d'Alba Gepin, 2020, 750 ml",RED,,41.00
v.9081.2017.b,"Alejandro Fernandez Tinto Pesquera, Ribera del Duero Tinto Pesquera Crianza, 2017, 750 ml",RED,,53.00
v.79189.2022.b,"Alheit Vineyards, Chenin blanc Hereafter Here, 2022, 750 ml",WHITE,,65.00
v.612.2019.b,"Allegrini, Amarone della Valpolicella Classico, 2019, 750 ml",RED,,103.00
v.611.2021.b,"Allegrini, Palazzo della Torre, 2021, 750 ml",RED,,38.00
v.615.2023.b,"Allegrini, Valpolicella Classico, 2023, 750 ml",RED,,36.00
v.14020.2011.c,"Alois Lageder, Cabernet Löwengang, 2011, 1500 ml",RED,,190.00
v.6774.2023.b,"Alois Lageder, Chardonnay Gaun, 2023, 750 ml",WHITE,13.00,40.00
v.6775.2020.c,"Alois Lageder, Chardonnay Löwengang, 2020, 1500 ml",WHITE,,190.00
v.6775.2020.b,"Alois Lageder, Chardonnay Löwengang, 2020, 750 ml",WHITE,,88.00
v.6775.2021.c,"Alois Lageder, Chardonnay Löwengang, 2021, 1500 ml",WHITE,,190.00
v.8962.1995.b,"Alois Lageder, Cor Römigberg, 1995, 750 ml",RED,,176.00
v.8962.1996.b,"Alois Lageder, Cor Römigberg, 1996, 750 ml",RED,,150.00
v.8962.1998.b,"Alois Lageder, Cor Römigberg, 1998, 750 ml",RED,89.50,180.00
v.8962.2004.b,"Alois Lageder, Cor Römigberg, 2004, 750 ml",RED,75.50,150.00
v.8962.2006.c,"Alois Lageder, Cor Römigberg, 2006, 1500 ml",RED,,240.00
v.8962.2006.b,"Alois Lageder, Cor Römigberg, 2006, 750 ml",RED,,135.00
v.8962.2013.b,"Alois Lageder, Cor Römigberg, 2013, 750 ml",RED,56.00,110.00
v.8962.2015.b,"Alois Lageder, Cor Römigberg, 2015, 750 ml",RED,,91.00
v.8962.2016.b,"Alois Lageder, Cor Römigberg, 2016, 750 ml",RED,,85.00
v.8962.2017.b,"Alois Lageder, Cor Römigberg, 2017, 750 ml",RED,,82.00
v.96381.2020.b,"Alois Lageder, Löwengang Uvaggio Storico, 2020, 750 ml",RED,,103.00
v.18040.2003.b,"Alois Lageder, Merlot MCM, 2003, 750 ml",RED,,175.00
