external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
v.69999.2020.c,WHITE, Cor unum et anima una,Abbazia di Novacella,,MAGNUM,2020,11400,0,200,,,True
v.13842.2022.b,WHITE, Grüner Veltliner Praepositus,Abbazia di Novacella,,BOTTLE,2022,3500,0,200,,,True
v.13841.2023.b,WHITE, Kerner Praepositus,Abbazia di Novacella,,BOTTLE,2023,3500,0,200,,,True
v.6142.2022.b,WHITE, Riesling Praepositus,Abbazia di Novacella,,BOTTLE,2022,3700,0,200,,,True
v.100767.2019.b,WHITE, Riesling Ungeheuer,Acham-Magin,,BOTTLE,2019,9100,0,200,,,True
v.10282.2020.b,RED, Barbaresco Ronchi,Albino Rocca,,BOTTLE,2020,7400,0,200,,,True
v.35838.2020.b,RED, Barbera d'Alba Gepin,Albino Rocca,,BOTTLE,2020,4100,0,200,,,True
v.9081.2017.b,RED, Ribera del Duero Tinto Pesquera Crianza,Alejandro Fernandez Tinto Pesquera,,BOTTLE,2017,5300,0,200,,,True
v.79189.2022.b,WHITE, Chenin blanc Hereafter Here,Alheit Vineyards,,BOTTLE,2022,6500,0,200,,,True
v.612.2019.b,RED, Amarone della Valpolicella Classico,Allegrini,,BOTTLE,2019,10300,0,200,,,True
v.611.2021.b,RED, Palazzo della Torre,Allegrini,,BOTTLE,2021,3800,0,200,,,True
v.615.2023.b,RED, Valpolicella Classico,Allegrini,,BOTTLE,2023,3600,0,200,,,True
v.14020.2011.c,RED, Cabernet Löwengang,Alois Lageder,,MAGNUM,2011,19000,0,200,,,True
v.6774.2023.b,WHITE, Chardonnay Gaun,Alois Lageder,,BOTTLE,2023,4000,1300,200,,,True
v.6775.2020.c,WHITE, Chardonnay Löwengang,Alois Lageder,,MAGNUM,2020,19000,0,200,,,True
v.6775.2020.b,WHITE, Chardonnay Löwengang,Alois Lageder,,BOTTLE,2020,8800,0,200,,,True
v.6775.2021.c,WHITE, Chardonnay Löwengang,Alois Lageder,,MAGNUM,2021,19000,0,200,,,True
v.8962.1995.b,RED, Cor Römigberg,Alois Lageder,,BOTTLE,1995,17600,0,200,,,True
v.8962.1996.b,RED, Cor Römigberg,Alois Lageder,,BOTTLE,1996,15000,0,200,,,True
v.8962.1998.b,RED, Cor Römigberg,Alois Lageder,,BOTTLE,1998,18000,8950,200,,,True
v.8962.2004.b,RED, Cor Römigberg,Alois Lageder,,BOTTLE,2004,15000,7550,200,,,True
v.8962.2006.c,RED, Cor Römigberg,Alois Lageder,,MAGNUM,2006,24000,0,200,,,True
v.8962.2006.b,RED, Cor Römigberg,Alois Lageder,,BOTTLE,2006,13500,0,200,,,True
v.8962.2013.b,RED, Cor Römigberg,Alois Lageder,,BOTTLE,2013,11000,5600,200,,,True
v.8962.2015.b,RED, Cor Römigberg,Alois Lageder,,BOTTLE,2015,9100,0,200,,,True
v.8962.2016.b,RED, Cor Römigberg,Alois Lageder,,BOTTLE,2016,8500,0,200,,,True
v.8962.2017.b,RED, Cor Römigberg,Alois Lageder,,BOTTLE,2017,8200,0,200,,,True
v.96381.2020.b,RED, Löwengang Uvaggio Storico,Alois Lageder,,BOTTLE,2020,10300,0,200,,,True
v.18040.2003.b,RED, Merlot MCM,Alois Lageder,,BOTTLE,2003,17500,0,200,,,True
v.18040.2009.b,RED, Merlot MCM,Alois Lageder,,BOTTLE,2009,13000,0,200,,,True
v.18040.2015.b,RED, Merlot MCM,Alois Lageder,,BOTTLE,2015,10500,0,200,,,True
v.84382.2020.b,RED, Merlot MCMLVII Vecchie Viti,Alois Lageder,,BOTTLE,2020,7700,0,200,,,True
v.104481.2024.b,WHITE, Misto Mare,Alois Lageder,,BOTTLE,2024,3500,700,200,,,True
v.17547.2023.b,WHITE, Pinot grigio,Alois Lageder,,BOTTLE,2023,3400,1200,200,,,True
v.9034.2011.c,RED, Pinot nero Krafuss,Alois Lageder,,MAGNUM,2011,17500,0,200,,,True
v.100819.2011.b,RED, Viribus Unitis Landibell,Andi Sölva,,BOTTLE,2011,10000,0,200,,,True
v.59340.2009.b,RED, Viribus Unitis mit Vereinten Kräften Rot,Andi Sölva,,BOTTLE,2009,11000,0,200,,,True
v.59340.2017.b,RED, Viribus Unitis mit Vereinten Kräften Rot,Andi Sölva,,BOTTLE,2017,9400,0,200,,,True
v.59335.2016.b,WHITE, Viribus Unitis mit Vereinten Kräften Weiss,Andi Sölva,,BOTTLE,2016,9300,0,200,,,True
v.86116.2019.b,RED, Châteauneuf-du-Pape Les Cailloux,André Brunel,,BOTTLE,2019,7700,3000,200,,,True
v.37060.2023.b,WHITE, Andrius,Andrian,,BOTTLE,2023,4600,0,200,,,True
v.3874.2021.b,RED, Lagrein Riserva Tor di Lupo,Andrian,,BOTTLE,2021,6600,0,200,,,True
v.14203.2021.b,RED, Merlot Riserva Gant,Andrian,,BOTTLE,2021,7200,0,200,,,True
v.43782.2023.b,RED, Santa Maddalena Classico Antheos,Ansitz Waldgries,,BOTTLE,2023,3600,1200,200,,,True
v.241.2004.c,RED, Sagrantino di Montefalco Collepiano,Arnaldo Caprai,,MAGNUM,2004,22500,0,200,,,True
v.1105.0.b,WHITE, Talento Brût,Arunda,,BOTTLE,0,4500,0,200,,,True
v.13932.0.b,, Talento Rosé Brût,Arunda,,BOTTLE,0,6100,0,200,,,True
v.92235.2021.b,WHITE, Chardonnay,Augusta Bargilli,,BOTTLE,2021,4800,0,200,,,True
v.37160.0.b,WHITE, Farfalla Noir Collection Extra brût,Ballabio,,BOTTLE,0,4800,0,200,,,True
v.37159.0.b,, Farfalla Noir Collection Rosé Brût,Ballabio,,BOTTLE,0,6200,0,200,,,True
v.4712.0.b,WHITE, Franciacorta Alma Gran Cuvée Brût,Bellavista,,BOTTLE,0,6700,0,200,,,True
v.58617.2022.b,WHITE, Chardonnay Riserva Lina,Bergmannhof,,BOTTLE,2022,4500,0,200,,,True
v.1391.2023.b,WHITE, Grüner Veltliner Fass 4,Bernhard Ott,,BOTTLE,2023,4300,0,200,,,True
v.1390.2020.b,WHITE, Grüner Veltliner Ried Rosenberg,Bernhard Ott,,BOTTLE,2020,8500,0,200,,,True
v.5306.1994.b,RED, Amarone della Valpolicella Classico,Bertani,,BOTTLE,1994,55000,0,200,,,True
v.5306.2001.b,RED, Amarone della Valpolicella Classico,Bertani,,BOTTLE,2001,29000,0,200,,,True
v.5306.2004.b,RED, Amarone della Valpolicella Classico,Bertani,,BOTTLE,2004,19500,0,200,,,True
v.5306.2005.b,RED, Amarone della Valpolicella Classico,Bertani,,BOTTLE,2005,22100,0,200,,,True
v.5306.2010.b,RED, Amarone della Valpolicella Classico,Bertani,,BOTTLE,2010,14300,0,200,,,True
v.5306.2012.c,RED, Amarone della Valpolicella Classico,Bertani,,MAGNUM,2012,37000,0,200,,,True
v.5306.2012.b,RED, Amarone della Valpolicella Classico,Bertani,,BOTTLE,2012,14300,0,200,,,True
v.12123.1967.b,RED, Recioto Amarone della Valpolicella Classico Superiore,Bertani,,BOTTLE,1967,95000,0,200,,,True
v.12123.1976.b,RED, Recioto Amarone della Valpolicella Classico Superiore,Bertani,,BOTTLE,1976,110000,0,200,,,True
v.69216.2022.b,WHITE, Chablis Montmains 1er Cru,Besson,,BOTTLE,2022,6500,0,200,,,True
v.5415.2019.b,RED, Colore Rosso 20° Anniversario,Bibi Graetz,,BOTTLE,2019,47400,0,200,,,True
v.384.2016.b,RED, Testamatta Rosso,Bibi Graetz,,BOTTLE,2016,13800,0,200,,,True
v.86957.2022.b,WHITE, Coteaux Bourguignons Chardonnay La Boule de Billard,Billard Père et Fils,,BOTTLE,2022,3900,1350,200,,,True
v.1585.0.b,WHITE, Brut Réserve,Billecart-Salmon,,BOTTLE,0,9700,0,200,,,True
v.423.2018.b,RED, Brunello di Montalcino Il Greppo,Biondi Santi,,BOTTLE,2018,20500,0,200,,,True
v.10840.2019.b,WHITE, Abissi Spumante,Bisson,,BOTTLE,2019,9500,0,200,,,True
v.84858.0.b,WHITE, Franciacorta Quarantaquattro Racconti Brût (dég. 03/2024),Bredasole,,BOTTLE,0,4200,0,200,,,True
v.33275.2021.b,RED, Barbaresco Currà,Bruno Rocca,,BOTTLE,2021,11600,0,200,,,True
v.34252.2013.b,RED, Barbaresco Maria Adelaide,Bruno Rocca,,BOTTLE,2013,15900,0,200,,,True
v.8451.2018.b,RED, Barbaresco Rabajà,Bruno Rocca,,BOTTLE,2018,10100,0,200,,,True
v.8451.2019.b,RED, Barbaresco Rabajà,Bruno Rocca,,BOTTLE,2019,10100,0,200,,,True
v.8451.2020.b,RED, Barbaresco Rabajà,Bruno Rocca,,BOTTLE,2020,11100,0,200,,,True
v.54757.2019.b,RED, Barbaresco Riserva Rabajà,Bruno Rocca,,BOTTLE,2019,18800,0,200,,,True
v.8452.2020.b,RED, Barbaresco,Bruno Rocca,,BOTTLE,2020,7000,0,200,,,True
v.8452.2021.b,RED, Barbaresco,Bruno Rocca,,BOTTLE,2021,7000,0,200,,,True
