wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01jhke5vkbq4k6qb9q7wcpjz8m,v.10282.2020.b,BOTTLE,2020,7400,0,,,200,,True
wine_01gzr4kt58d7getsnyf8992dzq,v.4877.2022.b,BOTTLE,2022,6600,3000,,,200,,True
wine_01gzr4kt10yqkj98q5yrapc737,v.18427.2018.b,BOTTLE,2018,16400,0,,,200,,True
wine_01gzr4kt10yqkj98q5yrapc737,v.18427.2019.b,BOTTLE,2019,16200,0,,,200,,True
wine_01gzr4kt10yqkj98q5yrapc737,v.18427.2020.b,BOTTLE,2020,16000,9600,,,200,,True
wine_01gzr4kt109k2rhbm6pw1kcydz,v.30952.2019.b,BOTTLE,2019,7600,0,,,200,,True
wine_01hbtxafncz1w2kq2jj3s6vdv4,v.403.2018.b,BOTTLE,2018,8700,0,,,200,,True
wine_01h0r2pp8yxgfa0f6pmrcg2hb1,v.81443.2020.c,MAGNUM,2020,9500,0,,,200,,True
wine_01h0r2pp8yxgfa0f6pmrcg2hb1,v.81443.2021.b,BOTTLE,2021,4600,0,,,200,,True
wine_01h0r2pp8ym30c4f8rx4c0dxsc,v.100748.2023.c,MAGNUM,2023,7200,0,,,200,,True
wine_01h0r2pp8ym30c4f8rx4c0dxsc,v.100748.2024.b,BOTTLE,2024,3500,0,,,200,,True
wine_01h0my5rn27y7r2hhxxqc5k1d1,v.92812.2021.b,BOTTLE,2021,4300,0,,,200,,True
wine_01h0f3cmc203x12qtse2yfek81,v.8498.2020.b,BOTTLE,2020,3700,1240,,,200,,True
wine_01gzr4kspdy9hn9s2498zg5arb,v.46395.2021.b,BOTTLE,2021,3900,0,,,200,,True
wine_01gzr4kspd94gmsevmg39n8sxg,v.4768.2023.b,BOTTLE,2023,3800,0,,,200,,True
wine_01gzr4kspdbqsw4vswax6agr8k,v.5167.2021.b,BOTTLE,2021,3700,0,,,200,,True
wine_01gzr4kspdtf36964px55qxyer,v.4766.2022.b,BOTTLE,2022,4500,0,,,200,,True
wine_01gzr4kspd0bp2fctnk2bf86eg,v.4765.2022.b,BOTTLE,2022,3800,0,,,200,,True
wine_01gzr4kspdwvzvssy1bgtbbagw,v.4770.2022.b,BOTTLE,2022,4400,0,,,200,,True
wine_01gzr4kspdvtrq9c3nm6ta68fr,v.5300.2023.b,BOTTLE,2023,3600,1200,,,200,,True
wine_01gzr4kscqj6h9w9rp9gsh81v1,v.66216.2018.b,BOTTLE,2018,7600,0,,,200,,True
wine_01k04w128ph9xn6a69cphqn7rr,v.94865.2023.b,BOTTLE,2023,3700,0,,,200,,True
wine_01h4pmmg360rq694drk6zcqk77,v.46388.2021.c,MAGNUM,2021,9000,0,,,200,,True
wine_01h4pmmg360rq694drk6zcqk77,v.46388.2022.b,BOTTLE,2022,4500,0,,,200,,True
wine_01h4pmmgen0dcd1zrrjj307qef,v.48118.2023.b,BOTTLE,2023,3600,0,,,200,,True
wine_01gzr4kt10yqkj98q5yrapc737,v.18427.2017.b,BOTTLE,2017,16800,9900,,,200,,True
wine_01gzr4kt10yqkj98q5yrapc737,v.18427.2016.b,BOTTLE,2016,17000,0,,,200,,True
wine_01gzr4kt10yqkj98q5yrapc737,v.18427.2015.b,BOTTLE,2015,17500,0,,,200,,True
wine_01gzr4kt7m6dx288s31ygcqrwx,v.6334.1990.b,BOTTLE,1990,32000,0,,,200,,True
wine_01gzr4ktq47w415nv7n8w3shhg,v.99353.2020.b,BOTTLE,2020,7200,0,,,200,,True
wine_01h0r2pq1mzt02hbqr3h0473xp,v.8014.2022.b,BOTTLE,2022,3800,1300,,,200,,True
wine_01h0sq474aqc4244v99524s522,v.48612.2024.b,BOTTLE,2024,3600,950,,,200,,True
wine_01h0qzm2433nyfnnh58nnegepj,v.3745.2023.b,BOTTLE,2023,4600,1700,,,200,,True
wine_01gzr4kt1jbjpbr3gge877kxm5,v.3787.2020.b,BOTTLE,2020,3900,0,,,200,,True
wine_01gzr4kt81xhjmrqtycqm838g9,v.463.2021.c,MAGNUM,2021,9500,0,,,200,,True
wine_01gzr4kt81xhjmrqtycqm838g9,v.463.2021.b,BOTTLE,2021,4700,0,,,200,,True
wine_01gzr4kt5zxg3xtv42qbzr87fw,v.39075.2019.b,BOTTLE,2019,7600,0,,,200,,True
wine_01hs95fpa5erqv0hpnzagyj370,v.90500.2023.b,BOTTLE,2023,3700,0,,,200,,True
wine_01jfvrsnpar2gwvcgj4b8e1z0d,v.95791.2023.b,BOTTLE,2023,3600,0,,,200,,True
wine_01gzr4kt7m6dx288s31ygcqrwx,v.6334.2003.b,BOTTLE,2003,25500,0,,,200,,True
wine_01gzr4kt10yqkj98q5yrapc737,v.18427.2014.b,BOTTLE,2014,17900,0,,,200,,True
wine_01gzr4kt7m6dx288s31ygcqrwx,v.6334.2009.b,BOTTLE,2009,18000,0,,,200,,True
wine_01h0f3cmc6b9z3mahtr96nrmxt,v.8480.2022.b,BOTTLE,2022,4300,0,,,200,,True
wine_01gzr4ktrj9gp256gzv7v1g4r4,v.37420.2017.b,BOTTLE,2017,4600,0,,,200,,True
wine_01h0r2pq0gt7tvxpa3nxn6e318,v.437.2004.b,BOTTLE,2004,16000,0,,,200,,True
wine_01h0r2pq0gt7tvxpa3nxn6e318,v.437.2017.b,BOTTLE,2017,15000,0,,,200,,True
wine_01h0r2pq0gt7tvxpa3nxn6e318,v.437.2019.b,BOTTLE,2019,14500,0,,,200,,True
wine_01h0r2pq39mmetsckbmwwhqzx6,v.32736.2020.b,BOTTLE,2020,4300,1600,,,200,,True
wine_01gzr4kt10g9hzyrx660tfc373,v.30951.2021.b,BOTTLE,2021,11900,6200,,,200,,True
wine_01gzr4kt10yqkj98q5yrapc737,v.18427.2012.b,BOTTLE,2012,19000,0,,,200,,True
wine_01gzr4kt10yqkj98q5yrapc737,v.18427.2013.b,BOTTLE,2013,18300,0,,,200,,True
wine_01gzr4ksn07qrknrg486gmvw52,v.47888.2023.b,BOTTLE,2023,3500,0,,,200,,True
wine_01gzr4kt58j7pwnwnxq0za0tx5,v.45059.2021.b,BOTTLE,2021,6600,0,,,200,,True
wine_01h0qzm2337vfbvx938w74edx3,v.1167.2021.b,BOTTLE,2021,9000,0,,,200,,True
wine_01h0sq483zmbzwcr1t6ypnbdtz,v.13099.2015.b,BOTTLE,2015,9500,0,,,200,,True
wine_01jwdm4b57fq5ktdcdw1zcfvwq,v.100721.2023.b,BOTTLE,2023,3700,1350,,,200,,True
wine_01j52tf6846f0w722wxdzvfs9w,v.3666.2017.b,BOTTLE,2017,16500,0,,,200,,True
wine_01j52tf6846f0w722wxdzvfs9w,v.3666.2018.b,BOTTLE,2018,16500,0,,,200,,True
wine_01gzr4ktfgp9e2x9h8da6w61wy,v.3667.2021.b,BOTTLE,2021,7500,0,,,200,,True
wine_01gzr4kt1q2pfswhqqm8hetek0,v.12702.2021.b,BOTTLE,2021,4400,0,,,200,,True
wine_01gzr4ksd13hpy7q0n03dkf2wb,v.365.1992.b,BOTTLE,1992,55000,0,,,200,,True
wine_01gzr4ksd13hpy7q0n03dkf2wb,v.365.1993.b,BOTTLE,1993,53500,0,,,200,,True
wine_01gzr4ksd6ajsehb43hs03rwa5,v.6422.1994.b,BOTTLE,1994,11500,0,,,200,,True
wine_01gzr4ksd6ajsehb43hs03rwa5,v.6422.2016.c,MAGNUM,2016,15500,0,,,200,,True
wine_01gzr4ksd6ajsehb43hs03rwa5,v.6422.2016.d,JEROBOAM,2016,31000,0,,,200,,True
wine_01gzr4ksd6ajsehb43hs03rwa5,v.6422.2020.b,BOTTLE,2020,7200,0,,,200,,True
wine_01gzr4ksqhkmny2g5h2ttf5nen,v.1363.2016.b,BOTTLE,2016,5200,0,,,200,,True
wine_01hqgmzcx9wz0dyyzm4acwxm5z,v.42717.2023.b,BOTTLE,2023,3800,0,,,200,,True
wine_01h0my5tyamv8bq6thfvdrdte4,v.61965.2022.b,BOTTLE,2022,3600,1200,,,200,,True
wine_01h0sq47v15bza7jgrpq4fezw4,v.30895.2022.b,BOTTLE,2022,3700,1550,,,200,,True
