external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes
0,,Domaine Févre - Chablis Premiére Cru Vaulorant,,,"0,75",2018,79,,,,
1,,Merseult Les Clous Villages Bouchard Pére et Fils,,,"0,75",2016,96,,,,
2,,Domaine de la Solitude Chateauneuf du Pape,,,"0,75",2017,71,,,,
3,,Chassagne Montrachet Lamy Pillot,,,"0,75",2014,104,,,,
4,,Chateau Grand Corbin Despagne Grand Cru,,,"0,75",2015,87,,,,
5,,Chateau Grand Corbin Despagne Grand Cru,,,"0,75",2008,93,,,,
6,,Chateau la Confession Saint Emilion Grand Cru,,,"0,75",2015,99,,,,
7,,Chateau Talbot (4éme cru classé),,,"0,75",2014,150,,,,
8,,Vosne Romaneé – Domaine de Pedrix,,,"0,75",2017,177,,,,
9,,Chateau Lynch Bages 5eme cru,,,"0,75",2011,219,,,,
10,,Château Daugay Saint-Émilion Grand Cru,,,"0,75",2016,,,,,
11,,Bordeaux Rouge Supérieur AOP – Château Croix-Mouton,,,"0,75",2018,,,,,
12,,Chateau Ormes De Pez saint estephe,,,"0,75",2016,,,,,
13,,Troplong Mondot  1er Grand Cru Classe  saint emilion,,,"0,75",2015,,,,,
14,,Château Brane-Cantenac Margaux (Grand Cru Classé) 2011,,,"0,75",2011,,,,,
15,,Carillon d’Angelus - Saint-Emilion Grand Cru,,,"0,75",2015,,,,,
16,,CHATEAU PIBRAN PAULILLAC,,,"0,75",2011,,,,,
