wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes
wine_01h4pmmh36w3c0fbx3syphgq7m,0.0,BOTTLE,2018.0,7900,0.0,,,0.0,
wine_01gzr4ksxcbz5yyn79mp6j5wrj,1.0,BOTTLE,2016.0,9600,0.0,,,0.0,
wine_01h0my5rn5ksh8fncpxmkxbsk3,2.0,BOTTLE,2017.0,7100,0.0,,,0.0,
wine_01gzr4kt1pe0rzy8eg0hagymx9,6.0,BOTTLE,2015.0,9900,0.0,,,0.0,
wine_01h0qzm1avphghcty0xcgezr3t,8.0,BOTTLE,2017.0,17700,0.0,,,0.0,
wine_01h0my5sa91z083za2w3db882g,11.0,BOTTLE,2018.0,0,0.0,,,0.0,
wine_01gzr4kt6skgayzky81ms52aza,12.0,BOTTLE,2016.0,0,0.0,,,0.0,
wine_01gzr4ktnz7gd45kbwmcyzsf1d,13.0,BOTTLE,2015.0,0,0.0,,,0.0,
wine_01gzr4ksd3nvjqp3f6f4hft91z,14.0,BOTTLE,2011.0,0,0.0,,,0.0,
wine_01h0my5vpmaek2kxvp6gc1bphv,17.0,BOTTLE,0.0,2200,0.0,,,6.0,
wine_01h0qsxmwcgnpj5rkht6k52xfp,18.0,BOTTLE,0.0,4500,0.0,,,3.0,
wine_01h0my5rqpe521fsdwks0g3yfq,19.0,BOTTLE,0.0,4800,0.0,,,7.0,
wine_01h0r2pq1mddt3an3mny3988dd,20.0,BOTTLE,0.0,4300,0.0,,,2.0,
wine_01h0f3cmbts4w0cgbm09zbfrjy,21.0,BOTTLE,2019.0,4700,0.0,,,6.0,
wine_01gzr4ksccghc75cyecdekrc9g,22.0,BOTTLE,0.0,5500,0.0,,,3.0,
wine_01gzr4ksd4k2zha41rc9c9bb6c,26.0,BOTTLE,0.0,10500,0.0,,,6.0,
wine_01h4pmmfdrsyc3d30fzdm74bn4,27.0,BOTTLE,0.0,13000,0.0,,,8.0,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,28.0,BOTTLE,2010.0,29000,0.0,,,5.0,
wine_01havwee2nsjwd6d805a7zcyk4,30.0,BOTTLE,0.0,12000,0.0,,,1.0,
wine_01gzr4ksmtmbwdx4fxs7bp0bx6,33.0,BOTTLE,2022.0,2800,0.0,,,1.0,
wine_01hcw4dfxbzjkjwn1237yr18z6,36.0,BOTTLE,2022.0,3600,0.0,Sieger beim Autochtona Award,,4.0,
wine_01gzr4kspdzb94jpm7t501wmka,37.0,BOTTLE,0.0,2600,0.0,,,4.0,
wine_01gzr4ksj4ahty016zbqf90zeg,38.0,BOTTLE,2022.0,2800,0.0,,,10.0,
wine_01gzr4ksd21816c7pdatn9v5fq,39.0,BOTTLE,2022.0,3000,0.0,,,9.0,
wine_01gzr4kspp0wnh0289kv106za8,40.0,BOTTLE,2018.0,9500,0.0,,,2.0,
wine_01gzr4kspp0wnh0289kv106za8,40.0,BOTTLE,2021.0,9500,0.0,,,11.0,
wine_01gzr4ksddpchz37phhyxhrgta,41.0,BOTTLE,2019.0,2600,0.0,,,4.0,
wine_01h0my5rkhs04rxp1dg440685b,42.0,BOTTLE,2022.0,2700,0.0,,,3.0,
wine_01h0sq472jxv8ss0d30tn6ess3,43.0,BOTTLE,0.0,3200,0.0,,,0.0,
wine_01h0qzm1pm821k2czmn9xt9zsc,44.0,BOTTLE,2020.0,2600,0.0,,,2.0,
wine_01gzr4kspd0bp2fctnk2bf86eg,45.0,BOTTLE,2021.0,3500,0.0,Gambero Rosso 3 Bicchieri,,8.0,
wine_01h0sq47xg5g76922shspm60e7,46.0,BOTTLE,2021.0,4200,0.0,,,8.0,
wine_01hyj9f3adjf8eqj5727qp5j96,48.0,BOTTLE,2021.0,5000,0.0,,,6.0,
wine_01gzr4kspdtf36964px55qxyer,50.0,BOTTLE,2021.0,4200,0.0,"Gambero Rosso 3 Bicchieri, James Suckling 95 Punkte",,7.0,
wine_01h0qsxmwg9rwheq6gt9kqzdh6,52.0,MAGNUM,2020.0,8900,0.0,,,1.0,
wine_01h0my5rbq4tyhyes4vcm6w3c3,54.0,BOTTLE,0.0,3600,0.0,Gambero Rosso,,0.0,
wine_01h0qzm1varmm99zfg3da00wnm,58.0,BOTTLE,2022.0,4000,0.0,,,7.0,
wine_01h0my5rbqpkdt1kxf4qvpa0ev,60.0,BOTTLE,2020.0,3600,0.0,Wine Hunter Award Platinum & Gold,,3.0,
wine_01gzr4kspdz7npg54r64bbttkg,62.0,BOTTLE,0.0,3000,0.0,James Suckling 92 Punkte,,0.0,
wine_01hcw4dg7645shfpc7k0p9fhv7,63.0,BOTTLE,2020.0,3500,0.0,,,6.0,
wine_01gzr4ksn58b7921b25az154dy,64.0,BOTTLE,2021.0,3700,0.0,,,1.0,
wine_01gzr4kspd7wgwjpn9sr6pybcb,65.0,BOTTLE,2021.0,5200,0.0,James Suckling 95 Punkte,,2.0,
wine_01h0sq47xg5dqfvxezrrmbb289,66.0,BOTTLE,2016.0,9800,0.0,,,5.0,
wine_01h0my5rjsm3nxqjhebp455ypt,67.0,BOTTLE,2022.0,3600,0.0,,,3.0,
wine_01gzr4kspdwvzvssy1bgtbbagw,68.0,BOTTLE,2019.0,3800,0.0,,,2.0,
wine_01gzr4kspdwvzvssy1bgtbbagw,68.0,BOTTLE,2021.0,3800,0.0,,,6.0,
wine_01gzr4ksd91kx6d5rhyzts8a62,69.0,BOTTLE,2021.0,4400,0.0,,,5.0,
wine_01gzr4ksn55kqa21f0wdpx6t3r,71.0,BOTTLE,2021.0,8400,0.0,,,7.0,
wine_01gzr4ksn55kqa21f0wdpx6t3r,71.0,BOTTLE,2020.0,8400,0.0,,,8.0,
wine_01gzr4ksn55kqa21f0wdpx6t3r,71.0,MAGNUM,2016.0,16000,0.0,,,1.0,
wine_01gzr4ksn55kqa21f0wdpx6t3r,71.0,JEROBOAM,2022.0,29800,0.0,,,1.0,
wine_01h0sq47xgbgzxzhnp2khrrwws,72.0,BOTTLE,2022.0,3000,0.0,,,5.0,
wine_01gzr4kt16r3bs9rtscwvae7kt,73.0,BOTTLE,2022.0,4400,0.0,,,5.0,
wine_01h0sq47xgwvqvqhjhsn8v8t7z,74.0,BOTTLE,2021.0,4700,0.0,,,8.0,
wine_01gzr4ksn50zrsanx71j9ts3e4,75.0,BOTTLE,2021.0,3300,0.0,,,4.0,
wine_01h0sq494wbjx6m6h8k0rc3zyx,76.0,BOTTLE,2019.0,5100,0.0,,,4.0,
wine_01gzr4ksn59np0cz4842jxkmp5,77.0,BOTTLE,2021.0,6300,0.0,,,8.0,
wine_01h0my5rjsy280zdn8ek2ebhzp,78.0,BOTTLE,2017.0,6400,0.0,Cuvee aus Südtiroler und Griechischen Rebsorten,,4.0,
wine_01gzr4kt16x7xf11p195ys5yks,79.0,BOTTLE,2020.0,9000,0.0,GamberoRosso . Veronelli . Bibenda,,5.0,
wine_01gzr4kt492fr5ca6kj4bcg3qk,80.0,BOTTLE,2017.0,12400,0.0,Falstaff : 95 Punkte,,5.0,
wine_01gzr4ksj337pq3rg2ys5snjqz,81.0,BOTTLE,2018.0,14300,0.0,"Robert Parker 96 Punkte, James Suckling 97 Punkte",,4.0,
wine_01gzr4ksmyxxe6zv6hev5pa5jb,82.0,BOTTLE,2015.0,16500,0.0,Robert Parker 95+ Punkte,,4.0,
wine_01h0r2pq1mqv62ngwhn5zcqtte,85.0,BOTTLE,2022.0,2600,0.0,,,3.0,
wine_01gzr4ksmxmrh60e659pcec82r,86.0,BOTTLE,2022.0,2900,0.0,Gambero Rosso 3 bicchieri,,15.0,
wine_01gzr4ksmxmrh60e659pcec82r,86.0,BOTTLE,2023.0,2900,0.0,Gambero Rosso 3 bicchieri,,4.0,
wine_01gzr4ksr1xeqa7qjghh7edfz2,87.0,BOTTLE,2021.0,3200,0.0,"Gambero Rosso 3 bicchieri, VERNATSCH-CUP: Vernatsch des Jahres",,3.0,
wine_01gzr4ksr1xeqa7qjghh7edfz2,87.0,BOTTLE,2022.0,3200,0.0,"Gambero Rosso 3 bicchieri, VERNATSCH-CUP: Vernatsch des Jahres",,6.0,
wine_01h0b4rjgxsqh9zf0h82pxmsgh,88.0,BOTTLE,2021.0,3500,0.0,"FALSTAFF : 93 Pkt., VERNATSCH-CUP: Vernatsch des Jahres",,3.0,
wine_01h0my5rhs4297dbhyg8ngnv6y,90.0,BOTTLE,2020.0,5900,0.0,,,6.0,
wine_01hawwcz6g9k7q7t7t06j26tpd,91.0,BOTTLE,2019.0,6200,0.0,,,5.0,
wine_01h0r2pq1mme1g80nm4fwcj7ra,92.0,BOTTLE,2021.0,3100,0.0,,,4.0,
wine_01gzr4ksn5agw365140he6yvs3,94.0,BOTTLE,2019.0,4700,0.0,,,3.0,
wine_01gzr4ksn5agw365140he6yvs3,94.0,BOTTLE,2020.0,4700,0.0,,,6.0,
wine_01gzr4kt16rbg23ev9fdyw7ar0,96.0,BOTTLE,2017.0,19000,0.0,,,2.0,
wine_01gzr4ksk78jz57rmx7y4yqhqq,97.0,MAGNUM,2020.0,8500,0.0,,,2.0,
wine_01gzr4ksktxgmhcw3y7x327kxd,98.0,BOTTLE,2020.0,6000,0.0,"Gambero Rosso 3 bicchieri, Robert Parker 94 Punkte",,5.0,
wine_01gzr4kt163y4xhj4xhmpssq3w,99.0,BOTTLE,2020.0,6100,0.0,,,6.0,
wine_01hawwcz6ybdn4p3n24a180rwm,101.0,BOTTLE,2018.0,8000,0.0,,,9.0,
wine_01h0qzm1c5qb5cetv3jrpkk8pm,102.0,BOTTLE,2016.0,10800,0.0,,,4.0,
wine_01h0qzm1pm7p3pekabgw88zacw,103.0,BOTTLE,2020.0,11900,0.0,Robert Parker 93 Punkte Falstaff 95 Punkte,,3.0,
wine_01gzr4ksn5scs5qg8h77qnc1rs,104.0,BOTTLE,2015.0,15500,0.0,,,3.0,
wine_01gzr4ksn5scs5qg8h77qnc1rs,104.0,BOTTLE,2018.0,15500,0.0,,,2.0,
wine_01h0qzm1pmtysvk48mrdbc8n5b,105.0,BOTTLE,2017.0,15800,0.0,Robert Parker 95+ Punkte Falstaff 97 Punkte,,3.0,
wine_01h0qzm1pmtysvk48mrdbc8n5b,105.0,BOTTLE,2019.0,15800,0.0,Robert Parker 95+ Punkte Falstaff 97 Punkte,,3.0,
wine_01gzr4kspdbqsw4vswax6agr8k,106.0,BOTTLE,0.0,3700,0.0,,,0.0,
wine_01h0qzm1v03g64rzcatxnbg9f8,107.0,BOTTLE,2018.0,6500,0.0,,,2.0,
wine_01h0qzm1v03g64rzcatxnbg9f8,107.0,BOTTLE,2019.0,6500,0.0,,,6.0,
wine_01h0my5rkpg4py5d7tbkjynb34,108.0,BOTTLE,2019.0,4800,0.0,,,6.0,
wine_01havweezfgt6j22j4fnghqksk,109.0,BOTTLE,2020.0,5000,0.0,,,4.0,
wine_01h4pmmfh81000dkhjr5nycrc7,110.0,BOTTLE,2019.0,6400,0.0,Robert Parker 93 Punkte,,6.0,
wine_01h0qsxmw60741s5xf8a7g1yv2,111.0,BOTTLE,2018.0,6500,0.0,Gambero Rosso 3 bicchieri,,4.0,
wine_01havweezez7xbwrgwrh61zpah,112.0,BOTTLE,2016.0,8500,0.0,Gambero Rosso 3 bicchieri,,7.0,
wine_01gzr4ksdg8terh0mgz2f03eeq,113.0,BOTTLE,2018.0,3400,0.0,,,2.0,
wine_01gzr4ksdg8terh0mgz2f03eeq,113.0,BOTTLE,2020.0,3400,0.0,,,6.0,
wine_01gzr4kspdy9hn9s2498zg5arb,114.0,BOTTLE,2020.0,4000,0.0,,,2.0,
wine_01gzr4kt16820wjbdg9fbdw024,115.0,BOTTLE,2021.0,4300,0.0,,,5.0,
wine_01h0my5rjs8rshj1vbhpgcwdyt,116.0,BOTTLE,2015.0,7100,0.0,"trebicchieri, Gambero Rosso",,4.0,
wine_01h0my5rjs8rshj1vbhpgcwdyt,116.0,BOTTLE,2020.0,7100,0.0,"trebicchieri, Gambero Rosso",,2.0,
wine_01h0my5rjs8rshj1vbhpgcwdyt,116.0,MAGNUM,2018.0,13600,0.0,"trebicchieri, Gambero Rosso",,1.0,
wine_01h0sq47vfhs28y8xmmryes74t,117.0,BOTTLE,2015.0,11500,0.0,,,5.0,
wine_01h0sq48b3jve2v3bhek4vafnm,118.0,BOTTLE,2022.0,3500,0.0,,,5.0,
wine_01h4pmmg365tt1bdgna30887rz,119.0,BOTTLE,2020.0,5000,0.0,,,5.0,
wine_01h0my5rjsjmc5trft3fn3tf0d,120.0,BOTTLE,2016.0,6200,0.0,"Gambero Rosso 3 bicchieri, Falstaff 93 Punkte",,9.0,
wine_01h0my5rkg9tcrx4kt4gktkckn,121.0,BOTTLE,2018.0,7100,0.0,Gambero Rosso 3 bicchieri,,5.0,
wine_01h0my5rkg9tcrx4kt4gktkckn,121.0,BOTTLE,2021.0,7100,0.0,Gambero Rosso 3 bicchieri,,6.0,
wine_01h0my5rkg9tcrx4kt4gktkckn,121.0,JEROBOAM,2017.0,26000,0.0,Gambero Rosso 3 bicchieri,,1.0,
wine_01h0my5rkg9tcrx4kt4gktkckn,121.0,MATHUSALEM,2016.0,51000,0.0,Gambero Rosso 3 bicchieri,,1.0,
wine_01gzr4ksn538gj86tet5g3ad2c,122.0,BOTTLE,2019.0,7500,0.0,,,4.0,
wine_01h0r2pppesdk19cfa35xnp8h1,123.0,BOTTLE,2012.0,8600,0.0,,,5.0,
wine_01h0r2pppesdk19cfa35xnp8h1,123.0,MAGNUM,2013.0,16500,0.0,,,1.0,
wine_01h4pmmfh93j1t0fkgezz7fazr,124.0,BOTTLE,2016.0,9900,0.0,RobertParker 95 Punkte,,3.0,
wine_01h4pmmfh93j1t0fkgezz7fazr,124.0,BOTTLE,2017.0,9900,0.0,RobertParker 95 Punkte,,2.0,
wine_01h4pmmfh93j1t0fkgezz7fazr,124.0,BOTTLE,2020.0,9900,0.0,RobertParker 95 Punkte,,7.0,
wine_01h0my5rn5agsqx1htnk7swsa8,125.0,BOTTLE,2019.0,9600,0.0,,,7.0,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125.0,BOTTLE,2020.0,9600,0.0,,,6.0,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125.0,BOTTLE,2021.0,9600,0.0,,,6.0,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125.0,MAGNUM,2018.0,9600,0.0,,,1.0,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125.0,MAGNUM,2021.0,9600,0.0,,,1.0,„RARITÄT“
wine_01h0r2pqe7swjrs3trks81fdrf,126.0,BOTTLE,2019.0,19500,0.0,,,3.0,
wine_01gzr4ksn5krczaydj3qa1wznz,127.0,BOTTLE,2021.0,3300,0.0,,,5.0,
