wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes
wine_01h4pmmh36w3c0fbx3syphgq7m,0,BOTTLE,2018,79,0,,,0,
wine_01gzr4ksxcbz5yyn79mp6j5wrj,1,BOTTLE,2016,96,0,,,0,
wine_01h0my5rn5ksh8fncpxmkxbsk3,2,BOTTLE,2017,71,0,,,0,
wine_01gzr4kt1pe0rzy8eg0hagymx9,6,BOTTLE,2015,99,0,,,0,
wine_01h0qzm1avphghcty0xcgezr3t,8,BOTTLE,2017,177,0,,,0,
wine_01h0my5sa91z083za2w3db882g,11,BOTTLE,2018,0,0,,,0,
wine_01gzr4kt6skgayzky81ms52aza,12,BOTTLE,2016,0,0,,,0,
wine_01gzr4ktnz7gd45kbwmcyzsf1d,13,BOTTLE,2015,0,0,,,0,
wine_01gzr4ksd3nvjqp3f6f4hft91z,14,BOTTLE,2011,0,0,,,0,
wine_01h0my5vpmaek2kxvp6gc1bphv,17,BOTTLE,0,22,0,,,6,
wine_01h0qsxmwcgnpj5rkht6k52xfp,18,BOTTLE,0,45,0,,,3,
wine_01h0my5rqpe521fsdwks0g3yfq,19,BOTTLE,0,48,0,,,7,
wine_01h0r2pq1mddt3an3mny3988dd,20,BOTTLE,0,43,0,,,2,
wine_01h0r2pq1mddt3an3mny3988dd,20,MAGNUM,0,85,0,,,2,
wine_01h0f3cmbts4w0cgbm09zbfrjy,21,BOTTLE,2019,47,0,,,6,
wine_01h0f3cmbts4w0cgbm09zbfrjy,21,MAGNUM,2016,90,0,,,1,
wine_01gzr4ksccghc75cyecdekrc9g,22,MAGNUM,0,105,0,,,1,
wine_01gzr4ksccghc75cyecdekrc9g,22,BOTTLE,0,55,0,,,3,
wine_01gzr4ksd4k2zha41rc9c9bb6c,26,BOTTLE,0,105,0,,,6,
wine_01h4pmmfdrsyc3d30fzdm74bn4,27,BOTTLE,0,130,0,,,8,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,28,BOTTLE,2010,290,0,,,5,
wine_01h4pmmfe7qzp7rr0tzg52d4zm,29,BOTTLE,0,115,0,,,1,
wine_01havwee2nsjwd6d805a7zcyk4,30,BOTTLE,0,120,0,,,1,
wine_01h4pmmfe7qzp7rr0tzg52d4zm,31,BOTTLE,0,115,0,,,1,
wine_01gzr4ksmtmbwdx4fxs7bp0bx6,33,BOTTLE,2022,28,0,,,1,
wine_01hcw4dfxbzjkjwn1237yr18z6,36,BOTTLE,2022,36,0,Sieger beim Autochtona Award,,4,
wine_01gzr4kspdzb94jpm7t501wmka,37,BOTTLE,0,26,0,,,4,
wine_01gzr4ksj4ahty016zbqf90zeg,38,BOTTLE,2022,28,0,,,10,
wine_01gzr4ksd21816c7pdatn9v5fq,39,BOTTLE,2022,30,0,,,9,
wine_01gzr4kspp0wnh0289kv106za8,40,BOTTLE,2018,95,0,,,2,
wine_01gzr4kspp0wnh0289kv106za8,,BOTTLE,2021,95,0,,,11,
wine_01gzr4ksddpchz37phhyxhrgta,41,BOTTLE,2019,26,0,,,4,
wine_01h0my5rkhs04rxp1dg440685b,42,BOTTLE,2022,27,0,,,3,
wine_01h0sq472jxv8ss0d30tn6ess3,43,BOTTLE,0,32,0,,,0,
wine_01h0qzm1pm821k2czmn9xt9zsc,44,BOTTLE,2020,26,0,,,2,
wine_01gzr4kspd0bp2fctnk2bf86eg,45,BOTTLE,2021,35,0,Gambero Rosso 3 Bicchieri,,8,
wine_01h0sq47xg5g76922shspm60e7,46,BOTTLE,2021,42,0,,,8,
wine_01hyj9f3adjf8eqj5727qp5j96,48,BOTTLE,2021,50,0,,,6,
wine_01gzr4kspdtf36964px55qxyer,50,BOTTLE,2021,42,0,"Gambero Rosso 3 Bicchieri, James Suckling 95 Punkte",,7,
wine_01h0qsxmwg9rwheq6gt9kqzdh6,52,MAGNUM,2020,89,0,,,1,
wine_01h0my5rbq4tyhyes4vcm6w3c3,54,BOTTLE,0,36,0,Gambero Rosso,,0,
wine_01h0qzm1varmm99zfg3da00wnm,58,BOTTLE,2022,40,0,,,7,
wine_01h0my5rbqpkdt1kxf4qvpa0ev,60,BOTTLE,2020,36,0,Wine Hunter Award Platinum & Gold,,3,
wine_01gzr4kspdz7npg54r64bbttkg,62,BOTTLE,0,30,0,James Suckling 92 Punkte,,0,
wine_01hcw4dg7645shfpc7k0p9fhv7,63,BOTTLE,2020,35,0,,,6,
wine_01gzr4ksn58b7921b25az154dy,64,BOTTLE,2021,37,0,,,1,
wine_01gzr4kspd7wgwjpn9sr6pybcb,65,BOTTLE,2021,52,0,James Suckling 95 Punkte,,2,
wine_01h0sq47xg5dqfvxezrrmbb289,66,BOTTLE,2016,98,0,,,5,
wine_01h0my5rjsm3nxqjhebp455ypt,67,BOTTLE,2022,36,0,,,3,
wine_01gzr4kspdwvzvssy1bgtbbagw,68,BOTTLE,2019,38,0,,,2,
wine_01gzr4kspdwvzvssy1bgtbbagw,68,BOTTLE,2021,38,0,,,6,
wine_01gzr4ksd91kx6d5rhyzts8a62,69,BOTTLE,2021,44,0,,,5,
wine_01gzr4ksn55kqa21f0wdpx6t3r,71,BOTTLE,2021,84,0,,,7,
wine_01gzr4ksn55kqa21f0wdpx6t3r,71,BOTTLE,2020,84,0,,,8,
wine_01gzr4ksn55kqa21f0wdpx6t3r,71,MAGNUM,2016,160,0,,,1,
wine_01gzr4ksn55kqa21f0wdpx6t3r,71,MAGNUM,2021,160,0,,,1,
wine_01gzr4ksn55kqa21f0wdpx6t3r,71,JEROBOAM,2022,298,0,,,1,
wine_01h0sq47xgbgzxzhnp2khrrwws,72,BOTTLE,2022,30,0,,,5,
wine_01gzr4kt16r3bs9rtscwvae7kt,73,BOTTLE,2022,44,0,,,5,
wine_01h0sq47xgwvqvqhjhsn8v8t7z,74,BOTTLE,2021,47,0,,,8,
wine_01gzr4ksn50zrsanx71j9ts3e4,75,BOTTLE,2021,33,0,,,4,
wine_01h0sq494wbjx6m6h8k0rc3zyx,76,BOTTLE,2019,51,0,,,4,
wine_01gzr4ksn59np0cz4842jxkmp5,77,BOTTLE,2021,63,0,,,8,
wine_01h0my5rjsy280zdn8ek2ebhzp,78,BOTTLE,2017,64,0,Cuvee aus Südtiroler und Griechischen Rebsorten,,4,
wine_01gzr4kt16x7xf11p195ys5yks,79,BOTTLE,2020,90,0,GamberoRosso . Veronelli . Bibenda,,5,
wine_01gzr4kt492fr5ca6kj4bcg3qk,80,BOTTLE,2017,124,0,Falstaff : 95 Punkte,,5,
wine_01gzr4ksj337pq3rg2ys5snjqz,81,BOTTLE,2018,143,0,"Robert Parker 96 Punkte, James Suckling 97 Punkte",,4,
wine_01gzr4ksmyxxe6zv6hev5pa5jb,82,BOTTLE,2015,165,0,Robert Parker 95+ Punkte,,4,
wine_01h0r2pq1mqv62ngwhn5zcqtte,85,BOTTLE,2022,26,0,,,3,
wine_01gzr4ksmxmrh60e659pcec82r,86,BOTTLE,2022,29,0,Gambero Rosso 3 bicchieri,,15,
wine_01gzr4ksmxmrh60e659pcec82r,86,BOTTLE,2023,29,0,Gambero Rosso 3 bicchieri,,4,
wine_01gzr4ksr1xeqa7qjghh7edfz2,87,BOTTLE,2021,32,0,"Gambero Rosso 3 bicchieri, VERNATSCH-CUP: Vernatsch des Jahres",,3,
wine_01gzr4ksr1xeqa7qjghh7edfz2,87,BOTTLE,2022,32,0,"Gambero Rosso 3 bicchieri, VERNATSCH-CUP: Vernatsch des Jahres",,6,
wine_01h0b4rjgxsqh9zf0h82pxmsgh,88,BOTTLE,2021,35,0,"FALSTAFF : 93 Pkt., VERNATSCH-CUP: Vernatsch des Jahres",,3,
wine_01h0my5rhs4297dbhyg8ngnv6y,90,BOTTLE,2020,59,0,,,6,
wine_01hawwcz6g9k7q7t7t06j26tpd,91,BOTTLE,2019,62,0,,,5,
wine_01h0r2pq1mme1g80nm4fwcj7ra,92,BOTTLE,2021,31,0,,,4,
wine_01gzr4ksn5agw365140he6yvs3,94,BOTTLE,2019,47,0,,,3,
wine_01gzr4ksn5agw365140he6yvs3,94,BOTTLE,2020,47,0,,,6,
wine_01gzr4kt16rbg23ev9fdyw7ar0,96,BOTTLE,2017,190,0,,,2,
wine_01gzr4ksk78jz57rmx7y4yqhqq,97,MAGNUM,2020,85,0,,,2,
wine_01gzr4ksktxgmhcw3y7x327kxd,98,BOTTLE,2020,60,0,"Gambero Rosso 3 bicchieri, Robert Parker 94 Punkte",,5,
wine_01gzr4kt163y4xhj4xhmpssq3w,99,BOTTLE,2020,61,0,,,6,
wine_01hawwcz6ybdn4p3n24a180rwm,101,BOTTLE,2018,80,0,,,9,
wine_01h0qzm1c5qb5cetv3jrpkk8pm,102,BOTTLE,2016,108,0,,,4,
wine_01h0qzm1pm7p3pekabgw88zacw,103,BOTTLE,2020,119,0,Robert Parker 93 Punkte Falstaff 95 Punkte,,3,
wine_01gzr4ksn5scs5qg8h77qnc1rs,104,BOTTLE,2015,155,0,,,3,
wine_01gzr4ksn5scs5qg8h77qnc1rs,104,BOTTLE,2018,155,0,,,2,
wine_01h0qzm1pmtysvk48mrdbc8n5b,105,BOTTLE,2017,158,0,Robert Parker 95+ Punkte Falstaff 97 Punkte,,3,
wine_01h0qzm1pmtysvk48mrdbc8n5b,105,BOTTLE,2019,158,0,Robert Parker 95+ Punkte Falstaff 97 Punkte,,3,
wine_01gzr4kspdbqsw4vswax6agr8k,106,BOTTLE,0,37,0,,,0,
wine_01h0qzm1v03g64rzcatxnbg9f8,107,BOTTLE,2018,65,0,,,2,
wine_01h0qzm1v03g64rzcatxnbg9f8,107,BOTTLE,2019,65,0,,,6,
wine_01h0my5rkpg4py5d7tbkjynb34,108,BOTTLE,2019,48,0,,,6,
wine_01havweezfgt6j22j4fnghqksk,109,BOTTLE,2020,50,0,,,4,
wine_01h4pmmfh81000dkhjr5nycrc7,110,BOTTLE,2019,64,0,Robert Parker 93 Punkte,,6,
wine_01h0qsxmw60741s5xf8a7g1yv2,111,BOTTLE,2018,65,0,Gambero Rosso 3 bicchieri,,4,
wine_01havweezez7xbwrgwrh61zpah,112,BOTTLE,2016,85,0,Gambero Rosso 3 bicchieri,,7,
wine_01havweezez7xbwrgwrh61zpah,112,MAGNUM,2017,164,0,Gambero Rosso 3 bicchieri,,2,
wine_01gzr4ksdg8terh0mgz2f03eeq,113,BOTTLE,2018,34,0,,,2,
wine_01gzr4ksdg8terh0mgz2f03eeq,113,BOTTLE,2020,34,0,,,6,
wine_01gzr4kspdy9hn9s2498zg5arb,114,BOTTLE,2020,40,0,,,2,
wine_01gzr4kt16820wjbdg9fbdw024,115,BOTTLE,2021,43,0,,,5,
wine_01h0my5rjs8rshj1vbhpgcwdyt,116,BOTTLE,2015,71,0,"trebicchieri, Gambero Rosso",,4,
wine_01h0my5rjs8rshj1vbhpgcwdyt,116,BOTTLE,2020,71,0,"trebicchieri, Gambero Rosso",,2,
wine_01h0my5rjs8rshj1vbhpgcwdyt,116,MAGNUM,2018,136,0,"trebicchieri, Gambero Rosso",,1,
wine_01h0sq47vfhs28y8xmmryes74t,117,BOTTLE,2015,115,0,,,5,
wine_01h0sq48b3jve2v3bhek4vafnm,118,BOTTLE,2022,35,0,,,5,
wine_01h4pmmg365tt1bdgna30887rz,119,BOTTLE,2020,50,0,,,5,
wine_01h0my5rjsjmc5trft3fn3tf0d,120,BOTTLE,2016,62,0,"Gambero Rosso 3 bicchieri, Falstaff 93 Punkte",,9,
wine_01h0my5rkg9tcrx4kt4gktkckn,121,BOTTLE,2018,71,0,Gambero Rosso 3 bicchieri,,5,
wine_01h0my5rkg9tcrx4kt4gktkckn,121,BOTTLE,2021,71,0,Gambero Rosso 3 bicchieri,,6,
wine_01h0my5rkg9tcrx4kt4gktkckn,121,MAGNUM,2016,135,0,Gambero Rosso 3 bicchieri,,2,
wine_01h0my5rkg9tcrx4kt4gktkckn,121,JEROBOAM,2017,260,0,Gambero Rosso 3 bicchieri,,1,
wine_01h0my5rkg9tcrx4kt4gktkckn,121,MATHUSALEM,2016,510,0,Gambero Rosso 3 bicchieri,,1,
wine_01gzr4ksn538gj86tet5g3ad2c,122,BOTTLE,2019,75,0,,,4,
wine_01h0r2pppesdk19cfa35xnp8h1,123,BOTTLE,2012,86,0,,,5,
wine_01h0r2pppesdk19cfa35xnp8h1,123,MAGNUM,2013,165,0,,,1,
wine_01h4pmmfh93j1t0fkgezz7fazr,124,BOTTLE,2016,99,0,Robert Parker 95 Punkte,,3,
wine_01h4pmmfh93j1t0fkgezz7fazr,124,BOTTLE,2017,99,0,Robert Parker 95 Punkte,,2,
wine_01h4pmmfh93j1t0fkgezz7fazr,124,BOTTLE,2020,99,0,Robert Parker 95 Punkte,,7,
wine_01h0my5rn5agsqx1htnk7swsa8,125,BOTTLE,2019,96,0,,,7,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125,BOTTLE,2020,96,0,,,6,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125,BOTTLE,2021,96,0,,,6,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125,MAGNUM,2018,96,0,,,1,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125,MAGNUM,2021,96,0,,,1,„RARITÄT“
wine_01h0r2pqe7swjrs3trks81fdrf,126,BOTTLE,2019,195,0,,,3,
wine_01gzr4ksn5krczaydj3qa1wznz,127,BOTTLE,2021,33,0,,,5,
wine_01gzr4ksk7b0pcbwmmy0vdycnb,128,BOTTLE,2019,53,0,,,4,
wine_01gzr4kspdnc1xqb9twv6da1tz,129,BOTTLE,2018,62,0,Falstaff 93 Punkte,,2,
