external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,,Arunda Brut - Half bottle,,,BOTTLE,0,3200,930,7,,"Ultimo acquisto pre-vinoteqa  (06/12/2023): 6 x 9,30 € da Weindiele",True
,,Arunda Blanc de Blanc,,,BOTTLE,0,4500,2100,10,,"Ultimo acquisto pre-vinoteqa  (06/12/2023): 6 x 21,00 € da Vinum Bozen",True
,,Bellavista Brut Alma,,,BOTTLE,0,6000,2900,8,,"Ultimo acquisto pre-vinoteqa  (06/03/2025): 4 x 29,00 € da Vinum Bozen",True
,,Brut Balter Trentodoc,,,BOTTLE,2014,5000,2440,8,,"Ultimo acquisto pre-vinoteqa  (06/06/2023): 6 x 24,40 € da Liber International",True
,,Bollé Rosè Spumante,,,BOTTLE,0,0,540,27,,"Ultimo acquisto pre-vinoteqa  (16/12/2023): 30 x 5,40 € da Agricola Andreola",True
,,"Champagne Ruinart 0,375",,,HALF_BOTTLE,0,7500,3390,3,,"Ultimo acquisto pre-vinoteqa  (19/12/2024): 1 x 33,90 € da Weindiele",True
,,Champagne Ruinart,,,BOTTLE,0,11200,4990,3,,"Ultimo acquisto pre-vinoteqa  (19/12/2024): 1 x 49,90 € da Weindiele",True
,,Champagne Premier Roedere,,,BOTTLE,0,0,5150,4,,"Ultimo acquisto pre-vinoteqa  (06/12/2023): 1 x 51,50 € da Weindiele",True
,,Cuvée di Gabry Rosé Dry,,,BOTTLE,0,0,590,63,,"Ultimo acquisto pre-vinoteqa  (25/01/2025): 36 x 5,90 € da La Tordera",True
,,Ferrari Trento Brut Perlé,,,BOTTLE,2016,6500,2785,8,,"Ultimo acquisto pre-vinoteqa  (07/12/2023): 6 x 27,85 € da Fine Wines",True
,,Franciacorta Cà del Bosco,,,BOTTLE,0,6000,2650,6,,"Ultimo acquisto pre-vinoteqa  (19/12/2024): 2 x 26,50 € da Vinum Bozen",True
,,Franciacorta half bottle,,,BOTTLE,0,3900,1430,9,,"Ultimo acquisto pre-vinoteqa  (07/06/2024): 6 x 14,30 € da Vinum Bozen",True
,,Methius Dorigati,,,BOTTLE,2011,4900,2100,6,,"Ultimo acquisto pre-vinoteqa  (07/07/2017): 6 x 21,00 € da Azienda Dorigati",True
,,Prosecco Dirupo Brut,,,BOTTLE,0,3600,760,42,,"Ultimo acquisto pre-vinoteqa  (11/12/2024): 30 x 7,60 € da Agricola Andreola",True
,,Prosecco Cartizze Tordera,,,BOTTLE,0,3700,1700,21,,"Ultimo acquisto pre-vinoteqa  (25/01/2025): 6 x 17,00 € da La Tordera",True
,,Tittoni Millesimato Dry,,,BOTTLE,0,3700,780,15,,"Ultimo acquisto pre-vinoteqa  (25/01/2025): 12 x 7,80 € da La Tordera",True
,,Trento Natur Bellaveder,,,BOTTLE,2017,4400,1490,12,,"Ultimo acquisto pre-vinoteqa  (09/07/2023): 12 x 14,90 € da Azienda Agricola Bellaveder",True
,,Trento Giulio Ferrari Ris,,,BOTTLE,2009,20300,14300,3,,"Ultimo acquisto pre-vinoteqa  (18/09/2024): 1 x 143,00 € da Weindiele",True
,,Veuve Clicquot Champagne,,,BOTTLE,0,9100,4600,2,,"Ultimo acquisto pre-vinoteqa  (19/12/2024): 2 x 46,00 € da Weindiele",True
,,Arunda Brut Rosé Excellor,,,BOTTLE,0,4900,1800,4,,"Ultimo acquisto pre-vinoteqa  (25/11/2021): 6 x 18,00 € da Vinum Bozen",True
,,Pas Dosé Pinot Noir,,,BOTTLE,0,4900,2360,8,,"Ultimo acquisto pre-vinoteqa  (25/06/2024): 6 x 23,60 € da Fine Wines",True
,,Spumante Fujente Bianco - Coppadoro,,,BOTTLE,0,0,580,12,,"Ultimo acquisto pre-vinoteqa  (31/03/2024): 24 x 5,80 € da Tenuta Coppadoro",True
,,Comitissa Pas Dosé Riserva - Lorenz Martini,,,BOTTLE,0,5500,2630,4,,"Ultimo acquisto pre-vinoteqa  (19/12/2024): 1 x 26,30 € da Vinum Bozen",True
