"type","full_data"
"WHITE","1. Cuvee Trias 2020 Niedrist 0,75 lt. € 49,00"
"WHITE","2. Terlaner Sauvignon Porphyr&Kalk 2021 Niedrist 0,75 lt. € 49,00"
"WHITE","5. Pinot Grigio Vigna Kastel Ringberg 2022 Elena Walch 0,75 lt. € 49,00"
"WHITE","6. Flora Cuvee Bianco Riserva 2020 KG. Girlan 0,75 lt. € 49,00"
"WHITE","7. Pinot Bianco Platt & Riegl 2022 KG. Girlan 0,75 lt. € 35,00"
"WHITE","8. Fontanasanta Nosiola (Anfora) 2021 Foradori Bio 0,75 lt. € 55,00"
"WHITE","9. Furmint Dry Mandolas 2018 Oremus 0,75 lt. € 45,00"
"WHITE","11. Rkatsiteli (Anfora) 2022 Tsarapi 0,75 lt. € 65,00"
"WHITE","12. Lugana Le Crete 2023 Otella  0,75 lt. € 39,00"
"WHITE","13. Heritage Chilar (Anfora)2020 Zorah  0,75 lt. € 115,00"
"RED","20. Radici Taurasi Ris. 2016 Mastroberardino 0,75 lt. € 75,00"
"RED","21.	Vernatsch Gschleier Alte Reben 2021 KG. Girlan	0,75 lt.	€	45,00"
"RED","22. Primitivo ES 2022 Gianfranco Fino 0,75 lt. € 89,00"
"RED","23.	Pinot Noir Ris. 2019 Niedriest	0,75 lt.	€	65,00"
"RED","24. Fervore 2017 Terre di Balbia Bio 0,75 lt. € 45,00"
"RED","25. Pinot Noir Hausmannhof 2020 Haderburg Bio 0,75 lt. € 49,00"
"RED","26.	Cuvee Rot 2019 Baron Widmann	0,75 lt.	€	49,00"
"RED","27. Linticlarus Cuvee 2020 Tiefenbrunner 0,75 lt. € 76,00"
"RED","29. Merlot Brenntal 2020 Kellerei Kurtatsch  0,75 lt. € 75,00"
"RED","30. Syrah La Monaca 2020 Sallier de La Tour 0,75 lt. € 45,00"
"RED","31.	Pinot Noir 2020 Palliser	0,75 lt.	€	75,00"
"RED","32.  Valpolicella Ripasso Campi Magri 2019 Corte Sant Alda, Bio 0,75 lt. € 49,00"
"RED","33. Teroldego Sgarzon (Anfora) 2021 Foradori, Bio 0,75 lt. € 55,00"
"RED","34. Heritage Sireni (Anfora) 2019 Zorah      0,75 lt.                €      115,00"
"DESSERT","41.	Essenzia 2019 Pojer & Sandri	0,375 lt.	€	55,00"
"DESSERT","42. Recioto di Valpolicella Le Tordare 2012 Cà la Bionda 0,500 lt. € 55,00"
"DESSERT","43.	Banyuls Leon Parce 2019 Dom. de la Rectorie	0,500 lt.	€	55,00"
,"101. 	Arunda Brut	0,375 lt.	€	39,00"
,"100. Praeclarus Brut 0,75 lt. € 45,00"
,"102. Haderburg Pas Dosé  0,75 lt. € 65,00 / 12,00"
,"103. Haderburg Pas Dosé 1,50 lt. € 120,00"
,"104.  Hausmannhof Riserva Brut 2011 Haderburg 0,75 lt. € 95,00"
,"105. Valdobbiadene DOCG Extra Dry Coste Ponente Col Vetoraz 0,75 lt. € 39,00"
,"109.	Valdobbiadene DOCG Brut Fagher Le Colture	0,75 lt.	€	39,00"
,"106. Valdobbiadene DOCG Brut Millesimato Guia Foss Marai 0,75 lt. € 39,00 / 6,50"
,"107. Cartizze DOCG Dry Bortolin 0,75 lt. € 45,00"
,"108. Prosecco Rose Brut DOC Le Colture 0,75 lt. € 39,00"
,"111.  Franciacorta DOCG Extra Brut/ Brut Francesco I.,Uberti 0,75 lt. € 65,00"
,"112. Franciacorta DOCG Brut Saten, Bosio 0,75 lt. € 65,00 / 12,00"
,"113.  Franciacorta DOCG Extra Brut, Comari del Salem,Uberti 0,75 lt.  € 75,00"
,"114. Franciacorta DOCG Riserva Brut Annamaria Clementi 2015 Ca’ del Bosco 0,75 lt. € 215,00"
,"159. Cabochon Fuori Serie 023 Monterossa 0,75 lt. € 95,00 "
,"120. Perle Brut Millesimato 2017 Ferrari 0,75 lt. € 69,00 / 12,00"
,"121. Trento DOC Brut Riserva Methius 2017 Dorigati 0,75 lt. € 75,00"
,"122. Trento DOC Brut Riserva Methius 2017 Dorigati 1,50 lt. € 135,00"
,"124. Blauwal Riserva Extra Brut 2015 Cesconi 0,75 lt. € 75,00"
,"125. Trento DOC Giulio Ferrari Riserva Del Fondatore Brut 2008 Ferrari 0,75 lt. € 250,00"
,"99. Trento DOC Giulio Ferrari Riserva Del Fondatore Rose Brut 2006 Ferrari 0,75 lt. € 400,00"
,"127. Arunda Excellor Rose Brut 0,75 lt. € 65,00 "
,"128. Rose Brut Pojer & Sandri 0,75 lt. € 55,00"
,"110. Franciacorta Rose Brut Uberti 0,75 lt. € 65,00"
,"129.	Blanquette de Limoux Brut Tradition Antech 	0,75 lt.	€ 55,00 / 12,00"
,"130. Guy Larmandier Premier Cru Brut 0,375 lt. € 49,00"
,"160. Louis Roederer Brut Collection246  0,375 lt. € 65,00"
,"131. Louis Roederer Brut Collection 244 0,75 lt. € 115,00"
,"132. Louis Roederer Blanc de Blancs Brut 2016 0,75 lt. € 170,00"
,"133. Louis Roederer Philippe Starck Brut Nature Vintage 2015 0,75 lt. € 170,00"
,"198. Pierre Peters Blanc de Blancs Grand Cru Extra Brut 0,75 lt. € 150,00"
,"199. Deutz Classic Brut 0,75 lt. € 95,00"
,"151. Cuvee William Deutz Brut 2013 0,75 lt. € 325,00"
,"134. Bollinger Special Cuvee Brut 0,75 lt. € 115,00"
,"135.	Bollinger Special Cuvee Brut Magnum/Deutz Brut Classic Magnum	1,50 lt.	€	230,00"
,"137. Bollinger La Grande Annee Brut 2014 0,75 lt. € 240,00"
," Bollinger B 13 Brut 0,75 lt. € 210,00"
,"	Bollinger PN VZ 16 /AYC 18 Brut	0,75 lt.	€	180,00"
,"	Bollinger RD 2007/08 Extra Brut	0,75 lt.	€	450,00"
,"138. Pol Roger Brut  0,75 lt.  € 105,00 / 16,00 "
,"139. Teophile Rose Brut 0,75 lt. € 85,00 / 16,00"
,"140. Gosset Grand Rose Brut 0,75 lt. € 130,00"
,"157. Dom Perigon Rose Brut Vintage 2006 0,75 lt. € 600,00"
,"159. Laurent Perrier Cuvee Rose Brut 0,75 lt. € 140,00"
,"156. Jacquesson745/746 Extra Brut 0,75 lt. € 130,00"
,"164. V. C. P. La Grande Dame Rose Brut 2006  0,75 lt. € 450,00"
,"136.	Pol Roger Cuvee Sir Winston Churchill 2013/15	0,75 lt.	€	450,00"
,"142. Dom Perignon Cuvée Brut Vintage 2013 0,75 lt. € 450,00"
,"143. Dom Perignon Cuvée Brut P2 Vintage 2000 0,75 lt. € 750,00"
,"144. V. C. P. La Grande Dame Brut 2006 0,75 lt. € 300,00"
,"145.	Krug Grande Cuvée Brut	0,75 lt.	€	370,00"
,"163. Krug Vintage 2006 Brut 0,75 lt. € 600,00"
,"146. Roederer Cristal Brut Millesime  2000/2008 0,75 lt. € 450,00"
,"	Roederer Cristal Brut Millesime 2012 Magnum	1,5 lt.	€	1150,00"
,"147. Dom Ruinart Blanc de Blancs Brut Millesime 2007 0,75 lt. € 450,00"
,"148. Pol Roger Blanc de Blancs Brut Millesime 2015 0,75 lt. € 175,00"
,"196. Amor de Deutz Blanc de Blancs Brut Millesime 2011 0,75 lt. € 350,00"
,"149. Nicolas Feuillatte BdN Grand Cru Brut Millesime 2014 0,75 lt. € 105,00"
,"150.	Mailly Blanc de Noirs Brut	0,75 lt.	€	95,00"
,"152. Guy Larmandier Cramant Blanc de Blancs Grand Cru  1,50 lt. € 190,00"
,"153. Brut Jeroboam 3,00 lt. € 380,00"
,"154. Bruno Paillard Nec Plus Ultra 2002 Brut 0,75 lt. € 500,00"
,"155. Salon Cuvee S Blanc de Blancs Le Mesnil 2012 Brut 0,75 lt. € 1400,00"
,"200. Gewürztraminer Vigna Kolbenhof 2021 Hofstätter 1,5 lt. € 130,00"
,"202. Sauvignon Lafoa 2021 Schreckbichl-Colterenzio 1,5 lt. € 110,00"
,"203.	Sauvignon Voglar 2018 Dipoli 	1,5 lt.	€	95,00"
,"205. Terlaner Weissburgunder Vorberg 2020 KG.Terlan 1,5 lt.  € 110,00"
,"206. Vinschgauer Riesling 2021 Falkenstein, Pratzner 1,5 lt. € 95,00"
,"207. Vintage Tunina 2021 Jermann 1,5 lt. € 190,00"
,"208. Chardonnay Formigar 2010 Schreckbichl-Colterenzio 3,0 lt. € 250,00"
,"209. Chardonnay Lafoa 2020 Schreckbichl-Colterenzio 1,5 lt. € 110,00"
,"211. Cabernet Löwengang 2007 Alois Lageder 1,5 lt. € 250,00"
,"210. Cabernet Löwengang 2007 Alois Lageder 3,0 lt. € 500,00"
,"212. Cabernet Sauvignon Ris. Mumelter 2020 KG. Bozen 1,5 lt. € 125,00"
,"213. Cabernet Sauvignon Lafoa 2005 Schreckbichl-Colterenzio 1,5 lt. € 210,00"
,"214. Cabernet Sauvignon Lafoa 2005 Schreckbichl-Colterenzio 3,0 lt. € 400,00"
,"215.	Lagrein Riserva 2018 Abtei Muri	1,5 lt.	€	115,00"
,"216. Lagrein Riserva Prestige 2018 KG. Bozen 1,5 lt. € 115,00"
,"217. Lagrein Riserva Taber 2016 KG. Bozen 1,5 lt. € 150,00"
,"224. Lagrein Ris. Vigna Klosteranger 2014 Abtei Muri 1,5 lt. € 300,00"
,"218. Pinot Nero Schweitzer 2009 Franz Haas 1,5 lt. € 150,00"
,"219.	Pinot Nero Ris. Trattmann 2016 KG. Girlan	1,5 lt.	€	140,00"
,"220.	Pinot Nero Mazzon 2015 Gottardi	1,5 lt.	€	115,00"
,"221. 	Pinot Nero Ris. Hausmannhof 2015 Haderburg	1,5 lt.	€	159,00"
,"222.	Pinot Nero Ris. Vigna S.Urbano 2007/10 Hofstätter	1,5 lt.	€	215,00"
,"243.	Pinot Nero Ris.680 2015 Maso Thaler	1,5 lt.	€	119,00"
,"242.	Merlot Ris. Praun 2020 KG Bozen	1,5 lt.	€	115,00"
,"223. Kermesse 2014 Elena Walch 1,5 lt. € 170,00"
,"243. Cornelius Rosso 2016 Schreckbichl-Colterenzio  1,5 lt. € 120,00"
,"225. Granato 2003 Foradori 1,5 lt. € 129,00"
,"226. San Leonardo 2015 San Leonardo 1,5 lt. € 210,00"
,"227. Iugum 2011 Dipoli 3,0 lt. € 300,00"
," Iugum 2015 Dipoli 1,5 lt. € 150,00"
,"228. Cepparello 2001 Isole & Olena 1,5 lt. € 210,00"
,"229. Brunello di Montalcino 2015 Collosorbo 1,5 lt. € 130,00"
,"230. Brunello di Montalcino Riserva 2007 Capanna 1,5 lt. € 320,00"
,"231. Mormoreto 2012/15 Frescobaldi 1,5 lt. € 170,00"
,"245. Chianti Cl. Gran Selezione Rialzi 2015 Perano 1,5 lt. € 130,00"
,"232. Barolo Prapo 1997 Ceretto 1,5 lt. € 350,00"
,"233. Barolo Prapo 1996 Ceretto 3,0 lt. € 700,00"
,"234. Cor Römigberg 2015 Alois Lageder 1,5 lt. € 250,00"
,"235. Cor Römigberg 2003 Alois Lageder 3,0 lt. € 500,00"
,"236. Bricco dell’Uccellone 1997 Braida 3,0 lt. € 290,00"
,"237. Amarone della Valpolicella Ravazzol 2016 Ca la Bionda 1,5 lt. € 210,00"
,"199.  Amarone della Valpolicella 2012 Bertani 1,5 lt. € 285,00"
,"238.  Amarone della Valpolicella 2006 Bertani 3,0 lt. € 500,00"
,"239.	Cote Rotie 2010 Bonnefond	1,5 lt.	€	140,00"
,"240. Château Margaux 1991 1-er Grand Cru Classe 1,5 lt. € 2500,00"
,"241. Château Latour 1991 Pauillac Grand Cru Classe 3,0 lt. € 3200,00"
,"246. Château Latour 1991 Pauillac Grand Cru Classe 1,5 lt. € 1600,00"
"WHITE","401. Eisacktaler Sylvaner 2022 Kuenhof, Pliger 0,75 lt. € 45,00"
"WHITE","402. Eisacktaler Sylvaner Praepositus 2022 Abtei Neustift 0,75 lt. € 45,00"
"WHITE","403. Eisacktaler Sylvaner Alte Reben 2019 Pacherhof 0,75 lt. € 49,00"
"WHITE","404. Eisacktaler Sylvaner Lahner 2020 Taschlerhof 0,75 lt. € 49,00"
"WHITE","399. Eisacktaler Grüner Veltliner 2022 Hoandlhof, Nössing 0,75 lt. € 39,00"
"WHITE","398. Eisacktaler Veltliner 2022 Kuenhof, Pliger 0,75 lt. € 45,00"
"WHITE","397. Eisacktaler Grüner Veltliner 2019 Dorfmann 0,75 lt. € 49,00"
"WHITE","405. Eisacktaler Kerner 2022 Hoandlhof, Nössing                                            0,75 lt.             € 39,00/6,50"
"WHITE","406.  Eisacktaler Kerner Aristos 2022 Eisacktaler Kellerei 0,75 lt. € 45,00"
"WHITE","407. Gewürztraminer Selida 2023 KG Tramin 0,75 lt. € 39,00/6,50"
"WHITE","408. Eisacktaler Gewürztraminer 2022 Taschlerhof 0,75 lt. € 40,00"
"WHITE","409. Vigna Kolbenhof 2021 Hofstätter 0,75 lt. € 65,00"
"WHITE","410. Nußbaumer 2022 KG. Tramin 0,75 lt. € 60,00"
"WHITE","411.	Lyra 2022 KG. Nals-Margreid 	0,75 lt.	€	40,00"
"WHITE","412.	Vigna Kastelaz 2022 Elena Walch	0,75 lt.	€	60,00"
"WHITE","413. Argentum Bonum Kastelaz 2014 Elena Walch 0,75 lt. € 130,00"
"WHITE","462. Epokale 2015 Kellerei Tramin (Süss, Dolce,Sweet) 0,75 lt. € 250,00"
"WHITE","466. Pirschrait 2007 Weingut Hofstätter 0,75 lt. € 155,00"
"WHITE","53. Riesling 2021 Falkenstein, Pratzner 0,75 lt. € 45,00"
"WHITE","54. Riesling Kaiton 2021 Kuenhof, Pliger 0,75 lt. € 45,00"
"WHITE","56. Riesling Geieregg 2022 Himmelreichhof, Markus Fliri 0,75 lt. € 50,00"
"WHITE","57. Anadouron 2018 Falkenstein, Pratzner 0,75 lt. € 70,00"
"WHITE","414. Cora 2022 Schreckbichl-Colterenzio 0,75 lt. € 35,00 / 6,00"
"WHITE","415.	Moriz 2023 KG. Tramin	0,75 lt.	€	37,00"
"WHITE","98. Limes 2020 Niedrist 0,75 lt. € 55,00"
"WHITE","416. Riserva Kalkberg 2021 Kellerei St. Pauls 0,75 lt. € 39,00"
"WHITE","417. Riserva Vorberg 2021 Kellerei Terlan 0,75 lt. € 59,00"
"WHITE","418.	Riserva Sanctissimus 2016/18 KG. St. Pauls 	0,75 lt.	€	115,00"
"WHITE","419.	Pepi 2023 KG. Tramin	0,75 lt.	€ 39,00 / 6,50"
"WHITE","420. Turmhof 2022 Tiefenbrunner 0,75 lt. € 40,00"
"WHITE","421.	Voglar 2020 Dipoli	0,75 lt.	€	50,00"
"WHITE","422. St. Valentin 2022 KG. St. Michael 0,75 lt. € 55,00"
"WHITE","424. Lafoa 2022 Schreckbichl-Colterenzio 0,75 lt. € 55,00"
"WHITE","427. Vom Kalk 2020 Rohregger 0,75 lt. € 49,00"
"WHITE","425. Quarz 2021 Kellerei Terlan 0,75 lt. € 80,00"
"WHITE","426. Chardonnay Moraine 2021 Untermoserhof 0,75 lt. € 55,00 / 9,00"
"WHITE","428. Cardellino 2022 Elena Walch 0,75 lt. € 45,00"
"WHITE","429.	Lafoa 2021 Schreckbichl-Colterenzio	0,75 lt.	€	55,00"
"WHITE","430. Riserva Baron Salvadori 2019 KG.Nals 0,75 lt. € 59,00"
"WHITE","459. Riserva Vigna Crivelli 2021 Peter Zemmer 0,75 lt. € 67,00"
