type,external_id,name,format,verkaufspreis,vintage,kellerei,einkaufspreis,lagerbereich,bestand
WHITE,1,Cuvee Trias ,"0,75 lt.","€ 49,00",2020,Niedrist,17.3,4,12
WHITE,2, Terlaner Sauvignon Porphyr&Kalk ,"0,75 lt.","€ 49,00",2021,Sauvignon Niedrist,14.3,4,12
WHITE,5, Pinot Grigio Vigna Kastel Ringberg ,"0,75 lt.","€ 49,00",2022,Elena Walch,15.65,6,30
WHITE,6,Chardonnay Magdalena ,"0,75 lt.","€ 49,00",2021,Nicolussi Leck,10.2,4,30
WHITE,7, Pinot Bianco Platt & Riegl ,"0,75 lt.","€ 35,00",2022,KG. Girlan,9.7,6,24
WHITE,8, Fontanasanta Nosiola (Anfora) ,"0,75 lt.","€ 55,00",2021,Foradori Bio,18.5,3,12
WHITE,9, Furmint Dry Mandolas ,"0,75 lt.","€ 45,00",2018,Oremus,16.5,1,6
WHITE,11, Rkatsiteli (Anfora) ,"0,75 lt.","€ 65,00",2022,Tsarapi,24.5,1,12
WHITE,12, Gran Vino Albarinho,"0,75 lt.",€ 51.00,2021,Pazo Barrantes,37,1,6
WHITE,13, Heritage Chilar (Anfora),"0,75 lt.","€ 115,00",2020,Zorah ,47.5,5,6
RED,20, Radici Taurasi Ris. ,"0,75 lt.","€ 75,00",2016,Mastroberardino,28,3,24
RED,21, Vernatsch Gschleier Alte Reben ,"0,75 lt.","€ 45,00",2021,KG. Girlan,12.8,4,24
RED,22, Primitivo ES ,"0,75 lt.",€ 95.00,2022,Gianfranco Fino,38,5,24
RED,23, Pinot Noir Ris. ,"0,75 lt.","€ 65,00",2019,Niedriest,23.4,4,18
RED,24, Pivier,"0,75 lt.",€ 65.00,2017,Cesconi,21,5,18
RED,25, Pinot Noir Hausmannhof ,"0,75 lt.",€ 55.00,2020,Haderburg Bio,18.5,3,24
RED,26, Cuvee Rot ,"0,75 lt.","€ 49,00",2019,Baron Widmann,17.5,4,30
RED,27, Linticlarus Cuvee ,"0,75 lt.","€ 76,00",2021,Tiefenbrunner,27.5,4,30
RED,29, Merlot Brenntal ,"0,75 lt.","€ 75,00",2020,Kellerei Kurtatsch ,34,4,24
RED,30, Syrah La Monaca ,"0,75 lt.","€ 45,00",2020,Sallier de La Tour,12.9,3,24
RED,31, Pinot Noir ,"0,75 lt.","€ 75,00",2020,Palliser,28,3,18
RED,32,  Valpolicella Ripasso Campi Magri ,"0,75 lt.","€ 49,00",2019,"Corte Sant Alda, Bio",16.4,3,18
RED,33, Teroldego Sgarzon (Anfora) ,"0,75 lt.","€ 55,00",2021,"Foradori, Bio",18.5,3,18
RED,34, Heritage Sireni (Anfora) ,"0,75 lt.","€      115,00",2019,Zorah     ,47.5,5,6
DESSERT,41, Essenzia ,"0,375 lt.","€ 55,00",2019, Pojer & Sandri,17.35,1,3
DESSERT,42, Recioto di Valpolicella Le Tordare ,"0,500 lt.","€ 55,00",2012,Cà la Bionda,22,3,6
DESSERT,43, Banyuls Leon Parce ,"0,500 lt.","€ 55,00",2019,Dom. de la Rectorie,18.5,3,6
,101,  Arunda Brut,"0,375 lt.","€ 39,00",,Arunda,10.3,6,24
,100, Praeclarus Brut,"0,75 lt.","€ 45,00",,St.Pauls,14.9,6,30
,102, Haderburg Pas Dosé ,"0,75 lt.","€ 65,00",2020,Haderburg,21.7,6,24
,103, Haderburg Pas Dosé,"1,50 lt.","€ 120,00",,Haderburg,40.5,3,3
,104,  Hausmannhof Riserva Brut ,"0,75 lt.","€ 95,00",2011,Haderburg,35,3,3
,105, Valdobbiadene DOCG Extra Dry Coste Ponente Col Vetoraz,"0,75 lt.","€ 39,00",2023,Col Vetoraz,10.5,5,30
,109, Valdobbiadene DOCG Brut Fagher Le Colture,"0,75 lt.","€ 39,00",2023,Le Colture,8.7,5,30
,106, Valdobbiadene DOCG Brut Millesimato Guia Foss Marai,"0,75 lt.","€ 39,00",2023,Foss Marai,9.08,5,30
,107, Cartizze DOCG Dry Bortolin,"0,75 lt.","€ 45,00",2023,Bortolin,12.15,5,12
,111,"  Franciacorta DOCG Extra Brut/ Brut Francesco I.,Uberti","0,75 lt.","€ 65,00",,Uberti,16.7,6,24
,112," Franciacorta DOCG Brut Saten, Bosio","0,75 lt.","€ 65,00",,Bosio,17.3,6,30
,113,"  Franciacorta DOCG Extra Brut, Comari del Salem,Uberti","0,75 lt.","€ 75,00",,Uberti,27,6,24
,114, Franciacorta DOCG Riserva Brut Annamaria Clementi ,"0,75 lt.","€ 215,00",2015, Ca’ del Bosco,95.7,1,3
,159, Cabochon Fuori Serie 023 Monterossa,"0,75 lt.","€ 95,00 ",,Monterossa,39,1,24
,120, Perle Brut Millesimato ,"0,75 lt.","€ 69,00",2017,Ferrari,22,6,48
,121, Trento DOC Brut Riserva Methius ,"0,75 lt.","€ 75,00",2017,Dorigati,26,6,18
,122, Trento DOC Brut Riserva Methius ,"1,50 lt.","€ 135,00",2017,Dorigati,47,6,3
