external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
1.0,,Cuvee Trias ,Niedrist,,BOTTLE,2020,4900,1730,12,4.0,,True
2.0,, Terlaner Sauvignon Porphyr&Kalk ,Sauvignon Niedrist,,BOTTLE,2021,4900,1430,12,4.0,,True
5.0,, Pinot Grigio Vigna Kastel Ringberg ,Elena Walch,,BOTTLE,2022,4900,1565,30,6.0,,True
6.0,,Chardonnay Magdalena ,Nicolussi Leck,,BOTTLE,2021,4900,1019,30,4.0,,True
7.0,, Pinot Bianco Platt & Riegl ,KG. Girlan,,BOTTLE,2022,3500,969,24,6.0,,True
8.0,, Fontanasanta Nosiola (Anfora) ,Foradori Bio,,BOTTLE,2021,5500,1850,12,3.0,,True
9.0,, Furmint Dry Mandolas ,Oremus,,BOTTLE,2018,4500,1650,6,1.0,,True
11.0,, Rkatsiteli (Anfora) ,Tsarapi,,BOTTLE,2022,6500,2450,12,1.0,,True
12.0,, Gran Vino Albarinho,Pazo Barrantes,,BOTTLE,2021,5100,3700,6,1.0,,True
13.0,, Heritage Chilar (Anfora),Zorah ,,BOTTLE,2020,11500,4750,6,5.0,,True
20.0,, Radici Taurasi Ris. ,Mastroberardino,,BOTTLE,2016,7500,2800,24,3.0,,True
21.0,, Vernatsch Gschleier Alte Reben ,KG. Girlan,,BOTTLE,2021,4500,1280,24,4.0,,True
22.0,, Primitivo ES ,Gianfranco Fino,,BOTTLE,2022,9500,3800,24,5.0,,True
23.0,, Pinot Noir Ris. ,Niedriest,,BOTTLE,2019,6500,2340,18,4.0,,True
24.0,, Pivier,Cesconi,,BOTTLE,2017,6500,2100,18,5.0,,True
25.0,, Pinot Noir Hausmannhof ,Haderburg Bio,,BOTTLE,2020,5500,1850,24,3.0,,True
26.0,, Cuvee Rot ,Baron Widmann,,BOTTLE,2019,4900,1750,30,4.0,,True
27.0,, Linticlarus Cuvee ,Tiefenbrunner,,BOTTLE,2021,7600,2750,30,4.0,,True
29.0,, Merlot Brenntal ,Kellerei Kurtatsch ,,BOTTLE,2020,7500,3400,24,4.0,,True
30.0,, Syrah La Monaca ,Sallier de La Tour,,BOTTLE,2020,4500,1290,24,3.0,,True
31.0,, Pinot Noir ,Palliser,,BOTTLE,2020,7500,2800,18,3.0,,True
32.0,,  Valpolicella Ripasso Campi Magri ,"Corte Sant Alda, Bio",,BOTTLE,2019,4900,1639,18,3.0,,True
33.0,, Teroldego Sgarzon (Anfora) ,"Foradori, Bio",,BOTTLE,2021,5500,1850,18,3.0,,True
34.0,, Heritage Sireni (Anfora) ,Zorah     ,,BOTTLE,2019,11500,4750,6,5.0,,True
41.0,, Essenzia , Pojer & Sandri,,HALF_BOTTLE,2019,5500,1735,3,1.0,,True
