"wine_id","external_id","size","vintage","price","purchase_price","info","storage_area","quantity","internal_notes","visible"
"wine_01gzr4ksd1mg8q7dzrwwdgg1t4","976.0","BOTTLE",2016,18500,8500,,"2.0",6,,TRUE
"wine_01gzr4ksd3j4sth04g4ym04ve0","974.0","BOTTLE",2006,45000,20000,,"2.0",2,,TRUE
"wine_01gzr4ksd3w8328ttr5b1njkxs","806.0","BOTTLE",2010,35000,5500,,"2.0",6,,TRUE
"wine_01gzr4ksd71ns8bnawwzfr5evq","839.0","BOTTLE",2021,25000,9900,,"1.0",6,,TRUE
"wine_01gzr4ksd9rdtvnd5fjvjwac8b","807.0","BOTTLE",2004,75000,9500,,"2.0",6,,TRUE
"wine_01gzr4ksgvbvdme065c0n7xza2","944.0","BOTTLE",2018,4500,1400,,"5.0",4,,TRUE
"wine_01gzr4kss3h9t4st9ev0cs778n","811.0","BOTTLE",2021,4500,1480,,"5.0",24,,TRUE
"wine_01gzr4kt1j2n6tdn17ssyxn8aa","988.0","BOTTLE",2021,7500,2843,,"2.0",18,,TRUE
"wine_01gzr4kt32fk2mt4mp26x7mw2a","607.0","BOTTLE",2016,18000,6600,,"3.0",3,,TRUE
"wine_01gzr4kt32pawps1sxza35hptt","608.0","BOTTLE",2013,45000,22000,,"3.0",3,,TRUE
"wine_01gzr4kt6stdhv0hab2qdhht3d","986.0","BOTTLE",2019,10500,4000,,"2.0",12,,TRUE
"wine_01gzr4ktsejj6ej2qde8frphvj","965.0","BOTTLE",2017,5500,2150,,"1.0",6,,TRUE
"wine_01h0b4rjgpder3smhfakv2fcdv","222.0","MAGNUM",2007,21500,6100,,"2.0",4,,TRUE
"wine_01h0my5rh7c98g2tndcgvn2dzs","979.0","BOTTLE",2016,5000,1600,,"2.0",6,,TRUE
"wine_01hcwsyk13a5kaes4nrhg5yb79","987.0","BOTTLE",2018,36000,0,,,0,,TRUE
"wine_01jkd9gknwqhcjcwjsb8kacvr0","905.0","BOTTLE",2006,17000,4500,,"1.0",3,,TRUE
"wine_01jn5w0mg7gmy0tpqasqmknp4c","1214.0","BOTTLE",0,4500,1500,,"3.0",6,,TRUE
