wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01gzr4kthbhm8bfjjcw2z50av6,22.0,BOTTLE,2022,9500,3800,,5.0,24,,True
wine_01gzr4kt5evfefewmwzk9bd1hq,713.0,BOTTLE,2015,7500,2500,,1.0,6,,True
wine_01gzr4ktg96g16anb9vmm2j4yd,717.0,BOTTLE,2015,14500,6000,,1.0,12,,True
wine_01gzr4ktg9gnn8fv71bs04f1dd,718.0,BOTTLE,2020,9500,3500,,1.0,30,,True
wine_01h0my5sf1kn9h6bat8tt1ve82,719.0,BOTTLE,1998,30000,0,,1.0,3,,True
wine_01gzr4kt8141ysjvmj4af4ea3x,801.0,BOTTLE,2019,4500,1300,,5.0,24,,True
wine_01h0f3cmcsn3v0x6rx3vxhtaqm,802.0,BOTTLE,2012,16000,4300,,1.0,24,,True
wine_01gzr4ksd6j14kdd4qpprnfrtg,803.0,BOTTLE,2018,7500,2850,,1.0,30,,True
wine_01gzr4kt81nz3rwq29mkt64snt,805.0,BOTTLE,2013,12500,4200,,1.0,6,,True
wine_01gzr4ktfgst7pg802das6cq32,808.0,BOTTLE,2018,7000,2500,,1.0,36,,True
wine_01h0f3cmcwqpgq3qpk3sh9yv6v,812.0,BOTTLE,2013,10500,4200,,1.0,3,,True
wine_01hbtxafncz1w2kq2jj3s6vdv4,809.0,BOTTLE,2019,10500,3200,,1.0,18,,True
wine_01gzr4ktffekgfr5zac12k933g,814.0,BOTTLE,2019,4900,1600,,1.0,24,,True
wine_01hyj76yn3fkn6r9pbn6y31jmw,836.0,BOTTLE,2016,7000,2700,,3.0,12,,True
wine_01hcwvb4b54kzeq5p0exsgevqd,922.0,BOTTLE,2020,7500,2610,,3.0,12,,True
wine_01gzr4kswfsq06fa0qdaw3xtdc,924.0,BOTTLE,2019,4900,1550,,1.0,6,,True
wine_01gzr4kt0bwgdssevhs58r9cm4,925.0,BOTTLE,2017,3900,1000,,1.0,6,,True
