type,prefix,name,winery,size,vintage,sales_price_eur,qty
SPARKLING,,Praeclarus brut,Kelleri St. Pauls,,,39,9
SPARKLING,,Haderburg Pas Dosè Millesimato,Sektkellerei Haderburg ,,2024,57,6
SPARKLING,,Athesis Brut Rosè ,Sektkellerei Kettmeier,,2020,46,2
SPARKLING,,Ferrari Maximum Blanc de Blanc Brut ,Ferrari,,,52,3
SPARKLING,,Corvezzo Rosè Family Collection Millesimato,Corvezzo,,,24,5
SPARKLING,,Franciacorta Curvee Prestige Blanc de Blanc Extra brut,Ca' del Bosco,,,59.5,5
SPARKLING,,Franciacorta Rose,Marchese Antinori,,,56,6
SPARKLING,,Franciacorta Amor brut ,,,,38,1
SPARKLING,,Franciacorta Amor rose,,,,39,3
SPARKLING,,Franciacorta Vezzoli (BB) Brut,Tenuta Vezzoli,,,47,12
SPARKLING,,Blanc de Blan Brut Origine,Mandois,,,59.5,12
SPARKLING,,Blanc de Blan Brut Origine,Mandois,,2018,75,12
SPARKLING,,Reserve Imperial ,Moet & Chandon,,,95,1
SPARKLING,,Ruinart Rose Brut,Maison Ruinart,,,155.5,2
SPARKLING,,Ruinart blanc de blanc brut,Maison Ruinart,,,149.5,2
SPARKLING,,Dom Perignon Vintage 2006,Moet & Chandon,,2006,240,1
SPARKLING,,Perrier-Jouët : Grand Brut,Perrier-Jouët ,,,78,1
SPARKLING,,Ferrari Maximum Blanc de Blanc,Ferrari,MAGNUM,2021,108,1
SPARKLING,,Der Blauwal extra brut,Cesconi,MAGNUM,2022,199.5,1
SPARKLING,,Cuvee Royal Brut,Marchesi Antinori,MAGNUM,2022,124,1
SPARKLING,,Reserve Imperial Brut,Moet & Chandon,MAGNUM,,199.5,1
SPARKLING,,Athesis Brut Rose Millesimato 2018,Kettmaier,MAGNUM,2018,99,1
SPARKLING,,Le Marchesine Brut Rose Millesimato 2017,Le Marchesine,MAGNUM,2017,155.5,1
,Weissburgunder,Plötzner,Kelleri St. Pauls ,,2023,29,0
,Weissburgunder,Setaria,Weingut Seppi,,2022,30,3
,Weissburgunder,Verus,Ritterhof,,2021,34,3
,Weissburgunder,Sirmian,Nals & Magreid,,2020,44,4
,Weissburgunder,Vom Berg,Weingut Rohegger,,2023,43,12
,,Pinot Grigio,Castelfelder,,2023,31,3
,Pinot Grigio,Punggl,Nals Magreid,,2022,35.5,8
,Pinot Grigio,Castel Ringberg,Elena Walch,,2021,44,4
,Pinot Grigio,Unterebner,Tramin,,2022,49.5,1
,Chardonnay,Somereto,Kellerei Andrian,,2023,26.5,0
