wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01gzr4kszzcd9b9t726r2aketk,,BOTTLE,2021,3400,0,,,3,,True
wine_01h0sq47xg5g76922shspm60e7,,BOTTLE,2022,4950,0,,,1,,True
wine_01gzr4kt162g2560ph7dkwcsmw,,BOTTLE,2023,3900,0,,,6,,True
wine_01gzr4ksdhavqcdwjssnx99276,,BOTTLE,2019,4350,0,,,4,,True
wine_01h0qzm1m22e7vn28fr3hqk00q,,BOTTLE,2021,3200,0,,,8,,True
wine_01h0sq47xgwvqvqhjhsn8v8t7z,,BOTTLE,2021,5150,0,,,10,,True
wine_01h0sq47xgwvqvqhjhsn8v8t7z,,BOTTLE,2020,5150,0,,,1,,True
wine_01h4pmmfxhwpxykfm1s1e6fee0,,BOTTLE,2021,2800,0,,,2,,True
wine_01h0qzm2wzfm3vjryzbpj6dfgg,,BOTTLE,2022,3700,0,,,3,,True
wine_01h0qzm2337vfbvx938w74edx3,,BOTTLE,2008,6500,0,,,7,,True
wine_01h0qzm1m22e7vn28fr3hqk00q,,MAGNUM,2017,5500,0,,,1,,True
wine_01gzr4ksk751hdtk6xz0xbmwk3,,MAGNUM,2017,8300,0,,,1,,True
wine_01gzr4kspdbqsw4vswax6agr8k,,BOTTLE,2021,3750,0,,,6,,True
wine_01h4pmmgenm0qeabedjntprmdb,,BOTTLE,2022,3850,0,,,9,,True
wine_01h0sq47xgrq93vcgsk0djx26j,,BOTTLE,2020,5300,0,,,6,,True
wine_01gzr4ksg1y065j77e42zysr9d,,BOTTLE,2020,5400,0,,,3,,True
wine_01h0f3cmbtcrj6dy2n3hdvwpne,,BOTTLE,2024,5700,0,,,6,,True
wine_01h0qzm23rfbn28p1fvmrjz72h,,BOTTLE,2020,4600,0,,,2,,True
wine_01h0f3cmbr3mravh188b68jawp,,BOTTLE,2018,7500,0,,,12,,True
wine_01gzr4ksccqdvpxqpdw0e50xhq,,MAGNUM,2021,10800,0,,,1,,True
wine_01h0qsxn5ks7ytswp9sw9m25nt,,MAGNUM,2022,19950,0,,,1,,True
wine_01gzr4ksswvf9p4pcc697k7nvw,,MAGNUM,2022,12400,0,,,1,,True
wine_01j52tf0w7pkyxrsgpytysqr50,,BOTTLE,2022,3000,0,,,3,,True
wine_01gzr4kspdtf36964px55qxyer,,BOTTLE,2020,4400,0,,,4,,True
wine_01jp50mhgkbsnw8k49718x9xck,,BOTTLE,2023,4300,0,,,12,,True
wine_01gzr4kspd0bp2fctnk2bf86eg,,BOTTLE,2022,3550,0,,,8,,True
wine_01gzr4kt16sm52a0mjjy0q62v0,,BOTTLE,2021,4400,0,,,4,,True
wine_01gzr4ksdaap8qgvttdchv03pk,,BOTTLE,2022,4650,0,,,3,,True
wine_01gzr4ksmv69qe8d1n72sn0x7d,,BOTTLE,2022,4800,0,,,3,,True
wine_01gzr4kt162vennccgcpgs1e2f,,BOTTLE,2019,7700,0,,,6,,True
wine_01h0sq47vf7255ge62ynetmv1h,,BOTTLE,2022,6300,0,,,12,,True
wine_01j52tf0w76t4mjaewaq4nm848,,BOTTLE,2020,3600,0,,,9,,True
wine_01gzr4kspdwvzvssy1bgtbbagw,,BOTTLE,2022,4150,0,,,5,,True
wine_01gzr4ksd91kx6d5rhyzts8a62,,BOTTLE,2022,4750,0,,,11,,True
wine_01j52tf62nh97n1qyf7whqrbdm,,BOTTLE,2022,4300,0,,,12,,True
wine_01havweffjzabaxgtatw5b23nv,,BOTTLE,2021,3700,0,,,10,,True
wine_01h0my5tab8dwapzqyckc611ce,,BOTTLE,2021,3800,0,,,5,,True
wine_01j52tf89da7h4332qh6gfvwk7,,BOTTLE,2023,3000,0,,,2,,True
wine_01gzr4ksn0c4x1zace0zsh6mxg,,BOTTLE,2023,3200,0,,,3,,True
wine_01h0my5tabpqzdqpn4ytpfre86,,BOTTLE,2022,3800,0,,,6,,True
wine_01h4pmmfh71m42fx9s78vc0rhk,,BOTTLE,2023,2500,0,,,7,,True
wine_01gzr4ksk759grydaffac4m90n,,BOTTLE,2023,3700,0,,,6,,True
wine_01h0sq47xgny3zdnmy8t6fhvyr,,BOTTLE,2021,4900,0,,,2,,True
wine_01h0sq47xgny3zdnmy8t6fhvyr,,BOTTLE,2022,4900,0,,,6,,True
wine_01h0qsxmw6gpa9m3pff9p20tcp,,BOTTLE,2021,2600,0,,,8,,True
wine_01h0my5rn4gqywj61f433ceaxz,,BOTTLE,2023,5300,0,,,12,,True
wine_01gzr4ksn43dq9yxfpb8v3xh6y,,BOTTLE,2023,2600,0,,,7,,True
wine_01jfprhrbydedsrxcnw4x6v0y2,,BOTTLE,2023,3400,0,,,7,,True
wine_01gzr4ksg366x9ct8k0rs8k5me,,BOTTLE,2022,3300,0,,,5,,True
wine_01gzr4ksd91kx6d5rhyzts8a62,,MAGNUM,2017,9000,0,,,2,,True
wine_01h0sq474ae3fx7vzxjwdg48m2,,MAGNUM,2015,6500,0,,,1,,True
wine_01gzr4ksn5hrrj46e95x5nft46,,MAGNUM,2016,5500,0,,,1,,True
wine_01gzr4ksn59np0cz4842jxkmp5,,JEROBOAM,2014,18000,0,,,1,,True
wine_01h0qzm23m9e2v57f5ykxfa1d1,,BOTTLE,2022,2900,0,,,7,,True
wine_01gzr4ksk7bge484zecmydvex9,,BOTTLE,2022,3600,0,,,4,,True
wine_01gzr4ksmwhxkq9fqv90cszxf9,,BOTTLE,2023,3100,0,,,46,,True
wine_01gzr4kskv33cewkey32djev36,,BOTTLE,2022,3700,0,,,6,,True
wine_01h0sq474a6hx735yy0945c46v,,BOTTLE,2020,3850,0,,,11,,True
wine_01gzr4ksktxgmhcw3y7x327kxd,,BOTTLE,2020,6200,0,,,5,,True
wine_01gzr4ksk78jt956tpj87xh1wb,,BOTTLE,2015,8600,0,,,18,,True
wine_01h0r2ppgh5n5xvsmz8m7q4793,,BOTTLE,2018,6500,0,,,4,,True
wine_01gzr4ksmy5q7ft67s2bqxw107,,BOTTLE,2022,3100,0,,,6,,True
wine_01gzr4ksn5y4nmgm36x8hcwy1b,,BOTTLE,2021,4100,0,,,6,,True
wine_01h0qsxmw6zxt3qeqbx5yy28tx,,BOTTLE,2020,4400,0,,,10,,True
wine_01havwefp3cwr3srmd46xct6th,,BOTTLE,2021,6000,0,,,9,,True
wine_01h0my5rjsjmc5trft3fn3tf0d,,BOTTLE,2019,7100,0,,,15,,True
wine_01h0my5rjsjmc5trft3fn3tf0d,,BOTTLE,2021,6700,0,,,6,,True
wine_01gzr4ksn538gj86tet5g3ad2c,,BOTTLE,2021,7800,0,,,3,,True
wine_01h0my5rjssew8qyvfm75tswq5,,BOTTLE,2015,13000,0,,,2,,True
wine_01h0my5scb3x66mxnbmraa1tc2,,BOTTLE,2018,4900,0,,,9,,True
wine_01hawwczpdw9f9jf72h9fffzqn,,BOTTLE,2022,3400,0,,,2,,True
wine_01gzr4kt16820wjbdg9fbdw024,,BOTTLE,2022,4500,0,,,6,,True
wine_01h0qzm1m4v6t4xv64j8qjctn6,,BOTTLE,2022,3300,0,,,6,,True
wine_01gzr4ksk7nsf5p6tq6tybza2w,,BOTTLE,2022,3700,0,,,13,,True
wine_01h0my5rkkpyzqr21yc1p3a36s,,BOTTLE,2021,5950,0,,,20,,True
wine_01h0my5rct9jrw7x8pbhcct7sp,,BOTTLE,2021,3000,0,,,7,,True
wine_01h4pmmg365mq312nm2frgk9ts,,MAGNUM,2018,9000,0,,,1,,True
wine_01gzr4ksn0gxsxs5vgzaaex6b7,,MAGNUM,2013,10000,0,,,2,,True
wine_01h0sq485htby98fz6mmyrx4v7,,MAGNUM,2011,15000,0,,,1,,True
wine_01h0my5smd44tm7evpytg4qsbs,,MAGNUM,2022,15000,0,,,2,,True
wine_01h0qzm23rfbn28p1fvmrjz72h,,MAGNUM,2018,9900,0,,,1,,True
