id,ID personalizzato,name,winery,size,vintage,sales_eur,SOTTERRAN,SPECCHI,SCAFFALE ALTO,MARGINI NASCOSTI,WEINLAGER,L,qty,purchase_price_eur
,,LE VIGNE BAROLO,LUCIANO SANDRONE,BORDEAUX_JEROBOAM,2019,,1,,,,,,1,200
,,FALLETTO LE ROCCHE,BRUNO GIACOSA,,2019,,6,,,,,,6,199
,,BAROLO VIA NUOVA,CHIARA BOSCHIS,,2020,,6,5,,,,,11,76
,,BAROLO SERRADENARI,RENATO RATTI,,2021,,12,,,,,,12,65
,,LE PERGOLE TORTE,MONTEVERTINE,JEROBOAM,2019,,,,,,,,0,300
,,PERGOLE TORTE ,MONTEVERTINE,,2020,,12,,,,,,12,75
,,PERGOLE TORTE ,MONTEVERTINE,,2019,,12,,6,,,,18,85
,,PERGOLE TORTE,MONTEVERTINE,MAGNUM,2020,,,,,,3,,3,180
,,SCHLOSSBERG GG SPÄTBURGUNDER,FRANZ KELLER,,2020,,6,,,,,,6,60
,,LAGREIN PERFLABILIS,GRIESBAUERHOF,,2019,,9,4,,,,,13,58
,,CHATEAU LYNCH BAGES GRAND VIN,CHATEAU LYNCH BAGES,,2021,,3,,,,,,3,130
,,LES TERRASSES PRIORAT,ALVARO PALACIOS,,2021,,5,,,,,,5,38
,,LAGREIN TABER LATE RELEASE,KELLEREI BOZEN,,2018,,,5,,,,,5,31
,,HOFACKER LAGREIN RISERVA,GEORG RAMOSER,,2018,,,6,,,,,6,50
,,BAROLO ALESTE SIBI ET PAUCIS,LUCIANO SANDRONE,,2013,,,1,,,,,1,83
,,ETNA ROSSO RESECA,GULFI,,2020,,,6,,,,,6,23
,,BAROLO RISERVA,OSVALDO VIBERTI,,2016,,,10,,,,,10,50
,,DARMAGI,GAJA,,1995,,,1,,,,,1,
,,SIEPI,MAZZEI,,2019,,,5,,,,,5,90
,,GIORGIO PRIMO,LA MASSA,,2019,,,3,,,,,3,89
,,SUMIÈ CARMEA,MURAJE,,2020,,,5,,,,,5,48
,,GRAN CRU SAINT EMILION,QUINAULT L'ENCLOS,,2019,,,9,,,,,9,39
,,MARCENCA GRENACHE,TERROIR AL LIMIT,,2021,,,4,,,,,4,62
,,BRUNELLO DI MONTALCINO,POGGIO DI SOTTO,,2017,,,7,,,,,7,125
,,LE PETIT CLOS,CLOS APALTA,,2018,,,3,,,,,3,33
,,FINCA DOFI,ALVARO PALACIOS,,2017,,,4,,,,,4,70
,,PINOT NOIR SIERRA DE MALAGA,CORTIJO AGUILARES,,2021,,,4,,,,,4,30
,,GRAND VIN SAINT JULIEN,CHATEAU BEYCHEVELLE,,2017,,,3,,,,,3,144
,,GRAND VIN ,HAUT BRION,,1993,,,1,,,,,1,
,,ALMAVIVA,ALMAVIVA,,2019,,,4,1,,,,5,175
,,BAROLO FALLETTO ETICHETTA ROSSA RISERVA,BRUNO GIACOSA,,2016,,,1,1,,,,2,499
,,MASSETO,MASSETO,,2020,,,1,,,,,1,860
,,DOLCETTO D'ALBA,CASCINA PENNA CURRADO,,2023,,,,6,,10,,16,11
,,NEBBIOLO LANGHE,CASCINA PENNA CURRADO,,2023,,,,,,6,5,,14
,,TORILAN,TERLAN,,2022,,,,10,,,,10,11
,,KURNI,OASI DEGLI ANGELI,,2022,,,,6,,7,,13,91
,,HUBERTUS ST. MAGDALENER,GRIESBAUERHOF,,,,,,12,,21,2,35,10
,,BÜRGSTADTER BERG 1G,RUDOLF FÜRST,,2022,,,,,1,5,,,42
,,SAUMUR CHAMPIGNY,CLOS ROUGEARD,,2018,,,,,2,,,,82
,,PORPHYR MAGNUM,TERLAN,,2020,,,,,,1,,,70
,,KALTERERSEE KUNST STÜCK,KALTERN,MAGNUM,2016,,,,,,2,,,
,,LAGREIN RISERVA,LENTSCH,,2018,,,,,,,3,,22
,,RIESLING GG FELSENBERG SCHLOSSBÖCKELHEIMER,DÖNNHOFF,,2023,,24,,6,,,1,31,45
,,RIESLING AUSLESE NIEDERHÄUSER HERMANNSHÖHLE,DÖNNHOFF,HALF_BOTTLE,2023,,12,,,,5,,17,30
,,GRÜNER VELTLINER DÜRNSTEINER,FX PICHLER,,2023,,6,,,,,,6,33
,,VIE DI ROMANS CHARDONNAY,VIE DI ROMANS,JEROBOAM,2021,,2,,,,,,2,86
,,VIERIS SAUVIGNON,VIE DI ROMANS,JEROBOAM,2021,,2,,,,,,2,86
,,VIE DI ROMANS CHARDONNAY,VIE DI ROMANS,MAGNUM,2021,,3,,,,3,1,7,43
,,VIE DI ROMANS CHARDONNAY,VIE DI ROMANS,MAGNUM,2022,,2,,,,,,2,43
,,DESSIMIS PINOT GRIGIO,VIE DI ROMANS,,2023,,12,,,,,,12,19
,,CHARDONNAY VIE DI ROMANS,VIE DI ROMANS,,2023,,30,,,,,,30,19
,,FLORS DI UIS,VIE DI ROMANS,,2023,,6,,,,,,6,17
,,NOVA DOMUS ,TERLAN,BORDEAUX_JEROBOAM,2016,,1,,,,,,1,160
,,QUARZ,TERLAN,,2023,,6,,6,,,,12,36
,,NOVA DOMUS  ,TERLAN,,1996,,1,,,,,,1,60
,,NOVA DOMUS,TERLAN,,1998,,1,,,,,,1,60
,,RIESLING RR,KELLER,,2021,,3,,,,,,3,51
,,POUILLY FUME PUR SANG,DIDER DAUGENEAU,,2020,,3,,,,,,3,96
,,SKITALI SANTORINI,HATZIDAKIS,,2020,,3,,,,,,3,45
,,MALVASIA DIS CUMIERIS,VIE DI ROMANS,,2009,,,3,,,,,3,26
,,PRIVATE CUVEE,PACHERHOF,,2014,,2,,,,,,2,36
,,PRIVATE CUVEE,PACHERHOF,,2015,,2,,,,,,2,36
,,PRIVATE CUVEE,PACHERHOF,,2016,,2,,,,,,2,36
,,GRAUBURGUNDER SCHLOSSBERG ACHKARRER,FRANZ KELLER,,2020,,3,,,,,,3,31
,,LUGANA I FRATI,CA DEI FRATI,BORDEAUX_JEROBOAM,2023,,1,,,,,1,2,136
,,MALTERDINGER CHANDONNAY,BERNARD HUBER,,2021,,,,,1,5,,6,23
,,MERLOT SIEBENEICH,TERLAN,,2022,,,,,,1,5,,15
,,BAROLO IN VINO VERITAS,BORGOGNO,,2020,,,,,,3,4,,30
,,PALESTINA LIMITED EDITION,LENTSCH,,2011,,,,,,9,4,,32
,,NOVA DOMUS,TERLAN,MAGNUM,2020,,,,,,4,4,,60
,,VIERIS SAUVIGNON,VIE DI ROMANS,MAGNUM,2020,,,,,,5,1,,38
