external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,,LE VIGNE BAROLO,LUCIANO SANDRONE,,BORDEAUX_JEROBOAM,2019,0,20000,1,,,True
,,FALLETTO LE ROCCHE,BRUNO GIACOSA,,BOTTLE,2019,0,19900,6,,,True
,,BAROLO VIA NUOVA,CHIARA BOSCHIS,,BOTTLE,2020,0,7600,11,,,True
,,BAROLO SERRADENARI,RENATO RATTI,,BOTTLE,2021,0,6500,12,,,True
,,LE PERGOLE TORTE,MONTEVERTINE,,JEROBOAM,2019,0,30000,0,,,True
,,PERGOLE TORTE ,MONTEVERTINE,,BOTTLE,2020,0,7500,12,,,True
,,PERGOLE TORTE ,MONTEVERTINE,,BOTTLE,2019,0,8500,18,,,True
,,PERGOLE TORTE,MONTEVERTINE,,MAGNUM,2020,0,18000,3,,,True
,,SCHLOSSBERG GG SPÄTBURGUNDER,FRANZ KELLER,,BOTTLE,2020,0,6000,6,,,True
,,LAGREIN PERFLABILIS,GRIESBAUERHOF,,BOTTLE,2019,0,5800,13,,,True
,,CHATEAU LYNCH BAGES GRAND VIN,CHATEAU LYNCH BAGES,,BOTTLE,2021,0,13000,3,,,True
,,LES TERRASSES PRIORAT,ALVARO PALACIOS,,BOTTLE,2021,0,3800,5,,,True
,,LAGREIN TABER LATE RELEASE,KELLEREI BOZEN,,BOTTLE,2018,0,3100,5,,,True
,,HOFACKER LAGREIN RISERVA,GEORG RAMOSER,,BOTTLE,2018,0,5000,6,,,True
,,BAROLO ALESTE SIBI ET PAUCIS,LUCIANO SANDRONE,,BOTTLE,2013,0,8300,1,,,True
,,ETNA ROSSO RESECA,GULFI,,BOTTLE,2020,0,2300,6,,,True
,,BAROLO RISERVA,OSVALDO VIBERTI,,BOTTLE,2016,0,5000,10,,,True
,,DARMAGI,GAJA,,BOTTLE,1995,0,0,1,,,True
,,SIEPI,MAZZEI,,BOTTLE,2019,0,9000,5,,,True
,,GIORGIO PRIMO,LA MASSA,,BOTTLE,2019,0,8900,3,,,True
,,SUMIÈ CARMEA,MURAJE,,BOTTLE,2020,0,4800,5,,,True
,,GRAN CRU SAINT EMILION,QUINAULT L'ENCLOS,,BOTTLE,2019,0,3900,9,,,True
,,MARCENCA GRENACHE,TERROIR AL LIMIT,,BOTTLE,2021,0,6200,4,,,True
,,BRUNELLO DI MONTALCINO,POGGIO DI SOTTO,,BOTTLE,2017,0,12500,7,,,True
,,LE PETIT CLOS,CLOS APALTA,,BOTTLE,2018,0,3300,3,,,True
,,FINCA DOFI,ALVARO PALACIOS,,BOTTLE,2017,0,7000,4,,,True
,,PINOT NOIR SIERRA DE MALAGA,CORTIJO AGUILARES,,BOTTLE,2021,0,3000,4,,,True
,,GRAND VIN SAINT JULIEN,CHATEAU BEYCHEVELLE,,BOTTLE,2017,0,14400,3,,,True
,,GRAND VIN ,HAUT BRION,,BOTTLE,1993,0,0,1,,,True
,,ALMAVIVA,ALMAVIVA,,BOTTLE,2019,0,17500,5,,,True
,,BAROLO FALLETTO ETICHETTA ROSSA RISERVA,BRUNO GIACOSA,,BOTTLE,2016,0,49900,2,,,True
,,MASSETO,MASSETO,,BOTTLE,2020,0,86000,1,,,True
,,DOLCETTO D'ALBA,CASCINA PENNA CURRADO,,BOTTLE,2023,0,1100,16,,,True
,,NEBBIOLO LANGHE,CASCINA PENNA CURRADO,,BOTTLE,2023,0,1400,0,,,True
,,TORILAN,TERLAN,,BOTTLE,2022,0,1100,10,,,True
,,KURNI,OASI DEGLI ANGELI,,BOTTLE,2022,0,9100,13,,,True
,,HUBERTUS ST. MAGDALENER,GRIESBAUERHOF,,BOTTLE,0,0,1000,35,,,True
,,BÜRGSTADTER BERG 1G,RUDOLF FÜRST,,BOTTLE,2022,0,4200,0,,,True
,,SAUMUR CHAMPIGNY,CLOS ROUGEARD,,BOTTLE,2018,0,8200,0,,,True
,,PORPHYR MAGNUM,TERLAN,,BOTTLE,2020,0,7000,0,,,True
,,KALTERERSEE KUNST STÜCK,KALTERN,,MAGNUM,2016,0,0,0,,,True
,,LAGREIN RISERVA,LENTSCH,,BOTTLE,2018,0,2200,0,,,True
,,RIESLING GG FELSENBERG SCHLOSSBÖCKELHEIMER,DÖNNHOFF,,BOTTLE,2023,0,4500,31,,,True
,,RIESLING AUSLESE NIEDERHÄUSER HERMANNSHÖHLE,DÖNNHOFF,,HALF_BOTTLE,2023,0,3000,17,,,True
,,GRÜNER VELTLINER DÜRNSTEINER,FX PICHLER,,BOTTLE,2023,0,3300,6,,,True
,,VIE DI ROMANS CHARDONNAY,VIE DI ROMANS,,JEROBOAM,2021,0,8600,2,,,True
,,VIERIS SAUVIGNON,VIE DI ROMANS,,JEROBOAM,2021,0,8600,2,,,True
,,VIE DI ROMANS CHARDONNAY,VIE DI ROMANS,,MAGNUM,2021,0,4300,7,,,True
,,VIE DI ROMANS CHARDONNAY,VIE DI ROMANS,,MAGNUM,2022,0,4300,2,,,True
,,DESSIMIS PINOT GRIGIO,VIE DI ROMANS,,BOTTLE,2023,0,1900,12,,,True
,,CHARDONNAY VIE DI ROMANS,VIE DI ROMANS,,BOTTLE,2023,0,1900,30,,,True
,,FLORS DI UIS,VIE DI ROMANS,,BOTTLE,2023,0,1700,6,,,True
,,NOVA DOMUS ,TERLAN,,BORDEAUX_JEROBOAM,2016,0,16000,1,,,True
,,QUARZ,TERLAN,,BOTTLE,2023,0,3600,12,,,True
,,NOVA DOMUS  ,TERLAN,,BOTTLE,1996,0,6000,1,,,True
,,NOVA DOMUS,TERLAN,,BOTTLE,1998,0,6000,1,,,True
,,RIESLING RR,KELLER,,BOTTLE,2021,0,5100,3,,,True
,,POUILLY FUME PUR SANG,DIDER DAUGENEAU,,BOTTLE,2020,0,9600,3,,,True
,,SKITALI SANTORINI,HATZIDAKIS,,BOTTLE,2020,0,4500,3,,,True
,,MALVASIA DIS CUMIERIS,VIE DI ROMANS,,BOTTLE,2009,0,2600,3,,,True
,,PRIVATE CUVEE,PACHERHOF,,BOTTLE,2014,0,3600,2,,,True
,,PRIVATE CUVEE,PACHERHOF,,BOTTLE,2015,0,3600,2,,,True
,,PRIVATE CUVEE,PACHERHOF,,BOTTLE,2016,0,3600,2,,,True
,,GRAUBURGUNDER SCHLOSSBERG ACHKARRER,FRANZ KELLER,,BOTTLE,2020,0,3100,3,,,True
,,LUGANA I FRATI,CA DEI FRATI,,BORDEAUX_JEROBOAM,2023,0,13600,2,,,True
,,MALTERDINGER CHANDONNAY,BERNARD HUBER,,BOTTLE,2021,0,2300,6,,,True
,,MERLOT SIEBENEICH,TERLAN,,BOTTLE,2022,0,1500,0,,,True
,,BAROLO IN VINO VERITAS,BORGOGNO,,BOTTLE,2020,0,3000,0,,,True
,,PALESTINA LIMITED EDITION,LENTSCH,,BOTTLE,2011,0,3200,0,,,True
,,NOVA DOMUS,TERLAN,,MAGNUM,2020,0,6000,0,,,True
,,VIERIS SAUVIGNON,VIE DI ROMANS,,MAGNUM,2020,0,3800,0,,,True
,,PINOT BIANCO ST VALENTIN,ST MICHAEL EPPAN,,BOTTLE,2022,0,2200,0,,,True
,,TROY,TRAMIN,,BOTTLE,2021,0,5000,0,,,True
,,SYLVANER ALTE REBEN,PACHERHOF,,BOTTLE,2021,0,2500,0,,,True
,,CHARDONNAY FLORA,GIRLAN,,BOTTLE,2021,0,2100,0,,,True
,,OFF WEISS,WIDUM BAUMANN,,BOTTLE,2022,0,2100,0,,,True
,,FRIULANO SAN PIETRO,I CLIVI,,BOTTLE,2022,0,1000,0,,,True
,,ROSÉ UNTERTÜRKHEIMER GIPS,ALDINGER,,BOTTLE,2022,0,9600,3,,,True
,,EISWEIN ,DR LOOSEN,,BOTTLE,2021,0,2900,10,,,True
,,ROSÉ FORGET ME NOT,LIESELEHOF,,BOTTLE,2023,0,800,62,,,True
,,DOM PERIGNON,DOM PERIGNON,,BOTTLE,2015,0,18000,9,,,True
,,ANNAMARIA CLEMENTI,CA DEL BOSCO,,BOTTLE,2016,0,9800,5,,,True
,,SEKT,RAUMLAND,,BOTTLE,0,0,1700,0,,,True
,,BLANC DE BLANCS SPUMANTE DASSIÉ FAVREL,MALIBRAN,,BOTTLE,2014,0,1600,0,,,True
,,SWEET CLAIRE,LIESELEHOF,,BOTTLE,2020,0,2000,0,,,True
,,PASITHEA ROSA,GIRLAN,,BOTTLE,2020,0,0,0,,,True
,,PASITHEA ORO,GIRLAN,,BOTTLE,2020,0,0,0,,,True
,,VIN SAN GIUSTO,SAN GIUSTO RENTENNANO,,BOTTLE,2020,0,0,0,,,True
,,ESSENZIA,POJER & SANDRI,,BOTTLE,2018,0,0,0,,,True
,,RIESLING KIRSCHGARTEN BEERENAUSLESE,PHILIPPE KUHN,,BOTTLE,2015,0,0,0,,,True
,,QUINTESSENZ PASSITO,KALTERN,,BOTTLE,2019,0,0,0,,,True
,,PEDRO XIMENEZ MURILLO,LUSTAU,,BOTTLE,0,0,0,0,,,True
,,ARUNDA ROSÉ,ARUNDA,,BOTTLE,0,0,2000,0,,,True
,,VINTAGE PORT,QUINTA DO NOVAL,,BOTTLE,2017,0,0,0,,,True
,,SANCERRE ROSÉ,VACHERON,,BOTTLE,2023,0,2000,0,,,True
,,DOM PERIGNON,DOM PERIGNON,,MAGNUM,2012,0,35000,0,,,True
