wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01gzr4kshdneb67mx04k6zhqex,,BORDEAUX_JEROBOAM,2019,0,20000,,,1,,True
wine_01h0qzm1941fa9gznjyqjksntx,,BOTTLE,2021,0,6500,,,12,,True
wine_01gzr4ksp38dcgetj42nrrwjgr,,BOTTLE,2022,0,1000,,,0,,True
wine_01h0qzm1pmj2ddxb53sptb5acy,,BOTTLE,2021,0,2100,,,0,,True
wine_01h0qzm2wzyfdmfvtvp7c8x5fs,,BOTTLE,2021,0,2500,,,0,,True
wine_01gzr4ksd21816c7pdatn9v5fq,,BORDEAUX_JEROBOAM,2023,0,13600,,,2,,True
wine_01h0qzm2wz1nke0pfb03307jm8,,BOTTLE,2016,0,3600,,,2,,True
wine_01h0qzm2wz1nke0pfb03307jm8,,BOTTLE,2015,0,3600,,,2,,True
wine_01h0qzm2wz1nke0pfb03307jm8,,BOTTLE,2014,0,3600,,,2,,True
wine_01hyjyzv1ammcyyv7bgcp5yrh8,,BOTTLE,2009,0,2600,,,3,,True
wine_01j52ter44nanpj8njtess3xps,,BOTTLE,2021,0,5100,,,3,,True
wine_01gzr4ksk51jnpkk9pxe4ygtvq,,BOTTLE,2023,0,1700,,,6,,True
wine_01gzr4ksk550tpn2vchzczedvk,,BOTTLE,2023,0,1900,,,12,,True
wine_01h0qzm234phag0w0z4xs42axb,,HALF_BOTTLE,2023,0,3000,,,17,,True
wine_01havwedspps22tpwrjm9n4t7z,,BOTTLE,2018,0,8200,,,0,,True
wine_01hfv4gwtds4hbaabqffvmwyyp,,BOTTLE,2020,0,86000,,,1,,True
wine_01gzr4ksd2pmbnxcrfj6m8d2p5,,BOTTLE,2019,0,17500,,,5,,True
wine_01gzr4ktja38219d652p3yn9q5,,BOTTLE,2017,0,7000,,,4,,True
wine_01h0my5re02qjwe5c962p475t4,,BOTTLE,2018,0,3300,,,3,,True
wine_01gzr4ksq0crfbq5ea5ydtdv5e,,BOTTLE,2019,0,8900,,,3,,True
wine_01gzr4ksppdm8hwsp2wvphad1q,,BOTTLE,1995,0,0,,,1,,True
wine_01hdh9sxwzy8mcf5fv5pqs28k0,,BOTTLE,2021,0,3800,,,5,,True
wine_01h0qzm1qkyhf8sb4tdnyme3r8,,BOTTLE,2020,0,6000,,,6,,True
wine_01h0qzm0762bytpnq6twx551ww,,BOTTLE,2017,0,0,,,0,,True
wine_01gzr4kt10z3t0bvez32dtgmbb,,JEROBOAM,2019,0,30000,,,0,,True
wine_01gzr4kt10z3t0bvez32dtgmbb,,BOTTLE,2020,0,7500,,,12,,True
wine_01gzr4kt10z3t0bvez32dtgmbb,,BOTTLE,2019,0,8500,,,18,,True
wine_01gzr4kt10z3t0bvez32dtgmbb,,MAGNUM,2020,0,18000,,,3,,True
wine_01h0r2pqe7swjrs3trks81fdrf,,BOTTLE,2019,0,5800,,,13,,True
wine_01j52texby9wdd2876aaf181xa,,BOTTLE,2021,0,13000,,,3,,True
wine_01gzr4kths8ytbymxznp09befv,,BOTTLE,2020,0,2300,,,6,,True
wine_01h0r2pq0gt7tvxpa3nxn6e318,,BOTTLE,2019,0,9000,,,5,,True
wine_01h0r2pqefxhympt512bayck9m,,BOTTLE,2020,0,4800,,,5,,True
wine_01gzr4ktnqzzxfdk2sdzwqpczx,,BOTTLE,2019,0,3900,,,9,,True
wine_01h0f3cmcrqwm76qr0hvpr258p,,BOTTLE,2017,0,12500,,,7,,True
wine_01h4pmmg3hftnzah5d5qty063d,,BOTTLE,2021,0,3000,,,4,,True
wine_01h0my5s9yqqz4acg3fqfhrgx0,,BOTTLE,2017,0,14400,,,3,,True
wine_01gzr4ksn5krczaydj3qa1wznz,,BOTTLE,2022,0,1100,,,10,,True
wine_01gzr4ksd6vekk9af6ma5k3kvh,,BOTTLE,2022,0,9100,,,13,,True
wine_01gzr4ksk5r72dexa5watpkkvw,,JEROBOAM,2021,0,8600,,,2,,True
wine_01gzr4ksk5zqd3t9csd0yj26f7,,JEROBOAM,2021,0,8600,,,2,,True
wine_01gzr4ksk5r72dexa5watpkkvw,,MAGNUM,2021,0,4300,,,7,,True
wine_01gzr4ksk5r72dexa5watpkkvw,,MAGNUM,2022,0,4300,,,2,,True
wine_01gzr4ksk5r72dexa5watpkkvw,,BOTTLE,2023,0,1900,,,30,,True
wine_01gzr4ksn59np0cz4842jxkmp5,,BORDEAUX_JEROBOAM,2016,0,16000,,,1,,True
wine_01gzr4ksn55kqa21f0wdpx6t3r,,BOTTLE,2023,0,3600,,,12,,True
wine_01gzr4ksn59np0cz4842jxkmp5,,BOTTLE,1996,0,6000,,,1,,True
wine_01gzr4ksn59np0cz4842jxkmp5,,BOTTLE,1998,0,6000,,,1,,True
wine_01h4pmmh1bwcw6dwe1yxmpy21b,,BOTTLE,2020,0,9600,,,3,,True
wine_01gzr4kt2bd48c2mnea46e4gfg,,BOTTLE,2020,0,4500,,,3,,True
wine_01h0qzm1qgnvsn74xm0cydrqkr,,BOTTLE,2020,0,3100,,,3,,True
wine_01gzr4ksdg77fs22s83taj4abv,,BOTTLE,2021,0,2300,,,6,,True
wine_01gzr4ksn59np0cz4842jxkmp5,,MAGNUM,2020,0,6000,,,0,,True
wine_01gzr4ksk5zqd3t9csd0yj26f7,,MAGNUM,2020,0,3800,,,0,,True
