type,prefix,name,winery,internal_notes,size,vintage,ricavo,purchase_price,sales_price,qty
,Metodo Charmat,Ruio Brut,Malibran,,,0,28,5.85 €, 35.00 € ,276
,,Rose Brut,Malibran,,,0,33,5.85 €, 40.00 € ,58
,,Col Fondo Sottoriva,Malibran,,,0,28,5.85 €, 35.00 € ,14
,,Credamora,Malibran,,,2021,36,7 €, 45.00 € ,7
,,Col Fondo vintage,Malibran,,,2016,ö,0 €, NON IN LIST,3
,Metodo Classico,BRUT ANCESTRALE,LIESELEHOF,,,0,30,32.50 €, 70.00 € ,10
,,BRUT SPUMANTE,H. LENTSCH,,,0,24,16.90 €, 45.00 € ,8
,,Zero Infinito,Pojer & Sandri,,,0,39,13 €, 55.00 € ,8
,,Dassie Favrel,Malibran,,,2014,32,15 €, 50.00 € ,5
,,BLANC DE NOIRS PAS DOSE,FRANZ HAAS,,,2018,31,23.60 €, 60.00 € ,7
,,Spumante Extra Brut,Bruno Giacosa,,,0,,22 €, NON IN LIST,1
,,Alta Langa Pas Dosé,Contratto,,,2017,,15.84 €, 50.00 € ,2
,,Alta Langa Extra Brut,Ettore Germano,,,2019,32,19 €, 55.00 € ,9
,,Brut,Facchetti,,,0,35,16.20 €, 55.00 € ,32
,,Perle´Bianco,Ferrari,,,2015,39,35.00 €, 80.00 € ,8
,,Perle Rose,Ferrari,,,2016,39,39.00 €, 85.00 € ,8
,,Hausmannhof Riserva Brut,Haderburg,,,2013,37,42 €, 88.00 € ,1
,,Perlé Nero,Ferrari,,,2015,43,65 €, 108.00 € ,10
,,Giulio Ferrari,Ferrari,,,2010,98,125.00 €, 250.00 € ,3
,,Giulio Ferrari,Ferrari,,,2012,,143.00 €, NON IN LIST,5
,,Giulio Ferrari ROSE,Ferrari,,,2008,ö,195.00 €, 400.00 € ,1
,,Rose Arunda,Arunda,,,0.00 €,28.50 €,22.00 €, 55.00 € ,15
,,Annamaria Clementi,Ca del Bosco,,,0.00 €,,98 €, 225.00 € ,4
,,Brut Sekt,Raumland,,,0.00 €,34.00 €,17, 55.00 € ,4
,CHAMPAGNE,Brut Tradition,Michel Laval,,,0,,20.00 €, NON IN LIST,6
,,BRUT RESERVE ,CHARLES HEIDSIECK,,,0,51,44 €, 105.00 € ,1
,,Brut Intuition,Legras Haas,,,0,50,32 €, 90.00 € ,21
,,Reserve Perpetuelle,Maurice Groumier,,,0,,38.00 €, 115.00 € ,5
,,Grand Cru Brut Nature,Sautiran,,,0,,49.70 €, 120.00 € ,4
,,SPECIAL CUVEE,BOLLINGER,,,0,53,55.00 €, 120.00 € ,35
,,Cuvèe 745,Jacquesson,MAGAZZINO,,0,44,62.00 €, NON IN LIST,5
,,Cuvee 746,Jacquesson,,,0,59,73.00 €, 148.00 € ,3
,,Cuvee 747,Jacquesson,,,0,,57.60 €, 148.00 € ,3
,,BRUT NATURE 1er CRU Cumieres,GEORGES LAVAL,,,0,,, 160.00 € ,3
,,BELLE EPOQUE,PERRIER JOUET,,,2012,104,189 €, 335.00 € ,1
,,Extra Brut,Perseval Farge,,,0,55,44.00 €, 99.00 € ,2
,,Blanc de Noirs,Palmer,,,0,,55.00 €, 138.00 € ,3
,,Dans un Premier Temps,Dhondt Grellet,,,0,80,57.00 €, 150.00 € ,3
,,Blanc de NOIRS Nature,Laherte Freres,,,0,,58.00 €, 142.00 € ,6
,,Classic Cuvée,Nyetimber,,,0,,58.85 €, 135.00 € ,4
,,L´Ouverture BdN,Frederic Savart,,,0,,60.00 €, 160.00 € ,4
,,Reserve Brut,Bereche,,,0,,60.00 €, 125.00 € ,3
,,BdB ,Delamotte,,,0,,79.00 €, 155.00 € ,2
,,Les Terres Fines BdB,Dhondt Grellet,,,0,,77.50 €, NON IN LIST,4
,,Blanc de Blancs,Billecart Salmon,,,0,,79.00 €, 165.00 € ,6
,,Rive Gauche Pinot Meunier,Bereche,,,2020,,83.00 €, NON IN LIST,3
,,Entre Ciel y Terre,Bedel,,,2016,,86.00 €, 175.00 € ,4
,,Brut Vintage,Billecart Salmon,,,2013,,88.00 €, 208.00 € ,3
,,Beaux Regards Extrabrut 1er cru BDB,Bereche,,,2020,,108.00 €, NON IN LIST,3
,,742 Degorgement Tardif,Jacquesson,,,0,,95.20 €, NON IN LIST,6
,,1522 Extra Brut Grand Cru,Philipponnat,,,2016,68,112.00 €, 205.00 € ,1
,,Extra Brut Grand Cru,Egly Ouriet,,,0,93,120 €, 240.00 € ,5
,,Champ Cain,Jacquesson,,,2013,,153.00 €, NON IN LIST,2
,,DOM PERIGNON ,MOET & CHANDON,,,2012,85,250 €, 390.00 € ,2
,,Grand Siecle N26,Laurent Perrier,,,0,,171 €, NON IN LIST,3
,,DOM PERIGNON ,MOET & CHANDON,,,2015,,172 €, NON IN LIST,6
,,Cristal,Louis Roederer,,,2015,79,255.00 €, 390.00 € ,1
,,Grande Cuvée 169eme,Krug,,,0,111,229.00 €, 390.00 € ,2
,,SIR WINSTON,POL ROGER,,,2012,103,235 €, 390.00 € ,2
,,Le Leon,Philipponnat,,,2014,54,275 €, 390.00 € ,2
,,P2,MOET & CHANDON,,,2004,175,389 €, 650.00 € ,3
