external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,,Metodo Charmat Ruio Brut,Malibran,,BOTTLE,0,3500,585,276,,,True
,,Metodo Charmat Rose Brut,Malibran,,BOTTLE,0,4000,585,58,,,True
,,Metodo Charmat Col Fondo Sottoriva,Malibran,,BOTTLE,0,3500,585,14,,,True
,,Metodo Charmat Credamora,Malibran,,BOTTLE,2021,4500,700,7,,,True
,,Metodo Charmat Col Fondo vintage,Malibran,,BOTTLE,2016,0,0,3,,,False
,,Metodo Classico BRUT ANCESTRALE,LIESELEHOF,,BOTTLE,0,7000,3250,10,,,True
,,Metodo Classico BRUT SPUMANTE,H. LENTSCH,,BOTTLE,0,4500,1689,8,,,True
,,Metodo Classico Zero Infinito,Pojer & Sandri,,BOTTLE,0,5500,1300,8,,,True
,,Metodo Classico Dassie Favrel,Malibran,,BOTTLE,2014,5000,1500,5,,,True
,,Metodo Classico BLANC DE NOIRS PAS DOSE,FRANZ HAAS,,BOTTLE,2018,6000,2360,7,,,True
,,Metodo Classico Spumante Extra Brut,Bruno Giacosa,,BOTTLE,0,0,2200,1,,,False
,,Metodo Classico Alta Langa Pas Dosé,Contratto,,BOTTLE,2017,5000,1584,2,,,True
,,Metodo Classico Alta Langa Extra Brut,Ettore Germano,,BOTTLE,2019,5500,1900,9,,,True
,,Metodo Classico Brut,Facchetti,,BOTTLE,0,5500,1620,32,,,True
,,Metodo Classico Perle´Bianco,Ferrari,,BOTTLE,2015,8000,3500,8,,,True
,,Metodo Classico Perle Rose,Ferrari,,BOTTLE,2016,8500,3900,8,,,True
,,Metodo Classico Hausmannhof Riserva Brut,Haderburg,,BOTTLE,2013,8800,4200,1,,,True
,,Metodo Classico Perlé Nero,Ferrari,,BOTTLE,2015,10800,6500,10,,,True
,,Metodo Classico Giulio Ferrari,Ferrari,,BOTTLE,2010,25000,12500,3,,,True
,,Metodo Classico Giulio Ferrari,Ferrari,,BOTTLE,2012,0,14300,5,,,False
,,Metodo Classico Giulio Ferrari ROSE,Ferrari,,BOTTLE,2008,40000,19500,1,,,True
,,CHAMPAGNE Brut Tradition,Michel Laval,,BOTTLE,0,0,2000,6,,,False
,,CHAMPAGNE BRUT RESERVE ,CHARLES HEIDSIECK,,BOTTLE,0,10500,4400,1,,,True
,,CHAMPAGNE Brut Intuition,Legras Haas,,BOTTLE,0,9000,3200,21,,,True
,,CHAMPAGNE Reserve Perpetuelle,Maurice Groumier,,BOTTLE,0,11500,3800,5,,,True
,,CHAMPAGNE Grand Cru Brut Nature,Sautiran,,BOTTLE,0,12000,4970,4,,,True
,,CHAMPAGNE SPECIAL CUVEE,BOLLINGER,,BOTTLE,0,12000,5500,35,,,True
,,CHAMPAGNE Cuvèe 745,Jacquesson,,BOTTLE,0,0,6200,5,,MAGAZZINO,False
,,CHAMPAGNE Cuvee 746,Jacquesson,,BOTTLE,0,14800,7300,3,,,True
,,CHAMPAGNE Cuvee 747,Jacquesson,,BOTTLE,0,14800,5760,3,,,True
,,CHAMPAGNE BRUT NATURE 1er CRU Cumieres,GEORGES LAVAL,,BOTTLE,0,16000,0,3,,,True
,,CHAMPAGNE BELLE EPOQUE,PERRIER JOUET,,BOTTLE,2012,33500,18900,1,,,True
,,CHAMPAGNE Extra Brut,Perseval Farge,,BOTTLE,0,9900,4400,2,,,True
,,CHAMPAGNE Blanc de Noirs,Palmer,,BOTTLE,0,13800,5500,3,,,True
,,CHAMPAGNE Dans un Premier Temps,Dhondt Grellet,,BOTTLE,0,15000,5700,3,,,True
,,CHAMPAGNE Blanc de NOIRS Nature,Laherte Freres,,BOTTLE,0,14200,5800,6,,,True
,,CHAMPAGNE Classic Cuvée,Nyetimber,,BOTTLE,0,13500,5885,4,,,True
,,CHAMPAGNE L´Ouverture BdN,Frederic Savart,,BOTTLE,0,16000,6000,4,,,True
,,CHAMPAGNE Reserve Brut,Bereche,,BOTTLE,0,12500,6000,3,,,True
,,CHAMPAGNE BdB ,Delamotte,,BOTTLE,0,15500,7900,2,,,True
,,CHAMPAGNE Les Terres Fines BdB,Dhondt Grellet,,BOTTLE,0,0,7750,4,,,False
,,CHAMPAGNE Blanc de Blancs,Billecart Salmon,,BOTTLE,0,16500,7900,6,,,True
,,CHAMPAGNE Rive Gauche Pinot Meunier,Bereche,,BOTTLE,2020,0,8300,3,,,False
,,CHAMPAGNE Entre Ciel y Terre,Bedel,,BOTTLE,2016,17500,8600,4,,,True
,,CHAMPAGNE Brut Vintage,Billecart Salmon,,BOTTLE,2013,20800,8800,3,,,True
,,CHAMPAGNE Beaux Regards Extrabrut 1er cru BDB,Bereche,,BOTTLE,2020,0,10800,3,,,False
,,CHAMPAGNE 742 Degorgement Tardif,Jacquesson,,BOTTLE,0,0,9520,6,,,False
