wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01gzr4ksqczepn2ck86wb3j42e,,BOTTLE,2019,5500,1900,,,9,,True
wine_01h0qzm233e12vjya19bk71pp0,,BOTTLE,2023,0,5700,,,12,,False
wine_01gzr4ksd91kx6d5rhyzts8a62,,BOTTLE,2020,5500,1889,,,8,,True
wine_01gzr4kth3gc1b7jxzy1yn9yr3,,BOTTLE,2021,7500,1700,,,1,,True
wine_01h0sq492p04ytjttdfxnbtffj,,BOTTLE,2021,0,2600,,,4,,False
wine_01h0qzm0axw4zyvrh8d6fkf2nx,,BOTTLE,2019,8000,2680,,,0,,True
wine_01h0sq492rpakfpdpc2j0y05de,,BOTTLE,2021,9200,3300,,,8,,True
wine_01h0sq492peketz39gvn7hawxj,,BOTTLE,2021,7500,3340,,,1,,True
wine_01gzr4kspp1wft0m7a4hmjh53e,,BOTTLE,2016,24500,16000,,,3,,True
wine_01gzr4ksrq9p4sapbk12cjp650,,BOTTLE,2022,8200,2300,,,2,,True
wine_01gzr4ksksmf95bvw0mp9sxwyx,,BOTTLE,2019,4000,1100,,,46,,True
wine_01gzr4ksktxgmhcw3y7x327kxd,,BOTTLE,2020,6200,2700,,,33,,True
wine_01h0qzm1v5rk7a80zrkkerg6kf,,BOTTLE,2016,10800,5100,,,5,,True
wine_01h0qzm22cnq4mkbkekv7yvnte,,BOTTLE,2019,5000,1800,,,2,,True
wine_01gzr4ksp33t709aca1ac6zksz,,BOTTLE,2018,28500,4620,,,8,,True
wine_01h0my5svsgbqwhw8465x3tfxs,,BOTTLE,2018,13000,6400,,,3,,True
wine_01gzr4kt8e1rdvrbyv7h58ryhy,,BOTTLE,2020,40000,22000,,,1,,True
wine_01gzr4kt80nwc7smzmc8ksh973,,BOTTLE,2019,7500,2990,,,2,,True
wine_01gzr4ktfx00y8jhtcs3gw1v80,,BOTTLE,2010,0,54800,,,2,,False
wine_01h0qzm02dfjqd97zwg55ss5pk,,BOTTLE,2019,6500,2800,,,5,,True
wine_01gzr4kt10z3t0bvez32dtgmbb,,BOTTLE,2021,29500,9500,,,16,,True
wine_01h0qzm1m22e7vn28fr3hqk00q,,BOTTLE,2022,3500,969,,,42,,True
wine_01h0qzm233e12vjya19bk71pp0,,BOTTLE,2022,0,5500,,,6,,False
wine_01h0qzm1ts3cab52wdy0m1xqk4,,BOTTLE,2013,8800,4200,,,1,,True
wine_01hawwcx5ajwbapgr2evheyb2k,,BOTTLE,2023,0,5500,,,6,,False
wine_01gzr4kscc2q9h2vh9dzr6ja8q,,BOTTLE,2015,10800,6500,,,10,,True
wine_01h0qzm1pmkxpyzbramkctwknj,,BOTTLE,2018,4700,1440,,,16,,True
wine_01gzr4kt16xy22v7w3bkze66hd,,BOTTLE,2022,6500,1700,,,12,,True
wine_01gzr4ksj337pq3rg2ys5snjqz,,BOTTLE,2020,18500,7800,,,4,,True
wine_01h0sq484v2nss5kn0tsdc8wzy,,BOTTLE,2021,7500,2900,,,6,,True
wine_01h0sq492nnjmb1axqmemska9n,,BOTTLE,2023,0,3450,,,6,,False
wine_01h0sq492mjaaj8b2trztae5pz,,BOTTLE,2021,0,0,,,5,,False
wine_01gzr4kspp0wnh0289kv106za8,,BOTTLE,2021,11200,6000,,,14,,True
wine_01h0sq47xgwvqvqhjhsn8v8t7z,,BOTTLE,2020,6200,2110,,,19,,True
wine_01h0qzm1m1t5h2ryxmg6myf3ce,,BOTTLE,2019,5500,2050,,,5,,True
wine_01gzr4ksk550tpn2vchzczedvk,,BOTTLE,2021,5500,2000,,,6,,True
wine_01gzr4ksk550tpn2vchzczedvk,,BOTTLE,2022,0,2100,,,24,,False
wine_01havweeb8st6353qhmcacznrg,,BOTTLE,2020,7500,3000,,,5,,True
wine_01j52tessb26gpvtabs19epevm,,BOTTLE,2021,6800,2000,,,2,,True
wine_01h0qzm0ax45vx7esvkqhcztsw,,BOTTLE,2018,6800,2800,,,10,,True
wine_01gzr4ksz86n62h4rcrgkc4t9k,,BOTTLE,2021,0,4200,,,6,,False
wine_01hawwcx8m0nd6kadd6f534vgr,,BOTTLE,2021,9700,4200,,,3,,True
wine_01gzr4kszc708qz82zjjezdf4h,,BOTTLE,2021,10800,4700,,,5,,True
wine_01j52ter44nanpj8njtess3xps,,BOTTLE,2021,10500,5100,,,3,,True
wine_01jfpy1zgny0wghhg75694mwja,,BOTTLE,2017,8800,4000,,,7,,True
wine_01h0r2ppgpenwyb0prtstwm9cv,,BOTTLE,2021,4500,700,,,7,,True
wine_01gzr4kscc3eq3g9mgs0f5ns3f,,BOTTLE,2010,25000,12500,,,3,,True
wine_01gzr4kscc3eq3g9mgs0f5ns3f,,BOTTLE,2012,0,14300,,,5,,False
wine_01gzr4ksd4ahar44dg95zgrg4g,,BOTTLE,2012,33500,18900,,,1,,True
wine_01havwedz5yz6v0ybjsk2tryc4,,BOTTLE,2020,0,8300,,,3,,False
wine_01gzr4ks65p39qhvwdmbstpvnq,,BOTTLE,2016,17500,8600,,,4,,True
wine_01gzr4ks644bckwegyxjermh07,,BOTTLE,2013,20800,8800,,,3,,True
wine_01gzr4kst856zvtcxp17kws2q4,,BOTTLE,2020,0,10800,,,3,,False
wine_01gzr4ks6324tyza7s2tq1wc8f,,BOTTLE,2016,20500,11200,,,1,,True
wine_01h0my5rrs01entc4xmfvbp5g6,,BOTTLE,2013,0,15300,,,2,,False
wine_01gzr4kscbzga5159ds831sygw,,BOTTLE,2012,39000,23500,,,2,,True
wine_01gzr4ks63nw1sgqxg8d1jcyy1,,BOTTLE,2014,39000,27500,,,2,,True
wine_01hcwsykgp1653kme21j32h94z,,BOTTLE,2022,3500,1050,,,14,,True
wine_01h0qsxmvwqr688kdaa3bvcsdz,,BOTTLE,2022,5200,1310,,,4,,True
wine_01h0r2pq1mzt02hbqr3h0473xp,,BOTTLE,2022,6000,1800,,,6,,True
wine_01gzr4ksnhagat09p3j6fbxnyp,,BOTTLE,2021,6000,2200,,,10,,True
wine_01gzr4kskpz3t6pte1cfyvzpzv,,BOTTLE,2020,7800,2090,,,10,,True
wine_01gzr4kskpz3t6pte1cfyvzpzv,,BOTTLE,2021,0,2300,,,24,,False
wine_01gzr4kskpz3t6pte1cfyvzpzv,,BOTTLE,2015,9300,3700,,,5,Late release Harpf,True
wine_01h0qzm0ax70y3hcqz14mhrs8k,,BOTTLE,2018,8500,2680,,,1,,True
wine_01hawwcx8j0d1pqehg7svsczrx,,BOTTLE,2021,6200,2132,,,4,,True
wine_01h0my5vcwtsp0vej6mme7nnej,,BOTTLE,2015,9800,3700,,,4,,True
wine_01j52tf7h934wqfnx0qa203xws,,BOTTLE,2021,8200,4000,,,9,,True
wine_01h0r2pq1m1qq5ggp5txs9wcc8,,BOTTLE,2016,9800,4500,,,4,,True
wine_01gzr4ksz8gmw2ac0wf9ze75cs,,BOTTLE,2011,0,5300,,,2,,False
wine_01gzr4ksn5grvhh9d4baqmxq63,,BOTTLE,2010,27500,10800,,,2,,True
wine_01gzr4ksn5grvhh9d4baqmxq63,,BOTTLE,2008,0,13200,,,2,,False
wine_01gzr4ksn5grvhh9d4baqmxq63,,BOTTLE,2007,0,13700,,,2,,False
wine_01gzr4ksn5grvhh9d4baqmxq63,,BOTTLE,2006,0,14200,,,2,,False
wine_01j52teryd2y6a70bpjzjtavan,,BOTTLE,2019,3500,1030,,,30,,True
wine_01gzr4ksn58b7921b25az154dy,,BOTTLE,2022,4500,1400,,,13,,True
wine_01gzr4ksmv69qe8d1n72sn0x7d,,BOTTLE,2020,4800,2000,,,8,,True
wine_01h0qzm03pzb7pxqk970t3pc35,,BOTTLE,2020,6000,2600,,,9,,True
wine_01gzr4ksnhkasvxrk3h2g4w8ks,,BOTTLE,2020,7500,3600,,,0,,True
wine_01h0my5rfekbv4h2ygebwkm1hn,,BOTTLE,2020,8800,4500,,,9,,True
wine_01gzr4ksq890fa9xqjcbqnbmaa,,BOTTLE,2020,6500,1800,,,1,,True
wine_01gzr4ksk5r72dexa5watpkkvw,,BOTTLE,2022,0,2100,,,18,,False
wine_01gzr4ksk5r72dexa5watpkkvw,,BOTTLE,2021,5500,2000,,,6,,True
wine_01h0my5t6092hsywm8j5d9h5zq,,BOTTLE,2021,7500,2985,,,1,,True
wine_01gzr4ksszk0vgtmdns0edr8rv,,BOTTLE,2021,8200,3600,,,4,,True
wine_01gzr4ksk5d9d2spdjkb3bgenx,,BOTTLE,2015,8500,3900,,,2,,True
wine_01hawwcx4pwv4gnsmxbr1wvqq4,,BOTTLE,2020,10500,5400,,,5,,True
wine_01j52teqtfah0f391dddw2q59x,,BOTTLE,2021,12000,6000,,,2,,True
wine_01j52ter1yjggzb438abd8fg78,,BOTTLE,2022,13800,6100,,,13,,True
wine_01j52tf7ex2q9cb0vzaq80agc0,,BOTTLE,2020,16500,7300,,,6,,True
wine_01j52tez8225246ara6gwwvzxx,,BOTTLE,2021,12500,8500,,,6,,True
wine_01h4pmmgzpqh0ny78jbc281g0d,,BOTTLE,2021,23000,11300,,,5,,True
wine_01h0qsxntf8wtpdaq6ehczn8k5,,BOTTLE,2018,23000,13600,,,3,,True
wine_01h4pmmh0r5wkfhgxqtbpkv1wr,,BOTTLE,2023,5600,2390,,,15,,True
wine_01h0my5sw5a2mjgqy1fvsgy2ny,,BOTTLE,2019,6200,2900,,,1,,True
wine_01h0qzm1cz9xj1dny2zebck0kn,,BOTTLE,2021,6500,3000,,,3,,True
wine_01h4pmmgj437sd2nz32bn100qn,,BOTTLE,2022,0,3200,,,15,,False
wine_01hawwcxdwy0b4552s5ehsvc56,,BOTTLE,2023,0,3500,,,12,,False
wine_01gzr4ksxm7z53xqnznq7w21rc,,BOTTLE,2023,8300,4000,,,28,,True
wine_01harvcm1bvng4yexpgk665wqt,,BOTTLE,2021,8500,4000,,,0,,True
wine_01h4pmmgj5km6z8qkv83as1pxm,,BOTTLE,2022,8900,4200,,,0,,True
wine_01h4pmmh3a0pvnz4mry6dds3ac,,BOTTLE,2023,0,3900,,,12,,False
wine_01h4pmmgj5km6z8qkv83as1pxm,,BOTTLE,2023,0,4500,,,12,,False
wine_01h4pmmh389cs69dmjy532bc32,,BOTTLE,2023,0,4500,,,12,,False
wine_01hczek21vqbcrdt81w5mramx8,,BOTTLE,2021,9500,4300,,,3,,True
wine_01harvcmer7kjygzkrev6adggf,,BOTTLE,2020,12000,6000,,,4,,True
wine_01h4pmmh2qd2j97ysb89cx2svx,,BOTTLE,2022,12500,6000,,,12,,True
wine_01hawwcxdte3pn0zcc7wmsd4a4,,BOTTLE,2022,0,6500,,,2,,False
wine_01hawwcxdv2m2f4rjzst0j4j23,,BOTTLE,2022,0,6500,,,2,,False
wine_01hawwcxdv2m2f4rjzst0j4j23,,BOTTLE,2023,0,7000,,,6,,False
wine_01hawwcxbcfd1v72x9e52spkth,,BOTTLE,2022,0,7550,,,6,,False
wine_01j52tf7qbabx122v04bnshvns,,BOTTLE,2022,0,7600,,,2,,False
wine_01j52tf7qbabx122v04bnshvns,,BOTTLE,2023,0,8300,,,6,,False
wine_01hawwcxdvq77e9sqzbwkqt8sc,,BOTTLE,2022,0,7600,,,2,,False
wine_01gzr4ksvg5zsdmawn4h75m9t8,,BOTTLE,2021,0,7900,,,3,,False
wine_01h0my5rnc7086dzxdm6vtjr80,,BOTTLE,2022,0,8000,,,2,,False
wine_01h0qsxn694aybb0rx7c0d5c3m,,BOTTLE,2022,0,8400,,,3,,False
wine_01hcwvb3xv64t399nq890v813c,,BOTTLE,2020,0,9000,,,3,,True
wine_01hawwcxe193mr396jfg72gyx8,,BOTTLE,2022,23800,9500,,,9,,True
wine_01gzr4ksxmz4y0b6hk8whsn5pt,,BOTTLE,2022,29200,15800,,,4,,True
wine_01hawwcxcndzjkfy38hqabmeav,,BOTTLE,2022,0,17000,,,2,,False
wine_01gzr4ksmv77d19k37hn5xh7nh,,BOTTLE,2020,5800,2100,,,12,,True
wine_01h0r2pp8ywrhrb2d5amcsw8a1,,BOTTLE,2020,5200,1800,,,13,,True
wine_01h4pmmgker1xpfmjw4zdw1add,,BOTTLE,2018,7000,1900,,,1,,True
wine_01gzr4ksts1j5m8xg9fmaykvyq,,BOTTLE,2013,11800,5500,,,1,,True
wine_01gzr4kskpa2eqkqx9yps319fv,,BOTTLE,2022,3500,900,,,20,,True
wine_01h0my5smtnjjegkwj342h4tz2,,BOTTLE,2021,4200,1400,,,16,,True
wine_01j52teqx9r5y39dbjcewk4wm9,,BOTTLE,2019,5800,1700,,,2,,True
wine_01gzr4kt16sm52a0mjjy0q62v0,,BOTTLE,2023,6500,1800,,,14,,True
wine_01hawwcx8j5xpxp22p5ras26ks,,BOTTLE,2021,6500,2100,,,0,,True
wine_01j52tf28apahmmxrfns620rye,,BOTTLE,2015,6200,2600,,,0,,True
wine_01havwefjhjy1ak44xx50df3yk,,BOTTLE,2019,9300,4000,,,7,,True
wine_01h0my5tya8jfwm2rtnef0p8d9,,BOTTLE,2019,5500,2450,,,5,,True
wine_01h0qzm2wzfm3vjryzbpj6dfgg,,BOTTLE,2022,4500,1330,,,18,,True
wine_01h0qzm130m68d0hjj5e75hfxe,,BOTTLE,2018,6500,2700,,,6,,True
wine_01h0qzm131qwfncx5zjs0rw0sn,,BOTTLE,2014,7200,4200,,,5,,True
wine_01j0zv8h3b7j0pnq7pz2sjjr94,,BOTTLE,2019,13300,6859,,,5,,True
wine_01h0qzm2wzkgx777xh1sy1a38x,,BOTTLE,2020,4000,1350,,,16,,True
wine_01gzr4ksyftvpzrs77fczrxhwz,,BOTTLE,2021,7800,3479,,,27,,True
wine_01h0sq48v9ejxj29418ka4v66s,,BOTTLE,2018,7800,3750,,,2,,True
wine_01gzr4ksyd246wyp42j1m6vrd3,,BOTTLE,2022,7500,5800,,,30,,True
wine_01gzr4ksyd246wyp42j1m6vrd3,,BOTTLE,2021,7500,4240,,,6,,True
wine_01h0sq48v8tvbk96x9pr0a2gsm,,BOTTLE,2022,7800,4600,,,22,,True
wine_01h0sq48v8tvbk96x9pr0a2gsm,,BOTTLE,2021,7800,4600,,,3,,True
wine_01gzr4ksyf1ttkftzc5gnbgyz9,,BOTTLE,2022,9500,4300,,,35,,True
wine_01gzr4ksyf1ttkftzc5gnbgyz9,,BOTTLE,2021,9500,5200,,,5,,True
wine_01h0sq48v8nr1y3dx2ycxn1ngz,,BOTTLE,2022,12800,6900,,,1,,True
wine_01gzr4ksyfyezr560bch0xjakx,,BOTTLE,2022,15500,8800,,,11,,True
wine_01h0my5tabpqzdqpn4ytpfre86,,BOTTLE,2020,4300,1360,,,12,,True
wine_01j52tewbjwxpmjc828d98gc99,,BOTTLE,2020,5500,1700,,,7,,True
wine_01gzr4kswfvx9htxapmkg008p8,,BOTTLE,2021,5000,1700,,,2,,True
wine_01j52tewqksfqk5wf60ze1h9qz,,BOTTLE,2023,0,1900,,,6,,False
wine_01gzr4ksqc2g6h2rvg77jf1w9m,,BOTTLE,2021,4800,1900,,,5,,True
wine_01gzr4ksqc2g6h2rvg77jf1w9m,,BOTTLE,2019,4800,1900,,,6,,True
wine_01gzr4ksygnp8jbma3kdjczyaf,,BOTTLE,2021,6000,2300,,,1,,True
wine_01h0qsxmvw08hsa6byhtmc1p9w,,BOTTLE,2021,8500,2700,,,4,,True
wine_01gzr4ksz8rhqb75xpsvtsnk6p,,BOTTLE,2021,6800,3100,,,8,,True
wine_01h0qzm234jfk8rmfgvy64nj0n,,BOTTLE,2021,0,3200,,,3,,False
wine_01gzr4ksdcq18w6wnq39gjsdem,,BOTTLE,2017,8000,3700,,,2,,True
wine_01hawwcx98n3faxap0b4ew0nnh,,BOTTLE,2015,9500,3900,,,2,,True
wine_01hawwcx98n3faxap0b4ew0nnh,,BOTTLE,2020,0,0,,,6,,False
wine_01h0r2pq7e8jfx3jxdrxeqhs26,,BOTTLE,2003,13500,4350,,,6,,True
wine_01gzr4ksygdgqahdkqk8yakhz7,,BOTTLE,2023,0,5470,,,12,,False
wine_01hawwcx592a5eqac40whrd1q3,,BOTTLE,2011,14800,5500,,,3,,True
wine_01gzr4ksyde8h8s9126qatbhte,,BOTTLE,2023,0,5800,,,18,,False
wine_01gzr4ks7p1ebck3cbt9y1yeda,,BOTTLE,2021,11200,0,,,3,,True
wine_01h0r2ppavs41f82qprrk9t5ce,,BOTTLE,2019,23000,8800,,,3,,True
wine_01gzr4ksyg2d56f79mtzbbe42s,,BOTTLE,2023,22500,9300,,,3,,True
wine_01h0qsxnthpgmhsggk30z89dpf,,BOTTLE,2018,30000,16500,,,3,,True
wine_01gzr4ksyc1zprp094k8h3wg6p,,BOTTLE,2021,30000,18900,,,1,,True
wine_01h0my5rkk4c5kawj3cdwe3q6m,,BOTTLE,2021,4500,1300,,,23,,True
wine_01h0my5tyab5ehdcf6kv2kqapm,,BOTTLE,2015,5800,2200,,,14,,True
wine_01gzr4ksn5fkhy5h5v8sa71dfk,,BOTTLE,2023,4900,1300,,,14,,True
wine_01harvcmb98xm8zmtkmdwfb1p4,,BOTTLE,2022,0,1450,,,2,,False
wine_01h0qzm1m68kd0thbpvqktd36a,,BOTTLE,2022,5500,1750,,,15,,True
wine_01h0sq4757dashcv82bnem6360,,BOTTLE,2020,5200,2140,,,7,,True
wine_01gzr4ksd134gff46dt7jeatpx,,BOTTLE,2023,5500,1900,,,6,,True
wine_01gzr4ksnhsb780pa608pcmeen,,BOTTLE,2020,5800,2120,,,4,,True
wine_01gzr4ksd8d5bsr9fwt7txxx7p,,BOTTLE,2021,5500,1900,,,19,,True
wine_01h0sq48v86sge6036016g43a1,,BOTTLE,2021,6800,2500,,,0,,True
wine_01havwee4ymdacgbes7fsg7dfj,,BOTTLE,2021,0,2600,,,4,,False
wine_01havwee4ybt2v0hrga4mw7tgs,,BOTTLE,2021,7200,2900,,,0,,True
wine_01gzr4ksm64xrr18y47rpcfxx0,,BOTTLE,2022,8200,3100,,,9,,True
wine_01havwee4ybt2v0hrga4mw7tgs,,BOTTLE,2022,0,3200,,,4,,False
wine_01gzr4ksn55kqa21f0wdpx6t3r,,BOTTLE,2020,0,0,,,6,,False
wine_01gzr4ksn55kqa21f0wdpx6t3r,,BOTTLE,2022,8500,3600,,,31,,True
wine_01gzr4ksze0fwx8ezr0z8ghx0v,,BOTTLE,2020,8800,3750,,,4,,True
wine_01h4pmmfhnkskk69ksesa5x3zk,,BOTTLE,2018,8500,4000,,,2,,True
wine_01gzr4ksk9b3gdt3dksv5jy13q,,BOTTLE,2022,10300,4600,,,6,,True
wine_01hawwcxncqfe5cmf5ndb1jvvt,,BOTTLE,2017,9000,4800,,,3,,True
wine_01h0sq47vfm5chdak9pp6qrvfh,,BOTTLE,2020,11500,5000,,,2,,True
wine_01h0sq47vfm5chdak9pp6qrvfh,,BOTTLE,2021,0,5300,,,12,,False
wine_01gzr4kt17mxp3qbt1ddm3evk4,,BOTTLE,2019,9800,5100,,,4,,True
wine_01gzr4kt17mxp3qbt1ddm3evk4,,BOTTLE,2020,0,4700,,,6,,False
wine_01gzr4kswavrc0ykvdbhgrckp6,,BOTTLE,2023,0,5900,,,6,,False
wine_01gzr4ksvx7ay9bq3genbnqhmd,,BOTTLE,2021,0,6100,,,1,,False
wine_01gzr4ks6ze54vv15g4f0wgyq7,,BOTTLE,2023,13000,6700,,,4,,True
wine_01h4pmmh3381saca8c5bgcccpf,,BOTTLE,2023,0,6700,,,6,,False
wine_01gzr4ksn2hjp0ptj1mn4wbnh0,,BOTTLE,2018,16500,7500,,,3,,True
wine_01gzr4ktnjs21tt2q4m48fexv9,,BOTTLE,2020,14200,7700,,,5,,True
wine_01gzr4kst7bzg9z930ytz72je5,,BOTTLE,2019,22000,0,,,2,,True
wine_01h0qzm2wze80gk8f0f496j1ab,,BOTTLE,2022,3500,1200,,,10,,True
wine_01h0sq47vezrd4vebp8esf2ybf,,BOTTLE,2020,7300,3400,,,13,,True
wine_01h0qzm0b7qp7kq1pccfps7hdy,,BOTTLE,2022,3500,800,,,13,,True
wine_01h0qsxnpg268wschzkyps10g6,,BOTTLE,2022,5500,1600,,,4,,True
wine_01gzr4kthsyh4zgs1ev6sath54,,BOTTLE,2022,5800,2200,,,7,,True
wine_01h4pmmh11b1ar1aqhnq1b71jk,,BOTTLE,2017,8800,3700,,,3,,True
wine_01gzr4ksrq9ze45xa65j5jpnm1,,BOTTLE,2019,11200,4300,,,9,,True
wine_01gzr4ksrq7cpvha6n6bye2qtg,,BOTTLE,2021,11200,4300,,,4,,True
wine_01h0qsxnrcrtx0m8s8ggracaar,,BOTTLE,2022,14000,5700,,,2,,True
wine_01h0qsxn3zxkdfzrksqyzxwetp,,BOTTLE,2022,11800,5800,,,5,,True
wine_01gzr4ksv06ynaty6rcxkr29ks,,BOTTLE,2015,15000,7500,,,1,,True
wine_01h0qsxn601ytejqpjnq7cnyk0,,BOTTLE,2020,16500,7200,,,5,,True
wine_01h0my5s9r4tar23j10s0vrw2p,,BOTTLE,2021,7500,3700,,,0,,True
wine_01gzr4ktj3ytwf7a3gmj810363,,BOTTLE,2022,5200,2400,,,5,,True
wine_01gzr4ksj2c2wrcbqhfnrxkbyz,,BOTTLE,2020,6000,2500,,,5,,True
wine_01gzr4kspp9y9541kx9naws6mn,,BOTTLE,2021,8300,2700,,,2,,True
wine_01h0qsxmw0eg4c4j50mag7rhj4,,BOTTLE,2022,0,4300,,,5,,False
wine_01gzr4ksj2nsn8mkdb3we32281,,BOTTLE,2018,9300,3500,,,5,,True
wine_01gzr4ksj4tjshy9tb20x9c3ac,,BOTTLE,2010,9300,4900,,,2,,True
wine_01h0qzm2twz6nve2ex9apdeh5k,,BOTTLE,2020,4200,1400,,,2,,True
wine_01h0r2pp8yfy68k5r6f4457naw,,BOTTLE,2020,8300,3700,,,75,,True
