"name","winery","vintage","size","sales_price_eur","purchase_price","storage_area"
"Piris Prosecco (Extra Dry)","Sacchetto","/",0.75,€ 39.00,€ 4.22,"Hauptlager"
"Spumante „Bella Glamour Zero Zero“","Iris Vigneti","/",0.75,€ 31.00,€ 5.50,"Hauptlager"
"Sekt Brut „Praeclarus“","Kellerei St. Pauls","/",0.75,€ 46.00,€ 14.90,"Hauptlager"
"Sekt Brut Rosé","Arunda - Reiterer","/",0.75,€ 53.00,€ 20.50,"Hauptlager"
"Sekt Extra Brut Riserva","Arunda - Reiterer","/",0.75,€ 59.00,€ 22.50,"Hauptlager"
"Brut Riserva Methius ","Dorigati","2015/2016",0.75,€ 69.00,€ 27.80,"Hauptlager"
"Prosecco Brut Rosé Bio","Corvezzo","/",0.75,€ 38.00,€ 5.95,"Hauptlager"
"Franciacorta Brut Rosé","Marchese Antinori","/",0.75,€ 64.00,€ 25.50,"Hauptlager"
"Franciacorta Brut Cuvée Prestige","Ca’ del Bosco","/",0.75,€ 66.00,€ 35.60,"Hauptlager"
"Champagne Brut AOC „Tradition“","Pascal Machet","/",0.75,€ 85.00,€ 21.95,"Hauptlager"
"Champagne Brut Riserva „Impérial“","Moët & Chandon","/",0.75,€ 109.00,€ 44.10,"Hauptlager"
"Champagne „Ice Impérial“","Moët & Chandon ","/",0.75,€ 142.00,€ 59.00,"Hauptlager"
"Champagne Brut „S. Pétersbourg“","Veuve Clicquot","/",0.75,€ 110.00,€ 47.90,"Hauptlager"
"Champagne „Rich Collection“","Veuve Clicquot","/",0.75,€ 125.00,€ 53.00,"Hauptlager"
"Champagne „Rich Rosé“","Veuve Clicquot","/",0.75,€ 139.00,€ 93.27,"Hauptlager"
"Champagne Premier Brut","Ruinart","/",0.75,€ 140.00,€ 49.95,"Hauptlager"
"Champagne Brut Grand Cru","Perrier Jouët","/",0.75,€ 149.00,€ 50.50,"Hauptlager"
"Champagne Vintage","Dom Pérignon",2012,0.75,€ 390.00,€ 199.50,"Hauptlager"
"Champagne „Belle Epoque”","Perrier Jouët ",2013,0.75,€ 990.00,€ 536.00,"Hauptlager"
"S’Pom Apfelsekt Dry","Pur Südtirol","/",0.75,€ 34.00,€ 4.95,"Hauptlager"
"S’Pom Apfelsekt Rosé Dry","Pur Südtirol","/",0.75,€ 39.00,€ 4.95,"Hauptlager"
"Pera’S (Williams Birne)","Roner","/",0.75,€ 39.00,€ 11.80,"Hauptlager"
"Weissburgunder Ris. „Tecum“ ","Castelfeder ",2018,1.5,€ 105.00,€ 44.10,"Hauptlager"
"Weissburgunder Ris. „Vorberg“ ","Terlan","2016/2017",1.5,€ 108.00,€ 45.80,"Hauptlager"
"Sauvignon „Lafóa“ ","Schreckbichl",2022,1.5,€ 101.00,€ 41.80,"Hauptlager"
"Sauvignon „St. Valentin“ ","St. Michael/Eppan",2018,1.5,€ 102.00,€ 42.80,"Hauptlager"
"Sauvignon  „Lieben Aich“ Bio","Manincor",2020,1.5,€ 180.00,€ 92.40,"Hauptlager"
"Cuvée „Misto Mare“","Alois Lageder",2024,1.5,€ 50.00,€ 16.05,"Hauptlager"
"Terlaner Klassisch","Terlan",2020,1.5,€ 68.00,€ 25.50,"Hauptlager"
"La Contessa Bio","Manincor","2020/2021",1.5,€ 79.00,€ 29.20,"Hauptlager"
"Stoan","Tramin",2018,1.5,€ 108.00,€ 42.60,"Hauptlager"
"Weiss „DJJ“ Riserva ","Niklas",2021,1.5,€ 117.00,€ 50.00,"Hauptlager"
"Liebenstein","Baron Longo",2019,1.5,€ 118.00,€ 49.00,"Hauptlager"
"Lagrein Ris. „Klassisch“ ","Unterganzner",2019,1.5,€ 109.00,€ 45.40,"Hauptlager"
"Lagrein Ris. „Abtei Muri“ ","Muri Gries",2020,1.5,€ 125.00,€ 39.80,"Hauptlager"
"Lagrein Ris. „Tor di Lupo” ","Andrian",2019,1.5,€ 152.00,€ 58.50,"Hauptlager"
"Merlot Ris. „DJJ“","Niklas",2021,1.5,€ 151.00,€ 73.00,"Hauptlager"
"Cabernet S. Ris. „Klassisch“ ","Wassererhof",2020,1.5,€ 111.00,€ 47.90,"Hauptlager"
"Il Conte Bio","Manincor",2019,1.5,€ 79.00,€ 29.20,"Hauptlager"
